WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S154,CW_Pure_8,Y,1,0,0,0.958213543841446,0.0351617465209367,0.006624709637618,-0.0426846199623284
S154,CD_Mixed_10,Y,0,0,1,0.1681647219949755,0.0591124739051505,0.7727228040998746,-0.257834892248395
S154,CB_Mixed_12,Y,0,1,0,0.8420270365307914,0.07032345268074,0.0876495107884692,-2.6546499272550976
S154,CD_Mixed_5,Y,1,0,0,0.1420605547747416,0.0652275532372902,0.792711891987969,-1.951501870205812
S154,CB_Mixed_6,Y,1,0,0,0.8323448275882368,0.0764385320128797,0.091216640398884,-0.183508467788329
S154,CB_Mixed_0,Y,1,0,0,0.8124215500489984,0.0794960716789496,0.1080823782720528,-0.2077359232257094
S154,CB_Mixed_14,Y,1,0,0,0.8379503169760315,0.07134263256943,0.0907070504545391,-0.1767964678757351
S154,CD_Pure_2,Y,0,0,1,0.1488003041098664,0.070833042625085,0.7803666532650493,-0.2479914014574623
S154,CD_Mixed_12,Y,1,0,0,0.2484114130646548,0.0137589688584476,0.7378296180768983,-1.3926689836632775
S154,Bal_Pure_4,Y,0,1,0,0.0060000396346329,0.9879999207307348,0.0060000396346329,-0.0120726614663222
S154,CD_Pure_1,Y,1,0,0,0.2466415734241018,0.007134299581963,0.7462241269939358,-1.3998191159885631
S154,Dist_Pure_4,Y,1,0,0,0.8519999371980772,0.116509616259804,0.0314904465421195,-0.160168825864001
S154,CD_Mixed_11,Y,0,0,1,0.1380989152786219,0.0728714024024649,0.7890296823189138,-0.2369513386678207
S154,CB_Mixed_10,Y,1,0,0,0.8338735974212718,0.091216640398884,0.0749097621798448,-0.1816734499550452
S154,CD_Pure_7,Y,0,0,1,0.1314742460021372,0.0728714024024649,0.7956543515953985,-0.2285904191076966
S154,CB_Pure_6,Y,1,0,0,0.827248928144787,0.0866303308997793,0.0861207409554343,-0.1896496278660092
S154,CD_Mixed_1,Y,0,0,1,0.135041375612552,0.0723618124581199,0.7925968119293286,-0.2324406205284558
S154,CD_Pure_9,Y,0,0,1,0.1605208728298008,0.0631891934599103,0.7762899337102894,-0.2532292026643784
S154,Weight_Pure_2,Y,1,0,0,0.8848325918557693,0.0647179632929453,0.0504494448512859,-0.1223568136124403
S154,Weight_Mixed_3,Y,1,0,0,0.849670885695966,0.0835727912337094,0.0667563230703252,-0.1629061977753185
S154,CW_Mixed_14,Y,1,0,0,0.9959231997229742,0.0035671699715481,0.0005096303054783,-0.0040851330824417
S154,CW_Pure_10,Y,1,0,0,0.9495505147875812,0.0382192861870065,0.0122301990254127,-0.0517665486835629
