Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.221409927453,0.49161592344,0.286974149106,-22.904082974
Uncentered_CD_2_0_0.5,Y,6,3,15,0.0912653970697,0.221166365733,0.687568237198,-24.509334622
Uncentered_CW_1_0_2.0,Y,14,9,1,0.663078710319,0.299958756561,0.0369625331205,-19.8869052087
Centered_CD_2_0_1.0,Y,8,4,12,0.336548383637,0.21690731758,0.446544298783,-24.4998473829
Uncentered_D_1_0_0.25,Y,14,3,7,0.735114716364,0.151248159353,0.113637124284,-25.1979172635
Uncentered_W_1_0_0.25,Y,14,8,2,0.603052623172,0.182496410671,0.214450966157,-23.7680579549
Centered_CW_2_0_0.25,Y,19,2,3,0.820663491975,0.116819685987,0.0625168220378,-16.3664066318
Centered_CW_4_0_1.0,Y,24,0,0,0.930333981912,0.034833009044,0.034833009044,-1.73307928723
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0825188647095,0.446895917835,0.470585217455,-28.8979373626
Uncentered_W_0_0_2.0,Y,16,3,5,0.268155229143,0.636592085661,0.0952526851953,-34.1700170078
Uncentered_D_0_0_0.5,Y,16,3,5,0.582584410291,0.235850450952,0.181565138757,-21.5088751626
Uncentered_CD_1_0_0.25,Y,5,3,16,0.158345405478,0.158345405478,0.683309189045,-20.8367374392
Centered_D_4_0_1.0,Y,20,3,1,0.930333977679,0.03483301194,0.0348330103806,-14.8729917667
Centered_W_2_0_1.0,Y,23,0,1,0.819598729937,0.135985402675,0.044415867388,-7.68978798111
Centered_W_4_0_1.0,Y,22,1,1,0.929269219874,0.0358977710823,0.034833009044,-8.29811918806
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.79404444102,0.151956833248,0.053998725732,-31.7435342958
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.758907293759,0.173252074013,0.0678406322289,-28.8094326179
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.795731204281,0.126402544331,0.0778662513878,-16.9715524818
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.737612052994,0.192417790701,0.0699701563053,-29.7367304414
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.656690138089,0.16260445363,0.18070540828,-54.5793923492
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.827052064205,0.130661592484,0.0422863433116,-43.2562651956
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.594933939873,0.192417790701,0.212648269427,-45.2738062177
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.707798715924,0.178575884204,0.113625399872,-36.2790845925
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0642644995651,0.680591694964,0.255143805471,-23.3686032182
Uncentered_CW_1_0_0.25,Y,16,2,6,0.863253973504,0.0859415868786,0.0508044396173,-25.139545513
Uncentered_W_3_0_0.5,Y,12,7,5,0.798303489173,0.149827309172,0.0518692016556,-30.7862511511
Centered_CD_4_0_0.5,Y,18,2,4,0.596312820101,0.0369625331205,0.366724646779,-19.9140948767
Centered_D_1_0_0.5,Y,14,9,1,0.695712682245,0.24258924767,0.0616980700852,-20.6124323041
Centered_D_4_0_0.25,Y,21,1,2,0.930333908846,0.0348330451317,0.0348330460227,-11.5880122845
Centered_CD_0_0_0.5,Y,8,11,5,0.283136884477,0.295427924545,0.421435190978,-27.8276790201
Uncentered_W_1_0_1.0,Y,9,14,1,0.333591814079,0.467769353468,0.198638832454,-22.1337204841
Uncentered_CW_1_0_0.5,Y,21,2,1,0.829181588281,0.126402544331,0.044415867388,-11.1843639964
Centered_CW_1_0_0.25,Y,21,1,2,0.707798715924,0.165798739745,0.126402544331,-13.1910540042
Centered_CD_1_0_0.5,Y,7,6,11,0.266951133376,0.231813986115,0.501234880509,-25.6132327945
Centered_D_2_0_2.0,Y,6,14,4,0.243703203795,0.716380072389,0.039916723816,-26.0242865874
Centered_D_3_0_1.0,Y,18,3,3,0.78177916916,0.171577019569,0.0466438112704,-18.9151076015
Centered_W_0_0_0.25,Y,15,9,0,0.659884424204,0.189223504586,0.15089207121,-21.2187962
Centered_CD_3_0_1.0,Y,16,5,3,0.821132058868,0.097653969299,0.0812139718328,-22.31677011
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.516754271993,0.213713031465,0.269532696542,-57.1129257212
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.451884636778,0.229684462038,0.318430901184,-53.5288893981
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.515350987824,0.21051874535,0.274130266825,-53.5580117982
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.462723192352,0.219036841656,0.318239965991,-51.2052557575
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.299964603953,0.236073034268,0.46396236178,-51.2292885935
Uncentered_D_0_0_2.0,Y,8,14,2,0.541160534138,0.422941694112,0.0358977717505,-23.6137678509
Uncentered_D_3_0_1.0,Y,12,9,3,0.736905722987,0.217515221766,0.0455790552468,-26.6578427394
Uncentered_W_3_0_2.0,Y,8,15,1,0.629972695842,0.329772093631,0.0402552105274,-23.5494485603
Centered_W_1_0_0.25,Y,18,6,0,0.729093956688,0.148762547134,0.122143496178,-17.1195714026
Centered_CD_2_0_0.5,Y,11,3,10,0.368103527007,0.190288266624,0.441608206369,-24.1442691277
Centered_CW_1_0_1.0,Y,18,5,1,0.65030156586,0.244591130573,0.105107303567,-17.0393534703
Centered_CD_3_0_0.25,Y,15,2,7,0.53246459867,0.0657111081524,0.401824293178,-21.2807401355
Uncentered_CD_4_0_0.5,Y,9,7,8,0.492680685479,0.104042541528,0.403276772993,-29.4767913456
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.72802919465,0.159410167516,0.112560637834,-22.0072975343
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.705669191848,0.164733977707,0.129596830446,-57.917049473
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.779137772485,0.129596830446,0.0912653970697,-24.4950751864
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.78765586879,0.125337782293,0.0870063489168,-37.1771043312
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.807886347517,0.113625399872,0.0784882526111,-31.3350022942
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.671596806624,0.156215881401,0.172187311974,-39.8168221652
Uncentered_CW_3_0_0.25,Y,17,1,6,0.617970986937,0.177511122166,0.204517890898,-19.4336550182
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.460932190407,0.220101603694,0.318966205899,-56.7399365167
Centered_CD_4_0_2.0,Y,18,5,1,0.909038741148,0.0561282498084,0.034833009044,-19.4743861552
Centered_W_2_0_0.5,Y,23,1,0,0.828116826243,0.125337782293,0.0465453914645,-6.41456684911
Centered_D_4_0_0.5,Y,23,0,1,0.930333925107,0.0348330368894,0.0348330380033,-5.01805802926
Centered_CW_0_0_2.0,Y,13,7,4,0.250988981077,0.471385444714,0.277625574209,-28.3609830054
Centered_D_2_0_0.5,Y,14,7,3,0.457509454649,0.45213644703,0.0903540983211,-23.7158638028
Centered_CD_4_0_0.25,Y,17,3,4,0.562954980001,0.0390920571969,0.397952962802,-23.1786392932
Uncentered_CD_3_0_1.0,Y,5,4,15,0.264063709907,0.322330453479,0.413605836613,-24.4291640866
Uncentered_CD_4_0_2.0,Y,15,8,1,0.604432518218,0.262692085223,0.132875396559,-20.2645038617
Centered_CW_0_0_0.5,Y,20,2,2,0.574703461146,0.252044464841,0.173252074013,-17.3403366772
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0497396775791,0.177511122166,0.772749200255,-19.0281271646
Centered_W_4_0_0.5,Y,22,1,1,0.930333981912,0.034833009044,0.034833009044,-8.30303562535
Centered_D_0_0_0.5,Y,5,18,1,0.280009356234,0.479814396593,0.240176247174,-21.0094501934
Centered_CD_1_0_0.25,Y,8,3,13,0.292505422293,0.174316836051,0.533177741656,-23.250524487
Uncentered_W_2_0_2.0,Y,12,9,3,0.432340481479,0.476665904201,0.0909936143206,-23.9218550326
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.750389197453,0.193482552739,0.0561282498084,-61.046269711
Uncentered_W_0_0_1.0,Y,17,4,3,0.674064852832,0.229684462038,0.0962506851301,-19.6118850094
Centered_CD_2_0_2.0,Y,6,11,7,0.538981813524,0.411758770574,0.0492594159021,-34.543517609
Uncentered_CD_2_0_1.0,Y,9,4,11,0.097653969299,0.230749224077,0.671596806624,-31.1816880366
Uncentered_CW_3_0_2.0,Y,4,18,2,0.096785993855,0.528414020534,0.374799985611,-22.7854905904
Uncentered_CW_1_0_1.0,Y,19,2,3,0.815339681784,0.141309212866,0.0433511053498,-17.2077376518
Uncentered_W_2_0_0.5,Y,15,5,4,0.658819662166,0.241396844459,0.0997834933755,-22.5851567722
Centered_CD_1_0_1.0,Y,8,5,11,0.25843303707,0.2648216093,0.47674535363,-25.6169441483
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.685438713121,0.19880636293,0.115754923949,-44.5793501712
Centered_D_3_0_0.5,Y,20,3,1,0.778098761056,0.170949178082,0.0509520608612,-13.2940733965
Centered_W_4_0_0.25,Y,24,0,0,0.930333981912,0.034833009044,0.034833009044,-1.73307928723
Uncentered_CW_0_0_1.0,Y,19,4,1,0.838764446625,0.117884448025,0.0433511053498,-15.0313066013
BalAdjust_Raw_CD_0.25_5,Y,14,14,20,0.351067334395,0.16899302586,0.479939639745,-54.227349651
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.452219728026,0.110431113758,0.437349158216,-49.8719353994
BalAdjust_Raw_CD_0.25_1,Y,12,25,11,0.414287707211,0.149827309172,0.435884983617,-67.1652787905
BalAdjust_Raw_CD_0.25_0,Y,16,8,24,0.348648483834,0.157280643439,0.494070872726,-48.578676757
BalAdjust_Raw_CD_0.25_3,Y,15,13,20,0.330405789638,0.178575884204,0.491018326158,-53.2326236749
Uncentered_CD_4_0_0.25,Y,14,2,8,0.534206404969,0.0625168220378,0.403276772993,-21.5873184205
Centered_D_1_0_1.0,Y,16,6,2,0.692130677685,0.239007240659,0.0688620816551,-19.8265557834
Centered_CW_3_0_1.0,Y,21,3,0,0.911168265224,0.0518692016556,0.0369625331205,-10.8306718391
Centered_W_2_0_2.0,Y,18,4,2,0.649236803822,0.313800663058,0.0369625331205,-19.0069298687
BalAdjust_Adj_CD_0.25_0,Y,19,5,24,0.246769850296,0.171122549936,0.582107599768,-48.3999598019
Centered_CW_1_0_0.5,Y,18,5,1,0.677985378854,0.220101603694,0.101913017452,-16.8472976359
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.416842449927,0.141309212866,0.441848337207,-51.3051144558
BalAdjust_Adj_CD_0.25_3,Y,13,8,27,0.208247481728,0.204130173121,0.587622345151,-47.4644560626
BalAdjust_Adj_CD_0.25_4,Y,18,10,20,0.410694008536,0.13279111656,0.456514874904,-51.8907825094
BalAdjust_Adj_CD_0.25_5,Y,12,6,30,0.248850178726,0.188158742548,0.562991078726,-43.9484117565
