Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.59899858965,0.337512334086,0.0634890762635,-16.7777638298
Dist_Mixed_0,Y,18,6,1,0.554223546799,0.359004356767,0.0867720964345,-19.2143635789
Dist_Mixed_3,Y,21,2,2,0.670638656119,0.169158172127,0.160203171754,-15.6064878889
Dist_Mixed_2,Y,19,6,0,0.509448501051,0.412734408456,0.0778170904928,-18.1238094983
Dist_Mixed_5,Y,17,8,0,0.482583479439,0.36079535604,0.156621164521,-20.5417779967
Dist_Mixed_4,Y,22,2,1,0.769143753333,0.144084149787,0.08677209688,-12.0936883404
Dist_Mixed_7,Y,24,1,0,0.883767862712,0.0706530811505,0.0455790561378,-5.61543394906
Dist_Mixed_6,Y,17,6,2,0.520194511612,0.398406397346,0.0813990910428,-21.6488706215
CD_Mixed_6,Y,5,4,16,0.463932110447,0.113625399872,0.422442489681,-26.3267094536
Bal_Pure_1,Y,0,24,1,0.049161064039,0.903468881219,0.0473700547421,-5.48609169498
Bal_Pure_0,Y,0,25,0,0.0455790576972,0.912423893398,0.0419970489049,-2.29126503748
CB_Pure_8,Y,10,6,9,0.588545367643,0.175381598089,0.236073034268,-28.738285852
CB_Pure_9,Y,22,2,1,0.601661034455,0.167928263822,0.230410701723,-16.2136719612
CB_Pure_0,Y,18,4,3,0.58428631949,0.182834932357,0.232878748153,-20.8409528115
CB_Pure_1,Y,11,11,3,0.606646322293,0.165798739745,0.227554937962,-29.7057803147
CB_Pure_2,Y,17,4,4,0.600257750064,0.184964456433,0.214777793503,-21.5797058683
CB_Pure_3,Y,23,2,0,0.606646322293,0.155151119363,0.238202558344,-15.2223257717
CB_Pure_4,Y,18,5,2,0.595998701911,0.164733977707,0.239267320382,-21.1927667446
CB_Pure_5,Y,17,6,2,0.598128225987,0.170057787898,0.231813986115,-22.290493947
CB_Pure_6,Y,13,8,4,0.599192988026,0.192417790701,0.208389221274,-26.1163111272
CB_Pure_7,Y,20,1,4,0.581092033376,0.161539691592,0.257368275032,-18.1089159614
CW_Mixed_9,Y,24,1,0,0.606646322293,0.178575884204,0.214777793503,-13.7181653943
CW_Mixed_8,Y,25,0,0,0.780202534523,0.126402544331,0.0933949211461,-6.20504333399
CW_Mixed_1,Y,23,1,1,0.806821585478,0.111495875796,0.0816825387257,-9.63569523436
CW_Mixed_0,Y,24,1,0,0.929269219874,0.0358977710823,0.034833009044,-5.08764295565
CW_Mixed_3,Y,22,1,2,0.69821585758,0.16260445363,0.13917968879,-13.6634069979
CW_Mixed_2,Y,24,1,0,0.865383497581,0.0806177766875,0.053998725732,-5.98801659127
CW_Mixed_5,Y,24,1,0,0.851541591084,0.0902006350315,0.0582577738849,-6.26268526564
CW_Mixed_4,Y,19,3,3,0.696763377765,0.155151119363,0.148085502872,-18.1848422088
CW_Mixed_7,Y,25,0,0,0.808951109555,0.105107303567,0.0859415868786,-5.30041992332
CW_Mixed_6,Y,19,2,4,0.837699684587,0.0997834933755,0.0625168220378,-19.0636001087
Weight_Mixed_3,Y,23,0,2,0.648172041784,0.141309212866,0.21051874535,-13.0891409462
Weight_Mixed_2,Y,24,1,0,0.800433013249,0.109366351719,0.0902006350315,-7.55551035586
