Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.222652002963,0.493284360784,0.284063636254,-22.8366970887
Uncentered_CD_2_0_0.5,Y,6,3,15,0.103049991647,0.233831239682,0.663118768671,-24.1567306801
Uncentered_CW_1_0_2.0,Y,14,9,1,0.661009393702,0.302385926152,0.0366046801456,-19.8678609506
Centered_CD_2_0_1.0,Y,8,4,12,0.343282725821,0.223284364841,0.433432909338,-24.5830628652
Uncentered_D_1_0_0.25,Y,14,3,7,0.716282709437,0.189206196448,0.0945110941145,-26.1795448109
Uncentered_W_1_0_0.25,Y,14,8,2,0.58277995348,0.190589052832,0.226630993689,-23.7891885533
Centered_CW_2_0_0.25,Y,19,2,3,0.800228141611,0.115706241457,0.0840656169324,-15.9761841797
Centered_CW_4_0_1.0,Y,24,0,0,0.928900014677,0.0355499926614,0.0355499926614,-1.77010014691
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0912216580814,0.438440611608,0.470337730311,-28.4358409077
Uncentered_W_0_0_2.0,Y,16,3,5,0.289309350756,0.62149170342,0.0891989458245,-33.3554683684
Uncentered_D_0_0_0.5,Y,16,3,5,0.56266521652,0.272290495483,0.165044287997,-22.1114920148
Uncentered_CD_1_0_0.25,Y,5,3,16,0.143128116045,0.184260927927,0.672610956028,-21.139694037
Centered_D_4_0_1.0,Y,20,3,1,0.927845327193,0.0366046801456,0.0355499926614,-14.7573575183
Centered_W_2_0_1.0,Y,23,0,1,0.818157828841,0.13679999114,0.0450421800188,-7.71625626702
Centered_W_4_0_1.0,Y,22,1,1,0.928900014677,0.0355499926614,0.0355499926614,-8.29622245966
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.814993766389,0.132581241203,0.0524249924079,-31.690688416
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.727454705204,0.187424990379,0.0851203044166,-29.2804066785
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.773899665376,0.157893740823,0.0682065938009,-17.9109670619
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.735892205077,0.187424990379,0.0766828045434,-29.7106863775
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.649407831377,0.195862490253,0.154729678371,-56.1293780025
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.840306266008,0.113596866489,0.0460968675029,-42.4830997514
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.598782832137,0.190589052832,0.210628115031,-45.2681914929
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.715853142878,0.155784365855,0.128362491267,-35.7007805398
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0693479439964,0.698295829392,0.232356226612,-24.1326591425
Uncentered_CW_1_0_0.25,Y,16,2,6,0.848743765882,0.0935578042898,0.0576984298286,-24.4774706462
Uncentered_W_3_0_0.5,Y,12,7,5,0.808665641484,0.144182803529,0.0471515549871,-31.3770916139
Centered_CD_4_0_0.5,Y,18,2,4,0.600635712927,0.0366046801456,0.362759606927,-19.8470178998
Centered_D_1_0_0.5,Y,14,9,1,0.716282709554,0.221366797124,0.0623504933219,-21.0179166536
Centered_D_4_0_0.25,Y,21,1,2,0.928900014677,0.0355499926614,0.0355499926614,-11.559283616
Centered_CD_0_0_0.5,Y,8,11,5,0.289488170154,0.323002157434,0.387509672412,-27.0882581544
Uncentered_W_1_0_1.0,Y,9,14,1,0.305751036946,0.454841839951,0.239407123104,-23.1237240983
Uncentered_CW_1_0_0.5,Y,21,2,1,0.820267203809,0.129417178751,0.0503156174395,-11.2394958652
Centered_CW_1_0_0.25,Y,21,1,2,0.704251580553,0.172659365601,0.123089053846,-13.309141138
