Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.628734409929,0.316061896341,0.0552036937302,-16.0971504603
Dist_Mixed_0,Y,18,6,1,0.523319107643,0.391103297333,0.0855775950242,-19.7471825139
Dist_Mixed_3,Y,21,2,2,0.65553490794,0.201713096717,0.142751995342,-15.9634889032
Dist_Mixed_2,Y,19,6,0,0.519745707906,0.380383096913,0.0998711951816,-18.2333549012
Dist_Mixed_5,Y,17,8,0,0.433984104039,0.382169798671,0.18384609729,-21.8858274872
Dist_Mixed_4,Y,22,2,1,0.759163510494,0.151685495523,0.0891509939824,-12.2511539161
Dist_Mixed_7,Y,24,1,0,0.878872413444,0.071283993542,0.0498435930137,-5.7398564672
Dist_Mixed_6,Y,17,6,2,0.514385608007,0.391103296982,0.0945110950105,-21.6520729304
CD_Mixed_6,Y,5,4,16,0.474299986069,0.0914484293215,0.43425158461,-26.6435962923
Bal_Pure_1,Y,0,24,1,0.0462701997437,0.902099500614,0.051630299642,-5.43637747009
Bal_Pure_0,Y,0,25,0,0.0426968000063,0.918179799842,0.039123400152,-2.13405117864
CB_Pure_8,Y,10,6,9,0.593509394717,0.166331240696,0.240159364587,-28.8177396869
CB_Pure_9,Y,22,2,1,0.583285194799,0.182151552959,0.234563252242,-16.7156010562
CB_Pure_0,Y,18,4,3,0.611439081947,0.165276553212,0.223284364841,-20.553387027
CB_Pure_1,Y,11,11,3,0.600892207106,0.16211249076,0.236995302135,-29.935994532
CB_Pure_2,Y,17,4,4,0.592454707233,0.161057803276,0.246487489492,-21.8049184555
CB_Pure_3,Y,23,2,0,0.587181269812,0.175823428054,0.236995302135,-15.7222491664
CB_Pure_4,Y,18,5,2,0.591400019748,0.186370302895,0.222229677356,-20.8629137288
CB_Pure_5,Y,17,6,2,0.596673457169,0.16211249076,0.241214052071,-22.5394797961
CB_Pure_6,Y,13,8,4,0.592454707233,0.189534365348,0.21801092742,-26.203570835
CB_Pure_7,Y,20,1,4,0.60194689459,0.173714053085,0.224339052325,-17.8804527355
CW_Mixed_9,Y,24,1,0,0.625150019241,0.173714053085,0.201135927673,-13.024671759
CW_Mixed_8,Y,25,0,0,0.768587517086,0.126253116299,0.105159366615,-6.58002105223
CW_Mixed_1,Y,23,1,1,0.768587517086,0.141018741077,0.0903937418373,-10.4160620915
CW_Mixed_0,Y,24,1,0,0.926790639709,0.0376593676297,0.0355499926614,-5.10383561279
CW_Mixed_3,Y,22,1,2,0.7010875181,0.165276553212,0.133635928688,-13.6381035307
CW_Mixed_2,Y,24,1,0,0.856126578271,0.0861749919007,0.0576984298286,-6.17946426763
CW_Mixed_5,Y,24,1,0,0.862454703176,0.0893390543532,0.0482062424712,-5.96666013624
