Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.33648257649,0.148810891101,0.514706532408,-28.6908078508
CW_6_CB_N,Y,12,8,5,0.637396931415,0.167063253256,0.195539815328,-27.8793708115
Dist_3_BC_N,Y,16,5,4,0.383287176803,0.341933083916,0.274779739282,-25.876375102
Weight_2_CC_N,Y,9,12,4,0.452245708296,0.34955190657,0.198202385134,-26.2288718327
CD_3_BB_N,Y,7,3,15,0.393089049789,0.142073428561,0.46483752165,-23.8812777323
CB_7_CB_N,Y,14,2,9,0.58782661966,0.171604678117,0.240568702223,-23.7863951033
CW_1_CB_N,Y,17,4,4,0.68843126829,0.153674990886,0.157893740823,-21.2217699143
CW_5_BB_N,Y,14,4,7,0.652571893829,0.166331240696,0.181096865474,-25.1118342617
Bal_2_BB_N,Y,1,23,1,0.0409101005856,0.914606400143,0.0444834992711,-8.36202906053
Weight_2_BC_N,Y,11,7,7,0.361856020052,0.481122357603,0.157021622345,-29.2626356351
CW_7_CB_N,Y,18,4,3,0.641119681005,0.167149915968,0.191730403027,-20.112156143
Bal_3_BB_N,Y,1,22,2,0.0373366996404,0.921753200397,0.0409100999623,-11.4730460739
CW_4_BC_N,Y,17,1,7,0.659458705871,0.152297628478,0.188243665651,-20.6497557133
CD_4_CB_N,Y,10,6,9,0.37644456828,0.158799078806,0.464756352914,-27.7067157493
Dist_4_CC_N,Y,16,8,1,0.477447566595,0.18506486825,0.337487565155,-26.411432555
Bal_5_CC_N,Y,5,16,4,0.235511051364,0.552787660084,0.211701288552,-22.9248045232
CD_5_CC_N,Y,16,4,5,0.514737749282,0.139193330163,0.346068920554,-23.8187161713
CD_2_CC_N,Y,12,1,12,0.394036845638,0.129354491961,0.476608662401,-22.1136433991
CB_7_BB_N,Y,19,1,5,0.588235957296,0.17476874057,0.236995302135,-19.0247818123
Bal_1_CC_N,Y,4,20,1,0.173299225721,0.641776009843,0.184924764435,-17.5690670257
CW_5_CC_N,Y,16,5,4,0.678915105012,0.136886653851,0.184198241137,-22.906128033
Weight_5_BC_N,Y,10,10,5,0.347909069571,0.421429245421,0.230661685008,-26.5331911161
CD_3_CB_N,Y,17,0,8,0.518720487006,0.164765817917,0.316513695077,-20.3617418704
CW_2_CC_N,Y,15,3,7,0.668170928827,0.129826516387,0.202002554787,-23.3691620172
CB_1_BC_N,Y,10,4,11,0.568062280544,0.153029641038,0.278908078418,-27.2093399649
CD_4_CC_N,Y,7,7,11,0.381828644333,0.151589591839,0.466581763827,-28.331074703
CD_4_BC_N,Y,14,8,3,0.356357554239,0.163860479935,0.479781965826,-31.1186797197
CD_1_CC_N,Y,8,9,8,0.373809723069,0.18134211866,0.444848158271,-29.7185740236
Weight_4_BC_N,Y,17,6,2,0.432394707131,0.444829670014,0.122775622856,-23.30825597
CW_7_BC_N,Y,18,1,6,0.607692356437,0.158948428307,0.233359215256,-19.535790697
CW_1_BB_N,Y,20,0,5,0.682103143385,0.16211249076,0.155784365855,-16.9479004093
Weight_3_CB_N,Y,12,9,4,0.450270947921,0.418973219335,0.130755832745,-25.5420980105
CW_6_BB_N,Y,16,7,2,0.667337518607,0.156839053339,0.175823428054,-22.9156454149
CW_6_CC_N,Y,12,10,3,0.637955618553,0.161057803276,0.200986578172,-28.4673097015
CB_7_CC_N,Y,13,5,7,0.615484506461,0.150510928434,0.234004565105,-25.9449920774
Weight_3_CC_N,Y,8,13,4,0.434638695795,0.353038643946,0.212322660258,-26.3998249516
Dist_3_CB_N,Y,13,9,3,0.509112168171,0.27728920803,0.213598623799,-24.951347972
Bal_2_CB_N,Y,5,10,10,0.275574439995,0.478280970464,0.24614458954,-27.8384181185
CD_4_BB_N,Y,5,8,12,0.310823426025,0.157893740823,0.531282833152,-28.1988445241
Weight_1_BC_N,Y,12,12,1,0.34233693342,0.484522432931,0.173140633649,-23.3122677712
Bal_3_BC_N,Y,8,14,3,0.132441137934,0.68629416004,0.181264702026,-26.5666115541
Dist_2_BC_N,Y,21,4,0,0.823027422602,0.0858136061072,0.0911589712912,-13.9123917528
CW_5_BC_N,Y,17,2,6,0.608612429367,0.15838974117,0.232997829463,-20.8675015008
CB_6_BB_N,Y,17,3,5,0.592454707233,0.176878115538,0.23066717723,-21.4299546728
CD_5_BC_N,Y,14,6,5,0.493658734548,0.16426981757,0.342071447882,-26.0838996007
CB_3_BB_N,Y,15,8,2,0.590345332264,0.184260927927,0.225393739809,-24.4167464835
CW_4_BB_N,Y,20,0,5,0.676829705965,0.144182803529,0.178987490506,-16.4089084023
CD_5_CB_N,Y,11,6,8,0.507094948759,0.159728392709,0.333176658531,-27.2679692892
CB_5_CB_N,Y,14,5,6,0.605260306544,0.171282003193,0.223457690263,-24.842771992
CB_2_BC_N,Y,13,7,5,0.586126582328,0.163167178244,0.250706239429,-26.5530802483
CB_5_CC_N,Y,11,7,7,0.596712168038,0.150361578932,0.252926253029,-28.5651123114
CW_3_CC_N,Y,9,4,12,0.505933370147,0.20459319418,0.289473435673,-27.3553803876
CW_2_BC_N,Y,13,3,9,0.664236142945,0.166331240696,0.169432616359,-26.6775501571
