Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.227102164667,0.480421149063,0.29247668627,-23.0823470841
Uncentered_CD_2_0_0.5,Y,6,3,15,0.0984087741529,0.232485540834,0.669105685013,-24.3157324525
Uncentered_CW_1_0_2.0,Y,14,9,1,0.641439050618,0.317613646664,0.0409473027179,-19.7343211229
Centered_CD_2_0_1.0,Y,8,4,12,0.351664888996,0.208011210408,0.440323900596,-24.4842020541
Uncentered_D_1_0_0.25,Y,14,3,7,0.734046332445,0.187457130091,0.0784965374647,-27.1640844529
Uncentered_W_1_0_0.25,Y,14,8,2,0.606472679027,0.195622169012,0.197905151961,-23.2938346813
Centered_CW_2_0_0.25,Y,19,2,3,0.807438856986,0.116498496642,0.0760626463726,-16.0922187399
Centered_CW_4_0_1.0,Y,24,0,0,0.928746407793,0.0356267961036,0.0356267961036,-1.77406921787
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0776234914207,0.451690413346,0.470686095234,-29.1878214468
Uncentered_W_0_0_2.0,Y,16,3,5,0.275934256272,0.633329136931,0.0907366067973,-33.9707493833
Uncentered_D_0_0_0.5,Y,16,3,5,0.598139307245,0.242713976768,0.159146715987,-21.660164089
Uncentered_CD_1_0_0.25,Y,5,3,16,0.146293333682,0.175024069399,0.678682596919,-21.0408304939
Centered_D_4_0_1.0,Y,20,3,1,0.928746407793,0.0356267961036,0.0356267961036,-14.8170199138
Centered_W_2_0_1.0,Y,23,0,1,0.837233694026,0.117562597965,0.0452037080094,-7.18257315191
Centered_W_4_0_1.0,Y,22,1,1,0.928746407793,0.0356267961036,0.0356267961036,-8.29554456582
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.810631160954,0.138844624422,0.0505242146238,-31.7654096265
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.741464574968,0.183536879982,0.0749985450498,-29.1076205981
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.755790763731,0.165447157494,0.0787620787755,-18.739112372
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.737208169676,0.18247277866,0.0803190516641,-29.6626848182
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.641439050618,0.172895866754,0.185665082628,-54.1180262286
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.824464478152,0.125011307225,0.0505242146238,-41.9408701213
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.579721173892,0.196306095857,0.223972730251,-45.2942144599
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.706349231313,0.170767664108,0.122883104579,-36.0281469598
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0649669726339,0.685510248887,0.249522778479,-23.5458472293
Uncentered_CW_1_0_0.25,Y,16,2,6,0.825528579474,0.105857483413,0.0686139371125,-23.6345830978
Uncentered_W_3_0_0.5,Y,12,7,5,0.799990147726,0.143101029713,0.056908822561,-30.618825658
Centered_CD_4_0_0.5,Y,18,2,4,0.591204255888,0.0388191000722,0.369976644039,-19.935634157
Centered_D_1_0_0.5,Y,14,9,1,0.653665575134,0.271410365848,0.0749240590179,-20.2806220282
Centered_D_4_0_0.25,Y,21,1,2,0.928746407793,0.0356267961036,0.0356267961036,-11.5562822398
Centered_CD_0_0_0.5,Y,8,11,5,0.309221277488,0.312679122767,0.378099599745,-27.0409289261
Uncentered_W_1_0_1.0,Y,9,14,1,0.33753943591,0.458889069933,0.203571494157,-22.2716492301
Uncentered_CW_1_0_0.5,Y,21,2,1,0.803182451694,0.143101029713,0.0537165185924,-11.4150844531
Centered_CW_1_0_0.25,Y,21,1,2,0.679746698241,0.192049690565,0.128203611193,-13.865008377
Centered_CD_1_0_0.5,Y,7,6,11,0.268664985812,0.252703465969,0.478631548219,-25.5583279313
Centered_D_2_0_2.0,Y,6,14,4,0.282166128368,0.670691056951,0.0471428146807,-25.4021037182
Centered_D_3_0_1.0,Y,18,3,3,0.752365336751,0.194145474911,0.0534891883374,-18.8238683401
Centered_W_0_0_0.25,Y,15,9,0,0.648887759878,0.200562501148,0.150549738973,-20.9470969956
Centered_CD_3_0_1.0,Y,16,5,3,0.850835808809,0.0792549503412,0.0699092408499,-23.2416770593
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.516350541368,0.200562501148,0.283086957484,-57.4192585632
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.414573116691,0.236741946126,0.348684937183,-53.2646729465
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.474053965843,0.243126554063,0.282819480093,-52.7736427979
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.411378876643,0.22716503422,0.361456089137,-51.5728422766
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.303629421323,0.249511162,0.446859416676,-51.2514886737
Uncentered_D_0_0_2.0,Y,8,14,2,0.56220074508,0.394723749556,0.0430755053637,-23.9107396682
Uncentered_D_3_0_1.0,Y,12,9,3,0.742977528561,0.208892000771,0.0481304706672,-26.7600343266
Uncentered_W_3_0_2.0,Y,8,15,1,0.600888567182,0.354857192964,0.0442542398539,-22.7331679448
Centered_W_1_0_0.25,Y,18,6,0,0.736144068353,0.146293333682,0.117562597965,-17.046779047
Centered_CD_2_0_0.5,Y,11,3,10,0.34953668635,0.202690703794,0.447772609856,-24.3855339944
Centered_CW_1_0_1.0,Y,18,5,1,0.641439050618,0.258023972583,0.100536976799,-17.0634835808
Centered_CD_3_0_0.25,Y,15,2,7,0.529104268604,0.0696780384354,0.40121769296,-21.2690444836
Uncentered_CD_4_0_0.5,Y,9,7,8,0.495318567583,0.0984087741529,0.406272658264,-29.7592107293
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.710605636605,0.163318954848,0.126075408547,-22.797907748
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.710605636605,0.151613840296,0.137780523099,-57.9023565836
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.777644019945,0.137780523099,0.0845754569556,-24.8950786109
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.769131209362,0.142036928391,0.0888318622471,-36.9056745136
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.788285033174,0.138844624422,0.072870342404,-31.3627232973
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.647823658555,0.18992148792,0.162254853525,-41.1329904611
Uncentered_CW_3_0_0.25,Y,17,1,6,0.626541632098,0.188857386597,0.184600981305,-19.7522958982
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.483854335845,0.201626602471,0.314519061684,-57.9257883197
Centered_CD_4_0_2.0,Y,18,5,1,0.909592583981,0.0547806199152,0.0356267961036,-19.5624040319
Centered_W_2_0_0.5,Y,23,1,0,0.82020807286,0.130331813839,0.0494601133009,-6.59620780726
Centered_D_4_0_0.5,Y,23,0,1,0.926960168569,0.0356267961036,0.037413035327,-5.03016379329
Centered_CW_0_0_2.0,Y,13,7,4,0.256707882508,0.46445962922,0.278832488272,-28.1543550681
Centered_D_2_0_0.5,Y,14,7,3,0.500049389003,0.423240157923,0.0767104530733,-23.4245381709
Centered_CD_4_0_0.25,Y,17,3,4,0.567335494116,0.0366908974265,0.395973608458,-23.2569862523
Uncentered_CD_3_0_1.0,Y,5,4,15,0.290369269963,0.318225023557,0.391405706481,-24.8331548743
Uncentered_CD_4_0_2.0,Y,15,8,1,0.657012651664,0.225036831574,0.117950516762,-20.3701997057
Centered_CW_0_0_0.5,Y,20,2,2,0.578657072569,0.265472681843,0.155870245588,-17.310854472
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0558447212381,0.172895866754,0.771259412008,-18.9611080138
Centered_W_4_0_0.5,Y,22,1,1,0.928746407793,0.0356267961036,0.0356267961036,-8.29554456582
Centered_D_0_0_0.5,Y,5,18,1,0.273349929274,0.522696164089,0.203953906637,-19.7524625953
Centered_CD_1_0_0.25,Y,8,3,13,0.309100836081,0.18247277866,0.508426385259,-23.2898175761
Uncentered_W_2_0_2.0,Y,12,9,3,0.465782038074,0.446826503321,0.0873914586055,-23.7307870501
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.736144068353,0.201626602471,0.0622293291753,-59.7716889899
Uncentered_W_0_0_1.0,Y,17,4,3,0.689323610147,0.22716503422,0.0835113556327,-19.7013874274
Centered_CD_2_0_2.0,Y,6,11,7,0.555474173721,0.392100739265,0.0524250870145,-34.4647906016
Uncentered_CD_2_0_1.0,Y,9,4,11,0.100536976799,0.237806047449,0.661656975753,-30.9633549036
Uncentered_CW_3_0_2.0,Y,4,18,2,0.0999294720655,0.516719099367,0.383351428567,-23.0153746139
Uncentered_CW_1_0_1.0,Y,19,2,3,0.806374755663,0.147357435005,0.0462678093323,-17.138641749
Uncentered_W_2_0_0.5,Y,15,5,4,0.65314416517,0.237806047449,0.109049787382,-22.4346632723
Centered_CD_1_0_1.0,Y,8,5,11,0.243126554063,0.281434201686,0.47543924425,-25.8313463359
