Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.560781600014,0.355362974536,0.08385542545,-17.7294065687
Dist_Mixed_0,Y,18,6,1,0.535774397977,0.383942678244,0.0802829237784,-19.4985283182
Dist_Mixed_3,Y,21,2,2,0.63044446523,0.217823181405,0.151732353365,-16.5073519338
Dist_Mixed_2,Y,19,6,0,0.517911982519,0.412522420661,0.0695655968205,-17.8138377419
Dist_Mixed_5,Y,17,8,0,0.416096068089,0.383942879526,0.199961052386,-22.5643568216
Dist_Mixed_4,Y,22,2,1,0.791205995334,0.124938749531,0.0838552551348,-11.7908587167
Dist_Mixed_7,Y,24,1,0,0.873372991868,0.0820690159114,0.0445579922205,-5.74961620162
Dist_Mixed_6,Y,17,6,2,0.523270769863,0.38751505605,0.0892141740865,-21.5315899754
CD_Mixed_6,Y,5,4,16,0.467651933189,0.0994728754758,0.432875191336,-26.4285294304
Bal_Pure_1,Y,0,24,1,0.0445594398993,0.91445360639,0.040986953711,-5.34078651051
Bal_Pure_0,Y,0,25,0,0.0409867524294,0.919812331801,0.0392009157691,-2.08964042299
CB_Pure_8,Y,10,6,9,0.581849376537,0.18992148792,0.228229135543,-28.6789503297
CB_Pure_9,Y,22,2,1,0.593554491089,0.173959968077,0.232485540834,-16.4325650279
CB_Pure_0,Y,18,4,3,0.587169883152,0.157998448234,0.254831668615,-21.0660761482
CB_Pure_1,Y,11,11,3,0.59036218712,0.162254853525,0.247382959355,-29.9921198042
CB_Pure_2,Y,17,4,4,0.603131402995,0.157998448234,0.238870148772,-21.7035642502
CB_Pure_3,Y,23,2,0,0.604195504318,0.162254853525,0.233549642157,-15.2258953878
CB_Pure_4,Y,18,5,2,0.594618592412,0.185665082628,0.21971632496,-20.8069220927
CB_Pure_5,Y,17,6,2,0.59781089638,0.156934346911,0.245254756709,-22.6686556037
CB_Pure_6,Y,13,8,4,0.607387808286,0.167575360139,0.225036831574,-26.7381830991
CB_Pure_7,Y,20,1,4,0.581849376537,0.183536879982,0.23461374348,-18.3254720573
CW_Mixed_9,Y,24,1,0,0.598874997703,0.172895866754,0.228229135543,-14.0599230947
CW_Mixed_8,Y,25,0,0,0.755297892165,0.147357435005,0.09734467283,-7.0160762098
CW_Mixed_1,Y,23,1,1,0.778708121268,0.130331813839,0.0909600648928,-10.1877430877
CW_Mixed_0,Y,24,1,0,0.92768230647,0.0366908974265,0.0356267961036,-5.1068093086
CW_Mixed_3,Y,22,1,2,0.694644116762,0.166511258817,0.138844624422,-13.7573157024
CW_Mixed_2,Y,24,1,0,0.848938808578,0.0962805715071,0.0547806199152,-6.2709248095
CW_Mixed_5,Y,24,1,0,0.853195213869,0.0867036596013,0.0601011265296,-6.25566483474
CW_Mixed_4,Y,19,3,3,0.701712651543,0.167575360139,0.130711988317,-18.1936376225
CW_Mixed_7,Y,25,0,0,0.788285033174,0.131395915162,0.0803190516641,-5.94738843255
CW_Mixed_6,Y,19,2,4,0.840425997995,0.0952164701843,0.0643575318211,-18.97949105
Weight_Mixed_3,Y,23,0,2,0.648887759878,0.170767664108,0.180344576014,-13.3731688632
Weight_Mixed_2,Y,24,1,0,0.801054249048,0.116498496642,0.0824472543098,-7.47371549174
Weight_Mixed_1,Y,24,1,0,0.641439050618,0.167575360139,0.190985589243,-12.4433087617
Weight_Mixed_0,Y,19,3,3,0.652080063847,0.160126650879,0.187793285274,-18.6367816476
Weight_Mixed_7,Y,24,0,1,0.727631257771,0.149485637651,0.122883104579,-9.72758270058
Weight_Mixed_6,Y,21,3,1,0.608451909609,0.185665082628,0.205883007763,-17.0654651883
Weight_Mixed_5,Y,25,0,0,0.928746407793,0.0356267961036,0.0356267961036,-1.84798876862
Weight_Mixed_4,Y,22,2,1,0.685067204856,0.169703562785,0.145229232359,-13.7980894944
CD_Mixed_10,Y,14,2,9,0.372946915453,0.153742042942,0.473311041605,-24.285449496
CD_Mixed_11,Y,5,4,16,0.343152078413,0.154806144265,0.502041777322,-23.8353853278
CD_Mixed_12,Y,17,4,4,0.536172803386,0.0601011265296,0.403726070084,-25.4710606582
CD_Mixed_13,Y,10,3,12,0.543203127112,0.0526524172695,0.404144455618,-25.8066436657
CD_Mixed_14,Y,7,7,11,0.496382668906,0.0824472543098,0.421170076784,-31.8839366856
CD_Mixed_15,Y,7,2,16,0.321870051955,0.170425700686,0.507704247359,-22.3198624213
Weight_Pure_1,Y,23,2,0,0.714862041896,0.165447157494,0.11969080061,-11.3185180264
Weight_Pure_0,Y,21,4,0,0.70528512999,0.155870245588,0.138844624422,-14.7671409904
Weight_Pure_3,Y,23,2,0,0.710605636605,0.152677941619,0.136716421776,-11.6165153205
Weight_Pure_2,Y,23,1,1,0.702092826022,0.160126650879,0.137780523099,-11.9487454977
Weight_Pure_5,Y,23,2,0,0.677618495596,0.169703562785,0.152677941619,-12.498333551
Weight_Pure_4,Y,21,3,1,0.719118447188,0.160126650879,0.120754901933,-14.5336761351
Weight_Pure_7,Y,24,1,0,0.678682596919,0.156934346911,0.164383056171,-11.154368951
Weight_Pure_6,Y,22,3,0,0.718700061654,0.165447157494,0.115852780853,-12.6641559876
CB_Pure_12,Y,21,2,2,0.60453746774,0.163318954848,0.232143577412,-17.1140231041
CB_Pure_13,Y,19,2,4,0.578657072569,0.175024069399,0.246318858032,-19.4840369885
CB_Pure_10,Y,19,3,3,0.594618592412,0.172895866754,0.232485540834,-19.5188460161
CB_Pure_11,Y,14,5,6,0.583977579183,0.170767664108,0.245254756709,-24.8005010329
CB_Pure_14,Y,12,4,9,0.593174316611,0.173959968077,0.232865715313,-26.3785637772
CB_Pure_15,Y,15,5,5,0.585041680506,0.179280474691,0.235677844803,-23.8615491465
CD_Mixed_2,Y,9,2,14,0.292075214915,0.169703562785,0.5382212223,-23.2968980783
CD_Mixed_3,Y,21,1,3,0.50915188478,0.0739344437269,0.416913671493,-19.4043918579
CD_Mixed_0,Y,9,2,14,0.252703465969,0.178216373368,0.569080160663,-23.7216363611
CW_Pure_8,Y,24,0,1,0.841490099318,0.09734467283,0.0611652278525,-6.93612116578
CD_Pure_14,Y,5,6,14,0.272921391103,0.172895866754,0.554182742143,-25.2869031219
CD_Pure_15,Y,7,3,15,0.310164937404,0.156934346911,0.532900715685,-23.1916428691
CD_Pure_10,Y,13,4,8,0.326126457247,0.161190752202,0.512682790551,-27.2115618858
CD_Pure_11,Y,12,4,9,0.356643432188,0.153742042942,0.48961452487,-26.2893738687
CD_Pure_12,Y,9,4,12,0.263344479198,0.186729183951,0.549926336851,-25.8966656897
CD_Pure_13,Y,10,6,9,0.529369809915,0.0686139371125,0.402016252972,-30.637602626
CD_Mixed_4,Y,12,2,11,0.521921100655,0.0675498357897,0.410529063555,-22.9860395738
CD_Pure_5,Y,5,5,15,0.294203417561,0.171831765431,0.533964817008,-24.3349961353
CW_Pure_13,Y,25,0,0,0.82020807286,0.111177990027,0.0686139371125,-4.95493058805
CW_Pure_12,Y,23,2,0,0.863836227098,0.0781908490184,0.0579729238838,-8.46376315966
CW_Pure_11,Y,25,0,0,0.781900425237,0.130331813839,0.0877677609242,-6.15069700003
CW_Pure_10,Y,22,2,1,0.839361896672,0.09734467283,0.0632934304982,-11.2714613779
CW_Pure_15,Y,24,1,0,0.765938905394,0.13458821913,0.0994728754758,-8.40520428009
CW_Pure_14,Y,22,2,1,0.681874900887,0.163318954848,0.154806144265,-13.9136815414
Dist_Pure_7,Y,24,0,1,0.705466520354,0.169594714632,0.124938765014,-10.4534346781
Dist_Pure_6,Y,17,6,2,0.405378516624,0.351790681887,0.242830801488,-24.4489730104
Dist_Pure_5,Y,20,4,1,0.521483895829,0.274982797845,0.203533306326,-19.7776502763
Dist_Pure_4,Y,23,1,1,0.781552653575,0.132083714166,0.0863636322587,-10.1423813705
Dist_Pure_3,Y,18,5,2,0.49826295624,0.314279805287,0.187457238473,-21.6750586945
Dist_Pure_2,Y,16,8,1,0.382157623485,0.455392231696,0.162450144819,-23.5009076519
Dist_Pure_1,Y,25,0,0,0.882304187985,0.0749240590179,0.0427717529971,-3.13045995244
Dist_Pure_0,Y,19,5,1,0.462538489178,0.416094999748,0.121366511074,-21.1426333018
CD_Pure_7,Y,4,7,14,0.298459822852,0.181408677337,0.520131499811,-25.9369307693
CB_Mixed_4,Y,14,6,5,0.596746795058,0.178216373368,0.225036831574,-25.0336706707
CB_Mixed_5,Y,13,5,7,0.58291347786,0.183536879982,0.233549642157,-25.6735372814
CB_Mixed_6,Y,21,2,2,0.595682693735,0.165447157494,0.238870148772,-17.3408673028
CB_Mixed_7,Y,13,6,6,0.599939099026,0.178216373368,0.221844527606,-26.0252648255
CB_Mixed_0,Y,14,5,6,0.602029090616,0.176088170722,0.221882738662,-24.821782804
CB_Mixed_1,Y,19,6,0,0.596746795058,0.164383056171,0.238870148772,-20.6423205023
CB_Mixed_2,Y,23,2,0,0.583977579183,0.171831765431,0.244190655386,-15.8940106177
CB_Mixed_3,Y,12,4,9,0.570144261986,0.186729183951,0.243126554063,-26.1823325649
Bal_Pure_5,Y,1,24,0,0.11958109246,0.766196486301,0.114222421239,-8.51535972224
Bal_Pure_4,Y,0,23,2,0.0392007144876,0.923384802507,0.0374144830058,-8.40470703317
Bal_Pure_7,Y,3,22,0,0.0963600599718,0.810852335278,0.0927876047498,-11.6317154498
Bal_Pure_6,Y,1,22,2,0.073138965551,0.860866785802,0.0659942486471,-11.3477105254
CB_Mixed_8,Y,17,3,5,0.592490389766,0.173959968077,0.233549642157,-21.4167439859
CB_Mixed_9,Y,10,6,9,0.350004899418,0.301776440387,0.348218660195,-27.1808160224
Bal_Pure_3,Y,1,24,0,0.0427731387431,0.916240031411,0.0409868298454,-5.25129070751
Bal_Pure_2,Y,2,21,2,0.0445594166745,0.914453614131,0.0409869691942,-14.4888649601
CW_Pure_3,Y,20,4,1,0.727631257771,0.143101029713,0.129267712516,-16.1819047841
CW_Pure_2,Y,25,0,0,0.822336275506,0.110113888704,0.0675498357897,-4.89014683232
CD_Mixed_8,Y,9,4,12,0.315143480596,0.153742042942,0.531114476462,-25.4757940896
CD_Mixed_9,Y,10,2,13,0.534006389685,0.0632934304982,0.402700179817,-23.6177407613
CW_Pure_7,Y,24,1,0,0.815951667569,0.109049787382,0.0749985450498,-7.0975544967
CW_Pure_6,Y,24,0,1,0.821272174183,0.107985686059,0.0707421397583,-7.37433086395
CW_Pure_5,Y,23,2,0,0.735079967031,0.149485637651,0.115434395319,-10.8799576211
CW_Pure_4,Y,23,2,0,0.728695359093,0.153742042942,0.117562597965,-11.0244472844
CD_Pure_2,Y,7,7,11,0.337831571798,0.150549738973,0.511618689228,-28.2226194861
CD_Pure_3,Y,2,1,22,0.299523924175,0.166511258817,0.533964817008,-18.0071715346
CW_Pure_9,Y,24,0,1,0.754233790842,0.13458821913,0.111177990027,-8.96589224669
CD_Pure_1,Y,21,3,1,0.535754417852,0.0579729238838,0.406272658264,-22.5497357634
CD_Pure_6,Y,7,11,7,0.371579061764,0.153742042942,0.474678895294,-32.7430427282
CD_Mixed_7,Y,7,2,16,0.286412744878,0.167575360139,0.546011894982,-22.0067259322
CD_Pure_4,Y,15,7,3,0.52868588307,0.0654216331439,0.405892483786,-31.3537292301
CD_Mixed_5,Y,10,1,14,0.336083543631,0.159062549556,0.504853906813,-22.3112194324
CD_Pure_0,Y,14,4,7,0.437857096148,0.117562597965,0.444580305887,-25.7995869861
CD_Mixed_1,Y,8,3,14,0.354857192964,0.144165131036,0.500977675999,-23.7754187584
CD_Pure_8,Y,14,4,7,0.523707339878,0.0675498357897,0.408742824332,-26.0977540398
CD_Pure_9,Y,3,6,16,0.365498206193,0.156934346911,0.477567446896,-25.9558461885
CW_Pure_1,Y,25,0,0,0.894695165461,0.0632934304982,0.0420114040408,-2.78180539935
CB_Mixed_14,Y,16,3,6,0.586105781829,0.183536879982,0.230357338189,-22.4428399911
CB_Mixed_15,Y,18,4,3,0.585725607351,0.171831765431,0.242442627218,-20.9241973377
CB_Mixed_12,Y,14,6,5,0.599939099026,0.178216373368,0.221844527606,-25.0304134875
CB_Mixed_13,Y,18,3,4,0.595682693735,0.160126650879,0.244190655386,-20.4594432052
CB_Mixed_10,Y,19,3,3,0.585041680506,0.184600981305,0.230357338189,-19.6584180431
CB_Mixed_11,Y,18,3,4,0.569080160663,0.181408677337,0.249511162,-20.8212267783
CW_Mixed_15,Y,25,0,0,0.811695262277,0.11969080061,0.0686139371125,-5.21575755056
CW_Mixed_14,Y,22,2,1,0.921297698533,0.0420114040408,0.0366908974265,-11.4482402673
CW_Pure_0,Y,22,1,2,0.658464671784,0.165447157494,0.176088170722,-14.4652212969
CW_Mixed_11,Y,25,0,0,0.829784984766,0.100536976799,0.0696780384354,-4.66471665627
CW_Mixed_10,Y,24,1,0,0.922361799856,0.0398832013951,0.0377549987493,-5.16142545528
CW_Mixed_13,Y,25,0,0,0.606323706963,0.171831765431,0.221844527606,-12.5085316406
CW_Mixed_12,Y,23,0,2,0.884054152232,0.0675498357897,0.048396011978,-8.89112581251
Bal_Mixed_7,Y,2,23,0,0.0374145681634,0.923384872181,0.0392005596556,-8.40470074558
Bal_Mixed_6,Y,1,23,1,0.0463456481563,0.903736411039,0.0499179408047,-8.39700614976
Bal_Mixed_5,Y,1,24,0,0.0409869382278,0.919812316318,0.039200745454,-5.20055705291
Bal_Mixed_4,Y,0,24,1,0.0534905508586,0.894805145248,0.0517043038936,-5.6297974347
Bal_Mixed_3,Y,1,24,0,0.0374144907474,0.923384825731,0.0392006835212,-5.19871804647
Bal_Mixed_2,Y,0,24,1,0.0499181730526,0.910881220842,0.0392006061052,-5.47928963424
Bal_Mixed_1,Y,1,24,0,0.0409868995198,0.918026224185,0.040986876295,-5.2472065181
Bal_Mixed_0,Y,0,21,4,0.039200668038,0.923384872181,0.037414459781,-14.8166842839
