Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.341595105524,0.161228963258,0.497175931218,-28.3556549994
CW_6_CB_N,Y,12,8,5,0.654512018859,0.165827331972,0.179660649169,-28.0442770205
Dist_3_BC_N,Y,16,5,4,0.402870209175,0.297213990536,0.299915800289,-25.4297817897
Weight_2_CC_N,Y,9,12,4,0.434151668446,0.370714805835,0.195133525719,-25.9534036381
CD_3_BB_N,Y,7,3,15,0.428280184242,0.121819003256,0.449900812502,-24.2324224353
CB_7_CB_N,Y,14,2,9,0.588233984475,0.172895866754,0.238870148772,-23.8254749359
CW_1_CB_N,Y,17,4,4,0.684306855899,0.150207775551,0.165485368549,-21.2273633923
CW_5_BB_N,Y,14,4,7,0.622285226806,0.179280474691,0.198434298503,-24.8372899548
Bal_2_BB_N,Y,1,23,1,0.0409868066206,0.916239938512,0.0427732548671,-8.35831847284
Weight_2_BC_N,Y,11,7,7,0.355519179293,0.435437524713,0.209043295995,-28.1522617713
CW_7_CB_N,Y,18,4,3,0.639956563761,0.164421267227,0.195622169012,-20.150393869
Bal_3_BB_N,Y,1,22,2,0.035628290232,0.921598555542,0.0427731542263,-11.4345067494
CW_4_BC_N,Y,17,1,7,0.626123246564,0.161190752202,0.212686001234,-20.6202722459
CD_4_CB_N,Y,10,6,9,0.377854844773,0.167082488574,0.455062666654,-27.5539387917
Dist_4_CC_N,Y,16,8,1,0.484049263283,0.176850455758,0.339100280958,-26.5501631921
Bal_5_CC_N,Y,5,16,4,0.230746046629,0.545234578743,0.224019374628,-23.0209051556
CD_5_CC_N,Y,16,4,5,0.505021729135,0.139415854179,0.355562416686,-23.9819097385
CD_2_CC_N,Y,12,1,12,0.394313108341,0.124403802491,0.481283089167,-22.0271381296
CB_7_BB_N,Y,19,1,5,0.56801605934,0.178216373368,0.253767567292,-19.3279456441
Bal_1_CC_N,Y,4,20,1,0.190764841387,0.62017999499,0.189055163623,-17.8474822326
CW_5_CC_N,Y,16,5,4,0.693730923582,0.114750468474,0.191518607944,-23.2867957495
