Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.528371239881,0.377184656332,0.0944441037871,-18.6818872009
Dist_Mixed_0,Y,18,6,1,0.526407852425,0.371294196323,0.102297951252,-19.7746505983
Dist_Mixed_3,Y,21,2,2,0.569604395455,0.251522040265,0.17887356428,-18.0216786968
Dist_Mixed_2,Y,19,6,0,0.453759356596,0.453760110618,0.0924805327861,-19.7546968551
Dist_Mixed_5,Y,17,8,0,0.373257087712,0.414490545887,0.2122523664,-23.7989344157
Dist_Mixed_4,Y,22,2,1,0.67759522472,0.222070022979,0.100334752301,-13.8712822428
Dist_Mixed_7,Y,24,1,0,0.844490530058,0.10229808519,0.0532113847518,-6.33638647894
Dist_Mixed_6,Y,17,6,2,0.432161122286,0.483212246961,0.0846266307535,-23.5650737424
CD_Mixed_6,Y,5,4,16,0.465252313523,0.11558999786,0.419157688617,-26.3688298103
Bal_Pure_1,Y,0,24,1,0.0316124311446,0.921067373331,0.0473201955245,-5.02414834074
Bal_Pure_0,Y,0,25,0,0.029648914711,0.950519549359,0.01983153593,-1.26866374544
CB_Pure_8,Y,10,6,9,0.580923172732,0.17780749175,0.241269335518,-28.5902631154
CB_Pure_9,Y,22,2,1,0.566322283421,0.176037928786,0.257639787793,-17.3393275112
CB_Pure_0,Y,18,4,3,0.594611021387,0.147943094683,0.25744588393,-21.0718085097
CB_Pure_1,Y,11,11,3,0.597099721143,0.192739690284,0.210160588573,-28.4625948762
CB_Pure_2,Y,17,4,4,0.585900572243,0.162875293217,0.251224134541,-21.8730088488
CB_Pure_3,Y,23,2,0,0.608298870043,0.149187444561,0.242513685396,-15.2381494631
CB_Pure_4,Y,18,5,2,0.599588420899,0.15540919395,0.245002385152,-21.3286559024
CB_Pure_5,Y,17,6,2,0.585900572243,0.176563141872,0.237536285885,-22.3676180902
CB_Pure_6,Y,13,8,4,0.589633621876,0.164119643094,0.246246735029,-26.9302626126
CB_Pure_7,Y,20,1,4,0.594611021387,0.167852692728,0.237536285885,-17.931364707
CW_Mixed_9,Y,24,1,0,0.597099721143,0.15540919395,0.247491084907,-14.2378010984
CW_Mixed_8,Y,25,0,0,0.725267758557,0.157897893705,0.116834347738,-8.03035925406
CW_Mixed_1,Y,23,1,1,0.75762085538,0.13798829566,0.10439084896,-10.6243604857
CW_Mixed_0,Y,24,1,0,0.960449885462,0.0272411565358,0.0123089580021,-4.57150970783
CW_Mixed_3,Y,22,1,2,0.694159011612,0.162875293217,0.142965695172,-13.736264456
CW_Mixed_2,Y,24,1,0,0.833526197926,0.109368248471,0.0571055536031,-6.58319816992
CW_Mixed_5,Y,24,1,0,0.831562721178,0.0907030052645,0.0777342735578,-6.82693003225
CW_Mixed_4,Y,19,3,3,0.678645101488,0.160386593461,0.160968305051,-18.3356302556
