Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.322927683107,0.174462239922,0.502610076971,-28.1443496772
CW_6_CB_N,Y,12,8,5,0.623893706865,0.178001400574,0.198104892561,-27.5638072236
Dist_3_BC_N,Y,16,5,4,0.3508269974,0.330028836502,0.319144166098,-26.8707186036
Weight_2_CC_N,Y,9,12,4,0.415079790457,0.361056552574,0.223863656969,-26.1250810775
CD_3_BB_N,Y,7,3,15,0.396813070244,0.130522196394,0.472664733363,-23.8191999547
CB_7_CB_N,Y,14,2,9,0.610787569799,0.170341392483,0.218871037718,-24.115439444
CW_1_CB_N,Y,17,4,4,0.685448562467,0.147943094683,0.16660834285,-21.23273912
CW_5_BB_N,Y,14,4,7,0.659317215033,0.151676144316,0.18900664065,-25.0375495741
Bal_2_BB_N,Y,1,23,1,0.0375028217042,0.940702160657,0.021795017639,-8.51537315973
Weight_2_BC_N,Y,11,7,7,0.377111193164,0.448305917871,0.174582888965,-28.5608126049
CW_7_CB_N,Y,18,4,3,0.640264154179,0.165557896835,0.194177948986,-20.1364181385
Bal_3_BB_N,Y,1,22,2,0.023758484466,0.954446483013,0.021795032521,-12.4176834944
CW_4_BC_N,Y,17,1,7,0.612500664023,0.190638793294,0.196860542683,-21.3676820102
CD_4_CB_N,Y,10,6,9,0.382639497695,0.158867472549,0.458493029755,-27.6630212124
Dist_4_CC_N,Y,16,8,1,0.503016192472,0.19805602625,0.298927781278,-25.1553225703
Bal_5_CC_N,Y,5,16,4,0.270025306058,0.496924136879,0.233050557063,-23.5612839607
CD_5_CC_N,Y,16,4,5,0.521278100651,0.143717070935,0.335004828414,-23.6512320148
CD_2_CC_N,Y,12,1,12,0.382840984145,0.142747432563,0.474411583292,-22.4164653269
CB_7_BB_N,Y,19,1,5,0.580923172732,0.16660834285,0.252468484418,-18.9940522448
Bal_1_CC_N,Y,4,20,1,0.211395839131,0.572449279088,0.216154881781,-18.9044744949
