Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.637715144391,0.297981902522,0.0643029530875,-15.8234524216
Dist_Mixed_0,Y,18,6,1,0.558623807659,0.333932510127,0.107443682214,-19.2927087973
Dist_Mixed_3,Y,21,2,2,0.648500326673,0.190130079706,0.161369593622,-16.063157688
Dist_Mixed_2,Y,19,6,0,0.49211518359,0.405833725337,0.102051091073,-18.8826775418
Dist_Mixed_5,Y,17,8,0,0.466949758266,0.333932510127,0.199117731607,-21.7206023642
Dist_Mixed_4,Y,22,2,1,0.761744740629,0.143394289819,0.0948609695519,-12.2268201211
Dist_Mixed_7,Y,24,1,0,0.862406441924,0.0822782568901,0.0553153011862,-6.05033501773
Dist_Mixed_6,Y,17,6,2,0.504697896252,0.404036194957,0.0912659087914,-21.8499801162
CD_Mixed_6,Y,5,4,16,0.48073433854,0.0902853621639,0.428980299296,-26.8228306328
Bal_Pure_1,Y,0,24,1,0.0535177708059,0.90554717105,0.0409350581441,-5.5769502339
Bal_Pure_0,Y,0,25,0,0.0373399973836,0.925320005233,0.0373399973836,-1.94039124235
CB_Pure_8,Y,10,6,9,0.633805991821,0.148959388669,0.21723461951,-29.7256090189
CB_Pure_9,Y,22,2,1,0.604943790079,0.182030203607,0.213026006314,-16.011140482
CB_Pure_0,Y,18,4,3,0.585799970136,0.178829802162,0.235370227703,-20.8510538283
CB_Pure_1,Y,11,11,3,0.610336381219,0.158560593006,0.231103025775,-30.0836734807
CB_Pure_2,Y,17,4,4,0.595401174473,0.17242899927,0.232169826257,-21.6870611472
CB_Pure_3,Y,23,2,0,0.585799970136,0.190564607463,0.223635422402,-15.6153965883
CB_Pure_4,Y,18,5,2,0.5996683764,0.17242899927,0.227902624329,-20.9513349696
CB_Pure_5,Y,17,6,2,0.591133972545,0.186297405535,0.22256862192,-22.0246193794
CB_Pure_6,Y,13,8,4,0.598601575918,0.183097004089,0.218301419992,-26.340495221
CB_Pure_7,Y,20,1,4,0.593267573509,0.169228597825,0.237503828666,-17.9689862014
CW_Mixed_9,Y,24,1,0,0.619937585556,0.17242899927,0.207633415173,-13.2330451129
CW_Mixed_8,Y,25,0,0,0.765022451095,0.137224583368,0.0977529655372,-6.69625244373
CW_Mixed_1,Y,23,1,1,0.775690455914,0.128690179512,0.0956193645734,-10.2397673078
CW_Mixed_0,Y,24,1,0,0.93037652579,0.0358785375869,0.0337449366231,-5.059597801
CW_Mixed_3,Y,22,1,2,0.712749227482,0.15536019156,0.131890580958,-13.363338277
CW_Mixed_2,Y,24,1,0,0.869568898322,0.0753501554172,0.0550809462611,-5.93979431485
CW_Mixed_5,Y,24,1,0,0.880236903141,0.0721497539715,0.0476133428878,-5.69055219474
CW_Mixed_4,Y,19,3,3,0.710557037787,0.135090982404,0.154351979809,-18.103394525
CW_Mixed_7,Y,25,0,0,0.792759263625,0.131890580958,0.0753501554172,-5.80589200505
CW_Mixed_6,Y,19,2,4,0.826896879046,0.108420970356,0.0646821505982,-19.0079778968
Weight_Mixed_3,Y,23,0,2,0.609269580737,0.164961395897,0.225769023365,-14.3728579476
Weight_Mixed_2,Y,24,1,0,0.802360467962,0.121222576139,0.0764169558991,-7.39486240998
Weight_Mixed_1,Y,24,1,0,0.655142001459,0.147892588187,0.196965410354,-12.0609475215
Weight_Mixed_0,Y,19,3,3,0.640206794713,0.180963403126,0.178829802162,-18.7656603602
Weight_Mixed_7,Y,24,0,1,0.720216830855,0.154293391078,0.125489778067,-9.95240197365
Weight_Mixed_6,Y,21,3,1,0.613536782665,0.170295398307,0.216167819028,-17.1011786562
Weight_Mixed_5,Y,25,0,0,0.932510126754,0.0337449366231,0.0337449366231,-1.74688169334
Weight_Mixed_4,Y,22,2,1,0.651941600014,0.171362198788,0.176696201198,-14.6728814956
CD_Mixed_10,Y,14,2,9,0.364453086013,0.158560593006,0.476986320982,-24.4766483386
CD_Mixed_11,Y,5,4,16,0.32924867011,0.156426992042,0.514324337848,-23.6137926977
CD_Mixed_12,Y,17,4,4,0.534191540098,0.0604149486706,0.405393511232,-25.4966768994
CD_Mixed_13,Y,10,3,12,0.535141163117,0.056147746743,0.40871109014,-25.6285143329
CD_Mixed_14,Y,7,7,11,0.488201941913,0.0913521626458,0.420445895441,-31.301250484
CD_Mixed_15,Y,7,2,16,0.323914667701,0.151487648947,0.524597683352,-21.9874065905
Weight_Pure_1,Y,23,2,0,0.708482025554,0.158560593006,0.13295738144,-11.6097405044
Weight_Pure_0,Y,21,4,0,0.703148023145,0.15002618915,0.146825787705,-14.9837264752
Weight_Pure_3,Y,23,2,0,0.692480018326,0.168161797343,0.139358184331,-12.0176029693
Weight_Pure_2,Y,23,1,1,0.678611612061,0.174562600234,0.146825787705,-12.5812256185
Weight_Pure_5,Y,23,2,0,0.697814020735,0.156426992042,0.145758987223,-11.9857928909
Weight_Pure_4,Y,21,3,1,0.709548826036,0.166028196379,0.124422977585,-14.6765066621
Weight_Pure_7,Y,24,1,0,0.664743205796,0.185230605053,0.15002618915,-11.4866609868
Weight_Pure_6,Y,22,3,0,0.752892986479,0.134024181922,0.113082831599,-12.2735130049
CB_Pure_12,Y,21,2,2,0.591133972545,0.179896602644,0.228969424811,-17.4190442335
CB_Pure_13,Y,19,2,4,0.597534775437,0.171362198788,0.231103025775,-19.1714314681
CB_Pure_10,Y,19,3,3,0.609269580737,0.161760994451,0.228969424811,-19.3018010397
CB_Pure_11,Y,14,5,6,0.586866770618,0.186297405535,0.226835823847,-24.7646315564
CB_Pure_14,Y,12,4,9,0.600340517567,0.183827733988,0.215831748445,-26.6974288735
CB_Pure_15,Y,15,5,5,0.590067172063,0.17242899927,0.237503828666,-23.8894897672
CD_Mixed_2,Y,9,2,14,0.280175847943,0.179896602644,0.539927549414,-23.5102710734
CD_Mixed_3,Y,21,1,3,0.505270749624,0.0764169558991,0.418312294477,-19.5220096656
CD_Mixed_0,Y,9,2,14,0.276975446497,0.17776300168,0.545261551823,-23.4999015217
CW_Pure_8,Y,24,0,1,0.834364482419,0.0913521626458,0.0742833549353,-6.94590700498
CD_Pure_14,Y,5,6,14,0.275908646015,0.183097004089,0.540994349896,-25.2257126574
CD_Pure_15,Y,7,3,15,0.302578658062,0.166028196379,0.531393145559,-23.2384881713
CD_Pure_10,Y,13,4,8,0.344183876857,0.15002618915,0.505789933993,-26.9063824947
CD_Pure_11,Y,12,4,9,0.365183815911,0.142558585777,0.492257598312,-26.2590404365
CD_Pure_12,Y,9,4,12,0.260973439268,0.188431006499,0.550595554233,-25.9271803168
CD_Pure_13,Y,10,6,9,0.520205956371,0.0742833549353,0.405510688694,-30.2579874418
CD_Mixed_4,Y,12,2,11,0.510604752033,0.0764169558991,0.412978292067,-22.9369776914
CD_Pure_5,Y,5,5,15,0.302578658062,0.160694193969,0.536727147968,-24.452311995
CW_Pure_13,Y,25,0,0,0.829030480009,0.11055457132,0.0604149486706,-4.68745893305
CW_Pure_12,Y,23,2,0,0.872769299767,0.0732165544534,0.0540141457792,-8.35859990821
CW_Pure_11,Y,25,0,0,0.787425261215,0.12762337903,0.0849513597544,-5.97467047949
CW_Pure_10,Y,22,2,1,0.838631684346,0.0966861650553,0.0646821505982,-11.2824804857
CW_Pure_15,Y,24,1,0,0.75648804724,0.141491785295,0.102020167465,-8.65315872102
CW_Pure_14,Y,22,2,1,0.671144008688,0.175629400716,0.153226590596,-14.1275698669
Dist_Pure_7,Y,24,0,1,0.722199072263,0.168559715143,0.109241212594,-10.0251037959
Dist_Pure_6,Y,17,6,2,0.387858421535,0.38066828049,0.231473297975,-24.8224964204
Dist_Pure_5,Y,20,4,1,0.546041094998,0.22068809617,0.233270808832,-19.6007956563
Dist_Pure_4,Y,23,1,1,0.766406601871,0.146258620681,0.0873347774474,-10.4793614574
Dist_Pure_3,Y,18,5,2,0.488520122829,0.344717692408,0.166762184762,-21.8022635231
Dist_Pure_2,Y,16,8,1,0.373478178493,0.466949758266,0.159572063241,-23.6858597485
Dist_Pure_1,Y,25,0,0,0.90554717105,0.0571128315665,0.0373399973836,-2.48039772724
Dist_Pure_0,Y,19,5,1,0.420213968379,0.454367045604,0.125418986016,-22.4931786733
CD_Pure_7,Y,4,7,14,0.270574643605,0.184163804571,0.545261551823,-25.5631924438
CB_Mixed_4,Y,14,6,5,0.584733169654,0.168161797343,0.247105033004,-25.199076276
CB_Mixed_5,Y,13,5,7,0.597534775437,0.173495799752,0.228969424811,-25.7714333861
CB_Mixed_6,Y,21,2,2,0.600735176882,0.160694193969,0.238570629148,-17.2243066795
CB_Mixed_7,Y,13,6,6,0.58259956869,0.180963403126,0.236437028185,-25.9325202698
CB_Mixed_0,Y,14,5,6,0.604549130764,0.168161797343,0.227289071893,-24.8491519018
CB_Mixed_1,Y,19,6,0,0.600735176882,0.187364206017,0.211900617101,-19.7306260846
CB_Mixed_2,Y,23,2,0,0.586866770618,0.175629400716,0.237503828666,-15.7367797479
CB_Mixed_3,Y,12,4,9,0.597534775437,0.175629400716,0.226835823847,-26.4885891658
Bal_Pure_5,Y,1,24,0,0.112836273355,0.795897817854,0.0912659087914,-7.66064472111
Bal_Pure_4,Y,0,23,2,0.0373399973836,0.927117535613,0.0355424670033,-8.41457747925
Bal_Pure_7,Y,3,22,0,0.120026394876,0.774327453291,0.105646151834,-11.9868602383
Bal_Pure_6,Y,1,22,2,0.0822782568901,0.851621259642,0.0661004834678,-11.4643012377
CB_Mixed_8,Y,17,3,5,0.600735176882,0.162827794933,0.236437028185,-21.3187715323
CB_Mixed_9,Y,10,6,9,0.395048543056,0.253043643015,0.351907813929,-26.9321003661
Bal_Pure_3,Y,1,24,0,0.0337449366231,0.923522474853,0.0427325885244,-5.29836833177
Bal_Pure_2,Y,2,21,2,0.0373399973836,0.918129883712,0.0445301189046,-14.5923040705
CW_Pure_3,Y,20,4,1,0.729818035192,0.15002618915,0.120155775657,-16.0059487262
CW_Pure_2,Y,25,0,0,0.845032487238,0.0988197660191,0.056147746743,-4.20950514822
CD_Mixed_8,Y,9,4,12,0.308979460954,0.158560593006,0.53245994604,-25.4997693723
CD_Mixed_9,Y,10,2,13,0.532730080301,0.0625485496344,0.404721370064,-23.6002619589
CW_Pure_7,Y,24,1,0,0.805560869408,0.11588857373,0.078550556863,-7.34432240847
CW_Pure_6,Y,24,0,1,0.807694470371,0.118022174693,0.0742833549353,-7.72558252223
CW_Pure_5,Y,23,2,0,0.73941923953,0.154293391078,0.106287369392,-10.6812735885
CW_Pure_4,Y,23,2,0,0.728751234711,0.145758987223,0.125489778067,-11.1293270693
CD_Pure_2,Y,7,7,11,0.34631747782,0.159627393488,0.494055128692,-28.0233761891
CD_Pure_3,Y,2,1,22,0.296572514486,0.15536019156,0.548067293954,-17.5227944943
CW_Pure_9,Y,24,0,1,0.754354446276,0.137224583368,0.108420970356,-8.98716415997
CD_Pure_1,Y,21,3,1,0.537274764081,0.0572145472249,0.405510688694,-22.5316079768
CD_Pure_6,Y,7,11,7,0.38657841428,0.145758987223,0.467662598497,-33.1568098761
CD_Mixed_7,Y,7,2,16,0.300167575246,0.176696201198,0.523136223556,-22.2571615601
CD_Pure_4,Y,15,7,3,0.548337428215,0.0486801433697,0.402982428415,-32.896941969
CD_Mixed_5,Y,10,1,14,0.297244655653,0.163894595415,0.538860748932,-22.5967022886
CD_Pure_0,Y,14,4,7,0.454064326493,0.107354169874,0.438581503633,-25.7491845909
CD_Mixed_1,Y,8,3,14,0.308979460954,0.167094996861,0.523925542185,-23.8131019416
CD_Pure_8,Y,14,4,7,0.525203888197,0.0657489510801,0.409047160723,-26.1606822666
CD_Pure_9,Y,3,6,16,0.381521893723,0.137224583368,0.481253522909,-26.5093566974
CW_Pure_1,Y,25,0,0,0.906906915188,0.0518805448154,0.0412125399964,-2.44288658685
CB_Mixed_14,Y,16,3,6,0.584733169654,0.17776300168,0.237503828666,-22.3929359078
CB_Mixed_15,Y,18,4,3,0.586808181886,0.178829802162,0.234362015952,-20.8329790652
CB_Mixed_12,Y,14,6,5,0.58259956869,0.188431006499,0.228969424811,-24.9485465633
CB_Mixed_13,Y,18,3,4,0.593267573509,0.190564607463,0.216167819028,-20.4980686275
CB_Mixed_10,Y,19,3,3,0.587933571099,0.168161797343,0.243904631558,-19.6731049279
CB_Mixed_11,Y,18,3,4,0.593267573509,0.160694193969,0.246038232522,-20.4918054731
CW_Mixed_15,Y,25,0,0,0.804494068926,0.121222576139,0.0742833549353,-5.43854212376
CW_Mixed_14,Y,22,2,1,0.929309725308,0.0358785375869,0.034811737105,-11.6259230621
