Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.349138681755,0.160752782701,0.490108535544,-28.3447858842
CW_6_CB_N,Y,12,8,5,0.656033035747,0.163953184146,0.180013780106,-28.0975337931
Dist_3_BC_N,Y,16,5,4,0.427228479894,0.311498522594,0.261272997512,-24.8075424557
Weight_2_CC_N,Y,9,12,4,0.443335695547,0.354580331092,0.202083973362,-26.1589842534
CD_3_BB_N,Y,7,3,15,0.400724302397,0.140424984813,0.458850712789,-23.9760723338
CB_7_CB_N,Y,14,2,9,0.601071247466,0.152159790114,0.24676896242,-23.4859581592
CW_1_CB_N,Y,17,4,4,0.698880821217,0.157493792524,0.143625386259,-21.2463402044
CW_5_BB_N,Y,14,4,7,0.64980799905,0.166028196379,0.184163804571,-25.0609951568
Bal_2_BB_N,Y,1,23,1,0.0409350581441,0.918129883712,0.0409350581441,-8.35611432694
Weight_2_BC_N,Y,11,7,7,0.373787403936,0.452099907297,0.174112688767,-28.6180813982
CW_7_CB_N,Y,18,4,3,0.644020748594,0.163558524832,0.192420726574,-20.1069887023
Bal_3_BB_N,Y,1,22,2,0.0373399973836,0.923522474853,0.0391375277638,-11.5193603236
CW_4_BC_N,Y,17,1,7,0.652277670597,0.167094996861,0.180627332542,-21.0322717837
CD_4_CB_N,Y,10,6,9,0.350529349502,0.161659278793,0.487811371705,-27.877132986
Dist_4_CC_N,Y,16,8,1,0.47072058522,0.216491686293,0.312787728487,-25.4597051376
Bal_5_CC_N,Y,5,16,4,0.243896272426,0.54394935194,0.212154375634,-22.999211847
CD_5_CC_N,Y,16,4,5,0.476328810997,0.166219424377,0.357451764626,-24.1879105111
CD_2_CC_N,Y,12,1,12,0.350896343694,0.136669619663,0.512434036643,-22.5803612187
CB_7_BB_N,Y,19,1,5,0.598601575918,0.166028196379,0.235370227703,-18.7785974518
Bal_1_CC_N,Y,4,20,1,0.212607389399,0.579388688946,0.208003921654,-18.6790648879
CW_5_CC_N,Y,16,5,4,0.639738084862,0.151487648947,0.20877426619,-22.8494054801
Weight_5_BC_N,Y,10,10,5,0.343917380911,0.428614522517,0.227468096572,-26.5492377776
CD_3_CB_N,Y,17,0,8,0.517613421012,0.159087891587,0.323298687401,-20.22838155
CW_2_CC_N,Y,15,3,7,0.630398900574,0.141667551489,0.227933547937,-23.1347617681
CB_1_BC_N,Y,10,4,11,0.564827696204,0.158283111153,0.276889192642,-27.211342268
CD_4_CC_N,Y,7,7,11,0.361329993588,0.164859680239,0.473810326174,-27.9607996519
CD_4_BC_N,Y,14,8,3,0.325070980522,0.165531821406,0.509397198072,-32.1442803415
CD_1_CC_N,Y,8,9,8,0.414774991826,0.170838158692,0.414386849482,-29.9911428319
Weight_4_BC_N,Y,17,6,2,0.422363421615,0.448227716106,0.129408862279,-23.5563956057
CW_7_BC_N,Y,18,1,6,0.63116055408,0.15002618915,0.21881325677,-19.2976752252
CW_1_BB_N,Y,20,0,5,0.671144008688,0.169228597825,0.159627393488,-17.149995792
Weight_3_CB_N,Y,12,9,4,0.419428240133,0.44680934419,0.133762415678,-25.723723904
CW_6_BB_N,Y,16,7,2,0.637006393267,0.169228597825,0.193765008908,-22.9333614853
CW_6_CC_N,Y,12,10,3,0.627053656542,0.170690057621,0.202256285836,-28.0743958729
CB_7_CC_N,Y,13,5,7,0.598425809725,0.148623318085,0.25295087219,-25.8285065203
Weight_3_CC_N,Y,8,13,4,0.404973927032,0.353396450764,0.241629622204,-26.4349994905
Dist_3_CB_N,Y,13,9,3,0.470998145166,0.295832605473,0.233169249361,-25.1173402507
Bal_2_CB_N,Y,5,10,10,0.304003859323,0.467664264948,0.228331875729,-28.3231717743
CD_4_BB_N,Y,5,8,12,0.326048268664,0.159627393488,0.514324337848,-28.2616674489
Weight_1_BC_N,Y,12,12,1,0.349602173818,0.490680881308,0.159716944874,-22.9894007161
Bal_3_BC_N,Y,8,14,3,0.13013943599,0.650458161443,0.219402402567,-26.884830101
Dist_2_BC_N,Y,21,4,0,0.821602745078,0.08682294067,0.0915743142519,-13.9020014592
CW_5_BC_N,Y,17,2,6,0.590708389622,0.162608901812,0.246682708566,-20.9800863991
CB_6_BB_N,Y,17,3,5,0.610336381219,0.173495799752,0.216167819028,-21.3069723276
CD_5_BC_N,Y,14,6,5,0.498950514238,0.171787781711,0.32926170405,-25.8569613164
CB_3_BB_N,Y,15,8,2,0.592200773027,0.179896602644,0.227902624329,-24.5393012078
CW_4_BB_N,Y,20,0,5,0.654075200977,0.170295398307,0.175629400716,-17.1875548674
CD_5_CB_N,Y,11,6,8,0.537327666463,0.159423962171,0.303248371366,-27.3953730941
CB_5_CB_N,Y,14,5,6,0.611958145406,0.169228597825,0.21881325677,-24.8750233129
CB_2_BC_N,Y,13,7,5,0.578332366762,0.156426992042,0.265240641196,-26.7406352074
CB_5_CC_N,Y,11,7,7,0.593134934242,0.166817515009,0.240047550749,-28.2700782182
CW_3_CC_N,Y,9,4,12,0.504173856155,0.217296466727,0.278529677118,-27.608245643
CW_2_BC_N,Y,13,3,9,0.659174848462,0.156090921458,0.18473423008,-26.1894474884
CW_2_CB_N,Y,17,2,6,0.680217914443,0.131277028522,0.188505057034,-20.6234887878
Weight_5_CC_N,Y,11,13,1,0.355374138181,0.414293375815,0.230332486005,-24.3040088434
CD_7_BB_N,Y,8,0,17,0.264173840714,0.167094996861,0.568731162425,-20.2430895546
Weight_5_BB_N,Y,18,6,1,0.64447399664,0.168161797343,0.187364206017,-20.2794475039
CD_6_BC_N,Y,8,9,8,0.39168132025,0.155594546485,0.452724133265,-30.582747803
Dist_3_BB_N,Y,12,12,1,0.418416437999,0.384263360774,0.197320201227,-23.5553899472
CB_5_BC_N,Y,13,7,5,0.566144313415,0.156426992042,0.277428694543,-26.7928992672
Dist_5_BC_N,Y,12,4,9,0.402516185476,0.225611879844,0.37187193468,-25.7788477646
Bal_4_BC_N,Y,8,11,6,0.121035387562,0.639554552201,0.239410060237,-30.3876602484
CB_6_CC_N,Y,17,1,7,0.588926321046,0.164625325314,0.246448353641,-20.6090242368
Bal_5_BC_N,Y,3,21,1,0.194002700412,0.601982785635,0.204014513953,-17.1672687588
CW_7_BB_N,Y,17,3,5,0.640206794713,0.176696201198,0.183097004089,-21.2700547908
Dist_1_BC_N,Y,13,10,2,0.505413164346,0.258756842935,0.235829992719,-25.2788805739
Weight_2_CB_N,Y,9,13,3,0.417557049685,0.481137953327,0.101304996988,-24.2396816853
Bal_1_BC_N,Y,4,18,3,0.0893514742762,0.7398222775,0.170826248224,-20.386250313
Dist_2_BB_N,Y,22,3,0,0.864203972304,0.0804807265099,0.0553153011862,-10.7700347341
CW_3_CB_N,Y,10,6,9,0.487542834687,0.258698254204,0.253758911109,-27.6386645769
CW_4_CC_N,Y,16,6,3,0.633673352555,0.154410568541,0.211916078905,-23.1630827642
CD_2_BB_N,Y,9,0,16,0.300445057099,0.17242899927,0.527125943631,-21.0674658483
Bal_1_BB_N,Y,0,24,1,0.0409350581441,0.916332353332,0.0427325885244,-5.24982102776
Bal_2_CC_N,Y,4,16,5,0.374838117865,0.303124247418,0.322037634717,-28.6882784396
Dist_3_CC_N,Y,11,9,5,0.467563388796,0.232860492479,0.299576118725,-27.5051992832
CW_3_BC_N,Y,11,5,9,0.515193393362,0.224705481369,0.260101125269,-26.8803287567
CB_2_CB_N,Y,14,5,6,0.600223340105,0.153957320494,0.245819339401,-24.9206981396
Weight_1_CC_N,Y,10,13,2,0.362579604365,0.490563547658,0.146856847977,-23.2403121545
CB_1_BB_N,Y,18,0,7,0.593267573509,0.190564607463,0.216167819028,-20.1198773412
Weight_3_BC_N,Y,6,13,6,0.361731794621,0.411253239712,0.227014965667,-26.5486487471
CB_3_BC_N,Y,9,12,4,0.548138086004,0.165531821406,0.28633009259,-31.9965941729
Dist_1_CB_N,Y,10,11,4,0.536994854365,0.281730078564,0.181275067071,-26.983490623
CD_7_CB_N,Y,13,5,7,0.317517123294,0.18277639531,0.499706481396,-28.2675054111
CB_6_BC_N,Y,13,5,7,0.589555335286,0.148959388669,0.261485276046,-25.7790760051
Weight_4_CB_N,Y,17,6,2,0.450510316217,0.476374571661,0.0731151121226,-23.2361084627
CD_5_BB_N,Y,11,3,11,0.387922696615,0.142558585777,0.469518717608,-24.5769661028
CB_4_CC_N,Y,18,2,5,0.57632814658,0.148345836233,0.275326017187,-20.1848203003
Bal_4_CC_N,Y,4,8,13,0.263668930898,0.44524585636,0.291085212742,-27.8490833112
CD_7_BC_N,Y,10,5,10,0.29588817,0.17969307371,0.52441875629,-27.2149097547
CW_2_BB_N,Y,18,3,4,0.678611612061,0.176696201198,0.144692186741,-19.9112704375
CD_6_BB_N,Y,4,7,14,0.330315470592,0.161760994451,0.507923534957,-26.6662171736
Bal_4_BB_N,Y,0,23,2,0.0463276492849,0.90554717105,0.0481251796651,-8.34986541522
Dist_5_BB_N,Y,9,15,1,0.414821377239,0.380668300014,0.204510322748,-23.9937055364
Weight_5_CB_N,Y,10,11,4,0.397565459045,0.472150262379,0.130284278576,-25.6311405541
CD_1_BB_N,Y,9,6,10,0.280175847943,0.171362198788,0.548461953269,-28.0412693142
CB_4_BB_N,Y,14,4,7,0.60500237881,0.169228597825,0.225769023365,-24.5590395193
CB_5_BB_N,Y,15,4,6,0.595401174473,0.168161797343,0.236437028185,-23.5615528345
CD_2_CB_N,Y,14,1,10,0.380313509141,0.147396213213,0.472290277646,-22.9508766572
CB_1_CB_N,Y,9,5,11,0.608976637081,0.176754789929,0.21426857299,-30.0745131511
CB_6_CB_N,Y,14,3,8,0.602138047948,0.182760933506,0.215101018546,-24.4936687455
Dist_1_BB_N,Y,12,11,2,0.519078139294,0.362692996211,0.118228864495,-23.2948601769
Dist_4_BB_N,Y,17,8,0,0.515483078533,0.260233764536,0.224283156931,-22.0344632843
Bal_5_BB_N,Y,0,25,0,0.197320201227,0.657487978574,0.145191820199,-10.4832199659
Dist_4_BC_N,Y,16,4,5,0.438525342765,0.215717829467,0.345756827767,-24.6346368801
CB_3_CC_N,Y,9,7,9,0.553018840368,0.18653176046,0.260449399172,-29.1934653122
CW_6_BC_N,Y,15,7,3,0.634872792303,0.174562600234,0.190564607463,-24.0065544215
Bal_3_CB_N,Y,12,9,4,0.21418557762,0.615851836171,0.169962586208,-29.9423970751
Dist_2_CB_N,Y,20,4,1,0.837854569036,0.0854786583358,0.0766667726283,-15.9444558311
Dist_2_CC_N,Y,21,4,0,0.774413707145,0.11001506942,0.115571223435,-14.1971816109
Bal_3_CC_N,Y,9,10,6,0.268271793418,0.464187143062,0.26754106352,-27.4273600412
CD_2_BC_N,Y,13,4,8,0.339583862831,0.162112526839,0.49830361033,-26.8906705964
CD_3_BC_N,Y,16,3,6,0.54771818943,0.125169169287,0.327112641283,-22.5708815337
CB_2_CC_N,Y,17,5,3,0.593033218584,0.155024120976,0.25194266044,-22.3391167237
CB_2_BB_N,Y,15,6,4,0.580465967726,0.170295398307,0.249238633967,-24.3375637455
CW_1_CC_N,Y,15,1,9,0.664567439603,0.122289376621,0.213143183776,-22.1427688877
