Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.236016670349,0.467766817552,0.296216512099,-23.253012066
Uncentered_CD_2_0_0.5,Y,6,3,15,0.101753887062,0.226603778804,0.671642334134,-24.1352860984
Uncentered_CW_1_0_2.0,Y,14,9,1,0.65136756539,0.314105412332,0.0345270222782,-19.7897892927
Centered_CD_2_0_1.0,Y,8,4,12,0.319099529474,0.235140523538,0.445759946988,-24.6240021339
Uncentered_D_1_0_0.25,Y,14,3,7,0.71759824935,0.188711078783,0.0936906718671,-26.2227465965
Uncentered_W_1_0_0.25,Y,14,8,2,0.618367702219,0.166163869028,0.215468428753,-24.1575364375
Centered_CW_2_0_0.25,Y,19,2,3,0.812498622253,0.117760283439,0.0697410943079,-16.2122852229
Centered_CW_4_0_1.0,Y,24,0,0,0.930945955444,0.0345270222782,0.0345270222782,-1.71729728153
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0907476814314,0.447492048808,0.461760269761,-28.5265133081
Uncentered_W_0_0_2.0,Y,16,3,5,0.272891399023,0.624576810594,0.102531790384,-33.5788566765
Uncentered_D_0_0_0.5,Y,16,3,5,0.582151375761,0.25017503351,0.167673590728,-21.7418602334
Uncentered_CD_1_0_0.25,Y,5,3,16,0.157242727836,0.160444007112,0.682313265052,-20.8555162385
Centered_D_4_0_1.0,Y,20,3,1,0.929153117577,0.0363198601445,0.0345270222782,-14.7818194142
Centered_W_2_0_1.0,Y,23,0,1,0.819968273895,0.131632493633,0.0483992324717,-7.59353280981
Centered_W_4_0_1.0,Y,22,1,1,0.930945955444,0.0345270222782,0.0345270222782,-8.30621518891
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.807163156794,0.141236331459,0.0516005117472,-31.741538108
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.735667919643,0.193523892958,0.0708081873997,-29.4395980886
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.789788330345,0.139102145275,0.0711095243794,-17.2081912651
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.711124778531,0.218067034069,0.0708081873997,-30.3764458641
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.666306868675,0.166846565662,0.166846565662,-55.4898060091
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.831706297905,0.115626097256,0.052667604839,-41.5730236394
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.619354772636,0.183920055131,0.196725172233,-45.3246902017
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.714326057806,0.157242727836,0.128431214357,-35.7273231177
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0653896624631,0.690527415191,0.244082922346,-23.7236539271
Uncentered_CW_1_0_0.25,Y,16,2,6,0.850913973558,0.0974855146949,0.0516005117472,-25.024552999
Uncentered_W_3_0_0.5,Y,12,7,5,0.799693505151,0.151907262377,0.0483992324717,-31.0150729584
Centered_CD_4_0_0.5,Y,18,2,4,0.590273356015,0.0377283015536,0.371998342431,-19.9992046596
Centered_D_1_0_0.5,Y,14,9,1,0.651263272516,0.281938623612,0.0667981038722,-20.1044517753
Centered_D_4_0_0.25,Y,21,1,2,0.930945955444,0.0345270222782,0.0345270222782,-11.6006741426
Centered_CD_0_0_0.5,Y,8,11,5,0.275828315854,0.328841622127,0.395330062019,-27.1779539155
Uncentered_W_1_0_1.0,Y,9,14,1,0.31100845015,0.436036608056,0.252954941793,-23.5063677284
Uncentered_CW_1_0_0.5,Y,21,2,1,0.824236646263,0.127364121266,0.0483992324717,-11.2089312829
