Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.583136257077,0.344686931691,0.0721768112316,-17.150015073
Dist_Mixed_0,Y,18,6,1,0.538315479959,0.385921948306,0.0757625717344,-19.4404606441
Dist_Mixed_3,Y,21,2,2,0.654848924029,0.192296754515,0.152854321456,-15.9443360505
Dist_Mixed_2,Y,19,6,0,0.515008660357,0.393093154451,0.0918981851915,-18.2101116483
Dist_Mixed_5,Y,17,8,0,0.450465855338,0.376958303926,0.172575840736,-21.3620065381
Dist_Mixed_4,Y,22,2,1,0.773176223206,0.145682969991,0.0811408068028,-12.0236764234
Dist_Mixed_7,Y,24,1,0,0.868196630122,0.0847264825355,0.0470768873425,-5.8604164453
Dist_Mixed_6,Y,17,6,2,0.511422996734,0.39847159539,0.0901054078753,-21.7337547954
CD_Mixed_6,Y,5,4,16,0.47203518992,0.0964184216031,0.431546388477,-26.5558250121
Bal_Pure_1,Y,0,24,1,0.0452863019408,0.900463279447,0.0542504186123,-5.43044600602
Bal_Pure_0,Y,0,25,0,0.0363219551788,0.923770159599,0.039907885222,-1.98229958263
CB_Pure_8,Y,10,6,9,0.58093942133,0.180718775856,0.238341802814,-28.6024124249
CB_Pure_9,Y,22,2,1,0.584482048923,0.170047844938,0.245470106139,-16.7625736165
CB_Pure_0,Y,18,4,3,0.591610352248,0.17111493803,0.237274709722,-20.8256161655
CB_Pure_1,Y,11,11,3,0.605482562442,0.173249124213,0.221268313345,-29.3274339998
CB_Pure_2,Y,17,4,4,0.605482562442,0.163645286387,0.230872151171,-21.6331828003
CB_Pure_3,Y,23,2,0,0.598012910799,0.167913658754,0.234073430446,-15.3938982472
CB_Pure_4,Y,18,5,2,0.594811631524,0.174316217305,0.230872151171,-21.0173929673
CB_Pure_5,Y,17,6,2,0.59267744534,0.188188427499,0.219134127161,-21.9507962377
CB_Pure_6,Y,13,8,4,0.582006514422,0.183920055131,0.234073430446,-26.3910717162
CB_Pure_7,Y,20,1,4,0.589476166065,0.161511100203,0.249012733732,-17.9546061958
CW_Mixed_9,Y,24,1,0,0.611885120993,0.156175634744,0.231939244263,-13.6458314386
CW_Mixed_8,Y,25,0,0,0.776217457131,0.111357724888,0.11242481798,-6.33306424484
CW_Mixed_1,Y,23,1,1,0.766613619305,0.126297028174,0.107089352521,-10.4159747903
CW_Mixed_0,Y,24,1,0,0.929878862352,0.03559411537,0.0345270222782,-5.08039791789
