Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.203353041157,0.496843840253,0.299803118589,-23.1578008427
Uncentered_CD_2_0_0.5,Y,6,3,15,0.107175018681,0.223109544107,0.669715437212,-23.913565411
Uncentered_CW_1_0_2.0,Y,14,9,1,0.6654215659,0.299325759897,0.0352526742033,-19.9039021717
Centered_CD_2_0_1.0,Y,8,4,12,0.344793736327,0.217742204967,0.437464058706,-24.5373738367
Uncentered_D_1_0_0.25,Y,14,3,7,0.735638310347,0.15559859722,0.108763092433,-25.409743531
Uncentered_W_1_0_0.25,Y,14,8,2,0.607211752217,0.183427992036,0.209360255746,-23.6791501946
Centered_CW_2_0_0.25,Y,19,2,3,0.816780529651,0.109321954337,0.0738975160121,-16.0874564206
Centered_CW_4_0_1.0,Y,24,0,0,0.933788522906,0.0331057385472,0.0331057385472,-1.6441268943
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0870584384836,0.466786741068,0.446154820448,-28.8582153723
Uncentered_W_0_0_2.0,Y,16,3,5,0.257916112556,0.636063350136,0.106020537308,-34.2599178907
Uncentered_D_0_0_0.5,Y,16,3,5,0.592492259979,0.239093790417,0.168413949604,-21.5740293591
Uncentered_CD_1_0_0.25,Y,5,3,16,0.147966796146,0.159429372167,0.692603831688,-20.9390535267
Centered_D_4_0_1.0,Y,20,3,1,0.933788522906,0.0331057385472,0.0331057385472,-15.0023003117
Centered_W_2_0_1.0,Y,23,0,1,0.817853997479,0.138305585693,0.0438404168274,-7.75184237495
Centered_W_4_0_1.0,Y,22,1,1,0.933788522906,0.0331057385472,0.0331057385472,-8.32321360301
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.825368272275,0.130791310897,0.0438404168274,-32.0068830108
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.74163778169,0.185538170126,0.072824048184,-29.1725875752
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.79325250456,0.131864778725,0.074882716715,-17.0664048399
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.721241892957,0.208080994515,0.070677112528,-30.1123150837
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.661127694588,0.179097363158,0.159774942254,-55.8741907342
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.835029482727,0.112542357821,0.0524281594516,-41.5825940114
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.599940028391,0.191978977095,0.208080994515,-45.2879037819
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.707286811193,0.149040263974,0.143672924834,-35.56669012
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0846909574314,0.656569511566,0.258739531002,-23.3199409811
Uncentered_CW_1_0_0.25,Y,16,2,6,0.848984564492,0.0910730012604,0.0599424342478,-24.2978397822
Uncentered_W_3_0_0.5,Y,12,7,5,0.826441740103,0.123277036101,0.0502812237956,-31.8913759408
Centered_CD_4_0_0.5,Y,18,2,4,0.591022202171,0.0373996098593,0.37157818797,-19.9984044107
Centered_D_1_0_0.5,Y,14,9,1,0.688802821306,0.252872322185,0.0583248565092,-20.4347652972
Centered_D_4_0_0.25,Y,21,1,2,0.933788522906,0.0331057385472,0.0331057385472,-11.6627569574
Centered_CD_0_0_0.5,Y,8,11,5,0.257232470795,0.326647557536,0.416119971669,-27.5537171583
Uncentered_W_1_0_1.0,Y,9,14,1,0.335808669224,0.455934046844,0.208257283932,-22.3856040807
Uncentered_CW_1_0_0.5,Y,21,2,1,0.820000933135,0.128644375241,0.0513546916236,-11.2378517223
Centered_CW_1_0_0.25,Y,21,1,2,0.705139875537,0.157628006598,0.137232117865,-13.1562213097
Centered_CD_1_0_0.5,Y,7,6,11,0.27570946768,0.231697286731,0.492593245588,-25.5815812511
Centered_D_2_0_2.0,Y,6,14,4,0.239917298088,0.713565981014,0.0465167208981,-25.561265002
Centered_D_3_0_1.0,Y,18,3,3,0.779290169215,0.177523796566,0.0431860342188,-19.1013588315
Centered_W_0_0_0.25,Y,15,9,0,0.639658338027,0.182317766642,0.17802389533,-22.0203536741
Centered_CD_3_0_1.0,Y,16,5,3,0.830000460095,0.0889260656044,0.0810734743009,-22.618212608
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.478932714018,0.231697286731,0.28936999925,-55.7432141002
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.447052243692,0.224183011935,0.328764744373,-53.6070175162
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.454551766495,0.241358497184,0.304089736322,-52.506479821
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.419428887111,0.218815672795,0.361755440093,-51.5842715025
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.289083681968,0.241358497184,0.469557820848,-51.492266312
Uncentered_D_0_0_2.0,Y,8,14,2,0.563714177193,0.39781274512,0.0384730776873,-24.0060908349
Uncentered_D_3_0_1.0,Y,12,9,3,0.732035579209,0.216845026556,0.0511193942344,-26.4210389805
Uncentered_W_3_0_2.0,Y,8,15,1,0.61838752129,0.334750198222,0.0468622804883,-23.3212224026
Centered_W_1_0_0.25,Y,18,6,0,0.733050039065,0.154407603114,0.112542357821,-16.7987000373
Centered_CD_2_0_0.5,Y,11,3,10,0.36802770089,0.189832041439,0.442140257671,-24.1416957569
Centered_CW_1_0_1.0,Y,18,5,1,0.657907291104,0.2381380937,0.103954615197,-16.9747661533
Centered_CD_3_0_0.25,Y,15,2,7,0.542003004162,0.0610159020758,0.396981093762,-21.2475638957
Uncentered_CD_4_0_0.5,Y,9,7,8,0.511872389845,0.0889260656044,0.39920154455,-30.3130800821
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.739490846033,0.142599457006,0.117909696961,-21.4500121345
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.688309960376,0.182317766642,0.129372272982,-57.272258847
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.798531576575,0.120056632617,0.0814117908082,-24.1101597645
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.772768348702,0.135085182209,0.0921464690885,-36.9588356996
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.783503026982,0.127570907413,0.0889260656044,-31.3055509503
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.687964390288,0.173730024018,0.138305585693,-41.3328347699
Uncentered_CW_3_0_0.25,Y,17,1,6,0.641077375943,0.170509620534,0.188413003523,-19.3419639556
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.47707258531,0.207007526687,0.315919888003,-57.5596609208
Centered_CD_4_0_2.0,Y,18,5,1,0.905878359377,0.0610159020758,0.0331057385472,-19.170456813
Centered_W_2_0_0.5,Y,23,1,0,0.83932335404,0.115762761305,0.0449138846555,-6.18487492452
Centered_D_4_0_0.5,Y,23,0,1,0.930185791768,0.0367084696846,0.0331057385472,-5.07258018555
Centered_CW_0_0_2.0,Y,13,7,4,0.229447087124,0.482888758489,0.287664154387,-29.2167060308
Centered_D_2_0_0.5,Y,14,7,3,0.487050119043,0.433008522155,0.0799413588019,-23.5098063338
Centered_CD_4_0_0.25,Y,17,3,4,0.571677775693,0.0341792063752,0.394143017931,-23.3586354293
Uncentered_CD_3_0_1.0,Y,5,4,15,0.32582413909,0.25713695009,0.41703891082,-24.1582095475
Uncentered_CD_4_0_2.0,Y,15,8,1,0.634202976595,0.242431965012,0.123365058393,-20.2596740332
Centered_CW_0_0_0.5,Y,20,2,2,0.585984946626,0.245652368496,0.168362684878,-17.060168895
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0513546916236,0.15655453877,0.792090769607,-19.1721000142
Centered_W_4_0_0.5,Y,22,1,1,0.933788522906,0.0331057385472,0.0331057385472,-8.32321360301
