Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.580721244084,0.339337418108,0.0799413378077,-17.1819160872
Dist_Mixed_0,Y,18,6,1,0.523077603619,0.398782397899,0.0781399984817,-19.7297474824
Dist_Mixed_3,Y,21,2,2,0.656378230572,0.198831365621,0.144790403808,-15.9369123806
Dist_Mixed_2,Y,19,6,0,0.467235333971,0.440213674766,0.0925509912626,-19.3804924739
Dist_Mixed_5,Y,17,8,0,0.438413253936,0.386172985877,0.175413760187,-21.6298451716
Dist_Mixed_4,Y,22,2,1,0.771665621721,0.132180844827,0.0961535334523,-12.0914645892
Dist_Mixed_7,Y,24,1,0,0.881548921413,0.072735781059,0.0457152975282,-5.64671657983
Dist_Mixed_6,Y,17,6,2,0.524879011176,0.386172775936,0.0889482128882,-21.5062117977
CD_Mixed_6,Y,5,4,16,0.467860208896,0.0910730012604,0.441066789843,-26.4792475885
Bal_Pure_1,Y,0,24,1,0.0511203022332,0.892355277833,0.0565244199335,-5.60646489495
Bal_Pure_0,Y,0,25,0,0.0403121140694,0.922978403276,0.0367094826544,-2.00373607884
CB_Pure_8,Y,10,6,9,0.588131882282,0.168362684878,0.24350543284,-28.7113936214
CB_Pure_9,Y,22,2,1,0.569500601553,0.186266067867,0.24423333058,-17.1566892237
CB_Pure_0,Y,18,4,3,0.577397204002,0.158701474426,0.263901321572,-21.2455089011
CB_Pure_1,Y,11,11,3,0.595991727166,0.176950427502,0.227057845332,-29.1912070435
CB_Pure_2,Y,17,4,4,0.590278817938,0.171583088362,0.2381380937,-21.7520935655
CB_Pure_3,Y,23,2,0,0.591352285766,0.168362684878,0.240285029356,-15.6461667399
CB_Pure_4,Y,18,5,2,0.590278817938,0.188758573611,0.220962608451,-20.8448409693
CB_Pure_5,Y,17,6,2,0.587058414454,0.165142281394,0.247799304152,-22.6506855863
CB_Pure_6,Y,13,8,4,0.604233899703,0.168362684878,0.227403415419,-26.7265177801
CB_Pure_7,Y,20,1,4,0.605307367531,0.16192187791,0.232770754559,-17.6918241674
CW_Mixed_9,Y,24,1,0,0.624629788435,0.164068813566,0.211301397999,-13.1017767823
CW_Mixed_8,Y,25,0,0,0.759886734766,0.137232117865,0.102881147369,-6.86464725028
CW_Mixed_1,Y,23,1,1,0.789943833951,0.116836229133,0.0932199369165,-9.94302468372
CW_Mixed_0,Y,24,1,0,0.93164158725,0.0341792063752,0.0341792063752,-5.07550825167
CW_Mixed_3,Y,22,1,2,0.68689092246,0.16728921705,0.14581986049,-13.9015526362
CW_Mixed_2,Y,24,1,0,0.852204967976,0.0964403404005,0.0513546916236,-6.17710769627
CW_Mixed_5,Y,24,1,0,0.848984564492,0.100734211713,0.0502812237956,-6.22441236552
CW_Mixed_4,Y,19,3,3,0.721168377825,0.150113731802,0.128717890373,-18.0502527469
CW_Mixed_7,Y,25,0,0,0.783503026982,0.125423971757,0.0910730012604,-6.09950884457
CW_Mixed_6,Y,19,2,4,0.845764161008,0.0910730012604,0.0631628377318,-19.0231242372
Weight_Mixed_3,Y,23,0,2,0.624629788435,0.165142281394,0.210227930171,-13.942837205
Weight_Mixed_2,Y,24,1,0,0.810339722683,0.111468889993,0.0781913873242,-7.24125074511
Weight_Mixed_1,Y,24,1,0,0.621409384951,0.181244298814,0.197346316235,-13.1262737419
Weight_Mixed_0,Y,19,3,3,0.647172612824,0.168362684878,0.184464702298,-18.6834981919
Weight_Mixed_7,Y,24,0,1,0.743784717346,0.143672924834,0.112542357821,-9.2885130805
Weight_Mixed_6,Y,21,3,1,0.588131882282,0.174803491846,0.237064625872,-17.8185864106
Weight_Mixed_5,Y,25,0,0,0.933788522906,0.0331057385472,0.0331057385472,-1.71263218156
Weight_Mixed_4,Y,22,2,1,0.672935840696,0.169436152706,0.157628006598,-14.1123919349
CD_Mixed_10,Y,14,2,9,0.389497057451,0.138305585693,0.472197356856,-23.9103891299
CD_Mixed_11,Y,5,4,16,0.307913502521,0.16728921705,0.524797280429,-23.3576979361
CD_Mixed_12,Y,17,4,4,0.531613895969,0.0674567090439,0.400929394987,-25.1821995095
CD_Mixed_13,Y,10,3,12,0.535488682062,0.0577954985917,0.406715819346,-25.5939752418
CD_Mixed_14,Y,7,7,11,0.481815290661,0.0953668725725,0.422817836767,-31.0304814539
CD_Mixed_15,Y,7,2,16,0.34444816624,0.153334135286,0.502217698474,-22.2304987769
Weight_Pure_1,Y,23,2,0,0.724462296441,0.144746392662,0.130791310897,-11.2790320336
Weight_Pure_0,Y,21,4,0,0.705139875537,0.158701474426,0.136158650037,-14.6994623509
Weight_Pure_3,Y,23,2,0,0.711580682505,0.165142281394,0.123277036101,-11.4280245432
Weight_Pure_2,Y,23,1,1,0.669715437212,0.16192187791,0.168362684878,-12.8230307632
Weight_Pure_5,Y,23,2,0,0.689037858116,0.15655453877,0.154407603114,-12.2752601276
Weight_Pure_4,Y,21,3,1,0.734469076981,0.144400822574,0.121130100445,-14.3971322545
Weight_Pure_7,Y,24,1,0,0.67615624418,0.168362684878,0.155481070942,-11.1735811688
Weight_Pure_6,Y,22,3,0,0.711543924939,0.166215749222,0.122240325839,-12.87040473
CB_Pure_12,Y,21,2,2,0.567353665896,0.17265655619,0.259989777913,-18.1093485198
CB_Pure_13,Y,19,2,4,0.621409384951,0.160848410082,0.217742204967,-18.7918980728
CB_Pure_10,Y,19,3,3,0.595646157078,0.158701474426,0.245652368496,-19.5777659222
CB_Pure_11,Y,14,5,6,0.590278817938,0.17802389533,0.231697286731,-24.7833727517
CB_Pure_14,Y,12,4,9,0.585220291319,0.185192600039,0.229587108641,-26.4178937603
CB_Pure_15,Y,15,5,5,0.593499221422,0.174803491846,0.231697286731,-23.8578726396
CD_Mixed_2,Y,9,2,14,0.277856403336,0.179097363158,0.543046233505,-23.5133603404
CD_Mixed_3,Y,21,1,3,0.502211179393,0.0771179194961,0.420670901111,-19.6235589873
CD_Mixed_0,Y,9,2,14,0.227403415419,0.182317766642,0.590278817938,-24.1135193257
CW_Pure_8,Y,24,0,1,0.820000933135,0.106101550853,0.0738975160121,-7.36787128253
CD_Pure_14,Y,5,6,14,0.288245511529,0.157628006598,0.554126481873,-25.5698902834
CD_Pure_15,Y,7,3,15,0.296105356413,0.184464702298,0.519429941289,-23.4155211594
CD_Pure_10,Y,13,4,8,0.336897133878,0.166215749222,0.4968871169,-26.9167230901
CD_Pure_11,Y,12,4,9,0.366990990628,0.150841629542,0.482167379829,-26.1602906506
