Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.341411550586,0.150496059455,0.508092389959,-28.6249815161
CW_6_CB_N,Y,12,8,5,0.626703208959,0.18055315864,0.192743632401,-27.5331982243
Dist_3_BC_N,Y,16,5,4,0.383151710054,0.32827204245,0.288576247496,-25.8899349723
Weight_2_CC_N,Y,9,12,4,0.418657111287,0.412862383638,0.168480505075,-25.5757597662
CD_3_BB_N,Y,7,3,15,0.419554156635,0.121130100445,0.45931574292,-24.0828701307
CB_7_CB_N,Y,14,2,9,0.631070595403,0.143672924834,0.225256479763,-23.7397979969
CW_1_CB_N,Y,17,4,4,0.670406577387,0.168362684878,0.161230737735,-21.2240199156
CW_5_BB_N,Y,14,4,7,0.655760355448,0.153334135286,0.190905509267,-24.9998183772
Bal_2_BB_N,Y,1,23,1,0.0457162422669,0.913971591178,0.0403121665549,-8.36538675662
Weight_2_BC_N,Y,11,7,7,0.387651658191,0.444250211625,0.168098130185,-28.5861523207
CW_7_CB_N,Y,18,4,3,0.650356258742,0.166598076875,0.183045664383,-20.0069728117
Bal_3_BB_N,Y,1,22,2,0.0439148504554,0.915773030227,0.040312119318,-11.4834170218
CW_4_BC_N,Y,17,1,7,0.636746747065,0.155863398595,0.20738985434,-20.5443752787
CD_4_CB_N,Y,10,6,9,0.373203753787,0.162377720695,0.464418525517,-27.6660100557
Dist_4_CC_N,Y,16,8,1,0.456316374498,0.200846028254,0.342837597248,-26.4653344669
Bal_5_CC_N,Y,5,16,4,0.254710875701,0.514995958936,0.230293165363,-23.3292791893
CD_5_CC_N,Y,16,4,5,0.511386798241,0.141547994751,0.347065207008,-23.8417432391
CD_2_CC_N,Y,12,1,12,0.394878903751,0.12948254568,0.475638550569,-22.1114875247
CB_7_BB_N,Y,19,1,5,0.595646157078,0.174803491846,0.229550351075,-18.9463184378
Bal_1_CC_N,Y,4,20,1,0.195339342811,0.612887025522,0.191773631667,-17.9750008117
CW_5_CC_N,Y,16,5,4,0.6662009732,0.133320574207,0.200478452594,-23.0018098968
Weight_5_BC_N,Y,10,10,5,0.359667927045,0.449617535019,0.190714537936,-26.5042084524
CD_3_CB_N,Y,17,0,8,0.538260251508,0.137871748481,0.323868000011,-19.5493766763
CW_2_CC_N,Y,15,3,7,0.613123201268,0.139180513698,0.247696285034,-23.0226549048
CB_1_BC_N,Y,10,4,11,0.556560224477,0.159466129733,0.28397364579,-27.0511061267
CD_4_CC_N,Y,7,7,11,0.39607739627,0.162760048349,0.441162555381,-28.1931278201
CD_4_BC_N,Y,14,8,3,0.330279792659,0.177443027854,0.492277179487,-31.4683973568
CD_1_CC_N,Y,8,9,8,0.387114579573,0.180994249432,0.431891170995,-29.6925397738
Weight_4_BC_N,Y,17,6,2,0.470058584329,0.424780728965,0.105160686706,-22.4748896055
CW_7_BC_N,Y,18,1,6,0.62954128479,0.143672924834,0.226785790377,-19.172461284
CW_1_BB_N,Y,20,0,5,0.675082776352,0.162995345738,0.16192187791,-16.9616057558
Weight_3_CB_N,Y,12,9,4,0.386563385884,0.480130429752,0.133306184363,-26.0692170807
CW_6_BB_N,Y,16,7,2,0.674009308524,0.160848410082,0.165142281394,-22.7051278159
CW_6_CC_N,Y,12,10,3,0.645606544644,0.147621226058,0.206772229298,-29.1102482883
CB_7_CC_N,Y,13,5,7,0.621299112253,0.140452521349,0.238248366398,-26.0427744803
Weight_3_CC_N,Y,8,13,4,0.420296589628,0.352961582056,0.226741828316,-26.4082789136
Dist_3_CB_N,Y,13,9,3,0.466507105572,0.320103416537,0.213389477891,-24.7981755263
Bal_2_CB_N,Y,5,10,10,0.295598158125,0.495835304544,0.208566537331,-28.783857799
CD_4_BB_N,Y,5,8,12,0.319721648629,0.170509620534,0.509768730837,-27.938808517
Weight_1_BC_N,Y,12,12,1,0.37004229899,0.494541370047,0.135416330962,-22.3785504652
Bal_3_BC_N,Y,8,14,3,0.157819777556,0.638179516906,0.204000705538,-25.8272070934
Dist_2_BC_N,Y,21,4,0,0.813457351882,0.0838160294265,0.102726618692,-14.2522213939
CW_5_BC_N,Y,17,2,6,0.604064863865,0.172766828888,0.223168307246,-21.0798519513
CB_6_BB_N,Y,17,3,5,0.590278817938,0.189832041439,0.219889140623,-21.5197303759
CD_5_BC_N,Y,14,6,5,0.444133399149,0.202573878691,0.35329272216,-26.1450197617
CB_3_BB_N,Y,15,8,2,0.57310333269,0.194125912751,0.232770754559,-24.3797273904
CW_4_BB_N,Y,20,0,5,0.658980758932,0.165142281394,0.175876959674,-17.0310719515
CD_5_CB_N,Y,11,6,8,0.547612649439,0.140055441703,0.312331908858,-27.7278702516
CB_5_CB_N,Y,14,5,6,0.579397109394,0.159120559645,0.261482330961,-24.879537588
CB_2_BC_N,Y,13,7,5,0.580617607486,0.171583088362,0.247799304152,-26.382111855
CB_5_CC_N,Y,11,7,7,0.590749412717,0.162304205563,0.24694638172,-28.308065483
CW_3_CC_N,Y,9,4,12,0.54056878757,0.238093654021,0.221337558408,-29.3733611147
CW_2_BC_N,Y,13,3,9,0.668531696686,0.156208968682,0.175259334632,-26.4778073803
CW_2_CB_N,Y,17,2,6,0.67367849043,0.14769474119,0.17862676838,-20.8749949302
Weight_5_CC_N,Y,11,13,1,0.392893841426,0.405656926612,0.201449231962,-23.6078092834
CD_7_BB_N,Y,8,0,17,0.274635999852,0.173730024018,0.551633976129,-20.4512687292
Weight_5_BB_N,Y,18,6,1,0.634290998887,0.175876959674,0.189832041439,-20.2838932565
CD_6_BC_N,Y,8,9,8,0.364086653246,0.170421353409,0.465491993345,-30.1255223418
Dist_3_BB_N,Y,12,12,1,0.404187276639,0.411392093342,0.184420630019,-23.2195617766
CB_5_BC_N,Y,13,7,5,0.570154984161,0.171237518275,0.258607497564,-26.4191566242
Dist_5_BC_N,Y,12,4,9,0.41430420916,0.244990303775,0.340705487065,-25.8906354683
Bal_4_BC_N,Y,8,11,6,0.159856230572,0.603262577885,0.236881191543,-28.8684527726
CB_6_CC_N,Y,17,1,7,0.606197047528,0.155517828508,0.238285123964,-20.4103593007
Bal_5_BC_N,Y,3,21,1,0.165679291781,0.586013698221,0.248307009998,-18.0088477558
CW_7_BB_N,Y,17,3,5,0.642878741511,0.176950427502,0.180170830986,-21.2754916883
Dist_1_BC_N,Y,13,10,2,0.512122107018,0.275959020299,0.211918872683,-24.6776310192
Weight_2_CB_N,Y,9,13,3,0.404121214532,0.468667816991,0.127210968477,-24.192282426
Bal_1_BC_N,Y,4,18,3,0.105469913862,0.753157974817,0.14137211132,-19.969042533
Dist_2_BB_N,Y,22,3,0,0.861733900157,0.0781398777651,0.060126222078,-10.9215569038
CW_3_CB_N,Y,10,6,9,0.494497938091,0.242078712812,0.263423349097,-27.5590126903
CW_4_CC_N,Y,16,6,3,0.632158815224,0.155936913727,0.211904271049,-23.142518514
CD_2_BB_N,Y,9,0,16,0.306840034693,0.162995345738,0.530164619569,-20.7859420247
Bal_1_BB_N,Y,0,24,1,0.0439147769757,0.915773061718,0.0403121613064,-5.32278274742
Bal_2_CC_N,Y,4,16,5,0.315449805733,0.355910030307,0.32864016396,-26.7082189455
Dist_3_CC_N,Y,11,9,5,0.465815939155,0.247482825264,0.286701235581,-27.2179115481
CW_3_BC_N,Y,11,5,9,0.451066671855,0.278032493309,0.270900834836,-26.9116497939
CB_2_CB_N,Y,14,5,6,0.59668286734,0.177332755156,0.225984377504,-24.8015463837
Weight_1_CC_N,Y,10,13,2,0.371115719581,0.47077803707,0.158106243349,-23.3951808292
CB_1_BB_N,Y,18,0,7,0.58383801097,0.170509620534,0.245652368496,-19.5132359866
