Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.20520977662,0.489360527165,0.305429696215,-23.3088990312
Uncentered_CD_2_0_0.5,Y,6,3,15,0.0972491695983,0.245698639173,0.657052191229,-24.4936990005
Uncentered_CW_1_0_2.0,Y,14,9,1,0.635552612876,0.323506637019,0.0409407501044,-19.6980958462
Centered_CD_2_0_1.0,Y,8,4,12,0.315029240802,0.238532113056,0.446438646142,-24.6511634445
Uncentered_D_1_0_0.25,Y,14,3,7,0.717708781537,0.186038314251,0.0962529042125,-26.0745202815
Uncentered_W_1_0_0.25,Y,14,8,2,0.587043875615,0.197293454587,0.215662669798,-23.5097639734
Centered_CW_2_0_0.25,Y,19,2,3,0.804477871358,0.128986642404,0.066535486238,-16.3598269537
Centered_CW_4_0_1.0,Y,24,0,0,0.920166078682,0.0399169606591,0.0399169606591,-1.99682651819
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0737675507232,0.453527896578,0.472704552699,-29.4180393082
Uncentered_W_0_0_2.0,Y,16,3,5,0.232987115066,0.660131452937,0.106881431997,-35.734478767
Uncentered_D_0_0_0.5,Y,16,3,5,0.579701714891,0.258889912352,0.161408372757,-21.8970107912
Uncentered_CD_1_0_0.25,Y,5,3,16,0.141272115748,0.174033377999,0.684694506253,-21.091381523
Centered_D_4_0_1.0,Y,20,3,1,0.920166078682,0.0399169606591,0.0399169606591,-14.5478379634
Centered_W_2_0_1.0,Y,23,0,1,0.806525450249,0.141272115748,0.0522024340032,-7.89808214326
Centered_W_4_0_1.0,Y,22,1,1,0.920166078682,0.0399169606591,0.0399169606591,-8.2723322408
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.798335134686,0.150486220756,0.0511786445579,-31.8116527161
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.723598505176,0.195532956351,0.0808685384728,-29.5285707058
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.7787690923,0.148438641865,0.0727922658347,-17.6871439187
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.742026715192,0.196556745797,0.0614165390113,-29.7674842397
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.652957033447,0.192461588015,0.154581378538,-56.1668592051
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.821882291929,0.126939063513,0.0511786445579,-41.8736220791
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.610981666188,0.17812853578,0.210889798031,-45.2105757215
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.714384400168,0.177104746335,0.108510853497,-36.3094323161
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0698454306718,0.712946400019,0.21720816931,-24.7060989717
Uncentered_CW_1_0_0.25,Y,16,2,6,0.860786290852,0.0880350645902,0.0511786445579,-25.0931820119
Uncentered_W_3_0_0.5,Y,12,7,5,0.813691976366,0.134105589631,0.0522024340032,-31.301106137
Centered_CD_4_0_0.5,Y,18,2,4,0.570554498061,0.0440121184404,0.385433383498,-20.1607667265
Centered_D_1_0_0.5,Y,14,9,1,0.678977825275,0.265260729942,0.0557614447835,-20.2503863914
Centered_D_4_0_0.25,Y,21,1,2,0.920166078682,0.0399169606591,0.0399169606591,-11.4100851021
Centered_CD_0_0_0.5,Y,8,11,5,0.256517238498,0.355240163139,0.388242598363,-26.9996729122
Uncentered_W_1_0_1.0,Y,9,14,1,0.295925913676,0.49072904226,0.213345044064,-22.4697439591
Uncentered_CW_1_0_0.5,Y,21,2,1,0.818810923593,0.128986642404,0.0522024340032,-11.2466627817
Centered_CW_1_0_0.25,Y,21,1,2,0.701075137378,0.173009588554,0.125915274068,-13.3566447591
Centered_CD_1_0_0.5,Y,7,6,11,0.242627270837,0.277436111979,0.479936617184,-25.6817032877
Centered_D_2_0_2.0,Y,6,14,4,0.211134957139,0.743504035081,0.0453610077796,-25.8532912692
