Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.62616306557,0.302230966074,0.0716059683556,-16.0573016754
Dist_Mixed_0,Y,18,6,1,0.552222119932,0.351524914218,0.0962529658496,-19.3021122398
Dist_Mixed_3,Y,21,2,2,0.671935829865,0.182517315313,0.145546854822,-15.6057760201
Dist_Mixed_2,Y,19,6,0,0.524054158017,0.374411374028,0.101534467954,-18.1714455881
Dist_Mixed_5,Y,17,8,0,0.494125618971,0.339201507927,0.166672873102,-20.6337010163
Dist_Mixed_4,Y,22,2,1,0.786368212742,0.136744363642,0.076887423616,-11.8319599764
Dist_Mixed_7,Y,24,1,0,0.895519103377,0.0575219430195,0.0469589536033,-5.50403018795
Dist_Mixed_6,Y,17,6,2,0.531096175616,0.365608885314,0.10329493907,-21.3352872028
CD_Mixed_6,Y,5,4,16,0.470932317149,0.099296748489,0.429770934362,-26.5158210575
Bal_Pure_1,Y,0,24,1,0.0522408748401,0.902560198885,0.0451989262746,-5.55715927462
Bal_Pure_0,Y,0,25,0,0.0451988892924,0.914883703796,0.0399174069116,-2.22395803652
CB_Pure_8,Y,10,6,9,0.590505877281,0.174033377999,0.23546074472,-28.7747055434
CB_Pure_9,Y,22,2,1,0.593577245617,0.166866851882,0.239555902501,-16.4850208892
CB_Pure_0,Y,18,4,3,0.596648613953,0.173009588554,0.230341797493,-20.7178906887
CB_Pure_1,Y,11,11,3,0.572077667265,0.190414009125,0.23750832361,-28.7000438938
CB_Pure_2,Y,17,4,4,0.603815140071,0.174033377999,0.22215148193,-21.5878979828
CB_Pure_3,Y,23,2,0,0.61507682397,0.163795483546,0.221127692485,-14.7964597068
CB_Pure_4,Y,18,5,2,0.634528823431,0.154581378538,0.210889798031,-20.6357183147
CB_Pure_5,Y,17,6,2,0.596648613953,0.171985799108,0.231365586938,-22.2688303262
CB_Pure_6,Y,13,8,4,0.5864107195,0.168914430772,0.244674849728,-26.7967575571
CB_Pure_7,Y,20,1,4,0.595624824508,0.170962009663,0.233413165829,-17.9489805045
CW_Mixed_9,Y,24,1,0,0.613029245079,0.175057167444,0.211913587477,-13.4868659528
CW_Mixed_8,Y,25,0,0,0.76455008299,0.148438641865,0.0870112751449,-6.71169362452
CW_Mixed_1,Y,23,1,1,0.788097240233,0.127962852959,0.0839399068088,-10.0107466946
CW_Mixed_0,Y,24,1,0,0.919142289237,0.0409407501044,0.0399169606591,-5.21917349137
CW_Mixed_3,Y,22,1,2,0.716431979059,0.151510010202,0.13205801074,-13.2725149048
CW_Mixed_2,Y,24,1,0,0.855667343625,0.0921302223716,0.0522024340032,-6.12551853736
CW_Mixed_5,Y,24,1,0,0.87000039586,0.0798447490275,0.0501548551125,-5.86994986267
CW_Mixed_4,Y,19,3,3,0.701075137378,0.16072411521,0.138200747412,-18.1690057627
CW_Mixed_7,Y,25,0,0,0.805501660803,0.112606011278,0.0818923279182,-5.40725036345
CW_Mixed_6,Y,19,2,4,0.84133429139,0.0972491695983,0.0614165390113,-19.1038200309
Weight_Mixed_3,Y,23,0,2,0.644766717884,0.1627716941,0.192461588015,-13.3896515979
Weight_Mixed_2,Y,24,1,0,0.791168608569,0.131034221295,0.0777971701368,-7.65415696303
Weight_Mixed_1,Y,24,1,0,0.649885665111,0.151510010202,0.198604324687,-12.2301155357
Weight_Mixed_0,Y,19,3,3,0.625314718423,0.1627716941,0.211913587477,-19.0214541337
Weight_Mixed_7,Y,24,0,1,0.756359767427,0.136153168521,0.107487064052,-8.93209996888
Weight_Mixed_6,Y,21,3,1,0.612005455633,0.164819272991,0.223175271376,-17.2198107313
Weight_Mixed_5,Y,25,0,0,0.920166078682,0.0399169606591,0.0399169606591,-2.08002762311
Weight_Mixed_4,Y,22,2,1,0.703122716269,0.152533799647,0.144343484084,-13.445222169
CD_Mixed_10,Y,14,2,9,0.38493400374,0.139224536857,0.475841459403,-23.992936786
CD_Mixed_11,Y,5,4,16,0.343982425926,0.153557589092,0.502459984982,-23.8423703735
CD_Mixed_12,Y,17,4,4,0.523308126343,0.0644879073473,0.41220396631,-25.5190003999
CD_Mixed_13,Y,10,3,12,0.533383473315,0.0573213812299,0.409295145455,-25.5822163261
CD_Mixed_14,Y,7,7,11,0.493455684946,0.0818923279182,0.424651987136,-31.8820436247
CD_Mixed_15,Y,7,2,16,0.334194159609,0.151222929547,0.514582910844,-22.0806097364
Weight_Pure_1,Y,23,2,0,0.708241663496,0.173009588554,0.118748747951,-11.4431244726
Weight_Pure_0,Y,21,4,0,0.688789664034,0.171985799108,0.139224536857,-14.8705794421
Weight_Pure_3,Y,23,2,0,0.712336821277,0.16072411521,0.126939063513,-11.4578334722
Weight_Pure_2,Y,23,1,1,0.696979979597,0.157652746874,0.145367273529,-12.0788199105
Weight_Pure_5,Y,23,2,0,0.69186103237,0.159700325764,0.148438641865,-12.1414261354
