Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.219038043872,0.488653413627,0.292308542501,-23.0285787542
Uncentered_CD_2_0_0.5,Y,6,3,15,0.0952599571577,0.254313915299,0.650426127543,-24.6663453151
Uncentered_CW_1_0_2.0,Y,14,9,1,0.661029724753,0.304150822183,0.0348194530641,-19.8650538181
Centered_CD_2_0_1.0,Y,8,4,12,0.337752697093,0.227804922275,0.434442380632,-24.6048964607
Uncentered_D_1_0_0.25,Y,14,3,7,0.724386516486,0.17452394903,0.101089534484,-25.7933429637
Uncentered_W_1_0_0.25,Y,14,8,2,0.593226744972,0.186851980559,0.219921274469,-23.7589796403
Centered_CW_2_0_0.25,Y,19,2,3,0.819023323173,0.117527511297,0.0634491655295,-16.3479260181
Centered_CW_4_0_1.0,Y,24,0,0,0.930361093872,0.0348194530641,0.0348194530641,-1.73237988511
Uncentered_CD_2_0_2.0,Y,6,7,11,0.090771742235,0.463204780324,0.446023477441,-28.6647663038
Uncentered_W_0_0_2.0,Y,16,3,5,0.247942152417,0.647847276295,0.104210571288,-34.9219664625
Uncentered_D_0_0_0.5,Y,16,3,5,0.584769682919,0.235107355604,0.180122961477,-21.4983122393
Uncentered_CD_1_0_0.25,Y,5,3,16,0.157821180693,0.171605857065,0.670572962241,-20.9130923869
Centered_D_4_0_1.0,Y,20,3,1,0.92857001059,0.0366105363457,0.0348194530641,-14.7620266416
Centered_W_2_0_1.0,Y,23,0,1,0.811600805127,0.139795065437,0.0486041294363,-7.82522040103
Centered_W_4_0_1.0,Y,22,1,1,0.930361093872,0.0348194530641,0.0348194530641,-8.30317299926
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.810540445406,0.138734705716,0.0507248488782,-31.7585614748
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.754341380196,0.175847295949,0.0698113238551,-28.8768035691
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.790223088187,0.141915784879,0.067861126934,-17.1901340835
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.729953106614,0.193873411205,0.0761734821808,-29.8437491463
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.666331523358,0.163122979298,0.170545497344,-55.2748590786
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.839170157871,0.117527511297,0.0433023308316,-42.9572330728
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.621796415078,0.17690765567,0.201295929252,-45.2689239289
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.716168430242,0.168424777903,0.115406791856,-36.0396112253
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0704543850164,0.661302316507,0.268243298476,-22.9921063564
Uncentered_CW_1_0_0.25,Y,16,2,6,0.843411596755,0.0995013960415,0.0570870072038,-24.5190426097
Uncentered_W_3_0_0.5,Y,12,7,5,0.807359366243,0.136613986274,0.0560266474829,-30.9116476895
Centered_CD_4_0_0.5,Y,18,2,4,0.595030430762,0.0369401725059,0.368029396732,-19.9398502659
Centered_D_1_0_0.5,Y,14,9,1,0.693938100699,0.239002947168,0.0670589521331,-20.6989129302
Centered_D_4_0_0.25,Y,21,1,2,0.92857001059,0.0366105363457,0.0348194530641,-11.5788767897
Centered_CD_0_0_0.5,Y,8,11,5,0.303657270105,0.305678918266,0.390663811628,-27.2718046055
Uncentered_W_1_0_1.0,Y,9,14,1,0.352571917471,0.428714872539,0.21871320999,-22.759984851
Uncentered_CW_1_0_0.5,Y,21,2,1,0.831747639824,0.118587871018,0.0496644891572,-11.1354174719
Centered_CW_1_0_0.25,Y,21,1,2,0.690719796939,0.171605857065,0.137674345995,-13.4987252132
Centered_CD_1_0_0.5,Y,7,6,11,0.268098591671,0.239468879206,0.492432529123,-25.5831703439
Centered_D_2_0_2.0,Y,6,14,4,0.239404117898,0.720002045498,0.0405938366035,-25.9931870014
Centered_D_3_0_1.0,Y,18,3,3,0.772157971786,0.180484992179,0.0473570360354,-18.9406327918
Centered_W_0_0_0.25,Y,15,9,0,0.645124328939,0.171605857065,0.183269813996,-22.4376779846
Centered_CD_3_0_1.0,Y,16,5,3,0.843070551713,0.088897798832,0.0680316494547,-22.8959603628
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.495187898798,0.204477008415,0.300335092787,-56.7720686991
