Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.590055844413,0.324974203979,0.0849699516083,-16.9157860073
Dist_Mixed_0,Y,18,6,1,0.57572717816,0.337511749915,0.0867610719253,-18.8997117977
Dist_Mixed_3,Y,21,2,2,0.622294769434,0.222883197634,0.154822032932,-16.6943420829
Dist_Mixed_2,Y,19,6,0,0.513039504033,0.407363710874,0.079596785093,-18.0689393109
Dist_Mixed_5,Y,17,8,0,0.450351116976,0.341094147949,0.208554735075,-22.1661455577
Dist_Mixed_4,Y,22,2,1,0.781701181498,0.136911200116,0.0813876183861,-11.9035977119
Dist_Mixed_7,Y,24,1,0,0.885584011832,0.0616857022883,0.0527302858802,-5.70189393416
Dist_Mixed_6,Y,17,6,2,0.536323447811,0.367960073114,0.0957164790745,-21.282718155
CD_Mixed_6,Y,5,4,16,0.460023701161,0.113286072414,0.426690226425,-26.2208944186
Bal_Pure_1,Y,0,24,1,0.0437765545799,0.90886462243,0.0473588229903,-5.3434211679
Bal_Pure_0,Y,0,25,0,0.036612304783,0.923193510895,0.0401941843224,-1.9979103045
CB_Pure_8,Y,10,6,9,0.591045983171,0.168424777903,0.240529238927,-28.7704334851
CB_Pure_9,Y,22,2,1,0.599127773538,0.157821180693,0.243051045769,-16.3772377305
CB_Pure_0,Y,18,4,3,0.593166702613,0.163122979298,0.243710318089,-20.8893649313
CB_Pure_1,Y,11,11,3,0.61225317759,0.181149094554,0.206597727856,-28.9204319448
CB_Pure_2,Y,17,4,4,0.600589220659,0.174786936228,0.224623843112,-21.6174117638
CB_Pure_3,Y,23,2,0,0.582563105403,0.172666216786,0.24477067781,-15.9400984327
CB_Pure_4,Y,18,5,2,0.603770299822,0.15464010153,0.241589598648,-21.2564097996
CB_Pure_5,Y,17,6,2,0.578321666519,0.1885716126,0.23310672088,-22.2318082476
CB_Pure_6,Y,13,8,4,0.586804544287,0.183269813996,0.229925641717,-26.3841891767
CB_Pure_7,Y,20,1,4,0.610132458148,0.174786936228,0.215080605624,-17.7727412167
CW_Mixed_9,Y,24,1,0,0.610132458148,0.186450893159,0.203416648694,-13.5374882032
CW_Mixed_8,Y,25,0,0,0.756462099638,0.137674345995,0.105863554367,-6.97757116572
CW_Mixed_1,Y,23,1,1,0.794635049591,0.116467151577,0.088897798832,-9.85747742069
CW_Mixed_0,Y,24,1,0,0.927180014709,0.0369401725059,0.035879812785,-5.11303663379
CW_Mixed_3,Y,22,1,2,0.704504473311,0.133432907112,0.162062619577,-13.3594346084
CW_Mixed_2,Y,24,1,0,0.84977375508,0.0931392377158,0.0570870072038,-6.28050297585
CW_Mixed_5,Y,24,1,0,0.864618791174,0.0846563599483,0.0507248488782,-5.96035279376
CW_Mixed_4,Y,19,3,3,0.720008781725,0.147217583484,0.132773634791,-18.0462051989
CW_Mixed_7,Y,25,0,0,0.789333250987,0.116467151577,0.0941995974367,-5.91416689926
CW_Mixed_6,Y,19,2,4,0.842351237034,0.0952599571577,0.0623888058085,-19.0593750283
Weight_Mixed_3,Y,23,0,2,0.636641451171,0.172666216786,0.190692332042,-13.6998069698
Weight_Mixed_2,Y,24,1,0,0.797816128754,0.123889669623,0.0782942016226,-7.5094148268
Weight_Mixed_1,Y,24,1,0,0.626037853962,0.186450893159,0.18751125288,-12.919853945
Weight_Mixed_0,Y,19,3,3,0.627098213683,0.173726576507,0.19917520981,-18.9579191057
Weight_Mixed_7,Y,24,0,1,0.764944977405,0.123889669623,0.111165352972,-8.62756946458
Weight_Mixed_6,Y,21,3,1,0.614373897031,0.172666216786,0.212959886182,-17.0460195018
Weight_Mixed_5,Y,25,0,0,0.930361093872,0.0348194530641,0.0348194530641,-1.80456238032
Weight_Mixed_4,Y,22,2,1,0.685417998335,0.180088734833,0.134493266833,-13.7448333246
CD_Mixed_10,Y,14,2,9,0.372013844323,0.150398662647,0.47758749303,-24.283541591
CD_Mixed_11,Y,5,4,16,0.333840894369,0.161002259856,0.505156845775,-23.716982325
CD_Mixed_12,Y,17,4,4,0.530408530144,0.0645095252504,0.405081944606,-25.3582650331
CD_Mixed_13,Y,10,3,12,0.538490320511,0.053905928041,0.407603751448,-25.7209193364
CD_Mixed_14,Y,7,7,11,0.478049816417,0.0963203168786,0.425629866704,-30.9428512341
CD_Mixed_15,Y,7,2,16,0.367113133119,0.132372547391,0.50051431949,-22.1327716268
Weight_Pure_1,Y,23,2,0,0.718289149684,0.157821180693,0.123889669623,-11.3028960473
Weight_Pure_0,Y,21,4,0,0.709806271916,0.158881540414,0.13131218767,-14.5564127884
Weight_Pure_3,Y,23,2,0,0.72571166773,0.134493266833,0.139795065437,-11.3863396672
Weight_Pure_2,Y,23,1,1,0.700263034428,0.156760820972,0.1429761446,-11.9929943263
Weight_Pure_5,Y,23,2,0,0.683297278893,0.15464010153,0.162062619577,-12.4922905437
Weight_Pure_4,Y,21,3,1,0.738765620542,0.139795065437,0.121439314021,-14.3693397399
Weight_Pure_7,Y,24,1,0,0.66951260252,0.174786936228,0.155700461251,-11.3731145201
Weight_Pure_6,Y,22,3,0,0.732733098376,0.150398662647,0.116868238977,-12.5248201233
CB_Pure_12,Y,21,2,2,0.608341374866,0.172666216786,0.218992408348,-16.9876270295
CB_Pure_13,Y,19,2,4,0.598468501217,0.16524369874,0.236287800043,-19.1257330796
CB_Pure_10,Y,19,3,3,0.580442385961,0.191752691763,0.227804922275,-19.7277731673
CB_Pure_11,Y,14,5,6,0.595287422055,0.172666216786,0.232046361159,-24.8088362117
CB_Pure_14,Y,12,4,9,0.618615335915,0.16524369874,0.216140965345,-26.7510154646
CB_Pure_15,Y,15,5,5,0.585744184566,0.185390533438,0.228865281996,-23.822644068
CD_Mixed_2,Y,9,2,14,0.273400390276,0.169485137624,0.557114472101,-23.4111250503
CD_Mixed_3,Y,21,1,3,0.480170535859,0.100561755762,0.419267708378,-20.3106132357
CD_Mixed_0,Y,9,2,14,0.23310672088,0.179028375112,0.587864904008,-23.9843656138
CW_Pure_8,Y,24,0,1,0.81584224401,0.113286072414,0.070871683576,-7.53170681766
CD_Pure_14,Y,5,6,14,0.286124706927,0.169485137624,0.544390155449,-25.4198251462
CD_Pure_15,Y,7,3,15,0.326418376323,0.163122979298,0.510458644379,-23.3634649879
CD_Pure_10,Y,13,4,8,0.324297656881,0.166304058461,0.509398284658,-27.2111660062
CD_Pure_11,Y,12,4,9,0.368904216401,0.138734705716,0.492361077883,-26.2442723852
CD_Pure_12,Y,9,4,12,0.273400390276,0.15464010153,0.571959508194,-25.8422254547
CD_Pure_13,Y,10,6,9,0.531067802464,0.0645095252504,0.404422672285,-30.9219626676
