Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.342752479578,0.148679030605,0.508568489817,-28.6692858113
CW_6_CB_N,Y,12,8,5,0.645640698779,0.158881540414,0.195477760807,-28.1284598589
Dist_3_BC_N,Y,16,5,4,0.391618780489,0.333358241937,0.275022977574,-25.6557529262
Weight_2_CC_N,Y,9,12,4,0.43954478788,0.383293729383,0.177161482736,-25.8283594628
CD_3_BB_N,Y,7,3,15,0.410186794277,0.123889669623,0.4659235361,-23.9590961615
CB_7_CB_N,Y,14,2,9,0.615434256752,0.164183339019,0.220382404229,-24.0210425994
CW_1_CB_N,Y,17,4,4,0.682236919172,0.155700461251,0.162062619577,-21.2188058372
CW_5_BB_N,Y,14,4,7,0.626037853962,0.182209454275,0.191752691763,-24.9280573922
Bal_2_BB_N,Y,1,23,1,0.0401943787579,0.919611159155,0.0401944620874,-8.35555425851
Weight_2_BC_N,Y,11,7,7,0.335991852954,0.477160459529,0.186847687517,-28.9188996868
CW_7_CB_N,Y,18,4,3,0.657046470789,0.156101548652,0.186851980559,-20.0213192543
Bal_3_BB_N,Y,1,22,2,0.0419854064865,0.921402307248,0.0366122862653,-11.586063488
CW_4_BC_N,Y,17,1,7,0.632916382128,0.167765505582,0.19931811229,-20.8512486855
CD_4_CB_N,Y,10,6,9,0.380563371053,0.144580494202,0.474856134745,-27.9672294824
Dist_4_CC_N,Y,16,8,1,0.459564375727,0.190846643404,0.349588980869,-26.7408978152
Bal_5_CC_N,Y,5,16,4,0.251827140619,0.52912930956,0.219043549822,-23.1533596968
CD_5_CC_N,Y,16,4,5,0.492424118195,0.133130890992,0.374444990813,-24.3118803164
CD_2_CC_N,Y,12,1,12,0.356631424953,0.161760603457,0.48160797159,-22.9617652304
CB_7_BB_N,Y,19,1,5,0.597408141496,0.174786936228,0.227804922275,-18.9284558122
Bal_1_CC_N,Y,4,20,1,0.207121611666,0.616935777134,0.1759426112,-17.6952010472
CW_5_CC_N,Y,16,5,4,0.652046688304,0.144767227882,0.203186083814,-22.879898749
Weight_5_BC_N,Y,10,10,5,0.347540370045,0.457601584794,0.194858045161,-26.5637280311
CD_3_CB_N,Y,17,0,8,0.515966385776,0.161387136097,0.322646478127,-20.2987166119
CW_2_CC_N,Y,15,3,7,0.628993170523,0.144179406801,0.226827422676,-23.1495744453
CB_1_BC_N,Y,10,4,11,0.582106777922,0.148019758285,0.269873463793,-27.4604747644
CD_4_CC_N,Y,7,7,11,0.379602082613,0.145569402682,0.474828514705,-28.4629554434
CD_4_BC_N,Y,14,8,3,0.338681563215,0.174957458749,0.486360978036,-31.2658413172
CD_1_CC_N,Y,8,9,8,0.404029385116,0.178023255472,0.417947359412,-29.7619094529
Weight_4_BC_N,Y,17,6,2,0.437511999344,0.432339546289,0.130148454367,-23.1624926132
CW_7_BC_N,Y,18,1,6,0.628416758324,0.152519382088,0.219063859588,-19.3527462525
CW_1_BB_N,Y,20,0,5,0.681176559451,0.156760820972,0.162062619577,-16.7775372183
Weight_3_CB_N,Y,12,9,4,0.389636568638,0.466342508599,0.144020922762,-25.9271912279
CW_6_BB_N,Y,16,7,2,0.648305408102,0.166304058461,0.185390533438,-22.8624379529
CW_6_CC_N,Y,12,10,3,0.619719526836,0.172006944466,0.208273528698,-28.0507726983
CB_7_CC_N,Y,13,5,7,0.606407389104,0.144767227882,0.248825383014,-25.902810442
Weight_3_CC_N,Y,8,13,4,0.404926125202,0.347071170786,0.248002704012,-26.566598022
Dist_3_CB_N,Y,13,9,3,0.492491091216,0.279037977961,0.228470930823,-25.1243311414
Bal_2_CB_N,Y,5,10,10,0.309542828219,0.488923367375,0.201533804406,-29.0367707143
CD_4_BB_N,Y,5,8,12,0.307331901346,0.159941900135,0.532726198519,-28.119664476
Weight_1_BC_N,Y,12,12,1,0.355320283174,0.495329292089,0.149350424737,-22.7486781844
Bal_3_BC_N,Y,8,14,3,0.162718348821,0.642038174246,0.195243476933,-25.6299048703
Dist_2_BC_N,Y,21,4,0,0.788079550983,0.104528798567,0.107391650451,-14.0344517098
CW_5_BC_N,Y,17,2,6,0.60262707998,0.159354079055,0.238018840966,-20.8954500995
CB_6_BB_N,Y,17,3,5,0.578321666519,0.182209454275,0.239468879206,-21.564080101
CD_5_BC_N,Y,14,6,5,0.485819986109,0.162117859658,0.352062154234,-26.2431675164
CB_3_BB_N,Y,15,8,2,0.584683824845,0.186450893159,0.228865281996,-24.4362032529
CW_4_BB_N,Y,20,0,5,0.672693681683,0.158881540414,0.168424777903,-16.8356343834
CD_5_CB_N,Y,11,6,8,0.521998907942,0.168881105384,0.309119986675,-27.2145557639
CB_5_CB_N,Y,14,5,6,0.59017235713,0.172666216786,0.237161426084,-24.7988292925
CB_2_BC_N,Y,13,7,5,0.598468501217,0.172666216786,0.228865281996,-26.3418312038
CB_5_CC_N,Y,11,7,7,0.590188568289,0.162936245618,0.246875186093,-28.2933257724
CW_3_CC_N,Y,9,4,12,0.503292608775,0.21248233231,0.284225058915,-27.4707044263
CW_2_BC_N,Y,13,3,9,0.657304655709,0.148277943205,0.194417401086,-25.9206308168
CW_2_CB_N,Y,17,2,6,0.652304873224,0.168897316543,0.178797810232,-21.1490615657
Weight_5_CC_N,Y,11,13,1,0.408981126688,0.377261160924,0.213757712388,-24.0504898083
CD_7_BB_N,Y,8,0,17,0.253253555578,0.182209454275,0.564536990147,-20.7066520637
Weight_5_BB_N,Y,18,6,1,0.644063969218,0.171605857065,0.184330173717,-20.1855865507
CD_6_BC_N,Y,8,9,8,0.3884308077,0.157777349494,0.453791842807,-30.5051890482
Dist_3_BB_N,Y,12,12,1,0.412738377321,0.410946275567,0.176315347112,-23.0262908836
CB_5_BC_N,Y,13,7,5,0.598182696257,0.168095141742,0.233722162001,-26.4308548089
Dist_5_BC_N,Y,12,4,9,0.412452461254,0.230937034642,0.356610504104,-25.7700526947
Bal_4_BC_N,Y,8,11,6,0.143203157144,0.618353198621,0.238443644235,-29.4373116811
CB_6_CC_N,Y,17,1,7,0.607253395105,0.150398662647,0.242347942249,-20.2958864551
Bal_5_BC_N,Y,3,21,1,0.165899122442,0.626649574179,0.207451303379,-16.7767083001
CW_7_BB_N,Y,17,3,5,0.638762170613,0.166304058461,0.194933770926,-21.1770819632
Dist_1_BC_N,Y,13,10,2,0.489727347649,0.272933995297,0.237338657055,-25.1425715246
Weight_2_CB_N,Y,9,13,3,0.425688817668,0.47006752209,0.104243660242,-24.2829188684
Bal_1_BC_N,Y,4,18,3,0.101277508848,0.735575471926,0.163147019226,-20.1267126092
Dist_2_BB_N,Y,22,3,0,0.874837512142,0.0742232852596,0.0509392025986,-10.7438085077
CW_3_CB_N,Y,10,6,9,0.488920102063,0.246512886885,0.264567011052,-27.5245543664
CW_4_CC_N,Y,16,6,3,0.614318656951,0.161804434657,0.223876908393,-23.2140418848
CD_2_BB_N,Y,9,0,16,0.30096974302,0.171605857065,0.527424399914,-21.0427057329
Bal_1_BB_N,Y,0,24,1,0.0419855824043,0.914237918569,0.0437764990269,-5.28060463641
Bal_2_CC_N,Y,4,16,5,0.341595306584,0.33189644298,0.326508250436,-27.5399309723
Dist_3_CC_N,Y,11,9,5,0.460839265086,0.241469226906,0.297691508008,-27.3693724209
CW_3_BC_N,Y,11,5,9,0.502188473407,0.241397803442,0.256413723151,-26.9317902764
CB_2_CB_N,Y,14,5,6,0.603226309941,0.155041188931,0.241732501128,-24.9163433437
Weight_1_CC_N,Y,10,13,2,0.344502406315,0.506877911026,0.148619682659,-23.3025778826
CB_1_BB_N,Y,18,0,7,0.595287422055,0.172666216786,0.232046361159,-19.5625233632
Weight_3_BC_N,Y,6,13,6,0.31558656483,0.462216454002,0.222196981168,-25.9774652668
CB_3_BC_N,Y,9,12,4,0.54616982985,0.168968767783,0.284861402367,-31.8029345151
