Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.242133876121,0.479699411813,0.278166712066,-22.8221858608
Uncentered_CD_2_0_0.5,Y,6,3,15,0.107099846104,0.229911993461,0.662988160435,-23.9791106698
Uncentered_CW_1_0_2.0,Y,14,9,1,0.642172542239,0.319419151704,0.0384083060576,-19.7313168469
Centered_CD_2_0_1.0,Y,8,4,12,0.335447622949,0.216381841633,0.448170535418,-24.4921357109
Uncentered_D_1_0_0.25,Y,14,3,7,0.735611070537,0.181741869314,0.0826470601489,-26.8664881877
Uncentered_W_1_0_0.25,Y,14,8,2,0.581379361023,0.197335773601,0.221284865376,-23.5923224442
Centered_CW_2_0_0.25,Y,19,2,3,0.814942173266,0.112303750653,0.072754076081,-16.1232313811
Centered_CW_4_0_1.0,Y,24,0,0,0.923183387885,0.0384083060576,0.0384083060576,-1.91825705878
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0830682700867,0.445353641789,0.471578088124,-28.8591374677
Uncentered_W_0_0_2.0,Y,16,3,5,0.260544789992,0.646808193679,0.0926470163288,-34.7215970066
Uncentered_D_0_0_0.5,Y,16,3,5,0.576971126781,0.240337611918,0.182691261301,-21.576328985
Uncentered_CD_1_0_0.25,Y,5,3,16,0.140404835218,0.168505919783,0.691089244999,-21.0702609007
Centered_D_4_0_1.0,Y,20,3,1,0.922142606975,0.0394490869674,0.0384083060576,-14.5788225881
Centered_W_2_0_1.0,Y,23,0,1,0.823268420544,0.126874683391,0.0498568960654,-7.47147705518
Centered_W_4_0_1.0,Y,22,1,1,0.923183387885,0.0384083060576,0.0384083060576,-8.27736538227
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.815982954175,0.13207858794,0.051938457885,-31.7046809979
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.724394234113,0.195566223437,0.0800395424496,-29.5251433172
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.79256204445,0.134160149759,0.0732778057908,-17.0927414968
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.74104672867,0.17995450979,0.0789987615398,-29.5932485782
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.671314407713,0.167465138873,0.161220453414,-55.9129160383
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.830553886913,0.116466874293,0.0529792387948,-41.5394763658
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.608867553125,0.186199195249,0.204933251626,-45.2717673974
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.707741739556,0.169546700692,0.122711559751,-36.0029023434
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0632867542907,0.682199196952,0.254514048757,-23.3876395896
Uncentered_CW_1_0_0.25,Y,16,2,6,0.84616560056,0.0894065706378,0.0644278288026,-23.9550229856
Uncentered_W_3_0_0.5,Y,12,7,5,0.809738268717,0.136241711579,0.0540200197046,-31.0778060903
Centered_CD_4_0_0.5,Y,18,2,4,0.580766584515,0.0404898678772,0.378743547608,-20.0783051695
Centered_D_1_0_0.5,Y,14,9,1,0.691372325686,0.238367465311,0.0702602090033,-20.7281009774
Centered_D_4_0_0.25,Y,21,1,2,0.923183387885,0.0384083060576,0.0384083060576,-11.456919544
Centered_CD_0_0_0.5,Y,8,11,5,0.278951251523,0.337551446468,0.38349730201,-26.9522701815
Uncentered_W_1_0_1.0,Y,9,14,1,0.311335788858,0.461538060885,0.227126150257,-22.8088694572
Uncentered_CW_1_0_0.5,Y,21,2,1,0.813901392356,0.1279154643,0.0581831433438,-11.2811681948
Centered_CW_1_0_0.25,Y,21,1,2,0.696293149548,0.165383577053,0.138323273398,-13.3574861629
Centered_CD_1_0_0.5,Y,7,6,11,0.290277286229,0.226789650731,0.482933063039,-25.5674740416
Centered_D_2_0_2.0,Y,6,14,4,0.249713577124,0.705840673975,0.0444457489009,-25.6557084711
Centered_D_3_0_1.0,Y,18,3,3,0.780683353684,0.174558899619,0.0447577466977,-19.0124930688
Centered_W_0_0_0.25,Y,15,9,0,0.648417227698,0.191403099798,0.160179672504,-21.3786762411
Centered_CD_3_0_1.0,Y,16,5,3,0.839597772595,0.0821211042692,0.0782811231356,-22.9374650698
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.527212004144,0.197647785257,0.275140210599,-57.8114469785
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.43914902739,0.218463403453,0.342387569157,-53.7067267928
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.504736034067,0.216381841633,0.2788821243,-53.3213698187
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.449242598662,0.201810908896,0.348946492442,-51.5490319925
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.283098791972,0.244482926198,0.47241828183,-51.6525258726
Uncentered_D_0_0_2.0,Y,8,14,2,0.547771264933,0.41069808628,0.041530648787,-23.6363838777
Uncentered_D_3_0_1.0,Y,12,9,3,0.726763319719,0.21890242275,0.0543342575305,-26.2398168748
Uncentered_W_3_0_2.0,Y,8,15,1,0.632491276225,0.322541494433,0.0449672293423,-23.7393843911
Centered_W_1_0_0.25,Y,18,6,0,0.732720481391,0.162261234324,0.105018284285,-16.5091238379
Centered_CD_2_0_0.5,Y,11,3,10,0.353764921727,0.200770127986,0.445464950287,-24.3335002463
Centered_CW_1_0_1.0,Y,18,5,1,0.63696863769,0.256972297116,0.106059065195,-17.1563215497
Centered_CD_3_0_0.25,Y,15,2,7,0.529242364055,0.067550171532,0.403207464413,-21.2925296507
Uncentered_CD_4_0_0.5,Y,9,7,8,0.502596591828,0.0894065706378,0.407996837534,-30.2656014779
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.725435015023,0.153934987045,0.120629997932,-22.0957908959
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.68588534045,0.191403099798,0.122711559751,-57.5063311026
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.784759526881,0.13207858794,0.083161885179,-24.6390625243
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.785800307791,0.119589217022,0.0946104751868,-37.216316496
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.802452802348,0.116466874293,0.0810803233594,-31.3132752818
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.681722216811,0.171628262512,0.146649520677,-40.9671795989
Uncentered_CW_3_0_0.25,Y,17,1,6,0.622709716609,0.172669043422,0.20462123997,-19.3284180975
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.468707650462,0.216381841633,0.314910507905,-57.0468156097
Centered_CD_4_0_2.0,Y,18,5,1,0.903408550599,0.0581831433438,0.0384083060576,-19.3087265727
Centered_W_2_0_0.5,Y,23,1,0,0.835757791462,0.112303750653,0.051938457885,-6.31312593245
Centered_D_4_0_0.5,Y,23,0,1,0.923183387885,0.0384083060576,0.0384083060576,-5.09781122052
Centered_CW_0_0_2.0,Y,13,7,4,0.223295073803,0.491148001821,0.285556924376,-29.4807192668
Centered_D_2_0_0.5,Y,14,7,3,0.482565660458,0.440095860589,0.0773384789534,-23.6249659264
Centered_CD_4_0_0.25,Y,17,3,4,0.557445968392,0.0394490869674,0.403104944641,-23.2670913641
Uncentered_CD_3_0_1.0,Y,5,4,15,0.281547638373,0.298717184129,0.419735177498,-24.1922696242
Uncentered_CD_4_0_2.0,Y,15,8,1,0.618415132988,0.252809173476,0.128775693536,-20.2595754991
Centered_CW_0_0_0.5,Y,20,2,2,0.580766468561,0.253849954386,0.165383577053,-17.2091304285
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0508976769752,0.165383577053,0.783718745972,-19.0963010705
Centered_W_4_0_0.5,Y,22,1,1,0.923183387885,0.0384083060576,0.0384083060576,-8.27736538227
Centered_D_0_0_0.5,Y,5,18,1,0.2953075255,0.501811673556,0.202880800944,-20.1053735666
Centered_CD_1_0_0.25,Y,8,3,13,0.295481190778,0.175791386151,0.528727423071,-23.2532418764
Uncentered_W_2_0_2.0,Y,12,9,3,0.438578432156,0.462632385828,0.0987891820156,-23.7723036542
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.760821565956,0.166424357963,0.072754076081,-58.8347688332
Uncentered_W_0_0_1.0,Y,17,4,3,0.666110503164,0.249686830747,0.0842026660888,-19.8808723031
Centered_CD_2_0_2.0,Y,6,11,7,0.540381052622,0.404763186307,0.0548557610703,-33.9632050525
Uncentered_CD_2_0_1.0,Y,9,4,11,0.108140627014,0.251768392567,0.640090980419,-30.4434824508
Uncentered_CW_3_0_2.0,Y,4,18,2,0.0883680158979,0.529982264159,0.381649719943,-23.059896116
Uncentered_CW_1_0_1.0,Y,19,2,3,0.815982954175,0.136241711579,0.0477753342458,-16.9742611982
Uncentered_W_2_0_0.5,Y,15,5,4,0.650498789517,0.23615667892,0.113344531563,-22.3758292188
Centered_CD_1_0_1.0,Y,8,5,11,0.247605268927,0.278828696221,0.473566034851,-25.7752471204
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.653621132247,0.2340751171,0.112303750653,-45.2123221263
Centered_D_3_0_0.5,Y,20,3,1,0.786928025283,0.165815917841,0.0472560568758,-13.2351753348
Centered_W_4_0_0.25,Y,24,0,0,0.923183387885,0.0384083060576,0.0384083060576,-1.91825705878
Uncentered_CW_0_0_1.0,Y,19,4,1,0.830553886913,0.124793121571,0.0446529915164,-14.9608126109
BalAdjust_Raw_CD_0.25_5,Y,14,14,20,0.325663837162,0.195566223437,0.4787699394,-53.2831433189
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.445353641789,0.124793121571,0.42985323664,-49.5356203962
BalAdjust_Raw_CD_0.25_1,Y,12,25,11,0.376254248824,0.152894206136,0.47085154504,-66.9654452254
BalAdjust_Raw_CD_0.25_0,Y,16,8,24,0.349289786432,0.164342796143,0.486367417425,-48.5750428878
BalAdjust_Raw_CD_0.25_3,Y,15,13,20,0.340758499609,0.151853425226,0.507388075165,-54.2212155564
Uncentered_CD_4_0_0.25,Y,14,2,8,0.524452990934,0.0654686097124,0.410078399353,-21.6192170839
Centered_D_1_0_1.0,Y,16,6,2,0.710837377486,0.231289255417,0.0578733670972,-19.9444985294
Centered_CW_3_0_1.0,Y,21,3,0,0.904449331508,0.0561015815242,0.0394490869674,-10.7507827
Centered_W_2_0_2.0,Y,18,4,2,0.670273626803,0.290277286229,0.0394490869674,-18.6144098973
BalAdjust_Adj_CD_0.25_0,Y,19,5,24,0.236573436517,0.18411763343,0.579308930053,-48.9514028289
Centered_CW_1_0_0.5,Y,18,5,1,0.669232845894,0.23303433619,0.0977328179162,-16.837583342
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.405701447445,0.137282492489,0.457016060066,-51.0417531683
BalAdjust_Adj_CD_0.25_3,Y,13,8,27,0.229809473689,0.173709824332,0.59648070198,-47.0706398687
BalAdjust_Adj_CD_0.25_4,Y,18,10,20,0.407885529037,0.12895624521,0.463158225753,-52.0183888061
BalAdjust_Adj_CD_0.25_5,Y,12,6,30,0.268420887123,0.172669043422,0.558910069455,-43.7736609247
Centered_D_2_0_0.25,Y,14,7,3,0.542730375261,0.358696539202,0.098573085537,-22.6838176649
