Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.618821101594,0.314457697336,0.06672120107,-16.2566699389
Dist_Mixed_0,Y,18,6,1,0.523265425094,0.367544165288,0.109190409617,-19.8781286794
Dist_Mixed_3,Y,21,2,2,0.689602770902,0.185280960402,0.125116268696,-15.3332178228
Dist_Mixed_2,Y,19,6,0,0.514417720473,0.402935103885,0.0826471756414,-18.0835520741
Dist_Mixed_5,Y,17,8,0,0.42417046348,0.410013489328,0.165816047192,-21.7120595088
Dist_Mixed_4,Y,22,2,1,0.742689271192,0.167585468004,0.0897252608035,-12.5280321995
Dist_Mixed_7,Y,24,1,0,0.889561934775,0.0649515585124,0.0454865067122,-5.54274103372
Dist_Mixed_6,Y,17,6,2,0.489644096717,0.433017336555,0.0773385667277,-22.2802903767
CD_Mixed_6,Y,5,4,16,0.453679889068,0.102936722465,0.443383388467,-26.059507541
Bal_Pure_1,Y,0,24,1,0.041948122438,0.903716746909,0.0543351306533,-5.34232750599
Bal_Pure_0,Y,0,25,0,0.0401787062456,0.921412128433,0.0384091653214,-2.04619658796
CB_Pure_8,Y,10,6,9,0.588051934929,0.176832167061,0.23511589801,-28.7338156629
CB_Pure_9,Y,22,2,1,0.606369233708,0.165800334651,0.227830431641,-16.0789516854
CB_Pure_0,Y,18,4,3,0.588051934929,0.165383577053,0.246564488018,-20.9552664746
CB_Pure_1,Y,11,11,3,0.593255839478,0.18411763343,0.222626527092,-28.8641885282
CB_Pure_2,Y,17,4,4,0.597418963117,0.157057329775,0.245523707108,-21.7793473353
CB_Pure_3,Y,23,2,0,0.604704429486,0.187239976159,0.208055594355,-14.9200845723
CB_Pure_4,Y,18,5,2,0.604704429486,0.160179672504,0.23511589801,-21.1069278694
CB_Pure_5,Y,17,6,2,0.58388881129,0.190362318888,0.225748869822,-22.0763806737
CB_Pure_6,Y,13,8,4,0.592215058568,0.176832167061,0.230952774371,-26.5331124177
CB_Pure_7,Y,20,1,4,0.593255839478,0.168505919783,0.238238240739,-17.9613115858
CW_Mixed_9,Y,24,1,0,0.611989895855,0.176832167061,0.211177937084,-13.5175023645
CW_Mixed_8,Y,25,0,0,0.752495318678,0.13103780703,0.116466874293,-7.10901258512
CW_Mixed_1,Y,23,1,1,0.779555622332,0.12999702612,0.0904473515476,-10.1709494951
CW_Mixed_0,Y,24,1,0,0.922142606975,0.0394490869674,0.0384083060576,-5.17807388112
CW_Mixed_3,Y,22,1,2,0.707741739556,0.152894206136,0.139364054308,-13.4242129903
CW_Mixed_2,Y,24,1,0,0.879470589673,0.0758764188104,0.0446529915164,-5.66109305501
CW_Mixed_5,Y,24,1,0,0.861777314207,0.0800395424496,0.0581831433438,-6.09543555493
CW_Mixed_4,Y,19,3,3,0.700768284844,0.150812644316,0.14841907084,-18.154279201
CW_Mixed_7,Y,25,0,0,0.788922650521,0.118548436112,0.0925289133672,-5.92717494425
CW_Mixed_6,Y,19,2,4,0.839920915101,0.098773598826,0.0613054860732,-19.1118968999
Weight_Mixed_3,Y,23,0,2,0.624479266772,0.163302015234,0.212218717994,-13.9295301379
Weight_Mixed_2,Y,24,1,0,0.795167335979,0.119589217022,0.0852434469986,-7.62455742344
Weight_Mixed_1,Y,24,1,0,0.615112238584,0.160179672504,0.224708088912,-13.4942717662
Weight_Mixed_0,Y,19,3,3,0.642172542239,0.177872947971,0.17995450979,-18.7402776536
Weight_Mixed_7,Y,24,0,1,0.775392498693,0.123752340661,0.100855160646,-8.3993321141
Weight_Mixed_6,Y,21,3,1,0.600541305847,0.161220453414,0.238238240739,-17.6178327542
Weight_Mixed_5,Y,25,0,0,0.923183387885,0.0384083060576,0.0384083060576,-1.99818443623
Weight_Mixed_4,Y,22,2,1,0.68900768318,0.166424357963,0.144567958857,-13.7154971873
CD_Mixed_10,Y,14,2,9,0.379784444472,0.151853425226,0.468362130302,-24.1504206988
CD_Mixed_11,Y,5,4,16,0.349601798088,0.149771863406,0.500626338506,-23.9196952727
CD_Mixed_12,Y,17,4,4,0.525181760188,0.0654686097124,0.4093496301,-25.4256652854
CD_Mixed_13,Y,10,3,12,0.531738457303,0.0561015815242,0.412159961173,-25.593934145
CD_Mixed_14,Y,7,7,11,0.484903316362,0.093569694277,0.421526989361,-31.1525675693
CD_Mixed_15,Y,7,2,16,0.350018555686,0.144255947201,0.505725497113,-22.1288961032
Weight_Pure_1,Y,23,2,0,0.707741739556,0.159138891594,0.133119368849,-11.6265044609
Weight_Pure_0,Y,21,4,0,0.713986425015,0.157057329775,0.12895624521,-14.4792954475
Weight_Pure_3,Y,23,2,0,0.715027205925,0.160179672504,0.124793121571,-11.3779160769
Weight_Pure_2,Y,23,1,1,0.683803778631,0.164342796143,0.151853425226,-12.4325786882
Weight_Pure_5,Y,23,2,0,0.68692612136,0.150812644316,0.162261234324,-12.420590161
Weight_Pure_4,Y,21,3,1,0.703578615917,0.152894206136,0.143527177947,-14.9583468864
Weight_Pure_7,Y,24,1,0,0.661947379525,0.172669043422,0.165383577053,-11.6580396803
Weight_Pure_6,Y,22,3,0,0.725330269081,0.158098110685,0.116571620235,-12.5984385094
CB_Pure_12,Y,21,2,2,0.572752232938,0.187968745413,0.239279021649,-17.906552302
CB_Pure_13,Y,19,2,4,0.605745210396,0.172669043422,0.221585746182,-19.0651604129
CB_Pure_10,Y,19,3,3,0.587011154019,0.168505919783,0.244482926198,-19.6897002991
