Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.353247870527,0.149147840094,0.497604289379,-28.6239042069
CW_6_CB_N,Y,12,8,5,0.649665274321,0.157474087373,0.192860638306,-28.1924681678
Dist_3_BC_N,Y,16,5,4,0.379407901144,0.322365159494,0.298226939363,-26.006248206
Weight_2_CC_N,Y,9,12,4,0.433961006311,0.363376520014,0.202662473676,-26.04584771
CD_3_BB_N,Y,7,3,15,0.399559281758,0.143527177947,0.456913540294,-23.9943609851
CB_7_CB_N,Y,14,2,9,0.612613919167,0.159138891594,0.228247189239,-23.8321756052
CW_1_CB_N,Y,17,4,4,0.649770020263,0.169234689036,0.1809952907,-21.2723378972
CW_5_BB_N,Y,14,4,7,0.654661913156,0.18203607161,0.163302015234,-25.4301879885
Bal_2_BB_N,Y,1,23,1,0.0454873336381,0.910794832071,0.0437178342911,-8.36938576001
Weight_2_BC_N,Y,11,7,7,0.367761181087,0.441027147556,0.191211671357,-28.3146982625
CW_7_CB_N,Y,18,4,3,0.645190139026,0.139364054308,0.215445806666,-20.3755842265
Bal_3_BB_N,Y,1,22,2,0.0384091930395,0.919642495115,0.0419483118456,-11.4450387118
CW_4_BC_N,Y,17,1,7,0.650913320945,0.154975767955,0.1941109111,-20.6392050303
CD_4_CB_N,Y,10,6,9,0.346388066436,0.158205082796,0.495406850767,-27.9865175021
Dist_4_CC_N,Y,16,8,1,0.448422440486,0.195889365943,0.355688193571,-26.907655395
Bal_5_CC_N,Y,5,16,4,0.237224621979,0.512435228036,0.250340149985,-23.4307731814
CD_5_CC_N,Y,16,4,5,0.502427171003,0.144053133827,0.353519695169,-23.9622459784
CD_2_CC_N,Y,12,1,12,0.402498846643,0.139054268822,0.458446884535,-22.2525776521
CB_7_BB_N,Y,19,1,5,0.587011154019,0.192443880708,0.220544965273,-19.3277367946
Bal_1_CC_N,Y,4,20,1,0.20006411474,0.589773779247,0.210162106014,-18.5566704854
CW_5_CC_N,Y,16,5,4,0.661735661471,0.150188621004,0.188075717525,-22.7691847764
Weight_5_BC_N,Y,10,10,5,0.310306499135,0.456431600109,0.233261900756,-26.8230789825
CD_3_CB_N,Y,17,0,8,0.558950256468,0.116261834749,0.324787908783,-18.8854747236
CW_2_CC_N,Y,15,3,7,0.62904801716,0.143217392461,0.227734590379,-23.1404108606
CB_1_BC_N,Y,10,4,11,0.569623211699,0.160284418446,0.270092369855,-27.3499273417
CD_4_CC_N,Y,7,7,11,0.360136614827,0.186308393531,0.453554991642,-27.608392796
CD_4_BC_N,Y,14,8,3,0.314119405892,0.166531330075,0.519349264033,-32.5178598338
CD_1_CC_N,Y,8,9,8,0.38606029631,0.178091344534,0.435848359155,-29.7869090781
Weight_4_BC_N,Y,17,6,2,0.476428053364,0.407407925236,0.1161640214,-22.2976016214
CW_7_BC_N,Y,18,1,6,0.637278423176,0.155704537209,0.207017039615,-19.419395502
CW_1_BB_N,Y,20,0,5,0.684844559541,0.149771863406,0.165383577053,-16.5687067051
Weight_3_CB_N,Y,12,9,4,0.376718097849,0.486616380269,0.136665521882,-26.158485284
CW_6_BB_N,Y,16,7,2,0.641131761329,0.176832167061,0.18203607161,-22.647304863
CW_6_CC_N,Y,12,10,3,0.642691819609,0.159243637536,0.198064542855,-28.5357658204
CB_7_CC_N,Y,13,5,7,0.57285475271,0.157786099029,0.269359148261,-25.6571425384
Weight_3_CC_N,Y,8,13,4,0.405238041449,0.360873859129,0.233888099422,-26.2878433967
Dist_3_CB_N,Y,13,9,3,0.479235922663,0.310083063529,0.210681013808,-24.7727753769
Bal_2_CB_N,Y,5,10,10,0.310923825458,0.45788908318,0.231187091362,-28.2975994312
CD_4_BB_N,Y,5,8,12,0.341275550809,0.147690301587,0.511034147604,-28.7322537332
Weight_1_BC_N,Y,12,12,1,0.37536312993,0.494632846681,0.130004023389,-22.2458005668
Bal_3_BC_N,Y,8,14,3,0.152076907028,0.652855630927,0.195067462046,-25.9397704538
Dist_2_BC_N,Y,21,4,0,0.812840575917,0.09794676214,0.0892126619435,-13.6449506927
CW_5_BC_N,Y,17,2,6,0.633006101255,0.147587781815,0.219406116931,-20.7013281164
CB_6_BB_N,Y,17,3,5,0.58597037311,0.173709824332,0.240319802559,-21.4662936291
CD_5_BC_N,Y,14,6,5,0.527408139009,0.139890010188,0.332701850803,-26.2608635249
CB_3_BB_N,Y,15,8,2,0.603663648576,0.171628262512,0.224708088912,-24.6563730884
CW_4_BB_N,Y,20,0,5,0.656743474976,0.176832167061,0.166424357963,-17.3753076124
CD_5_CB_N,Y,11,6,8,0.506697266755,0.161122385982,0.332180347264,-27.2484213596
CB_5_CB_N,Y,14,5,6,0.594815897758,0.17308580102,0.232098301222,-24.8064516641
CB_2_BC_N,Y,13,7,5,0.576603344921,0.178913728881,0.244482926198,-26.2468188811
CB_5_CC_N,Y,11,7,7,0.568996962217,0.167674630757,0.263328407026,-28.0432646234
CW_3_CC_N,Y,9,4,12,0.469563487413,0.21098609749,0.319450415096,-26.7212565899
CW_2_BC_N,Y,13,3,9,0.668294584756,0.160908441758,0.170796973486,-26.6256174359
CW_2_CB_N,Y,17,2,6,0.659132596112,0.1610131877,0.179854216188,-21.0323094734
Weight_5_CC_N,Y,11,13,1,0.383379485469,0.388355294187,0.228265220344,-24.3191270743
CD_7_BB_N,Y,8,0,17,0.259053858935,0.161220453414,0.579725687651,-20.0741583887
Weight_5_BB_N,Y,18,6,1,0.629683171321,0.1809952907,0.189321537979,-20.2457068457
CD_6_BC_N,Y,8,9,8,0.372202549637,0.164137756599,0.463659693764,-30.3188150129
Dist_3_BB_N,Y,12,12,1,0.38524034602,0.404704829598,0.210054824382,-23.8622086038
CB_5_BC_N,Y,13,7,5,0.588466466357,0.167881896471,0.243651637172,-26.4446001207
Dist_5_BC_N,Y,12,4,9,0.399915946165,0.269590689338,0.330493364497,-26.2059306786
Bal_4_BC_N,Y,8,11,6,0.121577810507,0.654415698446,0.224006491047,-30.4982254959
CB_6_CC_N,Y,17,1,7,0.596790487466,0.160908441758,0.242301070776,-20.5251552649
Bal_5_BC_N,Y,3,21,1,0.164149390996,0.643383963049,0.192466645954,-16.3300528293
CW_7_BB_N,Y,17,3,5,0.640090980419,0.176832167061,0.18307685252,-21.2713731397
Dist_1_BC_N,Y,13,10,2,0.487974502917,0.284475846042,0.22754965104,-24.8592405171
Weight_2_CB_N,Y,9,13,3,0.42896890759,0.46559125633,0.10543983608,-24.3039949483
Bal_1_BC_N,Y,4,18,3,0.0954490525226,0.745600805424,0.158950142054,-20.1983135517
Dist_2_BB_N,Y,22,3,0,0.840014530193,0.103881662113,0.0561038076941,-10.6289026438
CW_3_CB_N,Y,10,6,9,0.488614040123,0.255120077921,0.256265881955,-27.6118075055
CW_4_CC_N,Y,16,6,3,0.644249651719,0.141967119668,0.213783228614,-23.376040503
CD_2_BB_N,Y,9,0,16,0.294440409868,0.163302015234,0.542257574898,-20.7963343177
Bal_1_BB_N,Y,0,24,1,0.0419482471699,0.909025341963,0.0490264108669,-5.30457147869
Bal_2_CC_N,Y,4,16,5,0.338193510124,0.349115395861,0.312691094015,-26.9868898361
Dist_3_CC_N,Y,11,9,5,0.449358595566,0.26407259778,0.286568806654,-27.0319386604
CW_3_BC_N,Y,11,5,9,0.47622715664,0.234926266107,0.288846577253,-26.5796178404
CB_2_CB_N,Y,14,5,6,0.60543097257,0.166529103905,0.228039923525,-24.8577394309
Weight_1_CC_N,Y,10,13,2,0.35225646265,0.501918266853,0.145825270497,-23.2457839574
CB_1_BB_N,Y,18,0,7,0.607826772215,0.18307685252,0.209096375265,-19.9162963846
Weight_3_BC_N,Y,6,13,6,0.357772332658,0.439879422253,0.202348245089,-26.4300512946
CB_3_BC_N,Y,9,12,4,0.574720144136,0.185370132393,0.239909723471,-30.9196277214
Dist_1_CB_N,Y,10,11,4,0.517330317235,0.31570366562,0.166966017144,-26.4330608762
CD_7_CB_N,Y,13,5,7,0.326929693146,0.165281057281,0.507789249573,-28.2784926266
CB_6_BC_N,Y,13,5,7,0.60751253439,0.150812644316,0.241674821294,-25.87869221
Weight_4_CB_N,Y,17,6,2,0.456027068229,0.469237264094,0.0747356676773,-23.0759290012
CD_5_BB_N,Y,11,3,11,0.403722405397,0.137282492489,0.458995102114,-24.5003218768
CB_4_CC_N,Y,18,2,5,0.565353115948,0.147378289931,0.287268594122,-20.3316790214
Bal_4_CC_N,Y,4,8,13,0.270221913186,0.444461488082,0.285316598732,-28.0252079305
CD_7_BC_N,Y,10,5,10,0.315478886207,0.164451980566,0.520069133226,-27.1002538008
CW_2_BB_N,Y,18,3,4,0.694211587729,0.152894206136,0.152894206136,-19.7156761223
CD_6_BB_N,Y,4,7,14,0.310052123515,0.170587481602,0.519360394882,-26.2358098786
Bal_4_BB_N,Y,0,23,2,0.0507960118472,0.901947155168,0.0472568329851,-8.47790102337
Dist_5_BB_N,Y,9,15,1,0.408244479669,0.385239768558,0.206515751773,-23.9487206581
Weight_5_CB_N,Y,10,11,4,0.390874485299,0.470378454098,0.138747060603,-25.5904932006
CD_1_BB_N,Y,9,6,10,0.292358848049,0.174750605241,0.53289054671,-27.8287245941
CB_4_BB_N,Y,14,4,7,0.597418963117,0.178913728881,0.223667308002,-24.5784879801
CB_5_BB_N,Y,15,4,6,0.602622867666,0.160179672504,0.237197459829,-23.555966058
CD_2_CB_N,Y,14,1,10,0.355139975992,0.165490549165,0.479369474843,-23.6450832785
CB_1_CB_N,Y,9,5,11,0.607615054162,0.168610665725,0.223774280114,-29.8530300093
CB_6_CB_N,Y,14,3,8,0.609803588093,0.172357031766,0.217839380141,-24.3911968169
Dist_1_BB_N,Y,12,11,2,0.519726186176,0.35338790257,0.126885911254,-23.4244503829
Dist_4_BB_N,Y,17,8,0,0.47548719648,0.256062976187,0.268449827333,-23.5367154167
Bal_5_BB_N,Y,0,25,0,0.201207355365,0.613511166827,0.185281477808,-12.213920329
Dist_4_BC_N,Y,16,4,5,0.446964901978,0.236277008051,0.316758089971,-24.4034894994
CB_3_CC_N,Y,9,7,9,0.531000667415,0.167260099329,0.301739233257,-28.9980932936
CW_6_BC_N,Y,15,7,3,0.632076744797,0.140404835218,0.227518419985,-25.065316583
Bal_3_CB_N,Y,12,9,4,0.204019986524,0.638801675474,0.157178338002,-30.5093957894
Dist_2_CB_N,Y,20,4,1,0.818882448001,0.0960746922043,0.0850428597944,-15.8314120329
