Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.225067997681,0.477612336122,0.297319666197,-23.1973052721
Uncentered_CD_2_0_0.5,Y,6,3,15,0.103552868395,0.220044284168,0.676402847437,-24.0123141134
Uncentered_CW_1_0_2.0,Y,14,9,1,0.620429312641,0.332650467719,0.0469202196393,-19.6480838664
Centered_CD_2_0_1.0,Y,8,4,12,0.333865801246,0.219682326501,0.446451872254,-24.5155043424
Uncentered_D_1_0_0.25,Y,14,3,7,0.730266931251,0.186811251101,0.0829218176481,-26.8628012049
Uncentered_W_1_0_0.25,Y,14,8,2,0.568554878614,0.201118245268,0.230326876118,-23.6726137629
Centered_CW_2_0_0.25,Y,19,2,3,0.81324339394,0.113689482966,0.073067123094,-16.1254709561
Centered_CW_4_0_1.0,Y,24,0,0,0.910574304153,0.0459907999695,0.0434348958774,-2.24831460164
Uncentered_CD_2_0_2.0,Y,6,7,11,0.103035480926,0.455042408386,0.441922110688,-28.1304818228
Uncentered_W_0_0_2.0,Y,16,3,5,0.2310028514,0.658566629898,0.110430518702,-35.7151160618
Uncentered_D_0_0_0.5,Y,16,3,5,0.581589216124,0.258580581976,0.1598302019,-21.8977143552
Uncentered_CD_1_0_0.25,Y,5,3,16,0.154296092468,0.18058595285,0.665117954682,-21.0037085429
Centered_D_4_0_1.0,Y,20,3,1,0.91173607874,0.0436672507949,0.0445966704647,-14.3516610414
Centered_W_2_0_1.0,Y,23,0,1,0.828583468652,0.123307686539,0.0481088448086,-7.35915634598
Centered_W_4_0_1.0,Y,22,1,1,0.91266549841,0.0436672507949,0.0436672507949,-8.27280225581
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.811422505393,0.130423687184,0.0581538074234,-31.5411805796
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.75162853975,0.177925042623,0.0704464176271,-28.937704879
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.765112630608,0.153042665923,0.0818447034687,-18.3049589457
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.744874496772,0.182496239387,0.0726292638411,-29.5603582237
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.638416943403,0.192541202001,0.169041854596,-55.0493229545
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.826595026563,0.116180585684,0.0572243877536,-41.0228278884
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.603759909799,0.185776058813,0.210464031388,-45.2413333158
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.714518354221,0.168344789843,0.117136855935,-36.0208690181
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0589935994578,0.71508465513,0.225921745412,-24.3700233013
Uncentered_CW_1_0_0.25,Y,16,2,6,0.84492886462,0.0949668366596,0.06010429872,-24.2745439803
Uncentered_W_3_0_0.5,Y,12,7,5,0.800783230193,0.145774862107,0.0534419076993,-30.7916233869
Centered_CD_4_0_0.5,Y,18,2,4,0.576839177902,0.0455260901345,0.377634731963,-19.9777027924
Centered_D_1_0_0.5,Y,14,9,1,0.71620499452,0.221081358552,0.0627136469278,-21.0252406326
Centered_D_4_0_0.25,Y,21,1,2,0.911039013988,0.0459907999695,0.0429701860425,-11.3303721073
Centered_CD_0_0_0.5,Y,8,11,5,0.232853932708,0.348871278307,0.418274788984,-27.6004095283
Uncentered_W_1_0_1.0,Y,9,14,1,0.315698795728,0.486267722647,0.198033481626,-22.0899625653
Uncentered_CW_1_0_0.5,Y,21,2,1,0.817879392078,0.129337814182,0.0527827937398,-11.2540734929
Centered_CW_1_0_0.25,Y,21,1,2,0.709082539163,0.180610549465,0.110306911372,-13.3398398174
Centered_CD_1_0_0.5,Y,7,6,11,0.243711185116,0.263481753632,0.492807061252,-25.6690398321
Centered_D_2_0_2.0,Y,6,14,4,0.246895037018,0.704250089839,0.0488548731437,-25.377060922
Centered_D_3_0_1.0,Y,18,3,3,0.778931828551,0.173240874787,0.0478272966623,-18.8766646388
Centered_W_0_0_0.25,Y,15,9,0,0.625956779657,0.186602726315,0.187440494028,-22.136069707
Centered_CD_3_0_1.0,Y,16,5,3,0.822427222664,0.0816152040363,0.0959575732997,-22.6881704754
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.510941969172,0.222367833343,0.266690197485,-56.7773506726
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.420140711956,0.240123109187,0.339736178857,-53.2018223061
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.472952043897,0.231445425495,0.295602530608,-52.7506421277
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.431106362821,0.237010843303,0.331882793876,-51.2282299116
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.280148530636,0.25706281774,0.462788651625,-51.8118809225
Uncentered_D_0_0_2.0,Y,8,14,2,0.52753588778,0.425014381371,0.0474497308491,-23.19132772
Uncentered_D_3_0_1.0,Y,12,9,3,0.719645632989,0.21702631882,0.0633280481917,-25.9758670514
Uncentered_W_3_0_2.0,Y,8,15,1,0.600777618536,0.339350809533,0.0598715719312,-23.1026099891
Centered_W_1_0_0.25,Y,18,6,0,0.741815932052,0.144586236938,0.11359783101,-16.9790493829
Centered_CD_2_0_0.5,Y,11,3,10,0.351243511276,0.199333195772,0.449423292952,-24.3452642541
Centered_CW_1_0_1.0,Y,18,5,1,0.64183746579,0.266967077394,0.0911954568162,-16.979463034
Centered_CD_3_0_0.25,Y,15,2,7,0.531985980029,0.0576242962136,0.410389723757,-21.4092303068
Uncentered_CD_4_0_0.5,Y,9,7,8,0.48330735668,0.0956370508299,0.42105559249,-29.8942103603
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.728062137002,0.152669608045,0.119268254953,-21.975949175
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.682227470745,0.186408322191,0.131364207064,-56.9873583872
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.78384352164,0.145477705815,0.0706787725445,-25.4047088875
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.763559192286,0.139112471087,0.097328336627,-36.869867784
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.79594172772,0.122405117451,0.0816531548292,-31.2963273743
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.665569168113,0.172942837189,0.161487994698,-40.578995696
Uncentered_CW_3_0_0.25,Y,17,1,6,0.632835917449,0.187608047571,0.179556034981,-19.7552578068
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.49558514796,0.199759954814,0.304654897227,-58.3234944003
Centered_CD_4_0_2.0,Y,18,5,1,0.893878050729,0.0605958591369,0.0455260901345,-19.1264598949
Centered_W_2_0_0.5,Y,23,1,0,0.82322355518,0.131093901354,0.0456825434663,-6.50597346462
Centered_D_4_0_0.5,Y,23,0,1,0.91266549841,0.0459907999695,0.0413437016203,-5.2877095504
Centered_CW_0_0_2.0,Y,13,7,4,0.259270563096,0.478606557167,0.262122879738,-28.0623828603
Centered_D_2_0_0.5,Y,14,7,3,0.477507288045,0.442149141046,0.0803435709092,-23.6255478128
Centered_CD_4_0_0.25,Y,17,3,4,0.546890422055,0.0456556928843,0.407453885061,-23.1108069633
Uncentered_CD_3_0_1.0,Y,5,4,15,0.274130898605,0.31489433331,0.410974768085,-24.431172226
Uncentered_CD_4_0_2.0,Y,15,8,1,0.604445966424,0.253021132186,0.14253290139,-20.4940855349
Centered_CW_0_0_0.5,Y,20,2,2,0.575354258544,0.257295172657,0.167350568799,-17.3457780694
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0522153317372,0.165362126709,0.782422541554,-19.0739716928
Centered_W_4_0_0.5,Y,22,1,1,0.912897853328,0.0408789917854,0.0462231548869,-8.27630168241
Centered_D_0_0_0.5,Y,5,18,1,0.294751128929,0.501297603956,0.203951267115,-20.1279897665
Centered_CD_1_0_0.25,Y,8,3,13,0.32466984878,0.170733140393,0.504597010828,-23.1944694413
Uncentered_W_2_0_2.0,Y,12,9,3,0.415965360471,0.486705279372,0.0973293601576,-23.9956718773
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.741221619468,0.187829302277,0.0709490782548,-58.6039146423
Uncentered_W_0_0_1.0,Y,17,4,3,0.679642462103,0.231445425495,0.088912112402,-19.6791683717
Centered_CD_2_0_2.0,Y,6,11,7,0.521735861086,0.419715160611,0.0585489783021,-33.3187733229
