Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.359779977911,0.148413429688,0.491806592401,-28.6290724918
CW_6_CB_N,Y,12,8,5,0.650189145688,0.157913272947,0.191897581365,-28.1855453955
Dist_3_BC_N,Y,16,5,4,0.421253178492,0.287655818481,0.291091003027,-24.9987703147
Weight_2_CC_N,Y,9,12,4,0.413486221192,0.401936536667,0.18457724214,-25.644461635
CD_3_BB_N,Y,7,3,15,0.401586826889,0.133909010946,0.464504162165,-23.91987619
CB_7_CB_N,Y,14,2,9,0.612976093169,0.155290313512,0.231733593319,-23.7364305025
CW_1_CB_N,Y,17,4,4,0.677526671232,0.158429429978,0.16404389879,-21.2184770497
CW_5_BB_N,Y,14,4,7,0.64915897077,0.154852454259,0.19598857497,-24.9181095108
Bal_2_BB_N,Y,1,23,1,0.0247347892467,0.947404801444,0.027860409309,-8.522756045
Weight_2_BC_N,Y,11,7,7,0.354807692393,0.425151852313,0.220040455294,-27.9827419794
CW_7_CB_N,Y,18,4,3,0.64612049473,0.167198623402,0.186680881868,-20.0512019767
Bal_3_BB_N,Y,1,22,2,0.0190756077392,0.971203302062,0.0097210901991,-13.869087946
CW_4_BC_N,Y,17,1,7,0.635849911698,0.160469177039,0.203680911263,-20.6655345231
CD_4_CB_N,Y,10,6,9,0.380362601912,0.140647188729,0.478990209359,-28.0599831423
Dist_4_CC_N,Y,16,8,1,0.496821965567,0.177600434231,0.325577600202,-26.1402830339
Bal_5_CC_N,Y,5,16,4,0.251968664763,0.532805903706,0.215225431531,-23.1100991212
CD_5_CC_N,Y,16,4,5,0.509578032429,0.145258333205,0.345163634367,-23.8224059433
CD_2_CC_N,Y,12,1,12,0.369436669113,0.13371660374,0.496846727146,-22.355028368
CB_7_BB_N,Y,19,1,5,0.58967326163,0.197679860768,0.212646877602,-19.3972652222
Bal_1_CC_N,Y,4,20,1,0.196346474118,0.594326365277,0.209327160605,-18.4818881904
CW_5_CC_N,Y,16,5,4,0.660002010434,0.151094428594,0.188903560972,-22.7635243934
Weight_5_BC_N,Y,10,10,5,0.330895197172,0.444667323991,0.224437478837,-26.6346149218
CD_3_CB_N,Y,17,0,8,0.534390984995,0.137706727275,0.32790228773,-19.572984893
CW_2_CC_N,Y,15,3,7,0.631603580375,0.140352286404,0.228044133221,-23.1307116889
CB_1_BC_N,Y,10,4,11,0.559789192335,0.150037660143,0.290173147523,-26.9994780902
CD_4_CC_N,Y,7,7,11,0.355880018849,0.16795349798,0.476166483171,-27.8824734086
CD_4_BC_N,Y,14,8,3,0.343284261595,0.184790454365,0.47192528404,-30.7298159437
CD_1_CC_N,Y,8,9,8,0.411403336342,0.186334045653,0.402262618005,-29.5125789819
Weight_4_BC_N,Y,17,6,2,0.430015035897,0.437198496373,0.13278646773,-23.3491304279
CW_7_BC_N,Y,18,1,6,0.623363039595,0.155495817848,0.221141142557,-19.4221328389
CW_1_BB_N,Y,20,0,5,0.666525438365,0.174542471029,0.158932090606,-17.3099308156
Weight_3_CB_N,Y,12,9,4,0.398116812284,0.464256957383,0.137626230333,-25.8908266328
CW_6_BB_N,Y,16,7,2,0.637822630818,0.188823523322,0.17335384586,-22.3685585959
CW_6_CC_N,Y,12,10,3,0.649074310362,0.146243937652,0.204681751985,-29.1701860917
CB_7_CC_N,Y,13,5,7,0.593167945732,0.148757525241,0.258074529027,-25.7983464577
Weight_3_CC_N,Y,8,13,4,0.377003933331,0.347367005812,0.275629060857,-26.7046487214
Dist_3_CB_N,Y,13,9,3,0.484240957893,0.291304215252,0.224454826855,-25.0099711683
Bal_2_CB_N,Y,5,10,10,0.316362187976,0.440491669977,0.243146142046,-28.0939013161
CD_4_BB_N,Y,5,8,12,0.308529957147,0.16284417341,0.528625869443,-28.0490659484
Weight_1_BC_N,Y,12,12,1,0.359930256318,0.506022857858,0.134046885823,-22.445786876
Bal_3_BC_N,Y,8,14,3,0.144507020575,0.652801359258,0.202691620167,-26.2343797048
Dist_2_BC_N,Y,21,4,0,0.787835619354,0.0953015718734,0.116862808772,-14.4106180291
CW_5_BC_N,Y,17,2,6,0.610112648914,0.150417479923,0.239469871162,-20.7645456811
CB_6_BB_N,Y,17,3,5,0.585528823909,0.184717036393,0.229754139698,-21.5195957208
CD_5_BC_N,Y,14,6,5,0.504861996641,0.149349097164,0.345788906195,-26.2870288701
CB_3_BB_N,Y,15,8,2,0.581449187562,0.18134556501,0.237205247428,-24.6699413188
CW_4_BB_N,Y,20,0,5,0.656918335003,0.167880080008,0.175201584988,-17.1130016302
CD_5_CB_N,Y,11,6,8,0.551793034592,0.141236878555,0.306970086852,-27.7323452794
CB_5_CB_N,Y,14,5,6,0.580026210556,0.152957775869,0.267016013574,-24.9361945325
CB_2_BC_N,Y,13,7,5,0.61575536371,0.164859466081,0.219385170208,-26.5070367557
CB_5_CC_N,Y,11,7,7,0.576130222593,0.146310992995,0.277558784413,-28.4918407558
CW_3_CC_N,Y,9,4,12,0.487044338354,0.251868855501,0.261086806145,-28.1048160486
CW_2_BC_N,Y,13,3,9,0.662075227754,0.142959752516,0.19496501973,-25.9108817218
CW_2_CB_N,Y,17,2,6,0.647546584269,0.159253586464,0.193199829267,-20.9262936072
Weight_5_CC_N,Y,11,13,1,0.416551290767,0.37381043664,0.209638272594,-23.987658233
CD_7_BB_N,Y,8,0,17,0.253836699477,0.179589477838,0.566573822685,-20.6270272603
Weight_5_BB_N,Y,18,6,1,0.61535545525,0.194956403133,0.189688141617,-20.212243468
CD_6_BC_N,Y,8,9,8,0.361425834672,0.176251361891,0.462322803436,-29.9361197248
Dist_3_BB_N,Y,12,12,1,0.4267690312,0.388428248468,0.184802720332,-23.2543760494
CB_5_BC_N,Y,13,7,5,0.577483660643,0.175176988374,0.247339350983,-26.3166558445
Dist_5_BC_N,Y,12,4,9,0.429727212543,0.242753312556,0.327519474901,-25.8439638792
Bal_4_BC_N,Y,8,11,6,0.15478208414,0.627027912955,0.218190002905,-29.1946370492
CB_6_CC_N,Y,17,1,7,0.598353685984,0.151496591022,0.250149722993,-20.3178069741
Bal_5_BC_N,Y,3,21,1,0.211655447361,0.566106129679,0.22223842296,-18.1108391323
CW_7_BB_N,Y,17,3,5,0.636828409774,0.175136783614,0.188034806613,-21.2535404737
Dist_1_BC_N,Y,13,10,2,0.505539739196,0.283560573988,0.210899686815,-24.5837126803
Weight_2_CB_N,Y,9,13,3,0.416582507059,0.467869515104,0.115547977837,-24.2296008612
Bal_1_BC_N,Y,4,18,3,0.0916262645012,0.76146749381,0.146906241689,-20.2191716971
Dist_2_BB_N,Y,22,3,0,0.861627858707,0.0827118053774,0.0556603359155,-10.7536788526
CW_3_CB_N,Y,10,6,9,0.467202491011,0.278129381688,0.2546681273,-27.598084775
CW_4_CC_N,Y,16,6,3,0.616841838229,0.157631724801,0.22552643697,-23.2831986501
CD_2_BB_N,Y,9,0,16,0.317477946549,0.161423193323,0.521098860128,-20.7551703768
Bal_1_BB_N,Y,0,24,1,0.0426417534392,0.923501294691,0.0338569518694,-5.2956047856
Bal_2_CC_N,Y,4,16,5,0.338518710849,0.330981148035,0.330500141116,-27.55954637
Dist_3_CC_N,Y,11,9,5,0.506804265951,0.214591373478,0.27860436057,-27.7169242044
CW_3_BC_N,Y,11,5,9,0.475164875966,0.245309473696,0.279525650338,-26.68315221
CB_2_CB_N,Y,14,5,6,0.607401801716,0.17532219927,0.217275999015,-24.8450770298
Weight_1_CC_N,Y,10,13,2,0.373342182381,0.473352154601,0.153305663018,-23.3261456243
CB_1_BB_N,Y,18,0,7,0.593817699352,0.174736875154,0.231445425495,-19.6251706169
Weight_3_BC_N,Y,6,13,6,0.344534740571,0.424177862173,0.231287397257,-26.3267588186
CB_3_BC_N,Y,9,12,4,0.572944538737,0.162960164933,0.26409529633,-32.1094722415
Dist_1_CB_N,Y,10,11,4,0.538415717143,0.280445939314,0.181138343543,-27.0103372559
CD_7_CB_N,Y,13,5,7,0.345444136242,0.157732108178,0.49682375558,-27.9489419402
CB_6_BC_N,Y,13,5,7,0.573493422285,0.15565227118,0.270854306535,-25.6719880263
Weight_4_CB_N,Y,17,6,2,0.446132327835,0.472031557891,0.0818361142737,-23.2317043106
CD_5_BB_N,Y,11,3,11,0.389732075938,0.147622601236,0.462645322825,-24.5832822873
CB_4_CC_N,Y,18,2,5,0.564990655556,0.145558115336,0.289451229108,-20.3302315811
Bal_4_CC_N,Y,4,8,13,0.299378138599,0.422439494889,0.278182366512,-28.3510827209
CD_7_BC_N,Y,10,5,10,0.332506023306,0.176896864624,0.49059711207,-26.7932353853
CW_2_BB_N,Y,18,3,4,0.696676076581,0.152566855878,0.150757067542,-19.7146242703
CD_6_BB_N,Y,4,7,14,0.336962458983,0.159396800441,0.503640740576,-26.8081342471
Bal_4_BB_N,Y,0,23,2,0.0443732439967,0.897971303516,0.0576554524868,-8.18173576049
Dist_5_BB_N,Y,9,15,1,0.379194372612,0.411889388033,0.208916239355,-23.5981856357
Weight_5_CB_N,Y,10,11,4,0.412011310295,0.441307352092,0.146681337613,-25.5431667751
CD_1_BB_N,Y,9,6,10,0.269123073026,0.189017927447,0.541858999527,-27.9362534351
CB_4_BB_N,Y,14,4,7,0.5906026813,0.163076528327,0.246320790372,-24.4345515003
CB_5_BB_N,Y,15,4,6,0.604392173176,0.180107888837,0.215499937987,-23.6185448202
CD_2_CB_N,Y,14,1,10,0.389497746841,0.138542640293,0.471959612865,-22.6857565369
