Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.23395165898,0.468924308448,0.297124032572,-23.2600784464
Uncentered_CD_2_0_0.5,Y,6,3,15,0.114664261585,0.204820261536,0.680515476879,-23.5249193889
Uncentered_CW_1_0_2.0,Y,14,9,1,0.655059665128,0.308764826184,0.0361755086876,-19.8183566739
Centered_CD_2_0_1.0,Y,8,4,12,0.331767313544,0.230276073286,0.43795661317,-24.6081019962
Uncentered_D_1_0_0.25,Y,14,3,7,0.727575244191,0.180050183592,0.0923745722174,-26.2694137181
Uncentered_W_1_0_0.25,Y,14,8,2,0.603445790354,0.181153801301,0.215400408346,-23.8091712084
Centered_CW_2_0_0.25,Y,19,2,3,0.810976512101,0.116785579231,0.0722379086676,-16.1590098754
Centered_CW_4_0_1.0,Y,24,0,0,0.928709641448,0.0361755086876,0.0351148498646,-1.77501932625
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0773208455998,0.448771790813,0.473907363588,-29.1816131305
Uncentered_W_0_0_2.0,Y,16,3,5,0.239816970208,0.664450531415,0.0957324983771,-35.8034401378
Uncentered_D_0_0_0.5,Y,16,3,5,0.587881327818,0.245348771931,0.166769900251,-21.6706076611
Uncentered_CD_1_0_0.25,Y,5,3,16,0.142241390982,0.188910379191,0.668848229827,-21.1857660158
Centered_D_4_0_1.0,Y,20,3,1,0.92976997535,0.0351150123251,0.0351150123251,-14.8528673887
Centered_W_2_0_1.0,Y,23,0,1,0.813097829747,0.145423367451,0.0414788028023,-7.94136119036
Centered_W_4_0_1.0,Y,22,1,1,0.928709641448,0.0361755086876,0.0351148498646,-8.29560515869
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.805673217986,0.141180732159,0.0531460498547,-31.6960606231
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.744155006256,0.178303790962,0.0775412027823,-28.9450862752
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.781222240277,0.149666002742,0.06911175698,-17.5810311455
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.739912370964,0.189971038014,0.0701165910217,-29.6858065881
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.647635053368,0.189971038014,0.162393908618,-55.5636301596
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.81415848857,0.141180732159,0.0446607792711,-43.0048019364
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.595662771044,0.160272590972,0.244064637984,-45.1849149086
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.721881170974,0.161333249795,0.116785579231,-35.8855361894
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0681170905821,0.663989220418,0.267893689,-22.9968908578
