Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.609481130888,0.316037771439,0.0744810976732,-16.4509836029
Dist_Mixed_0,Y,18,6,1,0.545066209226,0.357191664928,0.0977421258454,-19.4255833495
Dist_Mixed_3,Y,21,2,2,0.661371133473,0.192575319283,0.146053547244,-15.824342394
Dist_Mixed_2,Y,19,6,0,0.514648154065,0.392977937098,0.0923739088371,-18.2251751984
Dist_Mixed_5,Y,17,8,0,0.425183461942,0.380452341103,0.194364196956,-22.2701418797
Dist_Mixed_4,Y,22,2,1,0.765150299265,0.147842993529,0.0870067072068,-12.1540048009
Dist_Mixed_7,Y,24,1,0,0.893980223818,0.0691137877359,0.0369059884457,-5.36172003651
Dist_Mixed_6,Y,17,6,2,0.496754950288,0.412660289315,0.0905847603968,-22.0079153346
CD_Mixed_6,Y,5,4,16,0.463621014334,0.104057673356,0.43232131231,-26.3120581473
Bal_Pure_1,Y,0,24,1,0.0422720799295,0.911877218339,0.0458507017311,-5.2963630231
Bal_Pure_0,Y,0,25,0,0.0369042013805,0.917245151042,0.0458506475776,-2.15951255423
CB_Pure_8,Y,10,6,9,0.58717750046,0.164515226264,0.248307273276,-28.6905887553
CB_Pure_9,Y,22,2,1,0.604480048372,0.167697216271,0.227822735357,-16.1248833706
CB_Pure_0,Y,18,4,3,0.607330018096,0.162393908618,0.230276073286,-20.652643629
CB_Pure_1,Y,11,11,3,0.588238159283,0.164515226264,0.247246614453,-29.8812378614
CB_Pure_2,Y,17,4,4,0.609451335742,0.175121814493,0.215426849765,-21.5279643376
CB_Pure_3,Y,23,2,0,0.61581528868,0.168757861555,0.215426849765,-14.7091697051
CB_Pure_4,Y,18,5,2,0.607330018096,0.185728402723,0.206941579181,-20.544279941
CB_Pure_5,Y,17,6,2,0.599905406335,0.167697202733,0.232397390932,-22.3189006734
CB_Pure_6,Y,13,8,4,0.591420135752,0.173000496847,0.235579367401,-26.6464882423
CB_Pure_7,Y,20,1,4,0.590359476929,0.175121814493,0.234518708578,-18.0836260124
CW_Mixed_9,Y,24,1,0,0.628543194555,0.171939838024,0.199516967421,-12.9050232877
CW_Mixed_8,Y,25,0,0,0.764307523892,0.129513485107,0.106178991002,-6.71962631554
CW_Mixed_1,Y,23,1,1,0.788702676819,0.141180732159,0.0701165910217,-10.0747251438
CW_Mixed_0,Y,24,1,0,0.928709641448,0.0361755086876,0.0351148498646,-5.09439227096
CW_Mixed_3,Y,22,1,2,0.711274582744,0.139059414513,0.149666002742,-13.2668803174
CW_Mixed_2,Y,24,1,0,0.854463523842,0.08390515572,0.0616313204382,-6.252823364
CW_Mixed_5,Y,24,1,0,0.85022088855,0.0976937204183,0.0520853910317,-6.22013626113
CW_Mixed_4,Y,19,3,3,0.707031947453,0.170879179201,0.122088873346,-18.1963227764
CW_Mixed_7,Y,25,0,0,0.801430582695,0.126331508638,0.0722379086676,-5.53392299807
CW_Mixed_6,Y,19,2,4,0.852342206196,0.0817838380741,0.06587395573,-18.9229762293
Weight_Mixed_3,Y,23,0,2,0.628543194555,0.183607085077,0.187849720368,-14.0242881097
Weight_Mixed_2,Y,24,1,0,0.810976512101,0.116785579231,0.0722379086676,-7.17580416818
Weight_Mixed_1,Y,24,1,0,0.634907147493,0.163454567441,0.201638285067,-12.7138565671
Weight_Mixed_0,Y,19,3,3,0.632785829847,0.169818520378,0.197395649775,-18.8815522432
Weight_Mixed_7,Y,24,0,1,0.759004229777,0.143302049805,0.0976937204183,-8.94386828668
Weight_Mixed_6,Y,21,3,1,0.606269359273,0.165575885087,0.22815475564,-17.3817571275
Weight_Mixed_5,Y,25,0,0,0.929770300271,0.0351148498646,0.0351148498646,-1.82044280744
Weight_Mixed_4,Y,22,2,1,0.701728653338,0.151787320388,0.146484026274,-13.4839754185
CD_Mixed_10,Y,14,2,9,0.375586332029,0.141180732159,0.483232935812,-24.1704740056
CD_Mixed_11,Y,5,4,16,0.354373155571,0.143302049805,0.502324794625,-23.9743604823
CD_Mixed_12,Y,17,4,4,0.529778506689,0.0595100027923,0.410711490519,-25.6459372065
CD_Mixed_13,Y,10,3,12,0.53786713194,0.0605706616153,0.401562206445,-25.5619849343
CD_Mixed_14,Y,7,7,11,0.50922934372,0.0754198851365,0.415350771143,-32.4817384039
CD_Mixed_15,Y,7,2,16,0.322221384137,0.159211932149,0.518566683714,-22.1096396154
Weight_Pure_1,Y,23,2,0,0.712335241567,0.153908638034,0.133756120398,-11.5445447944
Weight_Pure_0,Y,21,4,0,0.697818024791,0.146484026274,0.155697948935,-15.2390908818
Weight_Pure_3,Y,23,2,0,0.699607335692,0.161333249795,0.139059414513,-11.8649955153
Weight_Pure_2,Y,23,1,1,0.717638535682,0.152847979211,0.129513485107,-11.5534349072
Weight_Pure_5,Y,23,2,0,0.693243382754,0.159211932149,0.147544685097,-12.1016433304
Weight_Pure_4,Y,21,3,1,0.72400248862,0.14860534392,0.127392167461,-14.5620380093
Weight_Pure_7,Y,24,1,0,0.672030206296,0.167697202733,0.160272590972,-11.3244430415
Weight_Pure_6,Y,22,3,0,0.717509258507,0.161333249795,0.121157491698,-12.7761769432
CB_Pure_12,Y,21,2,2,0.611904660133,0.175121814493,0.212973525374,-16.8924764056
CB_Pure_13,Y,19,2,4,0.596723429867,0.179364449785,0.223912120349,-19.2324067676
CB_Pure_10,Y,19,3,3,0.581874206345,0.175121814493,0.243003979162,-19.7593716784
CB_Pure_11,Y,14,5,6,0.593541453398,0.161333249795,0.245125296807,-24.8604056994
CB_Pure_14,Y,12,4,9,0.591687503909,0.193549646278,0.214762849813,-26.7101926537
CB_Pure_15,Y,15,5,5,0.592480794575,0.160272590972,0.247246614453,-23.9927934167
CD_Mixed_2,Y,9,2,14,0.261035179152,0.178303790962,0.560661029886,-23.6373767701
CD_Mixed_3,Y,21,1,3,0.511350661366,0.0743592263135,0.41429011232,-19.3271075748
CD_Mixed_0,Y,9,2,14,0.237700685047,0.176182473316,0.586116841637,-23.8824629769
CW_Pure_8,Y,24,0,1,0.833250347383,0.0902691086577,0.0764805439594,-6.94882637526
CD_Pure_14,Y,5,6,14,0.276945061496,0.177243132139,0.545811806365,-25.2778123534
CD_Pure_15,Y,7,3,15,0.315128779122,0.168757861555,0.516113359323,-23.3427211329
CD_Pure_10,Y,13,4,8,0.335281296758,0.170879179201,0.493839524041,-26.9177617238
CD_Pure_11,Y,12,4,9,0.376314984107,0.134816779221,0.488868236671,-26.1842601287
CD_Pure_12,Y,9,4,12,0.263156496797,0.164515226264,0.572328276939,-25.9305765169
CD_Pure_13,Y,10,6,9,0.520564584028,0.0669346145529,0.412500801419,-30.7223015819
CD_Mixed_4,Y,12,2,11,0.516653955481,0.0732985674906,0.410047477029,-22.9573175627
CD_Pure_5,Y,5,5,15,0.297097579132,0.161333249795,0.541569171073,-24.3891563323
CW_Pure_13,Y,25,0,0,0.841735617966,0.0934510851265,0.064813296907,-4.307232674
CW_Pure_12,Y,23,2,0,0.870373406186,0.0775412027823,0.0520853910317,-8.30704967893
CW_Pure_11,Y,25,0,0,0.780217406236,0.135877438044,0.08390515572,-6.2045668048
