Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.34779746972,0.144095489393,0.508107040888,-28.7806645982
CW_6_CB_N,Y,12,8,5,0.653141104129,0.160669249843,0.186189646028,-28.1437516641
Dist_3_BC_N,Y,16,5,4,0.390200052393,0.325988225837,0.28381172177,-25.6997783897
Weight_2_CC_N,Y,9,12,4,0.454792060969,0.339177361479,0.206030577552,-26.3849429247
CD_3_BB_N,Y,7,3,15,0.413770049655,0.124210190992,0.462019759353,-24.0166687397
CB_7_CB_N,Y,14,2,9,0.631725171024,0.139059414513,0.229215414463,-23.6337570724
CW_1_CB_N,Y,17,4,4,0.670969547473,0.158151273326,0.170879179201,-21.2275431741
CW_5_BB_N,Y,14,4,7,0.64127110043,0.17406115567,0.1846677439,-25.0380153117
Bal_2_BB_N,Y,1,23,1,0.0440613637536,0.917245123965,0.0386935122814,-8.36100754905
Weight_2_BC_N,Y,11,7,7,0.374928283654,0.436399538564,0.188672177782,-28.2698151936
CW_7_CB_N,Y,18,4,3,0.652145043279,0.144362735705,0.203492221017,-20.2128761877
Bal_3_BB_N,Y,1,22,2,0.0369041743038,0.926191651392,0.0369041743038,-11.5851220024
CW_4_BC_N,Y,17,1,7,0.649959141198,0.155697948935,0.194342909866,-20.6511333207
CD_4_CB_N,Y,10,6,9,0.366991798753,0.157616753625,0.475391447622,-27.8022410206
Dist_4_CC_N,Y,16,8,1,0.505371258035,0.195515407789,0.299113334175,-25.183252743
Bal_5_CC_N,Y,5,16,4,0.229946940792,0.519233870816,0.250819188392,-23.3680393688
CD_5_CC_N,Y,16,4,5,0.502232416451,0.164765440651,0.333002142898,-23.7300378899
CD_2_CC_N,Y,12,1,12,0.400371500277,0.146208060924,0.453420438799,-22.398299099
CB_7_BB_N,Y,19,1,5,0.596723429867,0.180425108608,0.222851461526,-19.0284178547
Bal_1_CC_N,Y,4,20,1,0.198735418966,0.618973740112,0.182290840922,-17.7591240133
CW_5_CC_N,Y,16,5,4,0.668792553968,0.156094607806,0.175112838226,-22.6922654793
Weight_5_BC_N,Y,10,10,5,0.34391077236,0.42148571707,0.23460351057,-26.562716154
CD_3_CB_N,Y,17,0,8,0.545572279713,0.146005818736,0.308421901551,-19.7109326571
CW_2_CC_N,Y,15,3,7,0.640827593045,0.163980571179,0.195191835776,-23.5353513531
CB_1_BC_N,Y,10,4,11,0.589648601386,0.148273431943,0.262077966671,-27.647319495
CD_4_CC_N,Y,7,7,11,0.372885735193,0.154628706458,0.472485558349,-28.2197111346
CD_4_BC_N,Y,14,8,3,0.368725366102,0.152110770556,0.479163863342,-31.2401525783
CD_1_CC_N,Y,8,9,8,0.384388165539,0.198494790072,0.417117044389,-29.1968582614
