Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.223000040878,0.474643774717,0.302356184404,-23.3188502895
Uncentered_CD_2_0_0.5,Y,6,3,15,0.111231471018,0.217990575072,0.67077795391,-23.7365186231
Uncentered_CW_1_0_2.0,Y,14,9,1,0.651367207718,0.313965931242,0.0346668610396,-19.7897524463
Centered_CD_2_0_1.0,Y,8,4,12,0.355670737745,0.21259870113,0.431730561125,-24.5428376879
Uncentered_D_1_0_0.25,Y,14,3,7,0.698532724684,0.203979347929,0.0974879273868,-26.0882222101
Uncentered_W_1_0_0.25,Y,14,8,2,0.584867430554,0.186365895962,0.228766673484,-23.8996332224
Centered_CW_2_0_0.25,Y,19,2,3,0.817436925136,0.118780094537,0.0637829803271,-16.3478187165
Centered_CW_4_0_1.0,Y,24,0,0,0.934979777074,0.0325101114628,0.0325101114628,-1.61352908939
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0825054006066,0.439057406699,0.478437192694,-28.8407585976
Uncentered_W_0_0_2.0,Y,16,3,5,0.288643238663,0.600890097858,0.110466663479,-32.4242582854
Uncentered_D_0_0_0.5,Y,16,3,5,0.607750395465,0.225738045582,0.166511558953,-21.3964491124
Uncentered_CD_1_0_0.25,Y,5,3,16,0.147896213824,0.179169082689,0.672934703487,-21.0522101482
Centered_D_4_0_1.0,Y,20,3,1,0.933901402286,0.0335884862512,0.0325101114628,-14.9746081682
Centered_W_2_0_1.0,Y,23,0,1,0.817436925136,0.134955716363,0.0476073585007,-7.68114324398
Centered_W_4_0_1.0,Y,22,1,1,0.934979777074,0.0325101114628,0.0325101114628,-8.33147656415
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.816358550348,0.134955716363,0.0486857332892,-31.8165900412
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.730088567274,0.191031205361,0.0788802273651,-29.3641497735
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.757590949115,0.168385334804,0.0740237160809,-18.658896061
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.733323691639,0.188874455784,0.0778018525767,-29.7573615167
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.658915831237,0.19857982888,0.142504339882,-57.1809120732
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.820672049501,0.128485467633,0.050842482866,-41.9360744305
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.616859214489,0.167306960016,0.215833825495,-45.17943129
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.683718451371,0.166228585228,0.150052963401,-35.9368522055
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0661003382648,0.667366930971,0.266532730764,-23.0322480164
