Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.608285758123,0.301446071815,0.0902681700619,-16.4417835279
Dist_Mixed_0,Y,18,6,1,0.514428912899,0.388083159714,0.0974879273868,-19.9718027401
Dist_Mixed_3,Y,21,2,2,0.649799362741,0.209394165923,0.140806471336,-16.1007357994
Dist_Mixed_2,Y,19,6,0,0.510819034237,0.39710785637,0.0920731093931,-18.3043420869
Dist_Mixed_5,Y,17,8,0,0.454865914969,0.335739919108,0.209394165923,-22.1231418814
Dist_Mixed_4,Y,22,2,1,0.749071025958,0.16066080398,0.0902681700619,-12.4181626492
Dist_Mixed_7,Y,24,1,0,0.864587143157,0.083048412737,0.0523644441062,-5.98040780656
Dist_Mixed_6,Y,17,6,2,0.537893124205,0.370033766402,0.0920731093931,-21.2769324738
CD_Mixed_6,Y,5,4,16,0.446606030218,0.120936844114,0.432457125668,-25.8926928851
Bal_Pure_1,Y,0,24,1,0.0469496261126,0.902490869112,0.050559504775,-5.44692527167
Bal_Pure_0,Y,0,25,0,0.034315050794,0.92776001975,0.0379249294564,-1.87455447616
CB_Pure_8,Y,10,6,9,0.611467340547,0.191031205361,0.197501454092,-29.4489322425
CB_Pure_9,Y,22,2,1,0.595995339212,0.188874455784,0.215130205004,-16.2553508143
CB_Pure_0,Y,18,4,3,0.586664720413,0.182404207054,0.230931072533,-20.8024608952
CB_Pure_1,Y,11,11,3,0.601761967451,0.167306960016,0.230931072533,-29.6509102317
CB_Pure_2,Y,17,4,4,0.593134969144,0.183482581842,0.223382449014,-21.6576881181
CB_Pure_3,Y,23,2,0,0.592056594355,0.179169082689,0.228774322956,-15.4943707981
CB_Pure_4,Y,18,5,2,0.598526843086,0.183482581842,0.217990575072,-20.7638948696
CB_Pure_5,Y,17,6,2,0.600683592662,0.160836711285,0.238479696052,-22.4958142443
CB_Pure_6,Y,13,8,4,0.598526843086,0.181325832266,0.220147324649,-26.3862014567
CB_Pure_7,Y,20,1,4,0.597448468297,0.154366462555,0.248185069148,-17.7444930231
CW_Mixed_9,Y,24,1,0,0.604997091816,0.181325832266,0.213677075918,-13.7682187569
CW_Mixed_8,Y,25,0,0,0.761361436138,0.134955716363,0.103682847499,-6.8161771235
CW_Mixed_1,Y,23,1,1,0.805574802463,0.114466595383,0.0799586021535,-9.66630046222
CW_Mixed_0,Y,24,1,0,0.931744652709,0.0357452358281,0.0325101114628,-5.02805379304
CW_Mixed_3,Y,22,1,2,0.708521071505,0.144661089459,0.146817839036,-13.3511474324
CW_Mixed_2,Y,24,1,0,0.843317920058,0.0972125987683,0.0594694811734,-6.42072526391
CW_Mixed_5,Y,24,1,0,0.857336792308,0.0885856004609,0.0540776072313,-6.11797270305
CW_Mixed_4,Y,19,3,3,0.691970695382,0.17162045917,0.136408845449,-18.2597274459
CW_Mixed_7,Y,25,0,0,0.781850557118,0.124171968479,0.093977474403,-6.15229150323
CW_Mixed_6,Y,19,2,4,0.845474669635,0.0853504760956,0.0691748542692,-18.7957342757
Weight_Mixed_3,Y,23,0,2,0.624407838008,0.167306960016,0.208285201976,-13.969579314
Weight_Mixed_2,Y,24,1,0,0.799104553733,0.113388220595,0.0875072256725,-7.5592614329
Weight_Mixed_1,Y,24,1,0,0.641661834623,0.146817839036,0.211520326341,-12.5672150848
Weight_Mixed_0,Y,19,3,3,0.627642962373,0.183482581842,0.188874455784,-18.9368171361
Weight_Mixed_7,Y,24,0,1,0.743029064735,0.138190840728,0.118780094537,-9.25896424724
Weight_Mixed_6,Y,21,3,1,0.6157808397,0.15113133819,0.23308782211,-17.3073053978
Weight_Mixed_5,Y,25,0,0,0.934979777074,0.0325101114628,0.0325101114628,-1.68075946812
Weight_Mixed_4,Y,22,2,1,0.69126707489,0.164071835651,0.144661089459,-13.6713019856
CD_Mixed_10,Y,14,2,9,0.388373791643,0.133877341575,0.477748866782,-23.9107114461
CD_Mixed_11,Y,5,4,16,0.312887556453,0.167306960016,0.519805483531,-23.4300669875
CD_Mixed_12,Y,17,4,4,0.527132329105,0.0605478559618,0.412319814934,-25.6462710722
CD_Mixed_13,Y,10,3,12,0.533954388081,0.0627046055387,0.403341006381,-25.4780845958
CD_Mixed_14,Y,7,7,11,0.491897771332,0.0907423500378,0.41735987863,-31.3763788287
CD_Mixed_15,Y,7,2,16,0.344160425318,0.153288087766,0.502551486916,-22.2263189709
Weight_Pure_1,Y,23,2,0,0.719304819389,0.146817839036,0.133877341575,-11.4149367282
Weight_Pure_0,Y,21,4,0,0.703129197563,0.158679961709,0.138190840728,-14.7599707971
Weight_Pure_3,Y,23,2,0,0.68479682616,0.165150210439,0.150052963401,-12.3103607497
Weight_Pure_2,Y,23,1,1,0.71175619587,0.148974588613,0.139269215517,-11.6957824486
Weight_Pure_5,Y,23,2,0,0.693423824467,0.169463709593,0.13711246594,-11.9708523661
Weight_Pure_4,Y,21,3,1,0.722539943755,0.152209712978,0.125250343267,-14.5495629296
Weight_Pure_7,Y,24,1,0,0.665386079968,0.170542084381,0.164071835651,-11.5460812334
Weight_Pure_6,Y,22,3,0,0.710608988927,0.15113133819,0.138259672883,-13.1847428981
CB_Pure_12,Y,21,2,2,0.597448468297,0.166228585228,0.236322946475,-17.2907269539
CB_Pure_13,Y,19,2,4,0.598526843086,0.1780907079,0.223382449014,-19.1987985444
CB_Pure_10,Y,19,3,3,0.597448468297,0.166228585228,0.236322946475,-19.4974998756
CB_Pure_11,Y,14,5,6,0.611467340547,0.17162045917,0.216912200284,-24.8684373279
CB_Pure_14,Y,12,4,9,0.610740776004,0.155444837343,0.233814386653,-26.441898757
CB_Pure_15,Y,15,5,5,0.590978219567,0.173777208747,0.235244571687,-23.8751956624
CD_Mixed_2,Y,9,2,14,0.265439065763,0.184560956631,0.549999977606,-23.6865992934
CD_Mixed_3,Y,21,1,3,0.502681519216,0.0799586021535,0.41735987863,-19.5914333967
CD_Mixed_0,Y,9,2,14,0.235244571687,0.164071835651,0.600683592662,-23.7746853453
CW_Pure_8,Y,24,0,1,0.831455797386,0.10260447271,0.065939729904,-7.14886554188
CD_Pure_14,Y,5,6,14,0.281614687589,0.165150210439,0.553235101972,-25.4290878103
CD_Pure_15,Y,7,3,15,0.319357805184,0.15760158692,0.523040607896,-23.2545998125
CD_Pure_10,Y,13,4,8,0.319357805184,0.165150210439,0.515491984377,-27.3434286702
