Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.339961646422,0.15581959164,0.504218761938,-28.4922251488
CW_6_CB_N,Y,12,8,5,0.647007820462,0.170565028433,0.182427151105,-27.8808938081
Dist_3_BC_N,Y,16,5,4,0.400625958826,0.307801600288,0.291572440886,-25.4569993934
Weight_2_CC_N,Y,9,12,4,0.448625106754,0.360076008739,0.191298884507,-26.0870637719
CD_3_BB_N,Y,7,3,15,0.40454941347,0.13064221721,0.464808369321,-23.9326993195
CB_7_CB_N,Y,14,2,9,0.6157808397,0.170542084381,0.213677075918,-24.2152491375
CW_1_CB_N,Y,17,4,4,0.677248202641,0.152209712978,0.170542084381,-21.2302734903
CW_5_BB_N,Y,14,4,7,0.644896958988,0.173777208747,0.181325832266,-25.093448852
Bal_2_BB_N,Y,1,23,1,0.0397298687877,0.920540262425,0.0397298687877,-8.35557843276
Weight_2_BC_N,Y,11,7,7,0.358401084244,0.462230986076,0.17936792968,-28.7171748677
CW_7_CB_N,Y,18,4,3,0.635497508035,0.14646602879,0.218036463175,-20.4133739282
Bal_3_BB_N,Y,1,22,2,0.034315050794,0.920540262425,0.0451446867813,-11.3894164627
CW_4_BC_N,Y,17,1,7,0.634067323001,0.154741216852,0.211191460147,-20.4961346884
CD_4_CB_N,Y,10,6,9,0.357253881667,0.160951431543,0.48179468679,-27.8251366801
Dist_4_CC_N,Y,16,8,1,0.488785007965,0.184224440964,0.326990551071,-26.1039485024
Bal_5_CC_N,Y,5,16,4,0.260001299352,0.535621654371,0.204377046278,-23.0757339263
CD_5_CC_N,Y,16,4,5,0.494658711356,0.1470243355,0.358316953145,-24.0625109541
CD_2_CC_N,Y,12,1,12,0.395807690539,0.126114572119,0.478077737342,-22.0482694218
CB_7_BB_N,Y,19,1,5,0.599605217874,0.182404207054,0.217990575072,-19.0362397905
Bal_1_CC_N,Y,4,20,1,0.210235450723,0.583865541759,0.205899007518,-18.5801694024
CW_5_CC_N,Y,16,5,4,0.662433933694,0.141800719391,0.195765346915,-22.8793683256
Weight_5_BC_N,Y,10,10,5,0.35959417929,0.43766545593,0.20274036478,-26.4699417772
CD_3_CB_N,Y,17,0,8,0.554359373595,0.134015005884,0.311625620521,-19.3566379008
CW_2_CC_N,Y,15,3,7,0.634778592964,0.146534860945,0.218686546091,-23.2194720572
CB_1_BC_N,Y,10,4,11,0.596867217536,0.143582714671,0.259550067793,-27.7608442798
CD_4_CC_N,Y,7,7,11,0.366041488335,0.163857689714,0.47010082195,-27.9992480033
CD_4_BC_N,Y,14,8,3,0.352519740113,0.157693363126,0.48978689676,-31.5152588435
CD_1_CC_N,Y,8,9,8,0.410101891407,0.183826742615,0.406071365978,-29.5844621594
Weight_4_BC_N,Y,17,6,2,0.448931028896,0.418629464035,0.132439507068,-22.8829353124
CW_7_BC_N,Y,18,1,6,0.622182256276,0.156523212132,0.221294531592,-19.4455152429
CW_1_BB_N,Y,20,0,5,0.679404952218,0.159758336497,0.160836711285,-16.867586905
Weight_3_CB_N,Y,12,9,4,0.407692752897,0.448449203814,0.143858043289,-25.7402491998
CW_6_BB_N,Y,16,7,2,0.656759081661,0.170542084381,0.172698833958,-22.6208327331
CW_6_CC_N,Y,12,10,3,0.635803430177,0.170565028433,0.19363154139,-28.046171182
CB_7_CC_N,Y,13,5,7,0.616063817791,0.145739464247,0.238196717961,-25.9695438853
Weight_3_CC_N,Y,8,13,4,0.402515024891,0.368328252749,0.22915672236,-26.1577290748
Dist_3_CB_N,Y,13,9,3,0.483813776423,0.305315984517,0.21087023906,-24.7859268359
Bal_2_CB_N,Y,5,10,10,0.283580230915,0.493664463301,0.222755305784,-28.3771070731
CD_4_BB_N,Y,5,8,12,0.292398435473,0.1780907079,0.529510856626,-27.5815069444
Weight_1_BC_N,Y,12,12,1,0.330783982145,0.499408147489,0.169807870366,-23.3805435588
Bal_3_BC_N,Y,8,14,3,0.159605373243,0.619704294344,0.220690332413,-25.912571764
Dist_2_BC_N,Y,21,4,0,0.811333785596,0.0895186614676,0.0991475529363,-14.0438231398
CW_5_BC_N,Y,17,2,6,0.609647106636,0.137884918586,0.252467974778,-20.6343720051
CB_6_BB_N,Y,17,3,5,0.589899844778,0.167306960016,0.242793195206,-21.414144131
CD_5_BC_N,Y,14,6,5,0.487110087837,0.179467355359,0.333422556805,-25.8680067792
CB_3_BB_N,Y,15,8,2,0.604997091816,0.180247457477,0.214755450707,-24.3218819594
CW_4_BB_N,Y,20,0,5,0.641661834623,0.167306960016,0.191031205361,-17.1504694554
CD_5_CB_N,Y,11,6,8,0.471638086501,0.179467355359,0.34889455814,-26.9974328235
CB_5_CB_N,Y,14,5,6,0.595574696811,0.170916838678,0.23350846451,-24.8153110096
CB_2_BC_N,Y,13,7,5,0.599230463577,0.153288087766,0.247481448657,-26.7675687835
CB_5_CC_N,Y,11,7,7,0.582450646938,0.159429470303,0.258119882759,-28.2790125676
CW_3_CC_N,Y,9,4,12,0.495645305572,0.221799300726,0.282555393702,-27.507549852
CW_2_BC_N,Y,13,3,9,0.665669058059,0.144309279213,0.190021662728,-26.0434586644
CW_2_CB_N,Y,17,2,6,0.644315708227,0.157670419075,0.198013872698,-20.8836354075
Weight_5_CC_N,Y,11,13,1,0.401176616063,0.36366294335,0.235160440587,-24.6442375391
CD_7_BB_N,Y,8,0,17,0.268674190128,0.17162045917,0.559705350702,-20.3799080647
Weight_5_BB_N,Y,18,6,1,0.666464454756,0.15760158692,0.175933958323,-20.1275892808
CD_6_BC_N,Y,8,9,8,0.389628069372,0.157739251229,0.452632679399,-30.5032033238
Dist_3_BB_N,Y,12,12,1,0.433206642994,0.357399191083,0.209394165923,-23.9488452682
CB_5_BC_N,Y,13,7,5,0.565380202735,0.162993460862,0.271626336402,-26.6282950131
Dist_5_BC_N,Y,12,4,9,0.422728817253,0.240621146684,0.336650036063,-25.8288213571
Bal_4_BC_N,Y,8,11,6,0.120929194641,0.653294521146,0.225776284213,-30.51266402
CB_6_CC_N,Y,17,1,7,0.587536598738,0.140722344603,0.27174105666,-20.1221907292
Bal_5_BC_N,Y,3,21,1,0.174350810035,0.602473241781,0.223175948184,-17.3808049511
CW_7_BB_N,Y,17,3,5,0.647053708565,0.166228585228,0.186717706208,-21.1745028271
Dist_1_BC_N,Y,13,10,2,0.466988071681,0.27606220092,0.256949727399,-25.487910716
Weight_2_CB_N,Y,9,13,3,0.407975730988,0.488578511501,0.103445757511,-24.1863682712
Bal_1_BC_N,Y,4,18,3,0.101755538437,0.721530405487,0.176714056076,-20.2152488357
Dist_2_BB_N,Y,22,3,0,0.851952567838,0.0938780487244,0.0541693834375,-10.6222134346
CW_3_CB_N,Y,10,6,9,0.515216660124,0.224307860548,0.260475479327,-27.7073113981
CW_4_CC_N,Y,16,6,3,0.652590896289,0.141471853197,0.205937250514,-23.3033558087
CD_2_BB_N,Y,9,0,16,0.28808493632,0.17162045917,0.540294604511,-21.0507509094
Bal_1_BB_N,Y,0,24,1,0.0397298687877,0.915125444431,0.0451446867813,-5.22654169406
Bal_2_CC_N,Y,4,16,5,0.367708758991,0.327893022919,0.304398218089,-27.7900347889
Dist_3_CC_N,Y,11,9,5,0.487308934828,0.22296945172,0.289721613452,-27.6080853289
CW_3_BC_N,Y,11,5,9,0.484907445791,0.223581296005,0.291511258204,-26.54576046
CB_2_CB_N,Y,14,5,6,0.601647247193,0.177761841706,0.220590911101,-24.818400835
Weight_1_CC_N,Y,10,13,2,0.345927117287,0.4979091303,0.156163752414,-23.3943618951
CB_1_BB_N,Y,18,0,7,0.57480259774,0.193187954938,0.232009447322,-20.1939552058
Weight_3_BC_N,Y,6,13,6,0.358561692605,0.420296739057,0.221141568338,-26.4759663442
CB_3_BC_N,Y,9,12,4,0.570825614253,0.158045173372,0.271129212375,-32.4051753268
Dist_1_CB_N,Y,10,11,4,0.563116386739,0.226977028732,0.209906584529,-28.2990312713
CD_7_CB_N,Y,13,5,7,0.348106815281,0.154481182813,0.497412001907,-27.9449680271
CB_6_BC_N,Y,13,5,7,0.5919877622,0.16048490104,0.24752733676,-25.7369179489
Weight_4_CB_N,Y,17,6,2,0.446399525022,0.484685654748,0.0689148202298,-23.406492292
CD_5_BB_N,Y,11,3,11,0.388373791643,0.141425965094,0.470200243263,-24.5721568703
CB_4_CC_N,Y,18,2,5,0.567873467979,0.150473605801,0.28165292622,-20.3087535435
Bal_4_CC_N,Y,4,8,13,0.286746523126,0.437290701633,0.275962775242,-28.3512440947
CD_7_BC_N,Y,10,5,10,0.317751712844,0.161723884189,0.520524402967,-27.1033589497
CW_2_BB_N,Y,18,3,4,0.66430770518,0.174855583535,0.160836711285,-19.903024083
CD_6_BB_N,Y,4,7,14,0.311809181665,0.152209712978,0.535981105357,-26.570116807
Bal_4_BB_N,Y,0,23,2,0.0415348081189,0.916930383762,0.0415348081189,-8.35709262762
Dist_5_BB_N,Y,9,15,1,0.407937492357,0.384473281051,0.207589226591,-23.9801806544
Weight_5_CB_N,Y,10,11,4,0.40952063628,0.446292454237,0.144186909483,-25.5488481488
CD_1_BB_N,Y,9,6,10,0.291320060685,0.162993460862,0.545686478453,-28.0413727747
CB_4_BB_N,Y,14,4,7,0.597448468297,0.156523212132,0.246028319571,-24.4455856669
CB_5_BB_N,Y,15,4,6,0.611467340547,0.162993460862,0.225539198591,-23.5701546289
CD_2_CB_N,Y,14,1,10,0.374714374746,0.150496549853,0.474789075401,-23.0849383212
CB_1_CB_N,Y,9,5,11,0.619979618596,0.160859655337,0.219160726067,-30.1361820761
CB_6_CB_N,Y,14,3,8,0.630151522196,0.172698833958,0.197149643846,-24.7240856177
Dist_1_BB_N,Y,12,11,2,0.49998939825,0.355594251752,0.144416349999,-23.5617446194
Dist_4_BB_N,Y,17,8,0,0.514428912899,0.243688013216,0.241883073885,-22.5947963598
Bal_5_BB_N,Y,0,25,0,0.207589226591,0.657019120066,0.135391653343,-10.501053971
Dist_4_BC_N,Y,16,4,5,0.428189523349,0.240131672129,0.331678804522,-24.7952425795
CB_3_CC_N,Y,9,7,9,0.557280921979,0.175039135947,0.267679942073,-29.3230615573
CW_6_BC_N,Y,15,7,3,0.621172713643,0.183482581842,0.195344704515,-23.9106091701
Bal_3_CB_N,Y,12,9,4,0.201562564313,0.651466637763,0.146970797924,-30.7467127258
Dist_2_CB_N,Y,20,4,1,0.824128969275,0.0992699226665,0.076601108058,-15.6773592306
Dist_2_CC_N,Y,21,4,0,0.781353437457,0.0966925306894,0.121954031854,-14.5261579082
Bal_3_CC_N,Y,9,10,6,0.267198112625,0.483630224011,0.249171663364,-27.479910004
CD_2_BC_N,Y,13,4,8,0.365574957832,0.156286122144,0.478138920024,-26.4087902217
CD_3_BC_N,Y,16,3,6,0.512776936822,0.169410172017,0.31781289116,-22.8906817155
CB_2_CC_N,Y,17,5,3,0.585777547509,0.161609163931,0.252613288559,-22.33241647
CB_2_BB_N,Y,15,6,4,0.581272846471,0.158679961709,0.260047191821,-24.5707894341
CW_1_CC_N,Y,15,1,9,0.651321319615,0.152936277521,0.195742402864,-22.9876184289
Weight_3_BB_N,Y,19,5,1,0.637348335469,0.169463709593,0.193187954938,-19.0780138657
Dist_1_CC_N,Y,14,8,3,0.47894197056,0.272383490103,0.248674539337,-24.8856471533
Weight_2_BB_N,Y,20,4,1,0.68479682616,0.152209712978,0.162993460862,-16.9166910472
