Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.224422344234,0.449999304105,0.325578351661,-23.9858053739
Uncentered_CD_2_0_0.5,Y,6,3,15,0.11977997649,0.232404449154,0.647815574356,-23.6226592792
Centered_CW_0_0_2.0,Y,13,7,4,0.253077955776,0.453279628552,0.293642415672,-28.3030427946
Centered_CD_2_0_1.0,Y,8,4,12,0.331907624031,0.225843800261,0.442248575708,-24.5654333871
Uncentered_D_1_0_0.25,Y,14,3,7,0.683794988936,0.199795357664,0.1164096534,-25.2072234637
Centered_CW_1_0_0.5,Y,18,5,1,0.646722132874,0.238965098047,0.114312769079,-17.171099696
Centered_CW_2_0_0.25,Y,19,2,3,0.806364589271,0.115406210561,0.0782292001676,-16.0520977098
Centered_CW_4_0_1.0,Y,24,0,0,0.937577567131,0.0312112164343,0.0312112164343,-1.54693887088
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0645887055852,0.405168203336,0.530243091078,-29.7410820532
Uncentered_W_0_0_2.0,Y,16,3,5,0.326599618842,0.578572435059,0.0948279460993,-31.3243544484
Uncentered_D_0_0_0.5,Y,16,3,5,0.575521214342,0.247245510274,0.177233275384,-21.6832297971
Uncentered_CD_1_0_0.25,Y,5,3,16,0.17007828467,0.184293023938,0.645628691392,-20.9316585946
Centered_D_4_0_1.0,Y,20,3,1,0.936484125649,0.0323046579164,0.0312112164343,-15.0770634606
Centered_W_2_0_1.0,Y,23,0,1,0.817299004093,0.143835689098,0.0388653068094,-7.88790956096
Centered_CD_3_0_2.0,Y,12,10,2,0.776841669252,0.189760231349,0.0333980993986,-26.4486766648
Centered_W_0_0_2.0,Y,6,16,2,0.185293496053,0.72730057377,0.0874059301775,-20.0839168571
Centered_W_4_0_1.0,Y,22,1,1,0.936484125649,0.0323046579164,0.0312112164343,-8.34322117407
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.8107383552,0.14492913058,0.0443325142203,-32.0259862093
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.740758100341,0.174452050599,0.0847898490606,-28.857985509
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.77615138734,0.165704518741,0.0581440939189,-17.8432752372
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.732010568484,0.208348736546,0.0596406949707,-30.0359560855
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.855569455969,0.101191471293,0.0432390727381,-25.8317733845
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.814018679646,0.133994715758,0.0519866045955,-41.8527612201
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.586582851355,0.211629060992,0.201788087653,-45.4990705773
Uncentered_CD_1_0_1.0,Y,3,4,17,0.153586663794,0.35989602152,0.486517314686,-21.9564387229
Uncentered_CD_1_0_2.0,Y,1,11,12,0.0823418823362,0.673640854671,0.244017262993,-23.7687109103
Uncentered_CW_1_0_0.25,Y,16,2,6,0.850102248558,0.0968177053645,0.0530800460777,-24.8839543071
Uncentered_W_3_0_0.5,Y,12,7,5,0.792149850003,0.16023731133,0.0476128386668,-30.8370161448
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.64453524991,0.196320880242,0.159143869848,-55.7700449308
Centered_CD_4_0_0.5,Y,18,2,4,0.581815535958,0.0366784238451,0.381506040197,-20.2144805286
Centered_D_1_0_0.5,Y,14,9,1,0.669293127325,0.250551873303,0.0801549993719,-20.6020609376
Uncentered_CD_4_0_1.0,Y,10,4,10,0.462027160409,0.138368481687,0.399604357904,-24.8054592555
Centered_CD_0_0_0.5,Y,8,11,5,0.259792563374,0.335266064226,0.4049413724,-27.3241785549
Uncentered_W_1_0_1.0,Y,9,14,1,0.329218670682,0.453606945166,0.217174384152,-22.5936915194
Uncentered_CW_1_0_0.5,Y,21,2,1,0.80089738186,0.148209455026,0.0508931631133,-11.4587557283
Centered_CW_1_0_0.25,Y,21,1,2,0.681712260304,0.174452050599,0.143835689098,-13.6703726479
Centered_CD_1_0_0.5,Y,7,6,11,0.267394576583,0.253179837315,0.479425586102,-25.5619730764
Centered_D_2_0_2.0,Y,6,14,4,0.366566766192,0.576124468335,0.057308765473,-25.1786960892
Centered_D_3_0_1.0,Y,18,3,3,0.752994963239,0.203104691417,0.043900345344,-19.2661417342
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.461612117945,0.201788087653,0.336599794402,-57.3696940525
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.472511582012,0.228030683225,0.299457734763,-55.6685835737
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.401011658242,0.255366720279,0.343621621478,-52.9467982161
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.46474145441,0.25099295435,0.284265591239,-52.6550428568
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.415574509191,0.207255295064,0.377170195746,-51.85452352
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.260085627164,0.243338863975,0.496575508861,-52.308240213
Uncentered_CW_0_0_0.5,Y,18,1,5,0.819485887057,0.136181598723,0.0443325142203,-21.1573564207
Uncentered_D_3_0_1.0,Y,12,9,3,0.725487841068,0.219735417379,0.0547767415524,-26.2023803342
Uncentered_W_3_0_2.0,Y,8,15,1,0.665684788334,0.30129126253,0.0330239491357,-24.661201827
Centered_CD_1_0_2.0,Y,7,6,11,0.468549189894,0.460933718927,0.070517091179,-39.1247073322
Centered_W_1_0_0.25,Y,18,6,0,0.71014173884,0.158050428366,0.131807832794,-17.2302793207
Uncentered_W_3_0_0.25,Y,20,2,2,0.834794067807,0.108845561668,0.0563603705242,-13.7990327678
Centered_CD_2_0_0.5,Y,11,3,10,0.362523985532,0.19522743876,0.442248575708,-24.2209128463
Centered_CW_1_0_1.0,Y,18,5,1,0.652189340285,0.246619188422,0.101191471293,-16.9838566782
Centered_CD_3_0_0.25,Y,15,2,7,0.525446766375,0.0705751097924,0.403978123832,-21.2995132787
Uncentered_CD_4_0_0.5,Y,9,7,8,0.490456638946,0.115406210561,0.394137150493,-28.9752960718
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.715608946251,0.172265167634,0.112125886115,-22.6170494753
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.679525377339,0.179919258009,0.140555364651,-56.5530539095
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.758253164056,0.136181598723,0.105565237222,-24.8588910761
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.749505632198,0.155863545402,0.0946308224001,-36.751005737
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.770281020359,0.148209455026,0.0815095246141,-31.4009092409
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.675151611411,0.17007828467,0.154770103919,-40.6672570395
Uncentered_CW_3_0_0.25,Y,17,1,6,0.635787718053,0.176638933563,0.187573348385,-19.4742987814
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.687179467715,0.184293023938,0.128527508347,-36.3231799369
Uncentered_CD_3_0_0.5,Y,5,1,18,0.258647044726,0.246619188422,0.494733766853,-20.8286035264
Centered_CD_3_0_1.0,Y,16,5,3,0.843370514549,0.107752120186,0.0488773652653,-22.9205143455
Centered_CD_4_0_2.0,Y,18,5,1,0.906961205631,0.061827577935,0.0312112164343,-19.1418074288
Centered_W_2_0_0.5,Y,23,1,0,0.807458030753,0.143835689098,0.048706280149,-6.85796026814
Uncentered_CW_1_0_2.0,Y,14,9,1,0.692646675125,0.273955225476,0.0333980993986,-20.193665268
Centered_D_0_0_0.25,Y,5,18,1,0.394477047932,0.331808713216,0.273714238852,-25.8041817836
Centered_D_2_0_0.5,Y,14,7,3,0.575031026853,0.326686646762,0.0982823263859,-22.5376479405
Centered_CD_4_0_0.25,Y,17,3,4,0.575745074555,0.0333980993986,0.390856826046,-23.3409597115
Uncentered_CD_3_0_1.0,Y,5,4,15,0.24161018847,0.308426156109,0.449963655421,-23.7860665075
Uncentered_CD_4_0_2.0,Y,15,8,1,0.709715511411,0.208348736546,0.0819357520429,-20.1935218933
Centered_CW_0_0_0.5,Y,20,2,2,0.575648436533,0.25099295435,0.173358609116,-17.3146098683
Uncentered_W_3_0_1.0,Y,15,6,3,0.796523615932,0.154770103919,0.048706280149,-23.6732061924
Centered_W_4_0_0.5,Y,22,1,1,0.937577567131,0.0312112164343,0.0312112164343,-8.35198279365
Centered_D_0_0_0.5,Y,5,18,1,0.374795101253,0.368527516151,0.256677382596,-24.2351324883
Centered_CD_1_0_0.25,Y,8,3,13,0.310038794388,0.178825816527,0.511135389085,-23.2570619556
Uncentered_W_2_0_2.0,Y,12,9,3,0.496981639154,0.419699074254,0.0833192865918,-23.6596078671
Centered_W_0_0_1.0,Y,11,12,1,0.572629195847,0.293637172155,0.133733631998,-22.849515757
Uncentered_D_4_0_2.0,Y,9,14,1,0.68792776824,0.277580690879,0.0344915408808,-24.6766946298
Centered_CD_2_0_2.0,Y,6,11,7,0.552686165408,0.407355086301,0.0399587482916,-35.9759135422
Uncentered_CD_2_0_1.0,Y,9,4,11,0.0979111468466,0.269581459547,0.632507393606,-31.1954896363
Uncentered_CW_3_0_2.0,Y,4,18,2,0.124786005718,0.468326725542,0.40688726874,-23.7776617904
Uncentered_CW_1_0_1.0,Y,19,2,3,0.794336732967,0.155863545402,0.0497997216311,-17.0914947844
Uncentered_W_2_0_0.5,Y,15,5,4,0.621572978784,0.275048666958,0.103378354257,-22.6640041153
Centered_CD_1_0_1.0,Y,8,5,11,0.237871656564,0.279422432887,0.482705910549,-25.8751694084
Uncentered_W_4_0_0.25,Y,14,6,4,0.932110359721,0.0366784238451,0.0312112164343,-34.6855674425
Centered_D_3_0_0.5,Y,20,3,1,0.788933485617,0.154477040129,0.0565894742538,-13.2165269586
Centered_W_4_0_0.25,Y,24,0,0,0.937577567131,0.0312112164343,0.0312112164343,-1.54693887088
Uncentered_CW_0_0_1.0,Y,19,4,1,0.820579328539,0.138368481687,0.0410521897738,-14.8614001905
BalAdjust_Raw_CD_0.25_5,Y,14,14,20,0.36689775146,0.150396337991,0.482705910549,-55.1270999254
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.455466511516,0.121966859454,0.422566629029,-49.4139965928
BalAdjust_Raw_CD_0.25_1,Y,12,25,11,0.35141551487,0.178825816527,0.469758668603,-63.8939054638
BalAdjust_Raw_CD_0.25_0,Y,16,8,24,0.35158957071,0.171171726152,0.477238703138,-48.5990799525
BalAdjust_Raw_CD_0.25_3,Y,15,13,20,0.318412175982,0.176638933563,0.504948890455,-53.3695081982
Uncentered_CD_4_0_0.25,Y,14,2,8,0.529820532304,0.0694816683102,0.400697799386,-21.5428039523
Centered_CW_3_0_0.25,Y,23,0,1,0.918989061935,0.048706280149,0.0323046579164,-5.37560820444
Centered_CW_3_0_1.0,Y,21,3,0,0.900400556738,0.0672947853459,0.0323046579164,-10.2992441713
Centered_W_2_0_2.0,Y,18,4,2,0.69483355809,0.266301135101,0.0388653068094,-18.3413097024
BalAdjust_Adj_CD_0.25_0,Y,19,5,24,0.243338863975,0.177732375045,0.57892876098,-48.6079079806
Uncentered_W_1_0_0.25,Y,14,8,2,0.591591851307,0.19522743876,0.213180709934,-23.50908703
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.378896598458,0.159143869848,0.461959531694,-50.104597324
BalAdjust_Adj_CD_0.25_3,Y,13,8,27,0.225469649998,0.19522743876,0.579302911243,-47.1732306625
BalAdjust_Adj_CD_0.25_4,Y,18,10,20,0.418289501122,0.140555364651,0.441155134226,-51.6771788716
BalAdjust_Adj_CD_0.25_5,Y,12,6,30,0.230217566189,0.208348736546,0.561433697265,-44.3538654349
Centered_D_2_0_0.25,Y,14,7,3,0.614911146283,0.243300942497,0.141787911219,-22.5623468391
Centered_D_4_0_0.25,Y,21,1,2,0.937577567131,0.0312112164343,0.0312112164343,-11.754504755
Uncentered_W_4_0_1.0,Y,20,3,1,0.912428413042,0.0563603705242,0.0312112164343,-13.9278577622
Uncentered_W_1_0_0.5,Y,12,10,2,0.451817280324,0.269175329254,0.279007390422,-25.2106864533
Uncentered_CW_0_0_0.25,Y,21,1,2,0.86103666338,0.0869767320249,0.0519866045955,-11.497635095
Centered_CW_2_0_0.5,Y,20,1,3,0.774654786288,0.164611077259,0.0607341364529,-15.3146734908
Centered_D_0_0_2.0,Y,1,21,2,0.243614103423,0.594950989432,0.161434907144,-15.9642775858
Uncentered_D_4_0_0.5,Y,13,7,4,0.692487472904,0.162766364527,0.144746162569,-25.2162175643
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.741851541823,0.179919258009,0.0782292001676,-57.7430841763
BalAdjust_Adj_CW_0.5_5,Y,34,5,9,0.756066281091,0.168984843188,0.0749488757211,-41.7155646915
BalAdjust_Adj_CW_0.5_2,Y,37,3,8,0.611732005445,0.248806071386,0.139461923169,-38.1170105877
Centered_D_1_0_0.25,Y,17,6,1,0.730926039173,0.172604367143,0.0964695936845,-18.2075776362
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.665310638071,0.211629060992,0.123060300937,-44.453787563
BalAdjust_Adj_CW_0.5_1,Y,31,6,11,0.713422063287,0.212722502474,0.0738554342389,-48.4168476416
Uncentered_D_2_0_0.5,Y,16,3,5,0.453490907939,0.326979710552,0.219529381509,-23.5873983986
Uncentered_CW_4_0_0.5,Y,16,6,2,0.791085417827,0.153676662437,0.0552379197353,-20.7792273683
Uncentered_CW_3_0_0.5,Y,9,6,9,0.570181229122,0.280515874369,0.149302896509,-29.798962547
Uncentered_W_1_0_2.0,Y,1,22,1,0.176229832546,0.710985979457,0.112784187997,-11.4225019107
Centered_D_2_0_1.0,Y,7,11,6,0.547840036332,0.364754033491,0.0874059301775,-29.9294088273
Centered_CW_0_0_1.0,Y,14,7,3,0.558153372818,0.287076523262,0.154770103919,-22.4971895588
Centered_CW_1_0_2.0,Y,10,12,2,0.534097660211,0.413915735194,0.0519866045955,-22.7704184882
Centered_W_4_0_2.0,Y,21,3,0,0.934297242685,0.0344915408808,0.0312112164343,-11.528297063
Centered_CW_2_0_2.0,Y,19,5,0,0.365363228931,0.323160092174,0.311476678895,-24.7784393628
Uncentered_CD_3_0_2.0,Y,6,5,13,0.299144573837,0.617765243301,0.0830901828621,-41.9909769489
Uncentered_CW_2_0_0.5,Y,14,5,5,0.551592723925,0.254273278797,0.194133997278,-23.3719962375
Centered_W_1_0_2.0,Y,6,18,0,0.543219342331,0.415009176676,0.041771480993,-19.4916362089
Centered_D_0_0_1.0,Y,2,22,0,0.320155007175,0.462641599366,0.217203393459,-19.2355573842
Uncentered_W_2_0_0.25,Y,9,6,9,0.689366350679,0.173358609116,0.137275040205,-31.7341185467
Uncentered_CD_0_0_2.0,Y,3,10,11,0.0601279117366,0.315506001798,0.624366086465,-25.1508215733
Uncentered_D_0_0_0.25,Y,13,3,8,0.661697055563,0.198730925488,0.139572018948,-25.9691236971
Uncentered_W_0_0_0.5,Y,18,1,5,0.656563106214,0.237871656564,0.105565237222,-20.2514111466
Centered_W_1_0_1.0,Y,15,9,0,0.668590962518,0.247712629904,0.0836964075784,-18.5981159273
Centered_W_2_0_0.25,Y,24,0,0,0.849008807076,0.0946308224001,0.0563603705242,-3.92845726212
Uncentered_CD_0_0_0.5,Y,4,4,16,0.0476128386668,0.14492913058,0.807458030753,-23.3264801721
BalAdjust_Raw_CD_0.5_5,Y,28,10,10,0.508284960722,0.167891401706,0.323823637573,-48.0679068553
BalAdjust_Raw_CD_0.5_2,Y,21,13,14,0.552361819517,0.177732375045,0.269905805438,-53.2573358416
BalAdjust_Raw_CD_0.5_3,Y,12,27,9,0.445958796238,0.234591332118,0.319449871644,-59.1083166752
BalAdjust_Raw_CD_0.5_0,Y,21,15,12,0.599954047937,0.162424194295,0.237621757769,-55.2370061945
BalAdjust_Raw_CD_0.5_1,Y,20,15,13,0.524254414078,0.178825816527,0.296919769395,-54.5215224468
Uncentered_D_4_0_1.0,Y,16,6,2,0.70192231595,0.243300942497,0.0547767415524,-19.952636805
Uncentered_CW_2_0_1.0,Y,14,3,7,0.529723894282,0.291450289191,0.178825816527,-24.6436498123
Uncentered_D_2_0_0.25,Y,12,7,5,0.547869045638,0.271240233544,0.180890720817,-24.903191434
Uncentered_CW_4_0_0.25,Y,15,8,1,0.796523615932,0.126340625383,0.0771357586854,-22.5248549645
Uncentered_W_2_0_1.0,Y,11,4,9,0.632507393606,0.266301135101,0.101191471293,-30.9478743662
BalAdjust_Adj_CW_0.5_3,Y,36,6,6,0.678115804208,0.218189709885,0.103694485907,-36.7159195334
Uncentered_D_1_0_2.0,Y,10,11,3,0.620221424266,0.345287034853,0.0344915408808,-26.575082269
Uncentered_D_0_0_1.0,Y,13,5,6,0.590626329946,0.308559319748,0.100814350306,-26.4914857411
Centered_D_3_0_2.0,Y,15,8,1,0.697020441054,0.267394576583,0.0355849823629,-19.3021788682
Uncentered_D_0_0_2.0,Y,8,14,2,0.561088556309,0.39823340418,0.0406780395108,-23.917184097
Centered_CW_4_0_2.0,Y,22,2,0,0.936484125649,0.0323046579164,0.0312112164343,-8.30878727761
Centered_W_3_0_2.0,Y,20,3,1,0.707954855876,0.259740486208,0.0323046579164,-14.3842596846
Centered_CW_3_0_0.5,Y,22,1,1,0.91680217897,0.0508931631133,0.0323046579164,-8.32156877449
Centered_W_1_0_0.5,Y,15,9,0,0.677338494375,0.2356847736,0.0869767320249,-18.851102737
Uncentered_CW_0_0_2.0,Y,16,4,4,0.707954855876,0.256460161761,0.0355849823629,-24.3124532636
Uncentered_CD_2_0_0.25,Y,5,1,18,0.130714391312,0.173358609116,0.695926999572,-18.4512848962
Centered_CW_4_0_0.25,Y,24,0,0,0.937577567131,0.0312112164343,0.0312112164343,-1.54693887088
BalAdjust_Adj_CW_0.25_4,Y,31,8,9,0.688272909197,0.17007828467,0.141648806133,-43.3422772583
Centered_CW_4_0_0.5,Y,24,0,0,0.936484125649,0.0323046579164,0.0312112164343,-1.57494499112
Uncentered_W_4_0_0.5,Y,20,3,1,0.931016918238,0.0377718653273,0.0312112164343,-14.7251066138
Centered_CW_3_0_2.0,Y,17,7,0,0.858849780415,0.109939003151,0.0312112164343,-18.0415483294
Uncentered_D_1_0_0.5,Y,11,6,7,0.680169523533,0.237862744393,0.0819677320733,-30.3659215369
BalAdjust_Adj_CW_0.25_0,Y,32,4,12,0.574554995051,0.217096268403,0.208348736546,-42.6652640882
Uncentered_D_3_0_0.5,Y,16,6,2,0.712798712159,0.214297219275,0.0729040685663,-19.8964691302
Centered_D_1_0_2.0,Y,11,13,0,0.473517995575,0.488019857186,0.0384621472398,-17.5494083571
Centered_CW_2_0_1.0,Y,19,1,4,0.758253164056,0.18538646542,0.0563603705242,-18.4472899336
Centered_CD_0_0_0.25,Y,8,6,10,0.260027608551,0.205758694012,0.534213697437,-26.5316402216
Centered_W_0_0_0.25,Y,15,9,0,0.632507393606,0.179919258009,0.187573348385,-22.3081743924
Centered_D_4_0_0.5,Y,23,0,1,0.933952101729,0.034836681837,0.0312112164343,-5.038570623
Uncentered_CW_3_0_1.0,Y,10,10,4,0.26899830269,0.294730613637,0.436271083672,-28.6654031397
Uncentered_D_3_0_0.25,Y,18,3,3,0.758117029693,0.163540703636,0.0783422666705,-18.0565993808
Uncentered_CW_2_0_0.25,Y,10,1,13,0.599704149141,0.182106140974,0.218189709885,-26.6074286264
Uncentered_W_0_0_0.25,Y,15,4,5,0.711235180322,0.17007828467,0.118686535008,-22.8536148523
Uncentered_D_4_0_0.25,Y,17,4,3,0.771583468436,0.138910746342,0.0895057852218,-19.5443279031
Uncentered_CD_3_0_0.25,Y,6,2,16,0.298010938084,0.189760231349,0.512228830567,-21.2914795224
Centered_D_3_0_0.25,Y,19,4,1,0.814311743437,0.127286049608,0.0584022069552,-14.9885032371
BalAdjust_Adj_CW_0.25_5,Y,35,8,5,0.628133627677,0.194133997278,0.177732375045,-38.0261173891
Uncentered_CD_0_0_1.0,Y,2,5,17,0.0563603705242,0.193040555795,0.75059907368,-18.8532745765
