Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.685607721638,0.212484486574,0.101907791789,-14.856788402
Dist_Mixed_0,Y,18,6,1,0.643914869506,0.2469264079,0.109158722594,-18.530339401
Dist_Mixed_3,Y,21,2,2,0.605847482776,0.243300942497,0.150851574726,-17.1334971263
Dist_Mixed_2,Y,19,6,0,0.618536611686,0.248739140602,0.132724247712,-17.4756823557
Dist_Mixed_5,Y,17,8,0,0.513398115005,0.263241002213,0.223360882782,-22.0114450619
Dist_Mixed_4,Y,22,2,1,0.756304296992,0.165353436337,0.0783422666705,-12.2908605724
Dist_Mixed_7,Y,24,1,0,0.856004595569,0.100095059087,0.043900345344,-6.03314377444
Dist_Mixed_6,Y,17,6,2,0.602222017374,0.268679200317,0.12909878231,-20.6009726109
CB_Mixed_8,Y,17,3,5,0.572368112087,0.212722502474,0.214909385439,-21.8165343316
CB_Mixed_9,Y,10,6,9,0.386506825908,0.266866467616,0.346626706477,-26.9676603722
CB_Pure_8,Y,10,6,9,0.559246814301,0.189760231349,0.25099295435,-28.2245811092
CB_Pure_9,Y,22,2,1,0.575648436533,0.184293023938,0.240058539529,-16.9590084772
CB_Pure_0,Y,18,4,3,0.597517266177,0.187573348385,0.214909385439,-20.5764554511
CB_Pure_1,Y,11,11,3,0.584395968391,0.184293023938,0.231311007671,-28.9044287711
CB_Pure_2,Y,17,4,4,0.580022202462,0.200694646171,0.219283151368,-21.7531598531
CB_Pure_3,Y,23,2,0,0.576741878015,0.155863545402,0.267394576583,-16.3758394072
CB_Pure_4,Y,18,5,2,0.598610707659,0.193040555795,0.208348736546,-20.5979471889
CB_Pure_5,Y,17,6,2,0.586582851355,0.183199582456,0.230217566189,-22.1890386561
CB_Pure_6,Y,13,8,4,0.587676292837,0.198507763206,0.213815943957,-26.016502464
CB_Pure_7,Y,20,1,4,0.60954512248,0.186479906902,0.203974970617,-17.9393097432
CW_Mixed_9,Y,24,1,0,0.60407791507,0.194133997278,0.201788087653,-13.7364568325
CW_Mixed_8,Y,25,0,0,0.741851541823,0.152583220955,0.105565237222,-7.46515335597
CW_Mixed_1,Y,23,1,1,0.779028552217,0.125247183901,0.0957242638823,-10.1670238666
CW_Mixed_0,Y,24,1,0,0.935390684167,0.0323046579164,0.0323046579164,-5.0355276817
CW_Mixed_3,Y,22,1,2,0.692646675125,0.166797960223,0.140555364651,-13.7944553232
CW_Mixed_2,Y,24,1,0,0.838074392254,0.106658678704,0.055266929042,-6.47768327463
CW_Mixed_5,Y,24,1,0,0.843541599665,0.0924439394358,0.0640144608994,-6.46465832538
CW_Mixed_4,Y,19,3,3,0.654376223249,0.187573348385,0.158050428366,-18.6126630784
CW_Mixed_7,Y,25,0,0,0.780121993699,0.11977997649,0.100098029811,-6.20762423375
CW_Mixed_6,Y,19,2,4,0.832607184843,0.109939003151,0.0574538120063,-19.3234278435
Weight_Mixed_3,Y,23,0,2,0.597517266177,0.172265167634,0.230217566189,-14.7818192137
Weight_Mixed_2,Y,24,1,0,0.78558920111,0.127434066865,0.0869767320249,-7.85186660463
Weight_Mixed_1,Y,24,1,0,0.632507393606,0.178825816527,0.188666789867,-12.7148638938
Weight_Mixed_0,Y,19,3,3,0.632507393606,0.182106140974,0.18538646542,-18.868638611
Weight_Mixed_7,Y,24,0,1,0.734197451448,0.150396337991,0.115406210561,-9.57475180758
Weight_Mixed_6,Y,21,3,1,0.602984473587,0.197414321724,0.199601204688,-17.1019261432
Weight_Mixed_5,Y,25,0,0,0.937577567131,0.0312112164343,0.0312112164343,-1.61139465717
CD_Mixed_7,Y,7,2,16,0.275767958177,0.176638933563,0.54759310826,-22.1202279294
CD_Mixed_10,Y,14,2,9,0.381112490729,0.146022572062,0.472864937209,-24.0937471651
CD_Mixed_11,Y,5,4,16,0.315506001798,0.184293023938,0.500200974263,-23.6167259417
CD_Mixed_12,Y,17,4,4,0.527633649339,0.0705751097924,0.401791240868,-25.1206038977
CD_Mixed_13,Y,10,3,12,0.535287739715,0.061827577935,0.40288468235,-25.5089846337
CD_Mixed_14,Y,7,7,11,0.484989431535,0.107752120186,0.407258448279,-30.5422305227
CD_Mixed_15,Y,7,2,16,0.32644041662,0.165704518741,0.507855064639,-22.2725998826
Weight_Pure_1,Y,23,2,0,0.690459792161,0.174452050599,0.13508815724,-12.0113540844
Weight_Pure_0,Y,21,4,0,0.679525377339,0.17007828467,0.150396337991,-15.1995604787
Weight_Pure_3,Y,23,2,0,0.680618818822,0.183199582456,0.136181598723,-12.2436741519
Weight_Pure_2,Y,23,1,1,0.666404079553,0.201788087653,0.131807832794,-12.9617059591
Weight_Pure_5,Y,23,2,0,0.681712260304,0.166797960223,0.151489779473,-12.3943392012
Weight_Pure_4,Y,21,3,1,0.703581089947,0.171171726152,0.125247183901,-14.7557449578
Weight_Pure_7,Y,24,1,0,0.669684404,0.182106140974,0.148209455026,-11.3259347628
Weight_Pure_6,Y,22,3,0,0.699207324018,0.176638933563,0.124153742419,-13.0727182163
CD_Pure_6,Y,7,11,7,0.361056393787,0.151489779473,0.48745382674,-32.9205740773
CB_Pure_12,Y,21,2,2,0.586582851355,0.159143869848,0.254273278797,-17.6168531608
CB_Pure_13,Y,19,2,4,0.576741878015,0.201788087653,0.221470034332,-19.6877951647
CB_Pure_10,Y,19,3,3,0.582209085426,0.174452050599,0.243338863975,-19.7558041923
CB_Pure_11,Y,14,5,6,0.593143500248,0.182106140974,0.224750358778,-24.7848827698
CB_Pure_14,Y,12,4,9,0.565807463194,0.191947114313,0.242245422493,-26.1963940386
CB_Pure_15,Y,15,5,5,0.586582851355,0.206161853581,0.207255295064,-23.7661086416
CD_Pure_2,Y,7,7,11,0.325346975138,0.171171726152,0.50348129871,-27.7639530227
CD_Pure_3,Y,2,1,22,0.272861783994,0.196320880242,0.530817335764,-18.1590055919
CW_Pure_8,Y,24,0,1,0.818392445575,0.113219327597,0.068388226828,-7.49247367425
CW_Pure_9,Y,24,0,1,0.733104009966,0.154770103919,0.112125886115,-9.63935763713
CD_Mixed_1,Y,8,3,14,0.318786326245,0.162424194295,0.51878947946,-23.7861049175
CD_Pure_14,Y,5,6,14,0.26083392769,0.190853672831,0.548312399479,-25.069587519
CD_Pure_15,Y,7,3,15,0.340655155888,0.163517635777,0.495827208335,-23.4936121449
CD_Pure_10,Y,13,4,8,0.343935480335,0.163517635777,0.492546883888,-26.7835782918
CD_Pure_11,Y,12,4,9,0.339561714406,0.162424194295,0.498014091299,-26.5055125086
CD_Pure_12,Y,9,4,12,0.238965098047,0.197414321724,0.563620580229,-26.2532301577
CD_Pure_13,Y,10,6,9,0.511232027107,0.0771357586854,0.411632214208,-30.0710722395
CD_Pure_4,Y,15,7,3,0.535287739715,0.0629210194172,0.401791240868,-31.4708555549
CD_Mixed_5,Y,10,1,14,0.317692884763,0.182106140974,0.500200974263,-22.8683012893
CW_Pure_13,Y,25,0,0,0.811831796682,0.127434066865,0.0607341364529,-5.21155268054
CW_Pure_12,Y,23,2,0,0.867597312273,0.0782292001676,0.0541734875598,-8.36285934711
CW_Pure_11,Y,25,0,0,0.779028552217,0.132901274276,0.0880701735071,-6.24268953467
CW_Pure_10,Y,22,2,1,0.823859652986,0.101191471293,0.0749488757211,-11.4350425856
CW_Pure_15,Y,24,1,0,0.732010568484,0.161330752812,0.106658678704,-9.31134651137
CW_Pure_14,Y,22,2,1,0.675151611411,0.166797960223,0.158050428366,-14.0687812504
Dist_Pure_7,Y,24,0,1,0.652978533013,0.219735417379,0.127286049608,-12.2903829578
Dist_Pure_6,Y,17,6,2,0.462641599366,0.281368329227,0.255990071407,-23.4374217021
Dist_Pure_5,Y,20,4,1,0.527899976616,0.277742863824,0.19435715956,-19.5392649872
Dist_Pure_4,Y,23,1,1,0.738176969978,0.172604367143,0.0892186628789,-11.1555670222
Dist_Pure_3,Y,18,5,2,0.578656492255,0.20704628847,0.214297219275,-20.8016797711
Dist_Pure_2,Y,16,8,1,0.459016133963,0.328499379463,0.212484486574,-22.9133676468
Dist_Pure_1,Y,25,0,0,0.886821051492,0.0801549993719,0.0330239491357,-3.00280157017
Dist_Pure_0,Y,19,5,1,0.497083520693,0.284993794629,0.217922684678,-21.0810014265
CD_Mixed_8,Y,9,4,12,0.305665028459,0.165704518741,0.5286304528,-25.5071734492
CB_Mixed_4,Y,14,6,5,0.598610707659,0.18538646542,0.216002826921,-24.9582078447
CB_Mixed_5,Y,13,5,7,0.598610707659,0.173358609116,0.228030683225,-25.7807596557
CB_Mixed_6,Y,21,2,2,0.584395968391,0.190853672831,0.224750358778,-17.5787329841
CB_Mixed_7,Y,13,6,6,0.575648436533,0.200694646171,0.223656917296,-25.801032371
CB_Mixed_0,Y,14,5,6,0.570181229122,0.191947114313,0.237871656564,-24.7340353293
CB_Mixed_1,Y,19,6,0,0.602984473587,0.165704518741,0.231311007671,-20.3967072986
CB_Mixed_2,Y,23,2,0,0.583302526908,0.179919258009,0.236778215082,-15.8286283929
CB_Mixed_3,Y,12,4,9,0.587676292837,0.209442178028,0.202881529135,-26.9883760067
Bal_Pure_5,Y,1,24,0,0.0420876126426,0.915824774715,0.0420876126426,-5.27832725618
Bal_Pure_4,Y,0,23,2,0.0330239491357,0.933952101729,0.0330239491357,-8.39263737402
Bal_Pure_7,Y,3,22,0,0.0420876126426,0.903135645805,0.0547767415524,-11.7454208945
Bal_Pure_6,Y,1,22,2,0.0384621472398,0.915824774715,0.0457130780454,-11.3632873955
Bal_Pure_1,Y,0,24,1,0.0384621472398,0.924888438222,0.0366494145384,-5.18032957088
Bal_Pure_0,Y,0,25,0,0.0312112164343,0.933952101729,0.034836681837,-1.70825312535
Bal_Pure_3,Y,1,24,0,0.0330239491357,0.932139369027,0.034836681837,-5.09707275879
Bal_Pure_2,Y,2,21,2,0.034836681837,0.926701170923,0.0384621472398,-14.8289368268
CD_Mixed_9,Y,10,2,13,0.523259883411,0.0716685512746,0.405071565315,-23.4961665784
CW_Pure_3,Y,20,4,1,0.723263036626,0.162424194295,0.114312769079,-15.9186387343
CW_Pure_2,Y,25,0,0,0.818392445575,0.120873417972,0.0607341364529,-5.0103323778
CW_Pure_1,Y,25,0,0,0.877438285612,0.0760423172032,0.0465193971846,-3.26871639755
CD_Pure_9,Y,3,6,16,0.358150219603,0.168984843188,0.472864937209,-25.7312134589
CW_Pure_7,Y,24,1,0,0.815112121128,0.113219327597,0.0716685512746,-7.0847388677
CW_Pure_6,Y,24,0,1,0.818392445575,0.112125886115,0.0694816683102,-7.47661140921
CW_Pure_5,Y,23,2,0,0.726543361073,0.17007828467,0.103378354257,-10.8905064956
CW_Pure_4,Y,23,2,0,0.72544991959,0.139461923169,0.13508815724,-11.3220818052
CD_Mixed_2,Y,9,2,14,0.27614210844,0.188666789867,0.535191101693,-23.6689421641
CD_Mixed_3,Y,21,1,3,0.501391053767,0.093537380918,0.405071565315,-19.5782163501
CD_Mixed_0,Y,9,2,14,0.238965098047,0.178825816527,0.582209085426,-23.8985850112
CD_Pure_1,Y,21,3,1,0.544035271572,0.055266929042,0.400697799386,-22.3848546182
CD_Mixed_6,Y,5,4,16,0.460933718927,0.124153742419,0.414912538654,-26.292444107
CD_Pure_7,Y,4,7,14,0.313319118834,0.172265167634,0.514415713532,-26.2593042837
CD_Mixed_4,Y,12,2,11,0.50248449525,0.0924439394358,0.405071565315,-22.9611984467
CD_Pure_5,Y,5,5,15,0.280515874369,0.18538646542,0.534097660211,-24.1898365521
CD_Pure_0,Y,14,4,7,0.424850150015,0.137275040205,0.43787480978,-25.708093361
Weight_Mixed_4,Y,22,2,1,0.675151611411,0.177732375045,0.147116013544,-14.0134826222
CD_Pure_8,Y,14,4,7,0.513418910071,0.0727619927567,0.413819097172,-25.9918151934
CB_Mixed_14,Y,16,3,6,0.59423694173,0.196320880242,0.209442178028,-22.5914942661
CB_Mixed_15,Y,18,4,3,0.590956617284,0.18538646542,0.223656917296,-20.7024046415
CB_Mixed_12,Y,14,6,5,0.583302526908,0.196320880242,0.22037659285,-24.8768063218
CB_Mixed_13,Y,18,3,4,0.573461553569,0.183199582456,0.243338863975,-20.7538974304
CB_Mixed_10,Y,19,3,3,0.573461553569,0.199601204688,0.226937241743,-19.8487702174
CB_Mixed_11,Y,18,3,4,0.583302526908,0.190853672831,0.225843800261,-20.6232790745
CW_Mixed_15,Y,25,0,0,0.788869525556,0.126340625383,0.0847898490606,-5.92885846649
CW_Mixed_14,Y,22,2,1,0.923362827863,0.0454259557025,0.0312112164343,-11.404447559
CW_Pure_0,Y,22,1,2,0.642348366946,0.176638933563,0.181012699492,-14.8897626138
CW_Mixed_11,Y,25,0,0,0.821672770021,0.114312769079,0.0640144608994,-4.91032632958
CW_Mixed_10,Y,24,1,0,0.927736593792,0.0399587482916,0.0323046579164,-5.02008595493
CW_Mixed_13,Y,25,0,0,0.596423824694,0.183199582456,0.22037659285,-12.9200937345
CW_Mixed_12,Y,23,0,2,0.885092375987,0.0738554342389,0.0410521897738,-9.1932771757
Bal_Mixed_7,Y,2,23,0,0.0384621472398,0.921262972819,0.0402748799412,-8.40238575769
Bal_Mixed_6,Y,1,23,1,0.0366494145384,0.924888438222,0.0384621472398,-8.36032812472
Bal_Mixed_5,Y,1,24,0,0.034836681837,0.92307570552,0.0420876126426,-5.27814101223
Bal_Mixed_4,Y,0,24,1,0.043900345344,0.914012042013,0.0420876126426,-5.3258785992
