Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.343445292845,0.168926824574,0.48762788258,-28.179874088
CW_6_CB_N,Y,12,8,5,0.63509743614,0.175171341818,0.189731222042,-27.694381839
Weight_2_BB_N,Y,20,4,1,0.654376223249,0.190853672831,0.154770103919,-16.9722640455
CW_4_CC_N,Y,16,6,3,0.608425642415,0.176206764687,0.215367592898,-22.9728991289
CD_3_BB_N,Y,7,3,15,0.390953464068,0.142742247616,0.466304288316,-23.8580646057
CB_7_CB_N,Y,14,2,9,0.596423824694,0.172265167634,0.231311007671,-23.9286222092
CW_1_CB_N,Y,17,4,4,0.67880608612,0.171171726152,0.150022187728,-21.2343764844
CW_5_BB_N,Y,14,4,7,0.641254925463,0.183199582456,0.175545492081,-25.1883106333
Bal_2_BB_N,Y,1,23,1,0.0402748799412,0.92307570552,0.0366494145384,-8.35939777003
Weight_2_BC_N,Y,11,7,7,0.404889295234,0.423396713958,0.171713990808,-28.2951525201
CW_7_CB_N,Y,18,4,3,0.624537171581,0.167891401706,0.207571426713,-20.327990751
Bal_3_BB_N,Y,1,22,2,0.0330239491357,0.932139369027,0.034836681837,-11.6706956261
CW_4_BC_N,Y,17,1,7,0.652995659424,0.152554211648,0.194450128927,-20.5884336939
Dist_4_CC_N,Y,16,8,1,0.503931291929,0.188318678187,0.307750029885,-25.5004701844
Bal_5_CC_N,Y,5,16,4,0.175452522713,0.636089694014,0.188457783273,-22.6161101832
CD_5_CC_N,Y,16,4,5,0.470991913101,0.194160035861,0.334848051038,-24.0733119527
CB_7_BC_N,Y,16,1,8,0.606293807341,0.174452050599,0.219254142061,-21.8925446814
Dist_3_CC_N,Y,11,9,5,0.478582043416,0.204833366922,0.316584589662,-28.127054163
CB_7_BB_N,Y,19,1,5,0.585489409873,0.174452050599,0.240058539529,-19.0513041953
Bal_1_CC_N,Y,4,20,1,0.190960797887,0.609763041246,0.199276160868,-18.1295092331
CW_5_CC_N,Y,16,5,4,0.660391636763,0.147461154501,0.192147208736,-22.8076821349
Weight_5_BC_N,Y,10,10,5,0.349759013666,0.420864690038,0.229376296296,-26.5215049671
CD_3_CB_N,Y,17,0,8,0.487019385071,0.152696287458,0.360284327471,-20.3975670633
CW_2_CC_N,Y,15,3,7,0.619850244727,0.15396378478,0.226185970493,-23.1920583458
CB_1_BC_N,Y,10,4,11,0.562068931288,0.169704134407,0.268226934305,-27.3312435636
CD_4_CB_N,Y,10,6,9,0.375381228834,0.148812709019,0.475806062147,-27.9132365549
CD_4_BC_N,Y,14,8,3,0.321257360829,0.191427917517,0.487314721654,-31.2796651845
CD_1_CC_N,Y,8,9,8,0.37828146157,0.210819771129,0.4108987673,-28.9029663317
Weight_4_BC_N,Y,17,6,2,0.456539157932,0.41902294803,0.124437894038,-22.7162482816
Weight_1_BC_N,Y,12,12,1,0.341872848838,0.501863416915,0.156263734248,-23.009134162
CW_1_BB_N,Y,20,0,5,0.656563106214,0.168984843188,0.174452050599,-17.1452560764
Weight_3_CB_N,Y,12,9,4,0.383307587934,0.467737627238,0.148954784829,-25.9620899245
CW_6_BB_N,Y,16,7,2,0.656563106214,0.177732375045,0.165704518741,-22.4192162002
CW_6_CC_N,Y,12,10,3,0.616566949556,0.174077900336,0.209355150108,-27.9767537207
CB_7_CC_N,Y,13,5,7,0.591043645204,0.168984843188,0.239971511609,-25.7166271062
Weight_3_CC_N,Y,8,13,4,0.404831276621,0.341594638666,0.253574084713,-26.6863728575
Dist_3_CB_N,Y,13,9,3,0.52087814954,0.219622350876,0.259499499583,-26.1687225196
Bal_2_CB_N,Y,5,10,10,0.349703965777,0.429583212588,0.220712821635,-28.8116683272
CD_4_BB_N,Y,5,8,12,0.291450289191,0.166797960223,0.541751750586,-27.8475741419
CW_7_BC_N,Y,18,1,6,0.612596343197,0.179170957483,0.208232699319,-19.954892297
Bal_3_BC_N,Y,8,14,3,0.165324427031,0.614336901597,0.220338671372,-25.7574978151
Dist_2_BC_N,Y,21,4,0,0.80185468898,0.10055623727,0.0975890737496,-13.8255378728
CW_5_BC_N,Y,17,2,6,0.605635505458,0.153215484254,0.241149010287,-20.8109694792
CB_6_BB_N,Y,17,3,5,0.588769734319,0.186479906902,0.224750358778,-21.5073623553
CD_5_BC_N,Y,14,6,5,0.485322689596,0.173355638393,0.341321672011,-26.0102879
CB_3_BB_N,Y,15,8,2,0.600797590623,0.183199582456,0.216002826921,-24.2848182472
CW_4_BB_N,Y,20,0,5,0.640161483981,0.176638933563,0.183199582456,-17.4065918443
CD_2_CC_N,Y,12,1,12,0.376613775402,0.158998823315,0.464387401283,-22.761713401
CB_5_CB_N,Y,14,5,6,0.594669110606,0.177703365738,0.227627523655,-24.7949679683
CB_2_BC_N,Y,13,7,5,0.577835319498,0.184293023938,0.237871656564,-26.1487806598
CB_5_CC_N,Y,11,7,7,0.55991105763,0.185357456114,0.254731486256,-27.7508515155
CW_2_BC_N,Y,13,3,9,0.635471586403,0.179919258009,0.184609155588,-26.2454132368
CW_2_CB_N,Y,17,2,6,0.640019408172,0.180954680878,0.17902591095,-21.3267309231
CD_4_CC_N,Y,7,7,11,0.331211400671,0.19830469806,0.470483901269,-27.354571812
CD_7_BB_N,Y,8,0,17,0.238965098047,0.200694646171,0.560340255783,-21.2980905306
