WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH,HalfOrder
S156,CD_Mixed_2,Y,0,0,1,0.0791037508747,0.0696096617862,0.851286587339,-0.161006441721,first
S156,Bal_Pure_3,Y,0,1,0,0.101256428781,0.810145882686,0.0885976885331,-0.210540945451,first
S156,CD_Mixed_1,Y,0,0,1,0.0696097329809,0.0696096538757,0.860780613143,-0.149915611734,first
S156,CW_Mixed_11,Y,1,0,0,0.860780783785,0.0696096222336,0.0696095939817,-0.149915413494,first
S156,CW_Pure_11,Y,1,0,0,0.860780758923,0.0696096357945,0.0696096052824,-0.149915442377,first
S156,CW_Pure_10,Y,1,0,0,0.860780798476,0.069609613193,0.0696095883313,-0.149915396427,first
S156,CD_Pure_8,Y,0,0,1,0.0727745073189,0.0696096109328,0.857615881748,-0.153598970007,first
S156,CW_Pure_15,Y,1,0,0,0.860780748752,0.0696096391847,0.0696096120629,-0.149915454192,first
S156,CW_Pure_14,Y,1,0,0,0.860780727281,0.0696096369245,0.0696096357945,-0.149915479136,first
S156,Dist_Mixed_1,Y,1,0,0,0.503171431665,0.401901509678,0.0949270586572,-0.686824348529,first
S156,Dist_Mixed_2,Y,1,0,0,0.40506619474,0.490512691416,0.104421113843,-0.903704781428,first
S156,CW_Mixed_13,Y,1,0,0,0.857615973284,0.0696096617862,0.0727743649295,-0.153598863274,first
S156,Weight_Mixed_5,Y,1,0,0,0.860780843679,0.0696095781606,0.0696095781606,-0.149915343913,first
S156,Weight_Mixed_4,Y,1,0,0,0.860780703549,0.0696096629163,0.0696096335343,-0.149915506706,first
S156,CW_Mixed_12,Y,1,0,0,0.860780821077,0.0696095928516,0.0696095860712,-0.14991537017,first
S156,CW_Pure_3,Y,1,0,0,0.860780744232,0.0696096414448,0.069609614323,-0.149915459444,first
S156,Bal_Mixed_5,Y,0,1,0,0.104421112713,0.800651828629,0.0949270586572,-0.222329097285,first
S156,Dist_Pure_6,Y,0,1,0,0.354431233747,0.414560252187,0.231008514066,-0.880536953845,first
S156,CD_Mixed_10,Y,0,0,1,0.0696097601027,0.069609643705,0.860780596192,-0.149915631427,first
S156,CD_Mixed_11,Y,0,0,1,0.0696097171599,0.0696096674366,0.860780615404,-0.149915609108,first
S156,Dist_Pure_5,Y,0,0,1,0.518994856975,0.29746690263,0.183538240395,-1.69533223867,first
S156,Weight_Pure_1,Y,1,0,0,0.86078071598,0.0696096550057,0.069609629014,-0.149915492265,first
S156,Weight_Pure_0,Y,0,1,0,0.854451326645,0.0696096629163,0.0759390104389,-2.66485188627,first
S156,Weight_Pure_3,Y,1,0,0,0.86078071485,0.0696096516155,0.0696096335343,-0.149915493578,first
