WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH,HalfOrder
S139,Weight_2_CC_N,Y,0,1,0,0.438796978809,0.382810969484,0.178392051707,-0.9602139639,first
S139,CD_2_BB_N,Y,0,0,1,0.259500684111,0.175338358967,0.565160956923,-0.570644708897,first
S139,CB_7_CB_N,Y,0,0,1,0.651350342794,0.163649147141,0.185000510065,-1.6873966968,first
S139,Dist_3_BC_N,Y,1,0,0,0.384364877671,0.339432556728,0.276202565601,-0.956162975283,first
S139,Dist_4_CC_N,Y,0,1,0,0.500310690845,0.200162443537,0.299526865618,-1.60862602442,first
S139,Dist_3_CC_N,Y,1,0,0,0.46332424191,0.285459647961,0.251216110129,-0.769328163495,first
S139,CW_6_BB_N,Y,1,0,0,0.693742287003,0.168324831872,0.137932881125,-0.365654731816,first
S139,CD_6_BB_N,Y,1,0,0,0.303919689048,0.158973462411,0.537106848541,-1.19099179324,first
S139,Dist_3_CB_N,Y,0,1,0,0.44098641044,0.356419016558,0.202594573002,-1.03164822746,first
S139,CB_2_CC_N,Y,0,0,1,0.616026049314,0.178662669879,0.205311280807,-1.58322800855,first
S139,CD_3_BB_N,Y,0,0,1,0.416136122573,0.116892299839,0.466971577588,-0.761486884861,first
S139,CB_2_BB_N,Y,0,0,1,0.639971912606,0.173000516602,0.187027570792,-1.6764992356,first
S139,CD_4_BB_N,Y,0,0,1,0.292230477222,0.163649147141,0.544120375637,-0.608584777861,first
S139,Bal_1_BB_N,Y,0,1,0,0.0280001663309,0.959999658622,0.012000175047,-0.0408223501223,first
S139,CB_2_BC_N,Y,1,0,0,0.61893133132,0.142608565855,0.238460102825,-0.479760947314,first
S139,Weight_4_CB_N,Y,1,0,0,0.487215981567,0.47210817173,0.0406758467031,-0.719047760236,first
S139,CW_5_BB_N,Y,0,1,0,0.635296227876,0.168324831872,0.196378940253,-1.78185964338,first
S139,Bal_2_BB_N,Y,0,1,0,0.020000170689,0.955999660801,0.0240001685099,-0.0449977207414,first
S139,Weight_2_BC_N,Y,0,1,0,0.351837618928,0.458446022811,0.189716358261,-0.779912719819,first
