WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S195,Centered_CD_0_0_2.0,Y,1,0,0,0.222309587551,0.450111606502,0.327578805947,-1.50368433006
S195,Uncentered_D_1_0_0.25,Y,0,0,1,0.694181021691,0.173655087962,0.132163890346,-2.023712533
S195,Centered_CW_1_0_0.5,Y,1,0,0,0.659499433634,0.221458950854,0.119041615512,-0.416274165606
S195,Centered_CW_2_0_0.25,Y,1,0,0,0.833370723866,0.0880782350596,0.0785510410743,-0.182276689161
S195,Centered_CW_4_0_1.0,Y,1,0,0,0.961987842668,0.0190060786659,0.0190060786659,-0.0387534659554
S195,Uncentered_CD_2_0_2.0,Y,1,0,0,0.0704229288904,0.438202614021,0.491374457089,-2.65323637438
S195,Uncentered_D_0_0_0.5,Y,0,0,1,0.566927171724,0.286600240468,0.146472587808,-1.92091698197
S195,Uncentered_CD_1_0_0.25,Y,1,0,0,0.173822980928,0.150004995964,0.676172023108,-1.74971784861
S195,Centered_W_2_0_1.0,Y,1,0,0,0.826225328377,0.140477801979,0.0332968696439,-0.190887748017
S195,Centered_W_4_0_1.0,Y,1,0,0,0.957224245675,0.0237696756586,0.0190060786659,-0.0437175934782
S195,BalAdjust_Raw_CW_0.5_1,Y,0,0,1,0.773825761458,0.17858657792,0.0475876606219,-3.04518178198
S195,BalAdjust_Raw_CW_0.5_0,Y,1,0,0,0.714280799049,0.20478636138,0.0809328395706,-0.336479117976
S195,BalAdjust_Raw_CW_0.5_3,Y,1,0,0,0.793473360742,0.157150391453,0.0493762478046,-0.231335311423
S195,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.742862381005,0.171441182431,0.0856964365633,-0.297244472139
S195,BalAdjust_Adj_CW_0.25_1,Y,1,0,0,0.68808101559,0.161913988446,0.150004995964,-0.373848692764
S195,BalAdjust_Adj_CW_0.25_0,Y,1,0,0,0.664263030626,0.157150391453,0.17858657792,-0.409077077483
S195,BalAdjust_Adj_CW_0.25_3,Y,0,1,0,0.614245262203,0.157150391453,0.228604346343,-1.85055202479
S195,BalAdjust_Adj_CW_0.25_2,Y,0,1,0,0.723807993035,0.138096003483,0.138096003483,-1.97980615829
S195,Uncentered_W_3_0_0.5,Y,1,0,0,0.814316335895,0.135714204986,0.0499694591183,-0.205406369436
S195,Uncentered_CW_2_0_0.25,Y,1,0,0,0.599954471225,0.15953218995,0.240513338825,-0.510901507936
S195,Centered_CD_4_0_0.5,Y,0,0,1,0.617439665801,0.0285332726513,0.354027061548,-1.03838192372
S195,Uncentered_CD_2_0_0.5,Y,0,1,0,0.140477801979,0.214313555365,0.645208642656,-1.54031512435
S195,Centered_CD_0_0_0.5,Y,0,0,1,0.324115805096,0.272893707562,0.402990487342,-0.908842321925
S195,Uncentered_CW_1_0_0.5,Y,0,1,0,0.797643746421,0.164295786942,0.0380604666366,-1.80608689674
S195,Centered_D_2_0_2.0,Y,0,1,0,0.341010006986,0.617352352012,0.041637641002,-0.482315345124
S195,Centered_D_3_0_1.0,Y,0,1,0,0.773789948491,0.185962539067,0.0402475124423,-1.68221002842
S195,Centered_CD_3_0_1.0,Y,0,1,0,0.870478876629,0.0880782350596,0.0414428883114,-2.42952982469
S195,BalAdjust_Adj_CD_0.5_0,Y,1,0,0,0.501803788593,0.200022764387,0.298173447019,-0.689546095072
S195,BalAdjust_Adj_CD_0.5_3,Y,0,0,1,0.418219228806,0.245276935818,0.336503835377,-1.08914573211
S195,BalAdjust_Adj_CD_0.5_2,Y,0,0,1,0.466271563839,0.223840749351,0.30988768681,-1.17154534776
S195,BalAdjust_Adj_CD_0.5_5,Y,0,0,1,0.418803486878,0.221458950854,0.359737562268,-1.02238050708
S195,BalAdjust_Adj_CD_0.5_4,Y,0,0,1,0.309983953842,0.223840749351,0.466175296808,-0.763193542185
S195,Uncentered_W_4_0_1.0,Y,1,0,0,0.938169857705,0.0404422651329,0.0213878771623,-0.0638242613967
S195,Uncentered_D_3_0_1.0,Y,1,0,0,0.664005605243,0.271725191419,0.0642692033381,-0.40946468791
S195,Uncentered_W_3_0_2.0,Y,0,1,0,0.645208642656,0.333403480182,0.0213878771623,-1.09840187026
S195,Centered_CD_2_0_0.5,Y,0,0,1,0.388184845598,0.188113771906,0.423701382497,-0.858726358441
S195,Centered_CD_3_0_0.25,Y,0,0,1,0.578728725304,0.0428240636293,0.378447211066,-0.971678684612
S195,Uncentered_CD_4_0_0.5,Y,0,1,0,0.485838583947,0.135714204986,0.378447211066,-1.99720403828
S195,BalAdjust_Raw_CW_0.25_0,Y,1,0,0,0.714280799049,0.140477801979,0.145241398972,-0.336479117976
S195,BalAdjust_Raw_CW_0.25_1,Y,0,1,0,0.664263030626,0.154768592957,0.180968376417,-1.86582422629
S195,BalAdjust_Raw_CW_0.25_2,Y,1,0,0,0.771443962961,0.121423414008,0.10713262303,-0.259491243697
S195,BalAdjust_Raw_CW_0.25_3,Y,1,0,0,0.769062164465,0.119041615512,0.111896220023,-0.262583474688
S195,BalAdjust_Raw_CW_0.25_4,Y,1,0,0,0.769062164465,0.114278018519,0.116659817016,-0.262583474688
S195,BalAdjust_Raw_CW_0.25_5,Y,1,0,0,0.676172023108,0.140477801979,0.183350174913,-0.391307763258
S195,BalAdjust_Adj_CD_0.5_1,Y,0,0,1,0.464863528796,0.214313555365,0.320822915839,-1.13686597213
S195,Centered_CW_4_0_0.25,Y,1,0,0,0.961987842668,0.0190060786659,0.0190060786659,-0.0387534659554
S195,Centered_CD_4_0_2.0,Y,0,1,0,0.907206477252,0.0737874440816,0.0190060786659,-2.60656669625
S195,Uncentered_CW_1_0_2.0,Y,0,1,0,0.68808101559,0.288149308752,0.0237696756586,-1.24427650002
S195,Centered_D_2_0_0.5,Y,1,0,0,0.562163574731,0.347163732539,0.0906726927301,-0.575962413197
S195,Uncentered_CD_3_0_1.0,Y,0,0,1,0.263153854403,0.300465713098,0.436380432499,-0.829240864481
S195,Uncentered_CD_4_0_2.0,Y,0,1,0,0.68486648688,0.219077152358,0.0960563607617,-1.51833131733
S195,Centered_D_0_0_0.5,Y,0,1,0,0.345384098598,0.406106530392,0.248509371011,-0.901139763672
S195,Centered_CD_1_0_0.25,Y,0,0,1,0.342930674167,0.147623197468,0.509446128365,-0.674431166228
S195,Centered_W_0_0_1.0,Y,0,1,0,0.59796217811,0.233367943336,0.168669878554,-1.45513891502
S195,Uncentered_D_4_0_2.0,Y,0,1,0,0.665254700563,0.308593825282,0.0261514741549,-1.17572934806
S195,Centered_CD_2_0_2.0,Y,0,0,1,0.549538244179,0.397712039583,0.0527497162376,-2.94219688602
S195,Uncentered_W_1_0_0.5,Y,0,1,0,0.410720140903,0.277648351313,0.311631507784,-1.28139988932
S195,Uncentered_CW_3_0_2.0,Y,0,1,0,0.10415761322,0.469174947715,0.426667439065,-0.756779557246
S195,Centered_D_1_0_0.25,Y,0,1,0,0.773391489868,0.117076182122,0.10953232801,-2.14493042683
S195,Centered_CD_1_0_1.0,Y,0,0,1,0.257185928299,0.266713122285,0.476100949416,-0.742125368631
