WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S195,Centered_CD_0_0_2.0,Y,1,0,0,0.353082361189,0.198065966002,0.448851672808,-1.04105393145
S195,Uncentered_D_1_0_0.25,Y,0,0,1,0.53244695602,0.240269357513,0.227283686468,-1.48155632163
S195,Centered_CW_1_0_0.5,Y,1,0,0,0.603868126205,0.198065941512,0.198065932283,-0.504399438983
S195,Centered_CW_2_0_0.25,Y,1,0,0,0.60386813781,0.198065933014,0.198065929176,-0.504399419765
S195,Centered_CW_4_0_1.0,Y,1,0,0,0.603868146766,0.198065926617,0.198065926617,-0.504399404935
S195,Uncentered_CD_2_0_2.0,Y,1,0,0,0.25325502344,0.19806596317,0.54867901339,-1.37335830016
S195,Uncentered_D_0_0_0.5,Y,0,0,1,0.457779350436,0.250820220537,0.291400429027,-1.23305691293
S195,Uncentered_CD_1_0_0.25,Y,1,0,0,0.198877540104,0.198065938223,0.603056521673,-1.61506602004
S195,Centered_W_2_0_1.0,Y,1,0,0,0.603868139455,0.198065933379,0.198065927165,-0.504399417041
S195,Centered_W_4_0_1.0,Y,1,0,0,0.603868146766,0.198065926617,0.198065926617,-0.504399404935
S195,BalAdjust_Raw_CW_0.5_1,Y,0,0,1,0.603868137536,0.198065934841,0.198065927622,-1.61915533592
S195,BalAdjust_Raw_CW_0.5_0,Y,1,0,0,0.603868132236,0.198065937674,0.19806593009,-0.504399428996
S195,BalAdjust_Raw_CW_0.5_3,Y,1,0,0,0.581143214944,0.198065935116,0.22079084994,-0.542758055183
S195,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.60386813114,0.198065939045,0.198065929815,-0.504399430812
S195,BalAdjust_Adj_CW_0.25_1,Y,1,0,0,0.603868127393,0.198065936578,0.198065936029,-0.504399437016
S195,BalAdjust_Adj_CW_0.25_0,Y,1,0,0,0.603056519297,0.198065936304,0.198877544399,-0.505744356469
S195,BalAdjust_Adj_CW_0.25_3,Y,0,1,0,0.603868120905,0.198065939228,0.198065939867,-1.61915527733
S195,BalAdjust_Adj_CW_0.25_2,Y,0,1,0,0.603868131779,0.19806593539,0.198065932831,-1.6191552967
S195,Uncentered_W_3_0_0.5,Y,1,0,0,0.603868138359,0.198065934019,0.198065927622,-0.504399418857
S195,Uncentered_CW_2_0_0.25,Y,1,0,0,0.603868114874,0.198065940416,0.198065944711,-0.504399457748
S195,Centered_CD_4_0_0.5,Y,0,0,1,0.238646189662,0.198065926708,0.563287883629,-0.573964442936
S195,Uncentered_CD_2_0_0.5,Y,0,1,0,0.198065930912,0.198065943248,0.603868125839,-1.61915525703
S195,Centered_CD_0_0_0.5,Y,0,0,1,0.258936270057,0.264617500499,0.476446229444,-0.741400407074
S195,Uncentered_CW_1_0_0.5,Y,0,1,0,0.603868140369,0.198065932374,0.198065927257,-1.61915531193
S195,Centered_D_2_0_2.0,Y,0,1,0,0.298704877031,0.492678339816,0.208616783153,-0.707898772615
S195,Centered_D_3_0_1.0,Y,0,1,0,0.550302253432,0.245138984428,0.204558762139,-1.4059299459
S195,Centered_CD_3_0_1.0,Y,0,1,0,0.542997816668,0.198065930272,0.25893625306,-1.61915532254
S195,BalAdjust_Adj_CD_0.5_0,Y,1,0,0,0.403401856318,0.19806594005,0.398532203632,-0.907822051793
S195,BalAdjust_Adj_CD_0.5_3,Y,0,0,1,0.364444840807,0.198065944254,0.437489214939,-0.826703225057
S195,BalAdjust_Adj_CD_0.5_2,Y,0,0,1,0.393662601663,0.198065940324,0.408271458012,-0.895822987552
S195,BalAdjust_Adj_CD_0.5_5,Y,0,0,1,0.334415483918,0.198065940781,0.4675185753,-0.76031619778
S195,BalAdjust_Adj_CD_0.5_4,Y,0,0,1,0.213486433371,0.198065942152,0.588447624477,-0.530267354582
S195,Uncentered_W_4_0_1.0,Y,1,0,0,0.603868146583,0.198065926708,0.198065926708,-0.504399405238
S195,Uncentered_D_3_0_1.0,Y,1,0,0,0.520272889415,0.274356744005,0.20537036658,-0.653401817723
S195,Uncentered_W_3_0_2.0,Y,0,1,0,0.592505660294,0.198065952112,0.209428387593,-1.61915521227
S195,Centered_CD_2_0_0.5,Y,0,0,1,0.198065954763,0.19806594005,0.603868105187,-0.504399473788
S195,Centered_CD_3_0_0.25,Y,0,0,1,0.20455880582,0.198065927805,0.597375266375,-0.515209776174
S195,Uncentered_CD_4_0_0.5,Y,0,1,0,0.198065967739,0.198065931003,0.603868101258,-1.61915531885
S195,BalAdjust_Raw_CW_0.25_0,Y,1,0,0,0.603868129038,0.198065936212,0.19806593475,-0.504399434292
S195,BalAdjust_Raw_CW_0.25_1,Y,0,1,0,0.603868128398,0.198065936212,0.19806593539,-1.61915529255
