Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.210912972281,0.489102803761,0.299984223957,-23.1888301538
Uncentered_CD_2_0_0.5,Y,6,3,15,0.106317075796,0.24364299867,0.650039925534,-24.1449523596
Centered_CW_0_0_2.0,Y,13,7,4,0.236666232713,0.479735475295,0.283598291992,-28.9167865745
Centered_CD_2_0_1.0,Y,8,4,12,0.311739068498,0.245917119398,0.442343812105,-24.7237670574
Uncentered_D_1_0_0.25,Y,14,3,7,0.725066266876,0.19410382804,0.0808299050834,-27.0268352476
Centered_CW_1_0_0.5,Y,18,5,1,0.632315247476,0.252739481581,0.114945270944,-17.2908889562
Centered_CW_2_0_0.25,Y,19,2,3,0.829410095857,0.0984680521583,0.0721218519846,-16.0780114757
Centered_CW_4_0_1.0,Y,24,0,0,0.916046893555,0.0417223902457,0.0422307161993,-2.10450532274
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0992535565656,0.43767120875,0.463075234684,-28.112999548
Uncentered_W_0_0_2.0,Y,16,3,5,0.272342410271,0.628504328927,0.0991532608024,-33.7598020643
Uncentered_D_0_0_0.5,Y,16,3,5,0.607880084538,0.248825575598,0.143294339865,-21.8517239335
Uncentered_CD_1_0_0.25,Y,5,3,16,0.146863037511,0.17954329301,0.673593669479,-21.0653423873
Centered_D_4_0_1.0,Y,20,3,1,0.914523347281,0.0437535164907,0.0417231362283,-14.3512949833
Centered_W_2_0_1.0,Y,23,0,1,0.814464527964,0.136465711074,0.0490697609616,-7.73467355953
Centered_CD_3_0_2.0,Y,12,10,2,0.777216011916,0.185128205467,0.037655782617,-26.4500479251
Centered_W_0_0_2.0,Y,6,16,2,0.114791729336,0.807072579697,0.0781356909671,-21.5158985561
Centered_W_4_0_1.0,Y,22,1,1,0.915538567601,0.0427390421528,0.0417223902457,-8.2707011429
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.80813047264,0.138756514381,0.0531130129791,-31.6867475061
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.727309394765,0.194244707473,0.0784458977616,-29.4720630969
