Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.339556633691,0.17842297543,0.482020390879,-28.0037928258
CW_6_CB_N,Y,12,8,5,0.634700231575,0.179001446726,0.186298321699,-27.6201507911
Weight_2_BB_N,Y,20,4,1,0.650802414464,0.188408968555,0.160788616981,-17.0952098444
CW_4_CC_N,Y,16,6,3,0.631054424236,0.161641208311,0.207304367453,-23.0207692656
CD_3_BB_N,Y,7,3,15,0.404997626284,0.138753177865,0.456249195851,-24.0230364288
CB_7_CB_N,Y,14,2,9,0.612363517184,0.158002905758,0.229633577059,-23.7977258304
CW_1_CB_N,Y,17,4,4,0.692428826981,0.134683320438,0.172887852581,-21.2881116987
CW_5_BB_N,Y,14,4,7,0.639669291223,0.192963883042,0.167366825735,-25.3492357287
Bal_2_BB_N,Y,1,23,1,0.0431756455816,0.933272811682,0.0235515427366,-8.47937017304
Weight_2_BC_N,Y,11,7,7,0.400685386078,0.41521040171,0.184104212212,-28.0589285058
CW_7_CB_N,Y,18,4,3,0.643860438213,0.170884895288,0.185254666499,-20.0500509488
Bal_3_BB_N,Y,1,22,2,0.0174056946356,0.964471264436,0.0181230409285,-12.8679554767
CW_4_BC_N,Y,17,1,7,0.627099790496,0.157431029849,0.215469179655,-20.5263727287
Dist_4_CC_N,Y,16,8,1,0.500568199034,0.1858440884,0.313587712566,-25.6946365459
Bal_5_CC_N,Y,5,16,4,0.224553105512,0.552879790745,0.222567103742,-22.9601566229
CD_5_CC_N,Y,16,4,5,0.484949158924,0.148676930501,0.366373910575,-24.2238021105
CB_7_BC_N,Y,16,1,8,0.593137406929,0.140776603973,0.266085989098,-20.9093341263
Dist_3_CC_N,Y,11,9,5,0.495962470937,0.19099136991,0.313046159153,-28.4205716551
CB_7_BB_N,Y,19,1,5,0.583926935155,0.182583239184,0.233489825662,-19.1952418702
Bal_1_CC_N,Y,4,20,1,0.195375482522,0.604694476093,0.199930041384,-18.2017547827
CW_5_CC_N,Y,16,5,4,0.671993818517,0.161263784625,0.166742396858,-22.6488881639
Weight_5_BC_N,Y,10,10,5,0.353649052381,0.452319309214,0.194031638405,-26.5268417161
CD_3_CB_N,Y,17,0,8,0.538583806287,0.146824777438,0.314591416275,-19.7716513976
CW_2_CC_N,Y,15,3,7,0.645963459658,0.138278055524,0.215758484818,-23.2258206486
CB_1_BC_N,Y,10,4,11,0.559701807475,0.174135630892,0.266162561633,-27.3553226713
CD_4_CB_N,Y,10,6,9,0.363434850965,0.162764284643,0.473800864392,-27.7369791049
CD_4_BC_N,Y,14,8,3,0.329453541624,0.183525532629,0.487020925747,-31.2660354366
CD_1_CC_N,Y,8,9,8,0.422087627521,0.184825709726,0.393086662753,-29.5652181789
Weight_4_BC_N,Y,17,6,2,0.432279318325,0.44761697279,0.120103708886,-23.3193202409
Weight_1_BC_N,Y,12,12,1,0.383779602257,0.45937395977,0.156846437972,-22.6794182594
CW_1_BB_N,Y,20,0,5,0.660691414948,0.177760815656,0.161547769396,-17.4041398497
Weight_3_CB_N,Y,12,9,4,0.405652983233,0.454556318839,0.139790697928,-25.7934235637
CW_6_BB_N,Y,16,7,2,0.628241966815,0.179533283462,0.192224749722,-22.7572209234
CW_6_CC_N,Y,12,10,3,0.609774099487,0.180930743877,0.209295156635,-27.7244395156
CB_7_CC_N,Y,13,5,7,0.587082253835,0.166343593244,0.246574152921,-25.692820969
Weight_3_CC_N,Y,8,13,4,0.407160541064,0.326569131987,0.266270326948,-27.0298316598
