Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.236979613826,0.458451393825,0.304568992348,-23.4948183053
Uncentered_CD_2_0_0.5,Y,6,3,15,0.107631055446,0.229234249217,0.663134695336,-23.9549661844
Centered_CW_0_0_2.0,Y,13,7,4,0.248496133003,0.473997926575,0.277505940422,-28.4537820117
Centered_CD_2_0_1.0,Y,8,4,12,0.328480185862,0.240770331712,0.430749482426,-24.708620462
Uncentered_D_1_0_0.25,Y,14,3,7,0.724351490539,0.168944843559,0.106703665902,-25.5131465929
Centered_CW_1_0_0.5,Y,18,5,1,0.637889237647,0.251666319957,0.110444442396,-17.1941297979
Centered_CW_2_0_0.25,Y,19,2,3,0.807476680544,0.124982763464,0.067540555992,-16.3072209378
Centered_CW_4_0_1.0,Y,24,0,0,0.913667342866,0.0414493668581,0.0448832902758,-2.16692955008
Uncentered_CD_2_0_2.0,Y,6,7,11,0.0921101425867,0.454256382664,0.453633474749,-28.5273989863
Uncentered_W_0_0_2.0,Y,16,3,5,0.297973528464,0.583348460875,0.118678010661,-31.6456279672
Uncentered_D_0_0_0.5,Y,16,3,5,0.622527783089,0.212073935833,0.165398281078,-21.2329277011
Uncentered_CD_1_0_0.25,Y,5,3,16,0.156537688968,0.165785844076,0.677676466955,-20.8888323049
Centered_D_4_0_1.0,Y,20,3,1,0.914123750402,0.0462859320088,0.0395903175887,-14.2437087686
Centered_W_2_0_1.0,Y,23,0,1,0.83519124953,0.11754063724,0.0472681132299,-7.19409374682
Centered_CD_3_0_2.0,Y,12,10,2,0.768058140289,0.189172566505,0.0427692932063,-26.1215042092
Centered_W_0_0_2.0,Y,6,16,2,0.154629328291,0.758254989441,0.0871156822683,-20.5091522992
Centered_W_4_0_1.0,Y,22,1,1,0.914197277062,0.0356416519312,0.0501610710063,-8.30035197284
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.803657789943,0.127655361525,0.0686868485322,-31.3694228548
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.72926275178,0.197063421904,0.0736738263158,-29.5581967472
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.764760083113,0.150076524972,0.0851633919143,-18.3250935103
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.71905752665,0.205167651026,0.0757748223244,-30.1062772409
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.869909809418,0.0789724007517,0.0511177898305,-25.2244566963
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.825309037233,0.121652152941,0.0530388098259,-41.5768484283
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.602337033519,0.18625778573,0.211405180751,-45.2399605347
Uncentered_CD_1_0_1.0,Y,3,4,17,0.202122417736,0.343765616905,0.454111965358,-22.4878213678
Uncentered_CD_1_0_2.0,Y,1,11,12,0.192059456603,0.536979532787,0.27096101061,-24.1590626651
Uncentered_CW_1_0_0.25,Y,16,2,6,0.83742345366,0.103606669008,0.0589698773318,-24.3574849612
Uncentered_W_3_0_0.5,Y,12,7,5,0.803946282346,0.12870060206,0.0673531155943,-30.4595698924
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.646166584537,0.182876549194,0.170956866269,-54.9930981851
Centered_CD_4_0_0.5,Y,18,2,4,0.587373636321,0.0413481145495,0.371278249129,-19.9123654889
Centered_D_1_0_0.5,Y,14,9,1,0.714451746024,0.211352887777,0.0741953661984,-21.2964458469
Uncentered_CD_4_0_1.0,Y,10,4,10,0.490035756112,0.0995962187531,0.410368025135,-25.2663025028
Centered_CD_0_0_0.5,Y,8,11,5,0.313282440835,0.299318512047,0.387399047118,-27.2954181299
Uncentered_W_1_0_1.0,Y,9,14,1,0.324204419821,0.446500650102,0.229294930077,-22.8985774481
Uncentered_CW_1_0_0.5,Y,21,2,1,0.807527291928,0.138540425667,0.0539322824051,-11.3625592311
Centered_CW_1_0_0.25,Y,21,1,2,0.67806301613,0.189161668192,0.132775315678,-13.8621631881
Centered_CD_1_0_0.5,Y,7,6,11,0.263002945958,0.248914272826,0.488082781216,-25.582983477
Centered_D_2_0_2.0,Y,6,14,4,0.338744231887,0.612473985619,0.0487817824937,-25.4401363279
Centered_D_3_0_1.0,Y,18,3,3,0.787919180077,0.156258519342,0.055822300581,-18.5159515558
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.46981565479,0.19780477154,0.33237957367,-57.7140591445
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.495638743251,0.209442088164,0.294919168585,-56.6417189204
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.42780705594,0.240282067947,0.331910876113,-53.2159521133
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.492851270044,0.235917297691,0.271231432266,-53.0954957035
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.442343043346,0.229914170736,0.327742785917,-51.2026876688
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.302679439811,0.226482245626,0.470838314563,-51.1371477781
Uncentered_CW_0_0_0.5,Y,18,1,5,0.821978155196,0.122028268548,0.0559935762553,-20.0448403448
Uncentered_D_3_0_1.0,Y,12,9,3,0.741213838297,0.202409938738,0.0563762229641,-26.5978588845
Uncentered_W_3_0_2.0,Y,8,15,1,0.646390615615,0.295688285475,0.0579210989101,-24.616225914
Centered_CD_1_0_2.0,Y,7,6,11,0.472537298681,0.439827325713,0.0876353756057,-36.9559844429
Centered_W_1_0_0.25,Y,18,6,0,0.752814882067,0.145426158808,0.101758959125,-16.6793675199
Uncentered_W_3_0_0.25,Y,20,2,2,0.823716672967,0.113935115453,0.0623482115791,-13.772865926
Centered_CD_2_0_0.5,Y,11,3,10,0.336696348625,0.22457278061,0.438730870765,-24.6936691213
Centered_CW_1_0_1.0,Y,18,5,1,0.632862542296,0.271671846574,0.0954656111292,-17.0998277239
Centered_CD_3_0_0.25,Y,15,2,7,0.516859910084,0.0736598901331,0.409480199783,-21.3664119445
Uncentered_CD_4_0_0.5,Y,9,7,8,0.504161110205,0.0821402435826,0.413698646212,-30.7199648483
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.699662884775,0.16018050884,0.140156606385,-23.3077903052
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.697041307324,0.169604680341,0.133354012335,-57.4379239982
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.792447216625,0.124881529021,0.0826712543547,-24.3152403142
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.766044430558,0.13711924701,0.0968363224314,-36.8969289071
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.780383162255,0.123196361647,0.0964204760979,-31.3428706891
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.678844046692,0.177636493884,0.143519459425,-41.2624710607
Uncentered_CW_3_0_0.25,Y,17,1,6,0.626761316702,0.180287278815,0.192951404482,-19.5273264401
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.704668173849,0.159276404772,0.136055421379,-35.7494391641
Uncentered_CD_3_0_0.5,Y,5,1,18,0.243255142448,0.249578023761,0.507166833791,-20.6766806181
Centered_CD_3_0_1.0,Y,16,5,3,0.81832129416,0.0775293921182,0.104149313721,-22.7792837384
Centered_CD_4_0_2.0,Y,18,5,1,0.895258750584,0.060652011839,0.0440892375771,-19.1261168589
Centered_W_2_0_0.5,Y,23,1,0,0.833039644161,0.119478884526,0.0474814713126,-6.32611867786
Uncentered_CW_1_0_2.0,Y,14,9,1,0.624931843626,0.325797348336,0.049270808038,-19.6853185938
Centered_D_0_0_0.25,Y,5,18,1,0.354513583288,0.459042441083,0.186443975629,-20.8796945301
Centered_D_2_0_0.5,Y,14,7,3,0.536864934071,0.39506575556,0.068069310369,-23.2707301729
