Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.209699535964,0.64803754482,0.142262919216,-20.2135404191
Uncentered_CD_2_0_0.5,Y,6,3,15,0.217362787867,0.220428088628,0.562209123505,-22.3318971117
Centered_CW_0_0_2.0,Y,13,7,4,0.195905682538,0.658766097484,0.145328219978,-31.8283345478
Centered_CD_2_0_1.0,Y,8,4,12,0.577535627312,0.252613746621,0.169850626068,-31.1694865501
Uncentered_D_1_0_0.25,Y,14,3,7,0.695549706619,0.156056772642,0.148393520739,-24.01055872
Uncentered_W_1_0_0.25,Y,14,8,2,0.479446002952,0.209699535964,0.310854461084,-25.1252333559
Centered_CW_2_0_0.25,Y,19,2,3,0.69861500738,0.14992617112,0.1514588215,-16.2720029164
Centered_CW_4_0_1.0,Y,24,0,0,0.844216793539,0.0778916032306,0.0778916032306,-4.0643028717
Uncentered_CD_2_0_2.0,Y,6,7,11,0.117740513127,0.586731529595,0.295527957278,-29.9768583728
Centered_D_0_0_0.25,Y,5,18,1,0.467184799907,0.211232186344,0.321583013749,-32.9260036166
Uncentered_D_0_0_0.5,Y,16,3,5,0.666429349387,0.186709780254,0.146860870358,-21.1190858959
Uncentered_CD_1_0_0.25,Y,5,3,16,0.283266754233,0.188242430635,0.528490815132,-21.520582668
Centered_D_4_0_1.0,Y,20,3,1,0.844216793539,0.0778916032306,0.0778916032306,-13.5966675437
Uncentered_CW_0_0_0.5,Y,18,1,5,0.775247526411,0.122338464268,0.10241400932,-18.0769350187
Centered_W_2_0_1.0,Y,23,0,1,0.74765981956,0.160654723784,0.0916854566561,-9.07795690548
Centered_W_0_0_2.0,Y,6,16,2,0.252613746621,0.631178390633,0.116207862746,-19.9227793692
Centered_W_4_0_1.0,Y,22,1,1,0.844216793539,0.0778916032306,0.0778916032306,-8.83048520772
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.743061868418,0.154524122261,0.10241400932,-31.6044442807
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.658766097484,0.165252674926,0.17598122759,-30.8460999778
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.712408860806,0.142262919216,0.145328219978,-21.0885653233
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.644972244059,0.189775081016,0.165252674926,-32.4757048204
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.520827563229,0.186709780254,0.292462656517,-49.9065258118
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.77218222565,0.134599667313,0.0932181070367,-38.4258359484
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.419672638108,0.209699535964,0.370627825928,-48.5948909971
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.565274424267,0.177513877971,0.257211697763,-38.6845056092
Uncentered_CD_1_0_2.0,Y,1,11,12,0.10241400932,0.606655984543,0.290930006136,-22.5925299517
Uncentered_CW_1_0_0.25,Y,16,2,6,0.782910778314,0.110077261224,0.107011960462,-21.7378182024
Uncentered_W_3_0_0.5,Y,12,7,5,0.758388372224,0.140730268836,0.10088135894,-28.5141379583
Centered_CD_4_0_0.5,Y,18,2,4,0.842684143158,0.0794242536112,0.0778916032306,-18.3565867922
Centered_D_1_0_0.5,Y,14,9,1,0.735398616515,0.156056772642,0.108544610843,-23.2412090068
Centered_D_4_0_0.25,Y,21,1,2,0.844216793539,0.0778916032306,0.0778916032306,-11.2135763757
Centered_CD_0_0_0.5,Y,8,11,5,0.42427058925,0.260276998524,0.315452412226,-27.4339051647
Uncentered_W_1_0_1.0,Y,9,14,1,0.372160476309,0.362964574025,0.264874949666,-24.4126692044
Uncentered_CW_1_0_0.5,Y,21,2,1,0.761453672986,0.131534366552,0.107011960462,-12.014833754
Centered_CW_1_0_0.25,Y,21,1,2,0.585198879215,0.165252674926,0.24954844586,-15.8283580611
Centered_CD_1_0_0.5,Y,7,6,11,0.514696961706,0.25108109624,0.234221942053,-28.9074621954
Centered_D_2_0_2.0,Y,6,14,4,0.381356378593,0.530023465512,0.0886201558949,-24.3653855854
Centered_D_3_0_1.0,Y,18,3,3,0.761453672986,0.140730268836,0.0978160581786,-17.7621971976
Centered_W_0_0_0.25,Y,15,9,0,0.507033709803,0.188242430635,0.304723859562,-25.2178884326
Centered_CD_3_0_1.0,Y,16,5,3,0.790574030217,0.12540376503,0.084022204753,-21.5710412833
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.568339725028,0.217362787867,0.214297487105,-59.0669679108
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.52389286399,0.218895438247,0.257211697763,-54.7916791333
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.551480570841,0.206634235202,0.241885193957,-54.5149632381
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.565274424267,0.221960739009,0.212764836725,-52.2787731344
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.507033709803,0.240352543576,0.252613746621,-53.2530875057
Uncentered_D_0_0_2.0,Y,8,14,2,0.421205288489,0.487109254855,0.0916854566561,-21.765598301
Uncentered_D_3_0_1.0,Y,12,9,3,0.746127169179,0.157589423023,0.096283407798,-27.1655484684
Uncentered_W_3_0_2.0,Y,8,15,1,0.565274424267,0.356833972503,0.0778916032306,-22.5732588196
Centered_W_1_0_0.25,Y,18,6,0,0.634243691394,0.162187374164,0.203568934441,-19.1098143769
Centered_CD_2_0_0.5,Y,11,3,10,0.605123334163,0.218895438247,0.17598122759,-27.4568156725
Centered_CW_1_0_1.0,Y,18,5,1,0.479446002952,0.330778916032,0.189775081016,-20.4256730017
Centered_CD_3_0_0.25,Y,15,2,7,0.824292338591,0.0886201558949,0.0870875055143,-24.8311353775
Uncentered_CD_4_0_0.5,Y,9,7,8,0.808965834785,0.0947507574174,0.096283407798,-37.1271996127
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.583666228834,0.1514588215,0.264874949666,-30.1226212596
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.579068277692,0.180579178732,0.240352543576,-52.5174777028
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.69861500738,0.160654723784,0.140730268836,-26.696578348
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.687886454716,0.143795569597,0.168317975687,-37.5190052292
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.684821153955,0.14992617112,0.165252674926,-32.9734996737
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.54841527008,0.182111829112,0.269472900808,-40.6686944397
Uncentered_CW_3_0_0.25,Y,17,1,6,0.479446002952,0.168317975687,0.352236021361,-20.5397312898
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.59746008226,0.202036284061,0.20050363368,-62.8011144534
Centered_CD_4_0_2.0,Y,18,5,1,0.833488240875,0.0886201558949,0.0778916032306,-17.9478592217
Uncentered_D_2_0_1.0,Y,11,8,5,0.503968409042,0.312387111465,0.183644479493,-25.3195234094
Centered_W_2_0_0.5,Y,23,1,0,0.758388372224,0.128469065791,0.113142561985,-8.41293932003
Uncentered_CW_1_0_2.0,Y,14,9,1,0.577535627312,0.344572769458,0.0778916032306,-19.8272789761
Centered_D_2_0_0.5,Y,14,7,3,0.661831398245,0.185177129874,0.152991471881,-23.2156386406
Centered_CD_4_0_0.25,Y,17,3,4,0.841151492778,0.0809569039918,0.0778916032306,-20.6919829494
Uncentered_CD_3_0_1.0,Y,5,4,15,0.465652149527,0.315452412226,0.218895438247,-31.2239883958
Uncentered_CD_4_0_2.0,Y,15,8,1,0.680223202813,0.241885193957,0.0778916032306,-19.6867881138
Centered_CW_0_0_0.5,Y,20,2,2,0.438064442675,0.232689291673,0.329246265652,-21.6457860164
Uncentered_CD_0_0_1.0,Y,2,5,17,0.107011960462,0.168317975687,0.724670063851,-18.8537910268
