Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.689419105097,0.17598122759,0.134599667313,-15.027608352
Dist_Mixed_0,Y,18,6,1,0.634243691394,0.22502603977,0.140730268836,-19.1059416027
Dist_Mixed_3,Y,21,2,2,0.640374292917,0.215830137486,0.143795569597,-16.3050037085
Dist_Mixed_2,Y,19,6,0,0.641906943297,0.208166885583,0.14992617112,-17.8394178634
Dist_Mixed_5,Y,17,8,0,0.510099010564,0.258744348143,0.231156641292,-22.2588755942
Dist_Mixed_4,Y,22,2,1,0.758388372224,0.134599667313,0.107011960462,-12.3300278607
Dist_Mixed_7,Y,24,1,0,0.824292338591,0.0932181070367,0.0824895543724,-7.01033406622
Dist_Mixed_6,Y,17,6,2,0.663364048626,0.189775081016,0.146860870358,-20.7853662453
CB_Mixed_8,Y,17,3,5,0.35070337098,0.312387111465,0.336909517555,-26.7430874135
CB_Mixed_9,Y,10,6,9,0.366029874786,0.292462656517,0.341507468697,-27.0963845505
CB_Pure_8,Y,10,6,9,0.358366622883,0.307789160323,0.333844216794,-27.2057562566
CB_Pure_9,Y,22,2,1,0.321583013749,0.287864705375,0.390552280876,-28.3897131436
CB_Pure_0,Y,18,4,3,0.372160476309,0.27560350233,0.352236021361,-26.0772719026
CB_Pure_1,Y,11,11,3,0.316985062607,0.309321810704,0.37369312669,-28.4979718462
CB_Pure_2,Y,17,4,4,0.362964574025,0.284799404614,0.352236021361,-26.4263467202
CB_Pure_3,Y,23,2,0,0.369095175548,0.260276998524,0.370627825928,-25.6161346897
CB_Pure_4,Y,18,5,2,0.327713615271,0.323115664129,0.3491707206,-27.8341864151
CB_Pure_5,Y,17,6,2,0.341507468697,0.32464831451,0.333844216794,-27.2087957827
CB_Pure_6,Y,13,8,4,0.330778916032,0.323115664129,0.346105419838,-27.6639725916
CB_Pure_7,Y,20,1,4,0.364497224406,0.27560350233,0.359899273264,-25.5612432118
CW_Mixed_9,Y,24,1,0,0.401280833541,0.283266754233,0.315452412226,-23.1756165614
CW_Mixed_8,Y,25,0,0,0.609721285305,0.221960739009,0.168317975687,-12.3688333892
CW_Mixed_1,Y,23,1,1,0.631178390633,0.205101584822,0.163720024545,-13.9776825087
CW_Mixed_0,Y,24,1,0,0.844216793539,0.0778916032306,0.0778916032306,-6.6167399927
CW_Mixed_3,Y,22,1,2,0.542284668557,0.260276998524,0.197438332919,-18.0538791267
CW_Mixed_2,Y,24,1,0,0.764518973747,0.143795569597,0.0916854566561,-8.38356509364
CW_Mixed_5,Y,24,1,0,0.762986323366,0.137664968075,0.0993487085592,-8.47529645737
CW_Mixed_4,Y,19,3,3,0.519294912848,0.289397355756,0.191307731396,-21.1318629331
CW_Mixed_7,Y,25,0,0,0.651102845581,0.197438332919,0.1514588215,-10.7271917082
CW_Mixed_6,Y,19,2,4,0.74765981956,0.1514588215,0.10088135894,-18.4754600904
Weight_Mixed_3,Y,23,0,2,0.404346134302,0.301658558801,0.293995306898,-23.274514944
Weight_Mixed_2,Y,24,1,0,0.658766097484,0.198970983299,0.142262919216,-11.6318781098
Weight_Mixed_1,Y,24,1,0,0.453390946482,0.287864705375,0.258744348143,-20.2292769023
Weight_Mixed_0,Y,19,3,3,0.433466491534,0.292462656517,0.274070851949,-23.45423562
Weight_Mixed_7,Y,24,0,1,0.602058033401,0.234221942053,0.163720024545,-13.9872319731
Weight_Mixed_6,Y,21,3,1,0.356833972503,0.286332054994,0.356833972503,-26.4224720353
Weight_Mixed_5,Y,25,0,0,0.844216793539,0.0778916032306,0.0778916032306,-4.23364882469
Weight_Mixed_4,Y,22,2,1,0.519294912848,0.274070851949,0.206634235202,-18.5817754086
CD_Mixed_10,Y,14,2,9,0.621982488349,0.231156641292,0.146860870358,-26.8415525655
CD_Mixed_11,Y,5,4,16,0.500903108281,0.280201453472,0.218895438247,-32.8522766233
CD_Mixed_12,Y,17,4,4,0.808965834785,0.105479310082,0.0855548551337,-22.435328048
CD_Mixed_13,Y,10,3,12,0.805900534023,0.116207862746,0.0778916032306,-39.2443192757
CD_Mixed_14,Y,7,7,11,0.761453672986,0.140730268836,0.0978160581786,-41.2053848039
CD_Mixed_15,Y,7,2,16,0.52389286399,0.278668803091,0.197438332919,-33.0380027997
Weight_Pure_1,Y,23,2,0,0.517762262468,0.283266754233,0.198970983299,-17.662231643
Weight_Pure_0,Y,21,4,0,0.526958164751,0.258744348143,0.214297487105,-18.8609755749
Weight_Pure_3,Y,23,2,0,0.54994792046,0.241885193957,0.208166885583,-16.5910131332
Weight_Pure_2,Y,23,1,1,0.534621416654,0.266407600046,0.198970983299,-17.3398416344
Weight_Pure_5,Y,23,2,0,0.503968409042,0.284799404614,0.211232186344,-18.272499327
Weight_Pure_4,Y,21,3,1,0.569872375408,0.254146397001,0.17598122759,-17.6561121529
Weight_Pure_7,Y,24,1,0,0.47484805181,0.269472900808,0.255679047382,-19.1855374565
Weight_Pure_6,Y,22,3,0,0.554545871602,0.264874949666,0.180579178732,-16.9568188474
CD_Pure_6,Y,7,11,7,0.602058033401,0.237287242815,0.160654723784,-32.1746172328
CB_Pure_12,Y,21,2,2,0.330778916032,0.320050363368,0.3491707206,-27.6153485687
CB_Pure_13,Y,19,2,4,0.341507468697,0.301658558801,0.356833972503,-26.9321865449
CB_Pure_10,Y,19,3,3,0.353768671742,0.292462656517,0.353768671742,-26.5487199519
CB_Pure_11,Y,14,5,6,0.332311566413,0.333844216794,0.333844216794,-27.4914410868
CB_Pure_14,Y,12,4,9,0.343040119077,0.306256509942,0.35070337098,-27.0025541102
CB_Pure_15,Y,15,5,5,0.353768671742,0.30012590842,0.346105419838,-26.9095060684
CD_Mixed_2,Y,9,2,14,0.428868540392,0.292462656517,0.278668803091,-27.96651817
CD_Mixed_3,Y,21,1,3,0.759921022605,0.139197618455,0.10088135894,-14.618647133
CW_Pure_9,Y,24,0,1,0.634243691394,0.197438332919,0.168317975687,-12.7096290268
CW_Pure_8,Y,24,0,1,0.755323071463,0.145328219978,0.0993487085592,-9.04375239787
CD_Pure_14,Y,5,6,14,0.442662393817,0.293995306898,0.263342299285,-30.100096347
CD_Pure_15,Y,7,3,15,0.494772506758,0.27560350233,0.229623990912,-30.8616584757
CD_Pure_10,Y,13,4,8,0.534621416654,0.290930006136,0.174448577209,-27.0482458109
CD_Pure_11,Y,12,4,9,0.618917187588,0.22655869015,0.154524122261,-28.5030561663
CD_Pure_12,Y,9,4,12,0.382889028973,0.293995306898,0.323115664129,-27.0937956781
CD_Pure_13,Y,10,6,9,0.812031135546,0.10088135894,0.0870875055143,-37.81260335
CD_Pure_4,Y,15,7,3,0.819694387449,0.0993487085592,0.0809569039918,-26.6877057053
CD_Pure_5,Y,5,5,15,0.468717450288,0.301658558801,0.229623990912,-31.850755173
