Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.533088766274,0.274070851949,0.192840381777,-30.5520436754
CW_6_CB_N,Y,12,8,5,0.425803239631,0.307789160323,0.266407600046,-26.2856962772
Dist_3_BC_N,Y,16,5,4,0.422737938869,0.298593258039,0.278668803091,-24.930335164
CW_4_CC_N,Y,16,6,3,0.470250100668,0.267940250427,0.261809648905,-23.9942098751
CD_3_BB_N,Y,7,3,15,0.635776341775,0.214297487105,0.14992617112,-36.2557138763
CB_7_CB_N,Y,14,2,9,0.355301322122,0.272538201569,0.372160476309,-25.9828709066
CB_2_BC_N,Y,13,7,5,0.316985062607,0.280201453472,0.402813483921,-28.3878415762
CW_5_BB_N,Y,14,4,7,0.442662393817,0.309321810704,0.248015795479,-25.8626027081
Bal_2_BB_N,Y,1,23,1,0.369095175548,0.313919761846,0.316985062607,-28.793812176
Dist_3_BB_N,Y,12,12,1,0.485576604475,0.280201453472,0.234221942053,-25.3874622646
CW_7_CB_N,Y,18,4,3,0.451858296101,0.269472900808,0.278668803091,-23.3773033982
Bal_3_BB_N,Y,1,22,2,0.344572769458,0.309321810704,0.346105419838,-29.0016815958
CW_4_BC_N,Y,17,1,7,0.44879299534,0.260276998524,0.290930006136,-23.6090068738
Dist_4_CC_N,Y,16,8,1,0.444195044198,0.277136152711,0.278668803091,-24.5275666166
Bal_5_CC_N,Y,5,16,4,0.369095175548,0.290930006136,0.339974818316,-29.0537997227
CD_5_CC_N,Y,16,4,5,0.589796830357,0.214297487105,0.195905682538,-22.7598046535
CD_5_CB_N,Y,11,6,8,0.588264179976,0.22655869015,0.185177129874,-28.2364177348
CB_7_BB_N,Y,19,1,5,0.367562525167,0.281734103853,0.35070337098,-25.5222390232
Bal_1_CC_N,Y,4,20,1,0.338442167935,0.316985062607,0.344572769458,-28.3770707224
CW_5_CC_N,Y,16,5,4,0.507033709803,0.248015795479,0.244950494718,-23.4649554433
Weight_5_BC_N,Y,10,10,5,0.393617581638,0.269472900808,0.336909517555,-27.8763333258
CD_3_CB_N,Y,17,0,8,0.586731529595,0.211232186344,0.202036284061,-21.8586584958
CW_2_CC_N,Y,15,3,7,0.477913352571,0.237287242815,0.284799404614,-24.1821304655
CB_1_BC_N,Y,10,4,11,0.364497224406,0.287864705375,0.347638070219,-26.6959492062
CD_4_CB_N,Y,10,6,9,0.519294912848,0.240352543576,0.240352543576,-27.937560772
CD_4_BC_N,Y,14,8,3,0.47484805181,0.261809648905,0.263342299285,-25.1506481246
CD_1_CC_N,Y,8,9,8,0.445727694579,0.269472900808,0.284799404614,-28.313725055
Weight_4_BC_N,Y,17,6,2,0.589796830357,0.209699535964,0.20050363368,-21.5619348064
Weight_1_BC_N,Y,12,12,1,0.413542036586,0.287864705375,0.298593258039,-26.7478024706
CW_1_BB_N,Y,20,0,5,0.496305157139,0.27560350233,0.228091340531,-21.4013316749
Weight_3_CB_N,Y,12,9,4,0.436531792295,0.272538201569,0.290930006136,-26.5852075084
CW_6_BB_N,Y,16,7,2,0.402813483921,0.320050363368,0.277136152711,-25.0899373969
CW_6_CC_N,Y,12,10,3,0.415074686966,0.306256509942,0.278668803091,-26.2180781441
CB_7_CC_N,Y,13,5,7,0.37522577707,0.252613746621,0.372160476309,-26.5414348648
Weight_3_CC_N,Y,8,13,4,0.441129743437,0.252613746621,0.306256509942,-29.1672764441
Dist_3_CB_N,Y,13,9,3,0.484043954094,0.274070851949,0.241885193957,-25.3397281198
Bal_2_CB_N,Y,5,10,10,0.387486980115,0.263342299285,0.3491707206,-28.6053139569
CD_4_BB_N,Y,5,8,12,0.49783780752,0.277136152711,0.22502603977,-31.6518454677
Weight_5_CC_N,Y,11,13,1,0.408944085444,0.269472900808,0.321583013749,-28.0171816452
CW_7_BC_N,Y,18,1,6,0.392084931257,0.286332054994,0.321583013749,-24.9105828995
Bal_3_BC_N,Y,8,14,3,0.361431923645,0.237287242815,0.401280833541,-31.019508137
Dist_2_BC_N,Y,21,4,0,0.795171981359,0.116207862746,0.0886201558949,-13.4226331233
CW_5_BC_N,Y,17,2,6,0.416607337347,0.293995306898,0.289397355756,-24.7734999039
CB_6_BB_N,Y,17,3,5,0.343040119077,0.295527957278,0.361431923645,-26.9338172149
CD_5_BC_N,Y,14,6,5,0.583666228834,0.232689291673,0.183644479493,-24.7600389974
CB_3_BB_N,Y,15,8,2,0.318517712987,0.312387111465,0.369095175548,-28.4626563029
CW_4_BB_N,Y,20,0,5,0.45032564572,0.297060607659,0.252613746621,-22.8351542657
CD_2_CC_N,Y,12,1,12,0.444195044198,0.223493389389,0.332311566413,-24.4564592994
CB_5_CB_N,Y,14,5,6,0.362964574025,0.277136152711,0.359899273264,-26.7361189204
CW_1_CB_N,Y,17,4,4,0.493239856378,0.252613746621,0.254146397001,-22.9978687333
CB_5_CC_N,Y,11,7,7,0.336909517555,0.271005551188,0.392084931257,-27.660599093
CW_3_CC_N,Y,9,4,12,0.425803239631,0.246483145098,0.327713615271,-26.6732300368
CW_2_BC_N,Y,13,3,9,0.480978653333,0.243417844337,0.27560350233,-25.3531767172
CW_2_CB_N,Y,17,2,6,0.461054198385,0.25108109624,0.287864705375,-23.3976211826
CD_4_CC_N,Y,7,7,11,0.500903108281,0.267940250427,0.231156641292,-30.169593711
CD_7_BB_N,Y,8,0,17,0.381356378593,0.318517712987,0.30012590842,-28.1725720732
Weight_5_BB_N,Y,18,6,1,0.418139987727,0.297060607659,0.284799404614,-24.2337868246
CD_6_BC_N,Y,8,9,8,0.54994792046,0.223493389389,0.22655869015,-30.1468245496
Weight_2_BC_N,Y,11,7,7,0.454923596862,0.287864705375,0.257211697763,-26.8857271451
CB_5_BC_N,Y,13,7,5,0.3491707206,0.309321810704,0.341507468697,-27.2640662207
Dist_5_BC_N,Y,12,4,9,0.459521548004,0.246483145098,0.293995306898,-25.9504032571
Bal_4_BC_N,Y,8,11,6,0.358366622883,0.260276998524,0.381356378593,-28.7998128252
CB_6_CC_N,Y,17,1,7,0.362964574025,0.283266754233,0.353768671742,-25.7638012834
Bal_5_BC_N,Y,3,21,1,0.32618096489,0.292462656517,0.381356378593,-30.1427138982
CW_7_BB_N,Y,17,3,5,0.389019630496,0.313919761846,0.297060607659,-25.5950820926
Dist_1_BC_N,Y,13,10,2,0.609721285305,0.211232186344,0.179046528351,-25.4199859193
Weight_2_CB_N,Y,9,13,3,0.496305157139,0.229623990912,0.274070851949,-29.3152423037
Bal_1_BC_N,Y,4,18,3,0.32464831451,0.316985062607,0.358366622883,-28.25885865
Dist_2_BB_N,Y,22,3,0,0.816629086688,0.105479310082,0.0778916032306,-11.2042675672
CW_3_CB_N,Y,10,6,9,0.436531792295,0.244950494718,0.318517712987,-27.0258303508
Weight_2_CC_N,Y,9,12,4,0.464119499146,0.269472900808,0.266407600046,-27.9348795833
CD_2_BB_N,Y,9,0,16,0.471782751049,0.280201453472,0.248015795479,-29.0693355474
Bal_1_BB_N,Y,0,24,1,0.356833972503,0.295527957278,0.347638070219,-30.3123974453
Bal_2_CC_N,Y,4,16,5,0.396682882399,0.232689291673,0.370627825928,-31.9900764715
Dist_3_CC_N,Y,11,9,5,0.49783780752,0.240352543576,0.261809648905,-27.2038147378
CW_3_BC_N,Y,11,5,9,0.422737938869,0.260276998524,0.316985062607,-26.5411808663
CB_2_CB_N,Y,14,5,6,0.344572769458,0.303191209181,0.352236021361,-27.1439806749
Weight_1_CC_N,Y,10,13,2,0.42427058925,0.30012590842,0.27560350233,-26.7976140842
CB_1_BB_N,Y,18,0,7,0.333844216794,0.333844216794,0.332311566413,-27.4592306884
Weight_3_BC_N,Y,6,13,6,0.412009386205,0.284799404614,0.303191209181,-28.8082170715
CB_3_BC_N,Y,9,12,4,0.352236021361,0.264874949666,0.382889028973,-29.1730940382
Dist_1_CB_N,Y,10,11,4,0.57293767617,0.25108109624,0.17598122759,-27.7210674558
CD_7_CB_N,Y,13,5,7,0.444195044198,0.272538201569,0.283266754233,-25.8788358587
CB_6_BC_N,Y,13,5,7,0.366029874786,0.261809648905,0.372160476309,-26.685222969
Weight_4_CB_N,Y,17,6,2,0.554545871602,0.231156641292,0.214297487105,-21.8920361322
CD_5_BB_N,Y,11,3,11,0.629645740253,0.229623990912,0.140730268836,-31.0725259573
CB_4_CC_N,Y,18,2,5,0.381356378593,0.264874949666,0.353768671742,-25.2049325053
Bal_4_CC_N,Y,4,8,13,0.362964574025,0.278668803091,0.358366622883,-27.6162339651
CD_7_BC_N,Y,10,5,10,0.398215532779,0.292462656517,0.309321810704,-27.0884411131
CW_2_BB_N,Y,18,3,4,0.4993704579,0.263342299285,0.237287242815,-22.2561642767
CD_6_BB_N,Y,4,7,14,0.500903108281,0.27560350233,0.223493389389,-32.7641427989
Bal_4_BB_N,Y,0,23,2,0.339974818316,0.313919761846,0.346105419838,-28.7702345462
Dist_5_BB_N,Y,9,15,1,0.438064442675,0.287864705375,0.274070851949,-27.401842106
Weight_5_CB_N,Y,10,11,4,0.447260344959,0.263342299285,0.289397355756,-27.6832689977
CD_1_BB_N,Y,9,6,10,0.447260344959,0.309321810704,0.243417844337,-28.4115262361
CB_4_BB_N,Y,14,4,7,0.355301322122,0.310854461084,0.333844216794,-26.8403342371
CB_5_BB_N,Y,15,4,6,0.353768671742,0.318517712987,0.327713615271,-26.8566805606
CD_2_CB_N,Y,14,1,10,0.485576604475,0.241885193957,0.272538201569,-24.532911991
CB_1_CB_N,Y,9,5,11,0.372160476309,0.254146397001,0.37369312669,-26.5726189152
CB_6_CB_N,Y,14,3,8,0.384421679354,0.312387111465,0.303191209181,-26.421882186
Dist_1_BB_N,Y,12,11,2,0.605123334163,0.229623990912,0.165252674926,-25.8128684593
Dist_4_BB_N,Y,17,8,0,0.447260344959,0.301658558801,0.25108109624,-23.2661212638
Bal_5_BB_N,Y,0,25,0,0.338442167935,0.329246265652,0.332311566413,-27.7737320102
Dist_4_BC_N,Y,16,4,5,0.45032564572,0.278668803091,0.271005551188,-24.4035538355
CB_3_CC_N,Y,9,7,9,0.378291077831,0.284799404614,0.336909517555,-27.3320812299
CW_6_BC_N,Y,15,7,3,0.412009386205,0.293995306898,0.293995306898,-25.5425519647
Bal_3_CB_N,Y,12,9,4,0.370627825928,0.24954844586,0.379823728212,-28.2757945397
Dist_2_CB_N,Y,20,4,1,0.793639330979,0.116207862746,0.0901528062755,-15.6382715665
Dist_2_CC_N,Y,21,4,0,0.787508729456,0.111609911604,0.10088135894,-13.787478967
Bal_3_CC_N,Y,9,10,6,0.401280833541,0.205101584822,0.393617581638,-29.6545954187
CD_2_BC_N,Y,13,4,8,0.467184799907,0.244950494718,0.287864705375,-25.4823090345
CD_3_BC_N,Y,16,3,6,0.606655984543,0.208166885583,0.185177129874,-22.8235946086
CB_2_CC_N,Y,17,5,3,0.361431923645,0.277136152711,0.361431923645,-26.7698632667
CW_1_CC_N,Y,15,1,9,0.490174555616,0.231156641292,0.278668803091,-23.6591470199
CB_2_BB_N,Y,15,6,4,0.329246265652,0.318517712987,0.352236021361,-27.702517608
CW_7_CC_N,Y,16,5,4,0.419672638108,0.261809648905,0.318517712987,-25.169481493
Dist_1_CC_N,Y,14,8,3,0.556078521983,0.235754592434,0.208166885583,-24.4837973334
Weight_2_BB_N,Y,20,4,1,0.479446002952,0.281734103853,0.238819893195,-21.2016918271
Bal_2_BC_N,Y,8,10,7,0.352236021361,0.260276998524,0.387486980115,-28.4442300774
Bal_5_CB_N,Y,2,20,3,0.362964574025,0.304723859562,0.332311566413,-29.0989327939
Dist_4_CB_N,Y,12,4,9,0.467184799907,0.284799404614,0.248015795479,-26.7046109398
CB_7_BC_N,Y,16,1,8,0.3491707206,0.278668803091,0.372160476309,-26.0202812162
CD_7_CC_N,Y,13,3,9,0.413542036586,0.25108109624,0.335376867174,-25.4573909442
Weight_4_CC_N,Y,17,5,3,0.528490815132,0.205101584822,0.266407600046,-22.7308403705
CW_3_BB_N,Y,17,2,6,0.425803239631,0.284799404614,0.289397355756,-24.4658926005
Weight_4_BB_N,Y,21,4,0,0.617384537208,0.220428088628,0.162187374164,-16.1762625209
Bal_1_CB_N,Y,0,21,4,0.339974818316,0.301658558801,0.358366622883,-29.2724444469
Weight_1_BB_N,Y,15,9,1,0.431933841153,0.272538201569,0.295527957278,-25.5110229249
CB_4_CB_N,Y,18,1,6,0.35070337098,0.297060607659,0.352236021361,-26.3352031471
Weight_3_BB_N,Y,19,5,1,0.405878784683,0.280201453472,0.313919761846,-24.6521639036
Dist_5_CB_N,Y,17,4,4,0.490174555616,0.241885193957,0.267940250427,-23.0660265213
Bal_4_CB_N,Y,5,11,9,0.370627825928,0.27560350233,0.353768671742,-28.4915052154
CD_1_BC_N,Y,14,6,5,0.42427058925,0.295527957278,0.280201453472,-25.6785571399
CW_5_CB_N,Y,18,1,6,0.503968409042,0.257211697763,0.238819893195,-22.2844798633
CD_1_CB_N,Y,10,10,5,0.425803239631,0.284799404614,0.289397355756,-27.2972540911
CD_3_CC_N,Y,16,7,2,0.583666228834,0.203568934441,0.212764836725,-22.8522054313
Dist_5_CC_N,Y,20,3,2,0.47484805181,0.22655869015,0.298593258039,-21.7668080363
CB_4_BC_N,Y,12,4,9,0.338442167935,0.271005551188,0.390552280876,-26.6850294192
CB_3_CB_N,Y,11,6,8,0.359899273264,0.330778916032,0.309321810704,-27.2660569234
CB_1_CC_N,Y,11,3,11,0.379823728212,0.243417844337,0.376758427451,-25.6251172441
CD_6_CC_N,Y,9,7,9,0.482511303713,0.295527957278,0.221960739009,-28.6389941121
CW_4_CB_N,Y,16,2,7,0.459521548004,0.261809648905,0.278668803091,-24.0655052576
Weight_1_CB_N,Y,7,18,0,0.410476735824,0.312387111465,0.277136152711,-27.1762703022
CW_1_BC_N,Y,16,0,9,0.487109254855,0.269472900808,0.243417844337,-24.2250515099
