Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.365842072777,0.154713885843,0.47944404138,-37.3624216399
Uncentered_CD_2_0_0.5,Y,6,3,15,0.154713885843,0.154713885843,0.690572228313,-22.3491205209
Centered_CW_0_0_2.0,Y,13,7,4,0.412997606914,0.154713885843,0.432288507243,-27.9139678962
Centered_CD_2_0_1.0,Y,8,4,12,0.157929035898,0.154713885843,0.687357078258,-26.728403243
Uncentered_D_1_0_0.25,Y,14,3,7,0.639129827436,0.20615628672,0.154713885843,-24.0676739464
Centered_CW_1_0_0.5,Y,18,5,1,0.690572228313,0.154713885843,0.154713885843,-17.8612913501
Centered_CW_2_0_0.25,Y,19,2,3,0.690572228313,0.154713885843,0.154713885843,-16.3653482931
Centered_CW_4_0_1.0,Y,24,0,0,0.690572228313,0.154713885843,0.154713885843,-8.8856330085
Uncentered_CD_2_0_2.0,Y,6,7,11,0.22330375368,0.154713885843,0.621982360477,-27.2818572269
Uncentered_W_0_0_2.0,Y,16,3,5,0.322973405379,0.439790524037,0.237236070584,-27.7408327445
Uncentered_D_0_0_0.5,Y,16,3,5,0.501950091764,0.21687345357,0.281176454666,-21.9572613758
Uncentered_CD_1_0_0.25,Y,5,3,16,0.154713885843,0.154713885843,0.690572228313,-20.8531774639
Centered_D_4_0_1.0,Y,20,3,1,0.690572228313,0.154713885843,0.154713885843,-14.8694052362
Centered_W_2_0_1.0,Y,23,0,1,0.690572228313,0.154713885843,0.154713885843,-10.3815760654
Centered_CD_3_0_2.0,Y,12,10,2,0.690572228313,0.154713885843,0.154713885843,-26.8369496916
Centered_W_0_0_2.0,Y,6,16,2,0.176148219542,0.66806617793,0.155785602528,-20.5910146763
Centered_W_4_0_1.0,Y,22,1,1,0.690572228313,0.154713885843,0.154713885843,-11.8775191224
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.690572228313,0.154713885843,0.154713885843,-32.7306965863
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.690572228313,0.154713885843,0.154713885843,-29.7388104724
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.65734901108,0.154713885843,0.187937103076,-24.2833116625
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.690572228313,0.154713885843,0.154713885843,-31.2347535294
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.690572228313,0.154713885843,0.154713885843,-28.2428674155
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.690572228313,0.154713885843,0.154713885843,-37.2185257571
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.690572228313,0.154713885843,0.154713885843,-46.1941840987
Uncentered_CD_1_0_1.0,Y,3,4,17,0.154713885843,0.410854173544,0.434431940613,-23.3297727864
Uncentered_CD_1_0_2.0,Y,1,11,12,0.163287619323,0.523384425463,0.313327955214,-22.8601298821
Uncentered_CW_1_0_0.25,Y,16,2,6,0.690572228313,0.154713885843,0.154713885843,-20.8531774639
Uncentered_W_3_0_0.5,Y,12,7,5,0.690572228313,0.154713885843,0.154713885843,-26.8369496916
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.690572228313,0.154713885843,0.154713885843,-56.6657854972
Centered_CD_4_0_0.5,Y,18,2,4,0.211514870145,0.154713885843,0.633771244011,-33.5189038944
Centered_D_1_0_0.5,Y,14,9,1,0.648775277601,0.196510836556,0.154713885843,-22.5668814216
Uncentered_CD_4_0_1.0,Y,10,4,10,0.154713885843,0.154713885843,0.690572228313,-29.8288358055
Centered_CD_0_0_0.5,Y,8,11,5,0.185793669707,0.349766322502,0.464440007791,-28.8549525786
Uncentered_W_1_0_1.0,Y,9,14,1,0.238307787269,0.57482682634,0.186865386392,-22.3367071049
Uncentered_CW_1_0_0.5,Y,21,2,1,0.690572228313,0.154713885843,0.154713885843,-13.3734621793
Centered_CW_1_0_0.25,Y,21,1,2,0.690572228313,0.154713885843,0.154713885843,-13.3734621793
Centered_CD_1_0_0.5,Y,7,6,11,0.154713885843,0.154713885843,0.690572228313,-28.3328927486
Centered_D_2_0_2.0,Y,6,14,4,0.375487522941,0.448364257517,0.176148219542,-24.0529883742
Centered_D_3_0_1.0,Y,18,3,3,0.676639911409,0.168646202748,0.154713885843,-17.9694786481
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.366913789461,0.154713885843,0.478372324695,-59.1605892927
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.422643057078,0.154713885843,0.422643057078,-58.4230680942
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.375487522941,0.154713885843,0.469798591216,-56.9559752173
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.431216790558,0.154713885843,0.414069323599,-54.349602986
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.359411772667,0.154713885843,0.48587434149,-55.011710691
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.170789636117,0.154713885843,0.674496478039,-58.2505072701
Uncentered_CW_0_0_0.5,Y,18,1,5,0.690572228313,0.154713885843,0.154713885843,-17.8612913501
Uncentered_D_3_0_1.0,Y,12,9,3,0.683070211519,0.162215902638,0.154713885843,-26.5418686971
Uncentered_W_3_0_2.0,Y,8,15,1,0.66806617793,0.154713885843,0.177219936227,-32.9499745572
Centered_CD_1_0_2.0,Y,7,6,11,0.641273260806,0.154713885843,0.204012853351,-31.7924589422
Centered_W_1_0_0.25,Y,18,6,0,0.690572228313,0.154713885843,0.154713885843,-17.8612913501
Uncentered_W_3_0_0.25,Y,20,2,2,0.690572228313,0.154713885843,0.154713885843,-14.8694052362
Centered_CD_2_0_0.5,Y,11,3,10,0.154713885843,0.154713885843,0.690572228313,-29.8288358055
