Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.608050043573,0.237236070584,0.154713885843,-16.629736361
Dist_Mixed_0,Y,18,6,1,0.581257126449,0.264028987707,0.154713885843,-19.622473154
Dist_Mixed_3,Y,21,2,2,0.671281327984,0.174004786172,0.154713885843,-15.5996067039
Dist_Mixed_2,Y,19,6,0,0.545890475846,0.29939563831,0.154713885843,-18.7373376751
Dist_Mixed_5,Y,17,8,0,0.48587434149,0.355124905927,0.159000752583,-20.5529747967
Dist_Mixed_4,Y,22,2,1,0.690572228313,0.154713885843,0.154713885843,-13.743696888
Dist_Mixed_7,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
Dist_Mixed_6,Y,17,6,2,0.549105625901,0.296180488255,0.154713885843,-21.2239688527
CB_Mixed_8,Y,17,3,5,0.690572228313,0.154713885843,0.154713885843,-21.2234121726
CB_Mixed_9,Y,10,6,9,0.245809804063,0.49016120823,0.264028987707,-30.2953650561
CB_Pure_8,Y,10,6,9,0.690572228313,0.154713885843,0.154713885843,-31.6950135711
CB_Pure_9,Y,22,2,1,0.688428794943,0.155785602528,0.155785602528,-13.7913781872
CB_Pure_0,Y,18,4,3,0.690572228313,0.154713885843,0.154713885843,-19.7274691157
CB_Pure_1,Y,11,11,3,0.690572228313,0.154713885843,0.154713885843,-30.1990705142
CB_Pure_2,Y,17,4,4,0.690572228313,0.154713885843,0.154713885843,-21.2234121726
CB_Pure_3,Y,23,2,0,0.690572228313,0.154713885843,0.154713885843,-12.247753831
CB_Pure_4,Y,18,5,2,0.690572228313,0.154713885843,0.154713885843,-19.7274691157
CB_Pure_5,Y,17,6,2,0.690572228313,0.154713885843,0.154713885843,-21.2234121726
CB_Pure_6,Y,13,8,4,0.690572228313,0.154713885843,0.154713885843,-27.2071844003
CB_Pure_7,Y,20,1,4,0.690572228313,0.154713885843,0.154713885843,-16.7355830018
CW_Mixed_9,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
CW_Mixed_8,Y,25,0,0,0.690572228313,0.154713885843,0.154713885843,-9.25586771719
CW_Mixed_1,Y,23,1,1,0.690572228313,0.154713885843,0.154713885843,-12.247753831
CW_Mixed_0,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
CW_Mixed_3,Y,22,1,2,0.690572228313,0.154713885843,0.154713885843,-13.743696888
CW_Mixed_2,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
CW_Mixed_5,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
CW_Mixed_4,Y,19,3,3,0.683070211519,0.154713885843,0.162215902638,-18.2970094867
CW_Mixed_7,Y,25,0,0,0.690572228313,0.154713885843,0.154713885843,-9.25586771719
CW_Mixed_6,Y,19,2,4,0.690572228313,0.154713885843,0.154713885843,-18.2315260588
Weight_Mixed_3,Y,23,0,2,0.690572228313,0.154713885843,0.154713885843,-12.247753831
Weight_Mixed_2,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
Weight_Mixed_1,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
Weight_Mixed_0,Y,19,3,3,0.690572228313,0.154713885843,0.154713885843,-18.2315260588
Weight_Mixed_7,Y,24,0,1,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
Weight_Mixed_6,Y,21,3,1,0.690572228313,0.154713885843,0.154713885843,-15.2396399449
Weight_Mixed_5,Y,25,0,0,0.690572228313,0.154713885843,0.154713885843,-9.25586771719
CD_Mixed_7,Y,7,2,16,0.161144185953,0.154713885843,0.684141928204,-22.5839839484
CD_Mixed_10,Y,14,2,9,0.154713885843,0.154713885843,0.690572228313,-33.1909566281
CD_Mixed_11,Y,5,4,16,0.154713885843,0.154713885843,0.690572228313,-22.7193552295
CD_Mixed_12,Y,17,4,4,0.162215902638,0.154713885843,0.683070211519,-39.9094022446
CD_Mixed_13,Y,10,3,12,0.154713885843,0.154713885843,0.690572228313,-28.7031274573
CD_Mixed_14,Y,7,7,11,0.154713885843,0.154713885843,0.690572228313,-30.1990705142
CD_Mixed_15,Y,7,2,16,0.156857319213,0.155785602528,0.687357078258,-22.6839016067
Weight_Pure_1,Y,23,2,0,0.690572228313,0.154713885843,0.154713885843,-12.247753831
Weight_Pure_0,Y,21,4,0,0.688428794943,0.154713885843,0.156857319213,-15.3049221837
Weight_Pure_3,Y,23,2,0,0.690572228313,0.154713885843,0.154713885843,-12.247753831
Weight_Pure_2,Y,23,1,1,0.690572228313,0.154713885843,0.154713885843,-12.247753831
Weight_Pure_5,Y,23,2,0,0.690572228313,0.154713885843,0.154713885843,-12.247753831
Weight_Pure_4,Y,21,3,1,0.690572228313,0.154713885843,0.154713885843,-15.2396399449
Weight_Pure_7,Y,24,1,0,0.690572228313,0.154713885843,0.154713885843,-10.7518107741
Weight_Pure_6,Y,22,3,0,0.680926778149,0.154713885843,0.164359336008,-14.05314429
CD_Pure_6,Y,7,11,7,0.160072469268,0.155785602528,0.684141928204,-35.9340497897
CB_Pure_12,Y,21,2,2,0.686285361574,0.156857319213,0.156857319213,-15.315371661
CB_Pure_13,Y,19,2,4,0.690572228313,0.154713885843,0.154713885843,-18.2315260588
