Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.178291652912,0.154713885843,0.666994461245,-30.9076562906
CW_6_CB_N,Y,12,8,5,0.686285361574,0.154713885843,0.159000752583,-28.641194948
Weight_2_BB_N,Y,20,4,1,0.690572228313,0.154713885843,0.154713885843,-16.7355830018
CW_4_CC_N,Y,16,6,3,0.660564161135,0.160072469268,0.179363369597,-22.7823727112
CD_3_BB_N,Y,7,3,15,0.154713885843,0.154713885843,0.690572228313,-24.2152982865
CB_7_CB_N,Y,14,2,9,0.690572228313,0.154713885843,0.154713885843,-25.7112413434
CW_1_CB_N,Y,17,4,4,0.688428794943,0.154713885843,0.156857319213,-21.2212233634
CW_5_BB_N,Y,14,4,7,0.690572228313,0.154713885843,0.154713885843,-25.7112413434
Bal_2_BB_N,Y,1,23,1,0.165431052693,0.65949244445,0.175076502857,-13.11628257
Weight_2_BC_N,Y,11,7,7,0.372272372886,0.407639023489,0.220088603625,-27.7471127695
CW_7_CB_N,Y,18,4,3,0.683070211519,0.155785602528,0.161144185953,-19.7743027564
Bal_3_BB_N,Y,1,22,2,0.164359336008,0.672353044669,0.163287619323,-14.1635620408
CW_4_BC_N,Y,17,1,7,0.688428794943,0.154713885843,0.156857319213,-21.1799461115
Dist_4_CC_N,Y,16,8,1,0.429073357188,0.245809804063,0.325116838749,-25.8871862902
Bal_5_CC_N,Y,5,16,4,0.268315854447,0.48373090812,0.247953237433,-23.775636622
CD_5_CC_N,Y,16,4,5,0.382989539736,0.157929035898,0.459081424366,-26.6310380197
CB_7_BC_N,Y,16,1,8,0.690572228313,0.154713885843,0.154713885843,-22.7193552295
Dist_3_CC_N,Y,11,9,5,0.425858207133,0.272602721187,0.30153907168,-27.0820735855
CB_7_BB_N,Y,19,1,5,0.690572228313,0.154713885843,0.154713885843,-18.2315260588
Bal_1_CC_N,Y,4,20,1,0.244738087378,0.510523825243,0.244738087378,-20.484192798
CW_5_CC_N,Y,16,5,4,0.666994461245,0.154713885843,0.178291652912,-22.7078037016
