Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.262,0.536,0.202,-21.2133777011
Uncentered_CD_2_0_0.5,Y,6,3,15,0.29,0.246,0.464,-23.1525782665
Centered_CW_0_0_2.0,Y,13,7,4,0.254,0.568,0.178,-28.6787970921
Centered_CD_2_0_1.0,Y,8,4,12,0.546,0.256,0.198,-29.7252607434
Uncentered_D_1_0_0.25,Y,14,3,7,0.662,0.144,0.194,-23.0679619003
Centered_CW_1_0_0.5,Y,18,5,1,0.518,0.22,0.262,-20.7500900994
Centered_CW_2_0_0.25,Y,19,2,3,0.692,0.128,0.18,-16.2510624583
Centered_CW_4_0_1.0,Y,24,0,0,0.97,0.028,0.002,-0.731020979633
Uncentered_CD_2_0_2.0,Y,6,7,11,0.13,0.522,0.348,-28.4030196001
Uncentered_W_0_0_2.0,Y,16,3,5,0.378,0.504,0.118,-28.3066676391
Uncentered_D_0_0_0.5,Y,16,3,5,0.602,0.194,0.204,-20.9878331242
Uncentered_CD_1_0_0.25,Y,5,3,16,0.33,0.202,0.468,-22.4903675964
Centered_D_4_0_1.0,Y,20,3,1,0.976,0.02,0.004,-17.7433837855
Centered_W_2_0_1.0,Y,23,0,1,0.664,0.222,0.114,-11.5894388092
Centered_CD_3_0_2.0,Y,12,10,2,0.664,0.312,0.024,-24.0206013631
Centered_W_0_0_2.0,Y,6,16,2,0.272,0.54,0.188,-21.0133241392
Centered_W_4_0_1.0,Y,22,1,1,0.974,0.022,0.004,-9.91774120096
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.67,0.19,0.14,-33.0469861971
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.592,0.222,0.186,-33.7182917734
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.684,0.142,0.174,-22.7434376837
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.61,0.172,0.218,-34.4089020124
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.774,0.15,0.076,-26.5029673305
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.692,0.158,0.15,-37.3406471655
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.398,0.18,0.422,-49.9264319764
Uncentered_CD_1_0_1.0,Y,3,4,17,0.282,0.272,0.446,-22.7317750332
Uncentered_CD_1_0_2.0,Y,1,11,12,0.172,0.542,0.286,-23.5188044731
Uncentered_CW_1_0_0.25,Y,16,2,6,0.742,0.104,0.154,-20.5260413921
Uncentered_W_3_0_0.5,Y,12,7,5,0.688,0.18,0.132,-26.6159530712
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.462,0.202,0.336,-49.4156833288
Centered_CD_4_0_0.5,Y,18,2,4,0.948,0.034,0.018,-23.7935375742
Centered_D_1_0_0.5,Y,14,9,1,0.644,0.2,0.156,-22.5036322239
Uncentered_CD_4_0_1.0,Y,10,4,10,0.758,0.188,0.054,-38.6436845222
Centered_CD_0_0_0.5,Y,8,11,5,0.426,0.248,0.326,-27.7684088108
Uncentered_W_1_0_1.0,Y,9,14,1,0.428,0.284,0.288,-26.5054181209
Uncentered_CW_1_0_0.5,Y,21,2,1,0.714,0.148,0.138,-12.8759062538
Centered_CW_1_0_0.25,Y,21,1,2,0.632,0.128,0.24,-14.5461413079
Centered_CD_1_0_0.5,Y,7,6,11,0.496,0.23,0.274,-27.9672101847
Centered_D_2_0_2.0,Y,6,14,4,0.36,0.568,0.072,-24.5731381687
Centered_D_3_0_1.0,Y,18,3,3,0.68,0.206,0.114,-18.196232477
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.532,0.222,0.246,-59.1370590451
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.528,0.21,0.262,-57.5414690532
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.48,0.232,0.288,-53.7986357439
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.542,0.214,0.244,-54.2498195638
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.51,0.23,0.26,-51.308722884
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.484,0.232,0.284,-52.1125190553
Uncentered_CW_0_0_0.5,Y,18,1,5,0.772,0.124,0.104,-18.0621687338
Uncentered_D_3_0_1.0,Y,12,9,3,0.678,0.214,0.108,-25.2161814237
Uncentered_W_3_0_2.0,Y,8,15,1,0.53,0.408,0.062,-21.3069686421
