Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.484,0.364,0.152,-20.1547568097
Dist_Mixed_0,Y,18,6,1,0.534,0.332,0.134,-19.9181072598
Dist_Mixed_3,Y,21,2,2,0.59,0.186,0.224,-17.4365232485
Dist_Mixed_2,Y,19,6,0,0.438,0.404,0.158,-21.1232334096
Dist_Mixed_5,Y,17,8,0,0.444,0.31,0.246,-23.1722860334
Dist_Mixed_4,Y,22,2,1,0.742,0.112,0.146,-12.8675942606
Dist_Mixed_7,Y,24,1,0,0.82,0.084,0.096,-7.23976100951
Dist_Mixed_6,Y,17,6,2,0.43,0.432,0.138,-23.3444725271
CB_Mixed_8,Y,17,3,5,0.386,0.148,0.466,-25.7320817017
CB_Mixed_9,Y,10,6,9,0.404,0.16,0.436,-27.5299101134
CB_Pure_8,Y,10,6,9,0.402,0.168,0.43,-27.4115103338
CB_Pure_9,Y,22,2,1,0.432,0.148,0.42,-23.1538397744
CB_Pure_0,Y,18,4,3,0.4,0.148,0.452,-26.5176244921
CB_Pure_1,Y,11,11,3,0.458,0.138,0.404,-33.0942857787
CB_Pure_2,Y,17,4,4,0.434,0.192,0.374,-24.7251202171
CB_Pure_3,Y,23,2,0,0.424,0.16,0.416,-23.3996648738
CB_Pure_4,Y,18,5,2,0.434,0.168,0.398,-25.7863564532
CB_Pure_5,Y,17,6,2,0.44,0.17,0.39,-26.4716275165
CB_Pure_6,Y,13,8,4,0.402,0.18,0.418,-29.0544242853
CB_Pure_7,Y,20,1,4,0.432,0.19,0.378,-22.338769355
CW_Mixed_9,Y,24,1,0,0.412,0.172,0.416,-23.0418271134
CW_Mixed_8,Y,25,0,0,0.584,0.136,0.28,-13.4463574038
CW_Mixed_1,Y,23,1,1,0.656,0.146,0.198,-13.2403101764
CW_Mixed_0,Y,24,1,0,0.95,0.032,0.018,-4.67305844148
CW_Mixed_3,Y,22,1,2,0.534,0.198,0.268,-18.0549325257
CW_Mixed_2,Y,24,1,0,0.738,0.126,0.136,-9.36294827719
CW_Mixed_5,Y,24,1,0,0.734,0.122,0.144,-9.52564424307
CW_Mixed_4,Y,19,3,3,0.546,0.176,0.278,-20.5498061092
CW_Mixed_7,Y,25,0,0,0.662,0.134,0.204,-10.3122430761
CW_Mixed_6,Y,19,2,4,0.662,0.146,0.192,-18.2866416802
Weight_Mixed_3,Y,23,0,2,0.436,0.172,0.392,-20.9655866979
Weight_Mixed_2,Y,24,1,0,0.664,0.15,0.186,-11.724475093
Weight_Mixed_1,Y,24,1,0,0.478,0.17,0.352,-19.4874259577
Weight_Mixed_0,Y,19,3,3,0.46,0.188,0.352,-22.9003592591
Weight_Mixed_7,Y,24,0,1,0.562,0.166,0.272,-15.1320355108
Weight_Mixed_6,Y,21,3,1,0.4,0.184,0.416,-25.1976339522
Weight_Mixed_5,Y,25,0,0,0.998,9.80760378515e-294,0.002,-0.0500500667668
CD_Mixed_7,Y,7,2,16,0.486,0.164,0.35,-25.4637582799
CD_Mixed_10,Y,14,2,9,0.572,0.172,0.256,-23.6043501413
CD_Mixed_11,Y,5,4,16,0.536,0.17,0.294,-29.7927411436
CD_Mixed_12,Y,17,4,4,0.814,0.092,0.094,-22.5002223152
CD_Mixed_13,Y,10,3,12,0.846,0.082,0.072,-40.7485372085
CD_Mixed_14,Y,7,7,11,0.696,0.136,0.168,-36.1242463786
CD_Mixed_15,Y,7,2,16,0.548,0.164,0.288,-27.7428544281
Weight_Pure_1,Y,23,2,0,0.552,0.172,0.276,-17.1872879566
Weight_Pure_0,Y,21,4,0,0.534,0.142,0.324,-20.982261126
Weight_Pure_3,Y,23,2,0,0.57,0.148,0.282,-16.749821128
Weight_Pure_2,Y,23,1,1,0.516,0.168,0.316,-18.1537201755
Weight_Pure_5,Y,23,2,0,0.514,0.174,0.312,-18.8046362707
Weight_Pure_4,Y,21,3,1,0.532,0.16,0.308,-19.9287474697
Weight_Pure_7,Y,24,1,0,0.492,0.192,0.316,-18.6728974067
Weight_Pure_6,Y,22,3,0,0.564,0.152,0.284,-18.2510468791
CD_Pure_6,Y,7,11,7,0.6,0.146,0.254,-34.3343616801
CB_Pure_12,Y,21,2,2,0.4,0.162,0.438,-24.5334959941
CB_Pure_13,Y,19,2,4,0.454,0.15,0.396,-22.5031077786
CB_Pure_10,Y,19,3,3,0.424,0.134,0.442,-24.7814972791
CB_Pure_11,Y,14,5,6,0.436,0.198,0.366,-25.7497554138
CB_Pure_14,Y,12,4,9,0.406,0.154,0.44,-25.6888611075
CB_Pure_15,Y,15,5,5,0.426,0.176,0.398,-26.0926117789
CD_Pure_2,Y,7,7,11,0.53,0.168,0.302,-30.1012978818
