Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.53,0.15,0.32,-29.7532089056
CW_6_CB_N,Y,12,8,5,0.488,0.166,0.346,-28.2820009222
Weight_2_BB_N,Y,20,4,1,0.492,0.172,0.336,-22.3172185775
CW_4_CC_N,Y,16,6,3,0.492,0.142,0.366,-26.0753601649
CD_3_BB_N,Y,7,3,15,0.602,0.136,0.262,-29.6289476438
CB_7_CB_N,Y,14,2,9,0.388,0.158,0.454,-24.0517423714
CW_1_CB_N,Y,17,4,4,0.52,0.14,0.34,-23.2964400169
CW_5_BB_N,Y,14,4,7,0.46,0.176,0.364,-24.8946980682
Bal_2_BB_N,Y,1,23,1,0.016,0.98,0.004,-10.1212897429
Weight_2_BC_N,Y,11,7,7,0.34,0.466,0.194,-28.6911736285
CW_7_CB_N,Y,18,4,3,0.454,0.168,0.378,-24.2675939053
Bal_3_BB_N,Y,1,22,2,0.002,0.996,0.002,-18.732000766
CW_4_BC_N,Y,17,1,7,0.48,0.152,0.368,-21.3590571202
Dist_4_CC_N,Y,16,8,1,0.526,0.142,0.332,-26.997311141
Bal_5_CC_N,Y,5,16,4,0.208,0.526,0.266,-23.4273869371
CD_5_CC_N,Y,16,4,5,0.59,0.126,0.284,-23.0219225655
CB_7_BC_N,Y,16,1,8,0.392,0.162,0.446,-23.2635445865
Dist_3_CC_N,Y,11,9,5,0.496,0.202,0.302,-28.0950024171
CB_7_BB_N,Y,19,1,5,0.434,0.18,0.386,-22.3338921284
Bal_1_CC_N,Y,4,20,1,0.214,0.602,0.184,-18.0098932507
CW_5_CC_N,Y,16,5,4,0.528,0.14,0.332,-24.4595894465
Weight_5_BC_N,Y,10,10,5,0.328,0.38,0.292,-26.9782643522
CD_3_CB_N,Y,17,0,8,0.576,0.144,0.28,-19.5617349174
CW_2_CC_N,Y,15,3,7,0.502,0.13,0.368,-23.4556962606
CB_1_BC_N,Y,10,4,11,0.406,0.146,0.448,-25.5431983351
CD_4_CB_N,Y,10,6,9,0.502,0.194,0.304,-27.4474825106
CD_4_BC_N,Y,14,8,3,0.52,0.152,0.328,-27.5701936206
CD_1_CC_N,Y,8,9,8,0.468,0.146,0.386,-31.0069770561
Weight_4_BC_N,Y,17,6,2,0.386,0.448,0.166,-24.5919117224
Weight_1_BC_N,Y,12,12,1,0.296,0.482,0.222,-24.8715617722
CW_1_BB_N,Y,20,0,5,0.508,0.158,0.334,-19.0285480581
Weight_3_CB_N,Y,12,9,4,0.332,0.438,0.23,-26.5399749185
CW_6_BB_N,Y,16,7,2,0.478,0.162,0.36,-26.5947278452
CW_6_CC_N,Y,12,10,3,0.492,0.14,0.368,-31.171464336
CB_7_CC_N,Y,13,5,7,0.42,0.14,0.44,-26.8549355265
Weight_3_CC_N,Y,8,13,4,0.402,0.322,0.276,-27.1714917107
Dist_3_CB_N,Y,13,9,3,0.48,0.262,0.258,-25.6606833352
Bal_2_CB_N,Y,5,10,10,0.302,0.474,0.224,-28.4132131522
CD_4_BB_N,Y,5,8,12,0.468,0.182,0.35,-30.0242891445
CW_7_BC_N,Y,18,1,6,0.426,0.166,0.408,-22.5343829069
Bal_3_BC_N,Y,8,14,3,0.132,0.658,0.21,-26.7412749632
Dist_2_BC_N,Y,21,4,0,0.792,0.098,0.11,-14.1882228318
CW_5_BC_N,Y,17,2,6,0.466,0.158,0.376,-22.540001268
CB_6_BB_N,Y,17,3,5,0.396,0.186,0.418,-25.1551931995
CD_5_BC_N,Y,14,6,5,0.618,0.12,0.262,-26.1563705946
CB_3_BB_N,Y,15,8,2,0.414,0.158,0.428,-29.6868857118
CW_4_BB_N,Y,20,0,5,0.548,0.156,0.296,-18.116578964
CD_2_CC_N,Y,12,1,12,0.474,0.112,0.414,-21.730503557
CB_5_CB_N,Y,14,5,6,0.388,0.196,0.416,-26.6651223621
CB_2_BC_N,Y,13,7,5,0.4,0.168,0.432,-28.5949670651
CB_5_CC_N,Y,11,7,7,0.45,0.156,0.394,-28.3087101483
CW_2_BC_N,Y,13,3,9,0.476,0.18,0.344,-24.3988044005
CW_2_CB_N,Y,17,2,6,0.548,0.144,0.308,-21.1669767994
CD_4_CC_N,Y,7,7,11,0.508,0.152,0.34,-29.7949464019
CD_7_BB_N,Y,8,0,17,0.44,0.186,0.374,-23.2873356032
Weight_5_BB_N,Y,18,6,1,0.454,0.164,0.382,-26.0235132343
CD_6_BC_N,Y,8,9,8,0.554,0.138,0.308,-31.9704830504
Dist_3_BB_N,Y,12,12,1,0.404,0.332,0.264,-25.4393347089
CB_5_BC_N,Y,13,7,5,0.418,0.154,0.428,-28.6783391569
Dist_5_BC_N,Y,12,4,9,0.454,0.184,0.362,-25.3921746612
Bal_4_BC_N,Y,8,11,6,0.152,0.636,0.212,-29.356135963
CB_6_CC_N,Y,17,1,7,0.472,0.13,0.398,-21.2525407322
Bal_5_BC_N,Y,3,21,1,0.184,0.622,0.194,-16.6894745951
CW_7_BB_N,Y,17,3,5,0.484,0.168,0.348,-22.9655342233
Dist_4_BC_N,Y,16,4,5,0.53,0.13,0.34,-23.7129839799
Dist_1_BC_N,Y,13,10,2,0.494,0.248,0.258,-25.8207136196
Weight_2_CB_N,Y,9,13,3,0.352,0.462,0.186,-24.481617789
Bal_1_BC_N,Y,4,18,3,0.128,0.758,0.114,-19.7248646321
Dist_2_BB_N,Y,22,3,0,0.804,0.094,0.102,-11.8928137058
CW_3_CB_N,Y,10,6,9,0.456,0.208,0.336,-27.0897249615
CD_5_CB_N,Y,11,6,8,0.612,0.16,0.228,-28.2240189439
Weight_2_CC_N,Y,9,12,4,0.424,0.32,0.256,-26.84571915
CD_2_BB_N,Y,9,0,16,0.526,0.174,0.3,-25.0456514654
Bal_1_BB_N,Y,0,24,1,0.006,0.98,0.014,-4.75356292499
Bal_2_CC_N,Y,4,16,5,0.334,0.338,0.328,-27.315515633
Weight_5_CC_N,Y,11,13,1,0.326,0.402,0.272,-25.4783315612
Dist_2_CC_N,Y,21,4,0,0.82,0.088,0.092,-13.8891435712
CB_2_CB_N,Y,14,5,6,0.404,0.192,0.404,-26.3781075552
Weight_1_CC_N,Y,10,13,2,0.308,0.466,0.226,-24.6774009026
CB_1_BB_N,Y,18,0,7,0.406,0.164,0.43,-22.1330286409
Weight_3_BC_N,Y,6,13,6,0.324,0.42,0.256,-26.2150449663
CB_3_BC_N,Y,9,12,4,0.412,0.15,0.438,-34.0481726597
Dist_1_CB_N,Y,10,11,4,0.54,0.266,0.194,-27.2882985461
CD_7_CB_N,Y,13,5,7,0.45,0.152,0.398,-26.2490967574
CB_6_BC_N,Y,13,5,7,0.416,0.18,0.404,-26.320285191
Weight_4_CB_N,Y,17,6,2,0.394,0.49,0.116,-24.4223037876
CD_5_BB_N,Y,11,3,11,0.622,0.122,0.256,-26.5225259309
CB_4_CC_N,Y,18,2,5,0.45,0.16,0.39,-22.7463441587
Bal_4_CC_N,Y,4,8,13,0.306,0.392,0.302,-27.7938956225
CD_7_BC_N,Y,10,5,10,0.462,0.166,0.372,-26.5893555792
CW_2_BB_N,Y,18,3,4,0.556,0.148,0.296,-21.1669780395
CD_6_BB_N,Y,4,7,14,0.514,0.132,0.354,-31.3752186708
Bal_4_BB_N,Y,0,23,2,0.018,0.962,0.02,-8.71508506213
Dist_5_BB_N,Y,9,15,1,0.356,0.344,0.3,-26.5060980616
Weight_5_CB_N,Y,10,11,4,0.37,0.446,0.184,-25.5956004155
CD_1_BB_N,Y,9,6,10,0.512,0.142,0.346,-28.349610253
CB_4_BB_N,Y,14,4,7,0.422,0.174,0.404,-25.4176822355
CB_5_BB_N,Y,15,4,6,0.422,0.166,0.412,-25.4447110145
CD_2_CB_N,Y,14,1,10,0.526,0.13,0.344,-21.705713972
CB_1_CB_N,Y,9,5,11,0.46,0.136,0.404,-26.934005483
CB_6_CB_N,Y,14,3,8,0.422,0.16,0.418,-24.5544346721
Dist_1_BB_N,Y,12,11,2,0.496,0.298,0.206,-24.8911901647
Dist_4_BB_N,Y,17,8,0,0.546,0.168,0.286,-24.5576475517
Bal_5_BB_N,Y,0,25,0,0.186,0.648,0.166,-10.8466145657
CW_3_CC_N,Y,9,4,12,0.442,0.216,0.342,-26.3532505604
