Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.272636918486,0.457673700547,0.269689380967,-30.9471818982
Dist_Mixed_0,Y,18,6,1,0.261866797515,0.482108298922,0.256024903563,-29.8585471782
Dist_Mixed_3,Y,21,2,2,0.32212698038,0.346613522865,0.331259496755,-28.1177949442
Dist_Mixed_2,Y,19,6,0,0.256128550744,0.486847644057,0.257023805199,-30.198264679
Dist_Mixed_5,Y,17,8,0,0.323418894202,0.398138180844,0.278442924954,-26.5573666358
Dist_Mixed_4,Y,22,2,1,0.323247215968,0.346630213657,0.330122570375,-28.0727179639
Dist_Mixed_7,Y,24,1,0,0.315544004351,0.349525867637,0.334930128012,-28.7341488691
Dist_Mixed_6,Y,17,6,2,0.263950983197,0.495722311048,0.240326705755,-29.7058098768
CB_Mixed_8,Y,17,3,5,0.667126217718,0.174785682304,0.158088099978,-21.3367905403
CB_Mixed_9,Y,10,6,9,0.340892118258,0.345597054473,0.313510827269,-27.57607524
CB_Pure_8,Y,10,6,9,0.64060652814,0.174785682304,0.184607789556,-30.1242627285
CB_Pure_9,Y,22,2,1,0.653392441435,0.170856839419,0.175750719146,-14.63524885
CB_Pure_0,Y,18,4,3,0.675966114244,0.156123678527,0.167910207229,-19.8304268278
CB_Pure_1,Y,11,11,3,0.658286321192,0.17969673593,0.162016942878,-28.9407625744
CB_Pure_2,Y,17,4,4,0.666144006993,0.172821260854,0.161034732153,-21.2327702964
CB_Pure_3,Y,23,2,0,0.641588738865,0.18166115738,0.176750103755,-13.6188030068
CB_Pure_4,Y,18,5,2,0.649446424666,0.169874628679,0.180678946655,-20.0549689577
CB_Pure_5,Y,17,6,2,0.646499792491,0.178714525205,0.174785682304,-21.2352837509
CB_Pure_6,Y,13,8,4,0.639624317415,0.186572211006,0.173803471579,-26.2401813901
CB_Pure_7,Y,20,1,4,0.662215164092,0.184607789556,0.153177046352,-17.4374602957
CW_Mixed_9,Y,24,1,0,0.655339689017,0.157105889252,0.187554421731,-11.9932728934
CW_Mixed_8,Y,25,0,0,0.64453537104,0.17576789303,0.17969673593,-10.9806394186
CW_Mixed_1,Y,23,1,1,0.649446424666,0.178714525205,0.171839050129,-13.4107660391
CW_Mixed_0,Y,24,1,0,0.666144006993,0.172821260854,0.161034732153,-11.5054831152
CW_Mixed_3,Y,22,1,2,0.64060652814,0.17773231448,0.18166115738,-14.9361776377
CW_Mixed_2,Y,24,1,0,0.649446424666,0.187554421731,0.162999153603,-12.032924626
CW_Mixed_5,Y,24,1,0,0.647481973019,0.167910207244,0.184607819738,-12.2162697638
CW_Mixed_4,Y,19,3,3,0.627854962582,0.18166115738,0.190483880038,-18.9348751403
CW_Mixed_7,Y,25,0,0,0.657304110467,0.170856839404,0.171839050129,-10.4902122542
CW_Mixed_6,Y,19,2,4,0.651410846116,0.17969673593,0.168892417954,-18.6906226667
Weight_Mixed_3,Y,23,0,2,0.659268531917,0.17576789303,0.164963575053,-13.1864210748
Weight_Mixed_2,Y,24,1,0,0.656321899742,0.176750103755,0.166927996504,-11.8395122168
Weight_Mixed_1,Y,24,1,0,0.646499792491,0.168892417954,0.184607789556,-12.2468709888
Weight_Mixed_0,Y,19,3,3,0.657304110467,0.163981364328,0.178714525205,-18.562465515
Weight_Mixed_7,Y,24,0,1,0.652393056841,0.173803471579,0.173803471579,-12.0004233105
Weight_Mixed_6,Y,21,3,1,0.665161796268,0.17969673593,0.155141467802,-15.5750961014
Weight_Mixed_5,Y,25,0,0,0.667126217718,0.163981364328,0.168892417954,-10.1194004752
CD_Mixed_7,Y,7,2,16,0.169823107073,0.186572211006,0.643604681922,-22.81958879
CD_Mixed_10,Y,14,2,9,0.162999153603,0.17576789303,0.661232953367,-32.5961673591
CD_Mixed_11,Y,5,4,16,0.216038532759,0.162999153603,0.620962313638,-22.5412917247
CD_Mixed_12,Y,17,4,4,0.183539709487,0.159070310703,0.657389979811,-37.8520593006
CD_Mixed_13,Y,10,3,12,0.172821260854,0.185590000281,0.641588738865,-27.9333132327
CD_Mixed_14,Y,7,7,11,0.17773231448,0.178714525205,0.643553160315,-28.994353111
CD_Mixed_15,Y,7,2,16,0.158070895927,0.169874689043,0.67205441503,-22.8170254133
Weight_Pure_1,Y,23,2,0,0.657304110467,0.17576789303,0.166927996504,-13.1281771617
Weight_Pure_0,Y,21,4,0,0.645517581765,0.180678946655,0.173803471579,-16.0358938566
Weight_Pure_3,Y,23,2,0,0.650428635391,0.176750103755,0.172821260854,-13.3588817447
Weight_Pure_2,Y,23,1,1,0.654357478291,0.169874628679,0.17576789303,-13.2656194375
Weight_Pure_5,Y,23,2,0,0.655339689017,0.174785682304,0.169874628679,-13.2082255339
Weight_Pure_4,Y,21,3,1,0.653375267566,0.172821260854,0.173803471579,-15.9539985514
Weight_Pure_7,Y,24,1,0,0.663197374818,0.171839050129,0.164963575053,-11.6175801999
Weight_Pure_6,Y,22,3,0,0.673105351413,0.148265992726,0.178628655861,-14.4350173857
CD_Pure_6,Y,7,11,7,0.171821906442,0.180661742604,0.647516350953,-34.1937730337
CB_Pure_12,Y,21,2,2,0.657321314518,0.17675010377,0.165928581713,-15.8696610559
CB_Pure_13,Y,19,2,4,0.658286321192,0.165945785778,0.17576789303,-18.4907428175
CB_Pure_10,Y,19,3,3,0.667126217718,0.172821260854,0.160052521428,-18.4539963157
CB_Pure_11,Y,14,5,6,0.659268531917,0.166927996504,0.173803471579,-25.2826849513
CB_Pure_14,Y,12,4,9,0.661267331287,0.172821260854,0.165911407859,-28.1518664927
CB_Pure_15,Y,15,5,5,0.665161796268,0.174785682304,0.160052521428,-23.998114413
