Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.188227291484,0.192345560185,0.619427148331,-29.6896743408
CW_6_CB_N,Y,12,8,5,0.631972687842,0.178645890168,0.189381421989,-27.6056677712
Weight_2_BB_N,Y,20,4,1,0.673019482069,0.153177046352,0.173803471579,-17.1740935686
CW_4_CC_N,Y,16,6,3,0.600074949843,0.194275422653,0.205649627504,-22.7468261635
CD_3_BB_N,Y,7,3,15,0.17773231448,0.159070310703,0.663197374818,-23.7678033923
CB_7_CB_N,Y,14,2,9,0.646585722243,0.185555622361,0.167858655396,-25.5351910305
CW_1_CB_N,Y,17,4,4,0.640640875877,0.189501669327,0.169857454795,-21.3144785578
CW_5_BB_N,Y,14,4,7,0.64453537104,0.173803471579,0.18166115738,-25.0877631401
Bal_2_BB_N,Y,1,23,1,0.0301820933813,0.936654893599,0.0331630130193,-8.41195516841
Weight_2_BC_N,Y,11,7,7,0.342655926595,0.416381632178,0.240962441227,-27.8761839139
CW_7_CB_N,Y,18,4,3,0.645637798862,0.184539094036,0.169823107102,-19.9538686507
Bal_3_BB_N,Y,1,22,2,0.0224280846908,0.961951485454,0.0156204298549,-12.9692002867
CW_4_BC_N,Y,17,1,7,0.662472741912,0.176612622214,0.160914635874,-21.5221551122
Dist_4_CC_N,Y,16,8,1,0.391867211915,0.199705445337,0.408427342749,-28.7720512819
Bal_5_CC_N,Y,5,16,4,0.289939158494,0.465924543585,0.244136297921,-24.0502406337
CD_5_CC_N,Y,16,4,5,0.29634522357,0.235686590936,0.467968185494,-29.0374676041
CB_7_BC_N,Y,16,1,8,0.645723638039,0.169805933204,0.184470428758,-22.2933666581
Dist_3_CC_N,Y,11,9,5,0.375462340162,0.262981317992,0.361556341846,-27.8833056797
CB_7_BB_N,Y,19,1,5,0.655339689017,0.160052521428,0.184607789556,-18.3092918663
Bal_1_CC_N,Y,4,20,1,0.219890219944,0.534077092259,0.246032687797,-20.0050999627
CW_5_CC_N,Y,16,5,4,0.596991198505,0.204063182107,0.198945619388,-22.6591696656
Weight_5_BC_N,Y,10,10,5,0.408604615887,0.393204630025,0.198190754088,-26.3769506915
CD_3_CB_N,Y,17,0,8,0.293330137614,0.225881416053,0.480788446333,-26.7083848396
CW_2_CC_N,Y,15,3,7,0.570814835392,0.197963469087,0.231221695521,-23.5200224973
CB_1_BC_N,Y,10,4,11,0.615824790015,0.179421954089,0.204753255896,-29.1654339243
CD_4_CB_N,Y,10,6,9,0.228776375563,0.211491309795,0.559732314643,-29.2942005753
CD_4_BC_N,Y,14,8,3,0.209578591073,0.212628266521,0.577793142407,-35.908487633
CD_1_CC_N,Y,8,9,8,0.271375237132,0.239512149048,0.489112613819,-29.0176826213
Weight_4_BC_N,Y,17,6,2,0.336607674847,0.44879467698,0.214597648173,-26.3953518671
Weight_1_BC_N,Y,12,12,1,0.357131871881,0.489582957415,0.153285170704,-22.8016736393
CW_1_BB_N,Y,20,0,5,0.661232953367,0.166927996504,0.171839050129,-17.0789664876
Weight_3_CB_N,Y,12,9,4,0.415341824346,0.410832509476,0.173825666178,-25.5487777017
CW_6_BB_N,Y,16,7,2,0.656321899742,0.163981364328,0.17969673593,-22.8266492801
CW_6_CC_N,Y,12,10,3,0.639984938492,0.181523887203,0.178491174305,-27.5890562461
CB_7_CC_N,Y,13,5,7,0.637986199516,0.175682053838,0.186331746646,-26.299685566
Weight_3_CC_N,Y,8,13,4,0.392266748788,0.341920648261,0.26581260295,-26.7376560758
Dist_3_CB_N,Y,13,9,3,0.392695763491,0.291760443508,0.315543793002,-26.698134689
Bal_2_CB_N,Y,5,10,10,0.338138815357,0.394238332502,0.267622852142,-27.9112559122
CD_4_BB_N,Y,5,8,12,0.164963575053,0.163981364328,0.671055060618,-28.2610219055
CW_7_BC_N,Y,18,1,6,0.648721731382,0.183556792884,0.167721475735,-20.1974600586
Bal_3_BC_N,Y,8,14,3,0.186752964667,0.623804805067,0.189442230267,-25.0216109107
Dist_2_BC_N,Y,21,4,0,0.351593332315,0.276856479602,0.371550188083,-27.0879057459
CW_5_BC_N,Y,17,2,6,0.599316331653,0.189123663151,0.211560005195,-21.3536052518
CB_6_BB_N,Y,17,3,5,0.639624317415,0.188536632456,0.171839050129,-21.408236583
CD_5_BC_N,Y,14,6,5,0.231550786107,0.240494148499,0.527955065394,-32.2254623485
CB_3_BB_N,Y,15,8,2,0.658286321192,0.18166115738,0.160052521428,-23.5811328714
CW_4_BB_N,Y,20,0,5,0.649446424666,0.196394318257,0.154159257077,-17.9815440366
CD_2_CC_N,Y,12,1,12,0.262621330991,0.198774092079,0.538604576931,-25.0853746098
