Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.27072840658,0.408579657596,0.320691935823,-24.4354776738
Uncentered_CD_2_0_0.5,Y,6,3,15,0.0833650671814,0.239386310281,0.677248622537,-25.0419379883
Centered_CW_0_0_2.0,Y,13,7,4,0.292303496457,0.398132815269,0.309563688274,-27.1266674647
Centered_CD_2_0_1.0,Y,8,4,12,0.318873493656,0.200551328374,0.48057517797,-24.3636861244
Uncentered_D_1_0_0.25,Y,14,3,7,0.767862629634,0.144684025588,0.0874533447782,-26.5541799701
Centered_CW_1_0_0.5,Y,18,5,1,0.695644140283,0.2291665782,0.0751892815168,-16.4867839697
Centered_CW_2_0_0.25,Y,19,2,3,0.821687502612,0.104485846815,0.0738266505727,-16.0670211325
Centered_CW_4_0_1.0,Y,24,0,0,0.863247746407,0.0683761267963,0.0683761267963,-3.52928527935
Uncentered_CD_2_0_2.0,Y,6,7,11,0.193512046371,0.38178124394,0.424706709689,-26.014766414
Uncentered_W_0_0_2.0,Y,16,3,5,0.275043253282,0.569598523159,0.155358223559,-31.6518096236
Uncentered_D_0_0_0.5,Y,16,3,5,0.597760252451,0.219855795075,0.182383952474,-21.2856045356
Uncentered_CD_1_0_0.25,Y,5,3,16,0.104713051836,0.20236821854,0.692918729624,-21.9451376373
Centered_D_4_0_1.0,Y,20,3,1,0.863247578413,0.0683762046472,0.0683762169394,-13.6719963791
Centered_W_2_0_1.0,Y,23,0,1,0.831225919221,0.100397953983,0.0683761267963,-6.93436564489
Centered_CD_3_0_2.0,Y,12,10,2,0.765365409314,0.164441608356,0.0701929823307,-26.573834041
Centered_W_0_0_2.0,Y,6,16,2,0.0992629506267,0.812375190052,0.088361859321,-22.0372148355
Centered_W_4_0_1.0,Y,22,1,1,0.863247746407,0.0683761267963,0.0683761267963,-8.60064125018
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.82100618714,0.110617686063,0.0683761267963,-31.4355139813
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.709951572476,0.182837126101,0.107211301423,-29.4307933859
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.711086641446,0.133782412113,0.155130946441,-21.2298117923
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.770588842208,0.157628453635,0.0717827041566,-29.1508353341
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.83735769423,0.0854090135976,0.0772332921729,-24.9022714203
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.843489597718,0.0881342754858,0.0683761267963,-39.8174287546
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.641138902519,0.213496322343,0.145364775138,-46.4574497505
Uncentered_CD_1_0_1.0,Y,3,4,17,0.0826839614075,0.488749069891,0.428566968701,-24.746053717
Uncentered_CD_1_0_2.0,Y,1,11,12,0.117431429046,0.64931267264,0.233255898314,-24.3595804479
Uncentered_CW_1_0_0.25,Y,16,2,6,0.861885113415,0.0697387577404,0.068376128845,-23.8005198946
Uncentered_W_3_0_0.5,Y,12,7,5,0.839855908063,0.090859537374,0.0692845545635,-32.2310492282
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.67202503975,0.206683167623,0.121291792628,-59.328669191
Centered_CD_4_0_0.5,Y,18,2,4,0.522587333718,0.0683761267963,0.409036539485,-20.6226031691
Centered_D_1_0_0.5,Y,14,9,1,0.782170251179,0.147863548943,0.0699661998773,-23.302491481
Uncentered_CD_4_0_1.0,Y,10,4,10,0.410623670301,0.0758705969889,0.51350573271,-25.880626381
Centered_CD_0_0_0.5,Y,8,11,5,0.210317368026,0.424023495113,0.365659136861,-26.9409999352
Uncentered_W_1_0_1.0,Y,9,14,1,0.258918489242,0.552792826111,0.188288684647,-22.1297645345
Uncentered_CW_1_0_0.5,Y,21,2,1,0.853709329799,0.077914543405,0.0683761267963,-11.1084714729
Centered_CW_1_0_0.25,Y,21,1,2,0.74129227691,0.163078977411,0.0956287456784,-12.794650515
Centered_CD_1_0_0.5,Y,7,6,11,0.205774761269,0.262551036331,0.5316742024,-26.0396386185
Centered_D_2_0_2.0,Y,6,14,4,0.223262849336,0.649312977254,0.12742417341,-23.2831343329
Centered_D_3_0_1.0,Y,18,3,3,0.804426871643,0.12560702272,0.0699661056368,-18.1202783023
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.474441754137,0.20259527479,0.322962971073,-57.6445229029
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.471262417552,0.221672108008,0.307065474441,-55.7876630305
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.429929178985,0.250968673306,0.319102147709,-53.0644936659
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.461269797766,0.22576000084,0.312970201394,-52.6357040607
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.478529732622,0.205320536679,0.316149730699,-51.3345585005
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.306383024063,0.244836834058,0.448780141879,-51.1643786175
Uncentered_CW_0_0_0.5,Y,18,1,5,0.829863288277,0.101760584927,0.0683761267963,-19.0556876091
Uncentered_D_3_0_1.0,Y,12,9,3,0.785349743804,0.143775616259,0.0708746399367,-28.2955540506
Uncentered_W_3_0_2.0,Y,8,15,1,0.575050704206,0.282990517808,0.141958777986,-25.3137233643
Centered_CD_1_0_2.0,Y,7,6,11,0.436970582955,0.396543091394,0.166486325651,-31.0663123133
Centered_W_1_0_0.25,Y,18,6,0,0.789665675426,0.133101096641,0.077233227933,-16.350499024
Uncentered_W_3_0_0.25,Y,20,2,2,0.857115907159,0.0745079660448,0.0683761267963,-13.6428039819
Centered_CD_2_0_0.5,Y,11,3,10,0.280265260017,0.193738173654,0.525996566329,-25.3405553348
Centered_CW_1_0_1.0,Y,18,5,1,0.677702825714,0.240067625753,0.0822295485325,-16.6352488282
Centered_CD_3_0_0.25,Y,15,2,7,0.461949807026,0.0717827041566,0.466267488817,-22.1936795857
Uncentered_CD_4_0_0.5,Y,9,7,8,0.408125456468,0.0711013886845,0.520773154848,-31.7906907043
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.714720761416,0.147408721554,0.13787051703,-22.5699605627
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.73538737865,0.161035030995,0.103577590354,-60.4195533946
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.820324871668,0.109255055119,0.0704200732125,-23.7987577563
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.79443488373,0.128331888337,0.077233227933,-37.2840603806
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.827138026389,0.101760584927,0.0711013886845,-31.4971687471
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.736068844016,0.179430548741,0.0845006072437,-44.9181035596
Uncentered_CW_3_0_0.25,Y,17,1,6,0.623197309577,0.183518441573,0.19328424885,-19.5961661334
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.750149378047,0.156947138163,0.0929034837901,-36.2419752596
Uncentered_CD_3_0_0.5,Y,5,1,18,0.22258076293,0.275496063079,0.501923173991,-21.209056055
Centered_CD_3_0_1.0,Y,16,5,3,0.73061735664,0.0765519124609,0.192830730899,-22.8086049521
Centered_CD_4_0_2.0,Y,18,5,1,0.858705628985,0.0711013886845,0.0701929823307,-18.616672904
