Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.707452458248,0.209863404156,0.0826841375963,-14.4444045703
Dist_Mixed_0,Y,18,6,1,0.709042172805,0.216903713072,0.0740541141229,-17.9618945342
Dist_Mixed_3,Y,21,2,2,0.73493225142,0.191240735582,0.0738270129976,-14.9880218049
Dist_Mixed_2,Y,19,6,0,0.693144787533,0.225760869327,0.0810943431394,-15.8934847282
Dist_Mixed_5,Y,17,8,0,0.488068114544,0.404720254191,0.107211631265,-19.4305786135
Dist_Mixed_4,Y,22,2,1,0.847349623601,0.0842739136148,0.0683764627842,-11.2742140392
Dist_Mixed_7,Y,24,1,0,0.852118847173,0.0795046879946,0.0683764648329,-6.37264176804
Dist_Mixed_6,Y,17,6,2,0.672478072157,0.248017264433,0.0795046634101,-20.1747788896
CB_Mixed_8,Y,17,3,5,0.58481680922,0.291166286157,0.124016904623,-23.2580318763
CB_Mixed_9,Y,10,6,9,0.242112513821,0.51509372932,0.242793756858,-30.9038520535
CB_Pure_8,Y,10,6,9,0.571871772425,0.311605750319,0.116522477257,-31.9315437149
CB_Pure_9,Y,22,2,1,0.494655723368,0.397451763633,0.107892513,-19.5576350689
CB_Pure_0,Y,18,4,3,0.6050291825,0.232573155561,0.162397661939,-20.3319381267
CB_Pure_1,Y,11,11,3,0.571644574476,0.269364191051,0.158991234472,-26.096935411
CB_Pure_2,Y,17,4,4,0.596172081363,0.246199465002,0.157628453635,-21.789352001
CB_Pure_3,Y,23,2,0,0.60162260514,0.242111572169,0.156265822691,-14.5235866706
CB_Pure_4,Y,18,5,2,0.590040242115,0.28230918502,0.127650572865,-19.9368410082
CB_Pure_5,Y,17,6,2,0.566875516065,0.323188113343,0.109936370591,-20.8422957573
CB_Pure_6,Y,13,8,4,0.572780243019,0.318418905039,0.108800851942,-25.2723350964
CB_Pure_7,Y,20,1,4,0.622743384773,0.229847893672,0.147408721554,-18.6009369974
CW_Mixed_9,Y,24,1,0,0.602985236084,0.291166286157,0.105848477759,-13.3745623448
CW_Mixed_8,Y,25,0,0,0.778764627873,0.144002144194,0.077233227933,-6.25116063178
CW_Mixed_1,Y,23,1,1,0.79443488373,0.135826358529,0.0697387577404,-9.95223490403
CW_Mixed_0,Y,24,1,0,0.863247746407,0.0683761267963,0.0683761267963,-6.21201681808
CW_Mixed_3,Y,22,1,2,0.711995711612,0.210771060455,0.077233227933,-14.1518683512
CW_Mixed_2,Y,24,1,0,0.855299051625,0.0745079660448,0.0701929823307,-6.34814770977
CW_Mixed_5,Y,24,1,0,0.850984005523,0.0806398492423,0.0683761452347,-6.39044903631
CW_Mixed_4,Y,19,3,3,0.677475370806,0.199870012902,0.122654616292,-18.5236723098
CW_Mixed_7,Y,25,0,0,0.805335931283,0.122200049088,0.0724640196286,-5.41239456675
CW_Mixed_6,Y,19,2,4,0.84757749055,0.0840463826535,0.0683761267963,-18.825786254
Weight_Mixed_3,Y,23,0,2,0.621380753829,0.272770768412,0.105848477759,-15.4351521851
Weight_Mixed_2,Y,24,1,0,0.814874347892,0.115386894368,0.0697387577404,-7.0727769462
Weight_Mixed_1,Y,24,1,0,0.642501533463,0.251649988778,0.105848477759,-11.9969819024
Weight_Mixed_0,Y,19,3,3,0.637051009686,0.251649988778,0.111299001536,-19.2929586698
Weight_Mixed_7,Y,24,0,1,0.776720681457,0.152859245331,0.0704200732125,-8.71746436325
Weight_Mixed_6,Y,21,3,1,0.616611524112,0.247562095946,0.135826379943,-16.3384968867
Weight_Mixed_5,Y,25,0,0,0.863247746407,0.0683761267963,0.0683761267963,-3.67633883266
CD_Mixed_7,Y,7,2,16,0.240749348078,0.263913667275,0.495336984647,-23.8725305833
CD_Mixed_10,Y,14,2,9,0.315012327679,0.154221876275,0.530765796046,-25.6116447468
CD_Mixed_11,Y,5,4,16,0.240748941225,0.215540268759,0.543710790015,-23.0078381822
CD_Mixed_12,Y,17,4,4,0.459451614606,0.0697387577404,0.470809627653,-26.8864699475
CD_Mixed_13,Y,10,3,12,0.409488087412,0.0697387577404,0.520773154848,-24.7467606436
CD_Mixed_14,Y,7,7,11,0.39063836649,0.0881342754858,0.521227358024,-30.7493260648
CD_Mixed_15,Y,7,2,16,0.305474115886,0.205547734627,0.488978149487,-22.9123851838
Weight_Pure_1,Y,23,2,0,0.741065162566,0.189650280821,0.0692845566122,-10.2174815942
Weight_Pure_0,Y,21,4,0,0.688603637721,0.208045798567,0.103350563712,-14.114866504
Weight_Pure_3,Y,23,2,0,0.702911361506,0.216675841405,0.0804127970897,-11.1667687884
Weight_Pure_2,Y,23,1,1,0.705409647773,0.219855273887,0.0747350783399,-12.1350529403
Weight_Pure_5,Y,23,2,0,0.696098300633,0.227803947256,0.0760977521106,-11.2906208186
Weight_Pure_4,Y,21,3,1,0.7440173552,0.169437950368,0.086544694432,-13.9824090493
Weight_Pure_7,Y,24,1,0,0.67247939282,0.235298417449,0.0922221897314,-10.9697121639
Weight_Pure_6,Y,22,3,0,0.699958652904,0.169892132132,0.130149214964,-13.1659229658
CD_Pure_6,Y,7,11,7,0.388594799367,0.140595570931,0.470809629702,-33.4701828395
CB_Pure_12,Y,21,2,2,0.552340477218,0.294118833499,0.153540689283,-18.6605250784
CB_Pure_13,Y,19,2,4,0.602985236084,0.253693935194,0.143320828722,-20.1253206197
CB_Pure_10,Y,19,3,3,0.599578658724,0.268682875579,0.131738465697,-19.7425144272
CB_Pure_11,Y,14,5,6,0.578457836263,0.289576562282,0.131965601454,-26.0114163522
CB_Pure_14,Y,12,4,9,0.535534611839,0.310697426447,0.153767961714,-29.0204150562
CB_Pure_15,Y,15,5,5,0.555974322717,0.295481332062,0.148544345221,-24.4356043319
CD_Pure_2,Y,7,7,11,0.263913667275,0.208727114039,0.527359218686,-27.3306322786
CD_Pure_3,Y,2,1,22,0.250514919809,0.265276298219,0.484208781972,-20.0507171081
CW_Pure_8,Y,24,0,1,0.847577469137,0.0813211207653,0.0711014100978,-6.61260094723
CW_Pure_9,Y,24,0,1,0.775358050513,0.153540560803,0.0711013886845,-8.74997694669
CD_Mixed_1,Y,8,3,14,0.271408137468,0.201232643846,0.527359218686,-24.20115988
CD_Pure_14,Y,5,6,14,0.208046019772,0.288213967093,0.503740013135,-24.9140225481
CD_Pure_15,Y,7,3,15,0.223488963542,0.235298417449,0.541212619009,-24.0386008443
CD_Pure_10,Y,13,4,8,0.285488813197,0.211906604615,0.502604582188,-28.0062325182
CD_Pure_11,Y,12,4,9,0.359071051388,0.163760318394,0.477168630218,-26.1871934705
