Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.28617011228,0.199188705625,0.514641182096,-27.9467227627
CW_6_CB_N,Y,12,8,5,0.635234089912,0.251649990827,0.113115919261,-27.3795798471
Weight_2_BB_N,Y,20,4,1,0.672479414233,0.25573788161,0.0717827041566,-16.0241963328
CW_4_CC_N,Y,16,6,3,0.629556339702,0.216448704721,0.153994955577,-22.1987553211
CD_3_BB_N,Y,7,3,15,0.344990208449,0.131738465697,0.523271325854,-23.2453120618
CB_7_CB_N,Y,14,2,9,0.609344123388,0.229166580249,0.161489296363,-26.2916694741
CW_1_CB_N,Y,17,4,4,0.687922497653,0.209635539757,0.10244196259,-21.7227191962
CW_5_BB_N,Y,14,4,7,0.606618904326,0.315466552269,0.077914543405,-29.4777722997
Bal_2_BB_N,Y,1,23,1,0.152632715151,0.666119189343,0.181248095506,-12.9322025049
Weight_2_BC_N,Y,11,7,7,0.474669378695,0.359071665639,0.166258955666,-27.925598502
CW_7_CB_N,Y,18,4,3,0.644091218608,0.246199482318,0.109709299074,-20.1546846568
Bal_3_BB_N,Y,1,22,2,0.189196785069,0.602529502797,0.208273712134,-15.9483821414
CW_4_BC_N,Y,17,1,7,0.643182784695,0.227803949305,0.129013266,-23.3166977419
Dist_4_CC_N,Y,16,8,1,0.43310869785,0.312060574285,0.254830727864,-24.0718842309
Bal_5_CC_N,Y,5,16,4,0.250969684418,0.493972693457,0.255057622125,-23.6615794283
CD_5_CC_N,Y,16,4,5,0.488749087207,0.182610180481,0.328640732312,-23.8200534222
CB_7_BC_N,Y,16,1,8,0.592084102878,0.218265532696,0.189650364426,-23.208333048
Dist_3_CC_N,Y,11,9,5,0.442647060266,0.322961806363,0.234391133371,-26.3906189601
CB_7_BB_N,Y,19,1,5,0.568919398241,0.293210232573,0.137870369185,-21.8503860451
Bal_1_CC_N,Y,4,20,1,0.223035727724,0.50441944101,0.272544831266,-20.9885880412
CW_5_CC_N,Y,16,5,4,0.672933497125,0.19691766423,0.130148838645,-22.6188945281
Weight_5_BC_N,Y,10,10,5,0.423797777909,0.353393901087,0.222808321004,-26.4939256558
CD_3_CB_N,Y,17,0,8,0.485796654004,0.166031503003,0.348171842993,-20.7138805057
CW_2_CC_N,Y,15,3,7,0.661578168937,0.182610047511,0.155811783552,-24.3118594717
CB_1_BC_N,Y,10,4,11,0.603212167951,0.202368200298,0.19441963175,-29.4606292324
CD_4_CB_N,Y,10,6,9,0.280946918833,0.227576910567,0.4914761706,-27.9705738724
