Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.264,0.524,0.212,-21.4333925782
Uncentered_CD_2_0_0.5,Y,6,3,15,0.27,0.204,0.526,-22.261716769
Centered_CW_0_0_2.0,Y,13,7,4,0.278,0.518,0.204,-27.6047455464
Centered_CD_2_0_1.0,Y,8,4,12,0.558,0.242,0.2,-29.6556956933
Uncentered_D_1_0_0.25,Y,14,3,7,0.702,0.116,0.182,-23.3422416564
Centered_CW_1_0_0.5,Y,18,5,1,0.508,0.2,0.292,-21.4691200042
Centered_CW_2_0_0.25,Y,19,2,3,0.638,0.176,0.186,-17.0594913008
Centered_CW_4_0_1.0,Y,24,0,0,0.974,0.026,4.36760182614e-105,-0.63225540815
Uncentered_CD_2_0_2.0,Y,6,7,11,0.172,0.526,0.302,-28.2293541544
Uncentered_W_0_0_2.0,Y,16,3,5,0.362,0.49,0.148,-27.9505417642
Uncentered_D_0_0_0.5,Y,16,3,5,0.59,0.196,0.214,-21.0399420524
Uncentered_CD_1_0_0.25,Y,5,3,16,0.292,0.21,0.498,-21.9914338597
Centered_D_4_0_1.0,Y,20,3,1,0.966,0.032,0.002,-17.2324951224
Centered_W_2_0_1.0,Y,23,0,1,0.656,0.226,0.118,-11.8337439254
Centered_CD_3_0_2.0,Y,12,10,2,0.68,0.28,0.04,-23.7953581776
Centered_W_0_0_2.0,Y,6,16,2,0.296,0.486,0.218,-21.8956418616
Centered_W_4_0_1.0,Y,22,1,1,0.992,0.008,4.36760182614e-105,-245.302242202
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.688,0.176,0.136,-32.6147540365
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.546,0.22,0.234,-36.0716997145
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.658,0.178,0.164,-24.0945979531
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.608,0.192,0.2,-34.1355086627
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.772,0.142,0.086,-26.2790164823
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.698,0.182,0.12,-38.4811323611
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.436,0.188,0.376,-48.2036120541
Uncentered_CD_1_0_1.0,Y,3,4,17,0.276,0.306,0.418,-23.4273993377
Uncentered_CD_1_0_2.0,Y,1,11,12,0.152,0.556,0.292,-23.1127493107
Uncentered_CW_1_0_0.25,Y,16,2,6,0.728,0.126,0.146,-20.7671063803
Uncentered_W_3_0_0.5,Y,12,7,5,0.686,0.168,0.146,-26.6298141985
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.468,0.186,0.346,-49.2640795402
Centered_CD_4_0_0.5,Y,18,2,4,0.944,0.046,0.01,-25.61623254
Centered_D_1_0_0.5,Y,14,9,1,0.62,0.196,0.184,-23.0520863123
Uncentered_CD_4_0_1.0,Y,10,4,10,0.76,0.168,0.072,-36.190425255
Centered_CD_0_0_0.5,Y,8,11,5,0.416,0.246,0.338,-27.8667682408
Uncentered_W_1_0_1.0,Y,9,14,1,0.418,0.338,0.244,-24.4469830408
Uncentered_CW_1_0_0.5,Y,21,2,1,0.644,0.174,0.182,-14.4423361619
Centered_CW_1_0_0.25,Y,21,1,2,0.51,0.18,0.31,-18.1974000096
Centered_CD_1_0_0.5,Y,7,6,11,0.448,0.206,0.346,-26.7744905303
Centered_D_2_0_2.0,Y,6,14,4,0.336,0.574,0.09,-23.947409506
Centered_D_3_0_1.0,Y,18,3,3,0.72,0.194,0.086,-18.1929885134
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.572,0.202,0.226,-61.3355329624
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.524,0.234,0.242,-57.0864155467
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.48,0.248,0.272,-53.655641334
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.502,0.206,0.292,-53.3284000864
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.534,0.212,0.254,-51.6018298997
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.51,0.198,0.292,-51.9889702809
Uncentered_CW_0_0_0.5,Y,18,1,5,0.74,0.14,0.12,-17.9873222075
Uncentered_D_3_0_1.0,Y,12,9,3,0.628,0.224,0.148,-24.77919341
Uncentered_W_3_0_2.0,Y,8,15,1,0.474,0.466,0.06,-20.2393390479
Centered_CD_1_0_2.0,Y,7,6,11,0.294,0.534,0.172,-31.6962540455
Centered_W_1_0_0.25,Y,18,6,0,0.594,0.178,0.228,-19.7315976453
Uncentered_W_3_0_0.25,Y,20,2,2,0.716,0.12,0.164,-14.5378070151
Centered_CD_2_0_0.5,Y,11,3,10,0.55,0.2,0.25,-25.2674643568
Centered_CW_1_0_1.0,Y,18,5,1,0.468,0.282,0.25,-21.3827010965
Centered_CD_3_0_0.25,Y,15,2,7,0.806,0.116,0.078,-25.4007283889
Uncentered_CD_4_0_0.5,Y,9,7,8,0.79,0.13,0.08,-36.6088759558
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.538,0.166,0.296,-33.3017822587
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.512,0.178,0.31,-51.8356968721
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.638,0.184,0.178,-29.1981919816
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.62,0.17,0.21,-38.7101465098
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.65,0.15,0.2,-34.1902223706
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.466,0.186,0.348,-42.9104576866
Uncentered_CW_3_0_0.25,Y,17,1,6,0.44,0.192,0.368,-21.604963337
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.526,0.184,0.29,-40.2575644837
Uncentered_CD_3_0_0.5,Y,5,1,18,0.456,0.24,0.304,-26.7865250993
Centered_CD_3_0_1.0,Y,16,5,3,0.792,0.158,0.05,-21.9441002451
Centered_CD_4_0_2.0,Y,18,5,1,0.878,0.118,0.004,-18.5487705267
Centered_W_2_0_0.5,Y,23,1,0,0.684,0.174,0.142,-10.484039291
Uncentered_CW_1_0_2.0,Y,14,9,1,0.54,0.4,0.06,-19.6866332556
Centered_D_0_0_0.25,Y,5,18,1,0.36,0.414,0.226,-22.4694840102
Centered_D_2_0_0.5,Y,14,7,3,0.45,0.372,0.178,-23.2790529061
Centered_CD_4_0_0.25,Y,17,3,4,0.946,0.038,0.016,-27.2948896536
Uncentered_CD_3_0_1.0,Y,5,4,15,0.422,0.338,0.24,-30.0593326933
Uncentered_CD_4_0_2.0,Y,15,8,1,0.61,0.35,0.04,-19.0318976481
Centered_CW_0_0_0.5,Y,20,2,2,0.428,0.274,0.298,-21.9832195981
Uncentered_W_3_0_1.0,Y,15,6,3,0.666,0.22,0.114,-21.6964210142
Centered_W_4_0_0.5,Y,22,1,1,0.988,0.008,0.004,-10.6153714423
Centered_D_0_0_0.5,Y,5,18,1,0.342,0.416,0.242,-22.5708005994
Centered_CD_1_0_0.25,Y,8,3,13,0.514,0.212,0.274,-26.8079163649
Uncentered_W_2_0_2.0,Y,12,9,3,0.366,0.492,0.142,-24.3007370735
Centered_W_0_0_1.0,Y,11,12,1,0.392,0.294,0.314,-26.1498962639
Uncentered_D_4_0_2.0,Y,9,14,1,0.588,0.354,0.058,-22.1649843701
Centered_CD_2_0_2.0,Y,6,11,7,0.392,0.488,0.12,-28.352643993
Uncentered_CD_2_0_1.0,Y,9,4,11,0.216,0.318,0.466,-26.7743735199
Uncentered_CW_3_0_2.0,Y,4,18,2,0.282,0.502,0.216,-20.533139442
Uncentered_CW_1_0_1.0,Y,19,2,3,0.676,0.192,0.132,-16.8150617389
Uncentered_W_2_0_0.5,Y,15,5,4,0.508,0.238,0.254,-22.8182145455
Centered_CD_1_0_1.0,Y,8,5,11,0.416,0.328,0.256,-27.5786246823
Uncentered_W_4_0_0.25,Y,14,6,4,0.944,0.028,0.028,-36.5623152678
Centered_D_3_0_0.5,Y,20,3,1,0.736,0.166,0.098,-13.8405934773
Centered_W_4_0_0.25,Y,24,0,0,0.98,0.014,0.006,-0.48486497562
Uncentered_CW_0_0_1.0,Y,19,4,1,0.692,0.198,0.11,-15.6804450503
BalAdjust_Raw_CD_0.25_5,Y,14,14,20,0.58,0.176,0.244,-60.1597195052
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.676,0.164,0.16,-51.740887839
BalAdjust_Raw_CD_0.25_1,Y,12,25,11,0.55,0.194,0.256,-63.1598281866
BalAdjust_Raw_CD_0.25_0,Y,16,8,24,0.544,0.198,0.258,-55.2118991578
BalAdjust_Raw_CD_0.25_3,Y,15,13,20,0.5,0.192,0.308,-55.403696419
Uncentered_CD_4_0_0.25,Y,14,2,8,0.78,0.132,0.088,-26.971713459
Centered_CW_3_0_0.25,Y,23,0,1,0.902,0.066,0.032,-5.81425683133
Centered_CW_3_0_1.0,Y,21,3,0,0.84,0.106,0.054,-10.3943696847
Centered_W_2_0_2.0,Y,18,4,2,0.538,0.392,0.07,-20.2226347694
BalAdjust_Adj_CD_0.25_0,Y,19,5,24,0.404,0.19,0.406,-47.1577745186
Uncentered_W_1_0_0.25,Y,14,8,2,0.468,0.196,0.336,-25.848430959
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.644,0.148,0.208,-65.211755868
BalAdjust_Adj_CD_0.25_3,Y,13,8,27,0.328,0.224,0.448,-48.1404907921
BalAdjust_Adj_CD_0.25_4,Y,18,10,20,0.622,0.15,0.228,-57.0860662018
BalAdjust_Adj_CD_0.25_5,Y,12,6,30,0.428,0.186,0.386,-48.8331739179
Centered_D_2_0_0.25,Y,14,7,3,0.492,0.318,0.19,-22.9319927687
Centered_D_4_0_0.25,Y,21,1,2,0.956,0.026,0.018,-12.6293704677
Uncentered_W_4_0_1.0,Y,20,3,1,0.902,0.072,0.026,-13.6057413992
Uncentered_W_1_0_0.5,Y,12,10,2,0.43,0.232,0.338,-26.9072386837
Uncentered_CW_0_0_0.25,Y,21,1,2,0.768,0.118,0.114,-12.0234607782
Centered_CW_2_0_0.5,Y,20,1,3,0.682,0.17,0.148,-15.1580982804
Centered_D_0_0_2.0,Y,1,21,2,0.16,0.714,0.126,-13.0498468573
Uncentered_D_4_0_0.5,Y,13,7,4,0.714,0.168,0.118,-25.4141618315
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.564,0.25,0.186,-50.0465811668
BalAdjust_Adj_CW_0.5_5,Y,34,5,9,0.606,0.172,0.222,-39.3767650439
BalAdjust_Adj_CW_0.5_2,Y,37,3,8,0.464,0.222,0.314,-42.1933489259
Centered_D_1_0_0.25,Y,17,6,1,0.682,0.136,0.182,-20.1806865107
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.538,0.214,0.248,-43.9525184593
BalAdjust_Adj_CW_0.5_1,Y,31,6,11,0.548,0.218,0.234,-43.7622168501
Uncentered_D_2_0_0.5,Y,16,3,5,0.48,0.234,0.286,-22.359626633
Uncentered_CW_4_0_0.5,Y,16,6,2,0.708,0.182,0.11,-20.1620203424
Uncentered_CW_3_0_0.5,Y,9,6,9,0.412,0.204,0.384,-26.1324136151
Uncentered_W_1_0_2.0,Y,1,22,1,0.256,0.572,0.172,-15.4123969639
Centered_D_2_0_1.0,Y,7,11,6,0.464,0.404,0.132,-27.4945596369
Centered_CW_0_0_1.0,Y,14,7,3,0.404,0.28,0.316,-25.0555645412
Centered_CW_1_0_2.0,Y,10,12,2,0.362,0.498,0.14,-22.4591988078
Centered_W_4_0_2.0,Y,21,3,0,0.946,0.054,4.36760182614e-105,-9.92208060579
Centered_CW_2_0_2.0,Y,19,5,0,0.496,0.438,0.066,-17.4500895359
Uncentered_CD_3_0_2.0,Y,6,5,13,0.274,0.53,0.196,-32.1274824545
Uncentered_CW_2_0_0.5,Y,14,5,5,0.33,0.262,0.408,-26.7007711423
Centered_W_1_0_2.0,Y,6,18,0,0.348,0.526,0.126,-17.8974899876
Centered_D_0_0_1.0,Y,2,22,0,0.284,0.458,0.258,-19.6970561687
Uncentered_W_2_0_0.25,Y,9,6,9,0.542,0.186,0.272,-27.3220340437
Uncentered_CD_0_0_2.0,Y,3,10,11,0.084,0.442,0.474,-23.8072969396
Uncentered_D_0_0_0.25,Y,13,3,8,0.624,0.15,0.226,-23.7199860303
Uncentered_W_0_0_0.5,Y,18,1,5,0.538,0.228,0.234,-19.8987214069
Centered_W_1_0_1.0,Y,15,9,0,0.518,0.264,0.218,-21.8529561334
Centered_W_2_0_0.25,Y,24,0,0,0.76,0.12,0.12,-6.58648429684
Uncentered_CD_0_0_0.5,Y,4,4,16,0.132,0.202,0.666,-21.001213487
BalAdjust_Raw_CD_0.5_5,Y,28,10,10,0.598,0.196,0.206,-46.4918040003
BalAdjust_Raw_CD_0.5_2,Y,21,13,14,0.604,0.178,0.218,-54.3510782017
BalAdjust_Raw_CD_0.5_3,Y,12,27,9,0.554,0.238,0.208,-59.9771262437
BalAdjust_Raw_CD_0.5_0,Y,21,15,12,0.684,0.178,0.138,-57.6313396448
BalAdjust_Raw_CD_0.5_1,Y,20,15,13,0.592,0.228,0.18,-54.9534971976
Uncentered_D_4_0_1.0,Y,16,6,2,0.676,0.198,0.126,-20.1248714808
Uncentered_CW_2_0_1.0,Y,14,3,7,0.354,0.3,0.346,-25.5795510623
Uncentered_D_2_0_0.25,Y,12,7,5,0.524,0.168,0.308,-26.129979713
Uncentered_CW_4_0_0.25,Y,15,8,1,0.684,0.122,0.194,-24.1667314143
Uncentered_W_2_0_1.0,Y,11,4,9,0.464,0.264,0.272,-25.4913816118
BalAdjust_Adj_CW_0.5_3,Y,36,6,6,0.53,0.196,0.274,-40.4012245618
Uncentered_D_1_0_2.0,Y,10,11,3,0.45,0.462,0.088,-23.7704266226
Uncentered_D_0_0_1.0,Y,13,5,6,0.574,0.246,0.18,-24.5175457584
Centered_D_3_0_2.0,Y,15,8,1,0.578,0.37,0.052,-19.1332509018
Uncentered_D_0_0_2.0,Y,8,14,2,0.456,0.43,0.114,-22.440794401
Centered_CW_4_0_2.0,Y,22,2,0,0.948,0.052,4.36760182614e-105,-7.0878402088
Centered_W_3_0_2.0,Y,20,3,1,0.554,0.396,0.05,-17.5865673214
Centered_CW_3_0_0.5,Y,22,1,1,0.86,0.092,0.048,-8.74062454417
Centered_W_1_0_0.5,Y,15,9,0,0.504,0.236,0.26,-23.2729964293
Uncentered_CW_0_0_2.0,Y,16,4,4,0.59,0.364,0.046,-24.8009850487
