Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.516,0.36,0.124,-19.0470462395
Dist_Mixed_0,Y,18,6,1,0.506,0.326,0.168,-20.7708736598
Dist_Mixed_3,Y,21,2,2,0.622,0.172,0.206,-16.6513987358
Dist_Mixed_2,Y,19,6,0,0.488,0.36,0.152,-19.7612650746
Dist_Mixed_5,Y,17,8,0,0.41,0.32,0.27,-24.2726422933
Dist_Mixed_4,Y,22,2,1,0.722,0.124,0.154,-13.2118131853
Dist_Mixed_7,Y,24,1,0,0.806,0.114,0.08,-7.347673706
Dist_Mixed_6,Y,17,6,2,0.47,0.366,0.164,-22.4818933085
CB_Mixed_8,Y,17,3,5,0.404,0.202,0.394,-24.8632714105
CB_Mixed_9,Y,10,6,9,0.382,0.196,0.422,-27.1659401068
CB_Pure_8,Y,10,6,9,0.418,0.168,0.414,-27.3624900085
CB_Pure_9,Y,22,2,1,0.378,0.204,0.418,-25.4544882507
CB_Pure_0,Y,18,4,3,0.404,0.19,0.406,-25.6612584038
CB_Pure_1,Y,11,11,3,0.416,0.156,0.428,-32.6305584452
CB_Pure_2,Y,17,4,4,0.416,0.176,0.408,-25.4452278723
CB_Pure_3,Y,23,2,0,0.402,0.168,0.43,-24.5275559775
CB_Pure_4,Y,18,5,2,0.418,0.196,0.386,-25.752968154
CB_Pure_5,Y,17,6,2,0.43,0.152,0.418,-27.3952874367
CB_Pure_6,Y,13,8,4,0.412,0.162,0.426,-29.5020503661
CB_Pure_7,Y,20,1,4,0.424,0.172,0.404,-22.5460588813
CW_Mixed_9,Y,24,1,0,0.484,0.162,0.354,-19.2362478781
CW_Mixed_8,Y,25,0,0,0.58,0.15,0.27,-13.618179386
CW_Mixed_1,Y,23,1,1,0.622,0.164,0.214,-14.2704173987
CW_Mixed_0,Y,24,1,0,0.932,0.032,0.036,-5.1321585193
CW_Mixed_3,Y,22,1,2,0.546,0.182,0.272,-17.6206536885
CW_Mixed_2,Y,24,1,0,0.742,0.102,0.156,-9.44452732525
CW_Mixed_5,Y,24,1,0,0.722,0.128,0.15,-9.87324837721
CW_Mixed_4,Y,19,3,3,0.538,0.168,0.294,-20.8019380913
CW_Mixed_7,Y,25,0,0,0.682,0.116,0.202,-9.56814052847
CW_Mixed_6,Y,19,2,4,0.706,0.136,0.158,-17.9855025586
Weight_Mixed_3,Y,23,0,2,0.452,0.158,0.39,-20.1468983602
Weight_Mixed_2,Y,24,1,0,0.684,0.124,0.192,-11.202610386
Weight_Mixed_1,Y,24,1,0,0.492,0.134,0.374,-19.0325529788
Weight_Mixed_0,Y,19,3,3,0.454,0.178,0.368,-23.1804357464
Weight_Mixed_7,Y,24,0,1,0.594,0.148,0.258,-13.8558187249
Weight_Mixed_6,Y,21,3,1,0.444,0.182,0.374,-23.1452903048
Weight_Mixed_5,Y,25,0,0,0.994,0.006,4.36760182614e-105,-0.150451808139
CD_Mixed_7,Y,7,2,16,0.526,0.17,0.304,-27.0927333888
CD_Mixed_10,Y,14,2,9,0.628,0.16,0.212,-24.1386955415
CD_Mixed_11,Y,5,4,16,0.568,0.142,0.29,-30.4418718829
CD_Mixed_12,Y,17,4,4,0.79,0.092,0.118,-22.0994290957
CD_Mixed_13,Y,10,3,12,0.848,0.066,0.086,-39.2439438355
CD_Mixed_14,Y,7,7,11,0.734,0.116,0.15,-38.1121992014
CD_Mixed_15,Y,7,2,16,0.534,0.17,0.296,-27.4137629585
Weight_Pure_1,Y,23,2,0,0.556,0.128,0.316,-17.612150679
Weight_Pure_0,Y,21,4,0,0.532,0.142,0.326,-21.061060468
Weight_Pure_3,Y,23,2,0,0.494,0.15,0.356,-20.014294491
Weight_Pure_2,Y,23,1,1,0.544,0.142,0.314,-17.1128292534
Weight_Pure_5,Y,23,2,0,0.52,0.15,0.33,-18.8345487201
Weight_Pure_4,Y,21,3,1,0.546,0.158,0.296,-19.4607389305
Weight_Pure_7,Y,24,1,0,0.5,0.194,0.306,-18.2754294534
Weight_Pure_6,Y,22,3,0,0.602,0.136,0.262,-17.1502535206
CD_Pure_6,Y,7,11,7,0.568,0.16,0.272,-33.2315056119
CB_Pure_12,Y,21,2,2,0.42,0.168,0.412,-23.5585583802
CB_Pure_13,Y,19,2,4,0.404,0.182,0.414,-24.1555220238
CB_Pure_10,Y,19,3,3,0.438,0.184,0.378,-23.6822328177
CB_Pure_11,Y,14,5,6,0.406,0.164,0.43,-26.7228943489
CB_Pure_14,Y,12,4,9,0.356,0.174,0.47,-26.1838977551
CB_Pure_15,Y,15,5,5,0.42,0.164,0.416,-26.437302865
CD_Pure_2,Y,7,7,11,0.516,0.14,0.344,-30.1325794268
CD_Pure_3,Y,2,1,22,0.5,0.162,0.338,-27.0700597419
CW_Pure_8,Y,24,0,1,0.698,0.114,0.188,-10.3001815454
CW_Pure_9,Y,24,0,1,0.576,0.148,0.276,-14.5268972521
CD_Mixed_1,Y,8,3,14,0.488,0.186,0.326,-26.4775553675
CD_Pure_14,Y,5,6,14,0.482,0.168,0.35,-29.0493133651
CD_Pure_15,Y,7,3,15,0.508,0.14,0.352,-26.3011169397
CD_Pure_10,Y,13,4,8,0.522,0.198,0.28,-25.1128183839
CD_Pure_11,Y,12,4,9,0.57,0.156,0.274,-25.8286686581
CD_Pure_12,Y,9,4,12,0.434,0.16,0.406,-25.6595479915
CD_Pure_13,Y,10,6,9,0.788,0.098,0.114,-35.8633101684
CD_Pure_4,Y,15,7,3,0.82,0.084,0.096,-27.3455547044
CD_Mixed_5,Y,10,1,14,0.538,0.156,0.306,-24.6352489384
CW_Pure_13,Y,25,0,0,0.73,0.124,0.146,-7.86776862099
CW_Pure_12,Y,23,2,0,0.764,0.122,0.114,-10.3987807343
CW_Pure_11,Y,25,0,0,0.656,0.146,0.198,-10.539862251
CW_Pure_10,Y,22,2,1,0.724,0.116,0.16,-13.2461171446
CW_Pure_15,Y,24,1,0,0.6,0.148,0.252,-14.1703579756
CW_Pure_14,Y,22,2,1,0.532,0.158,0.31,-18.7459628455
Dist_Pure_7,Y,24,0,1,0.644,0.17,0.186,-12.2433658743
Dist_Pure_6,Y,17,6,2,0.428,0.28,0.292,-24.5265424261
Dist_Pure_5,Y,20,4,1,0.496,0.182,0.322,-21.9717851462
Dist_Pure_4,Y,23,1,1,0.768,0.118,0.114,-10.3798350393
Dist_Pure_3,Y,18,5,2,0.51,0.184,0.306,-22.9526399197
Dist_Pure_2,Y,16,8,1,0.384,0.39,0.226,-24.3338922209
Dist_Pure_1,Y,25,0,0,0.846,0.086,0.068,-4.1808979844
Dist_Pure_0,Y,19,5,1,0.434,0.376,0.19,-22.4110660375
CD_Mixed_8,Y,9,4,12,0.506,0.156,0.338,-26.5790771762
CB_Mixed_4,Y,14,6,5,0.458,0.132,0.41,-27.5401160629
CB_Mixed_5,Y,13,5,7,0.428,0.194,0.378,-26.0417302673
CB_Mixed_6,Y,21,2,2,0.408,0.172,0.42,-24.0817729359
CB_Mixed_7,Y,13,6,6,0.416,0.154,0.43,-27.6905467245
CB_Mixed_0,Y,14,5,6,0.404,0.214,0.382,-26.1716699563
CB_Mixed_1,Y,19,6,0,0.462,0.158,0.38,-25.7425788458
CB_Mixed_2,Y,23,2,0,0.414,0.152,0.434,-24.0512035349
CB_Mixed_3,Y,12,4,9,0.384,0.198,0.418,-25.813770328
Bal_Pure_5,Y,1,24,0,0.078,0.832,0.09,-6.96519456815
Bal_Pure_4,Y,0,23,2,0.01,0.984,0.006,-10.6029674039
Bal_Pure_7,Y,3,22,0,0.084,0.84,0.076,-11.2665899576
Bal_Pure_6,Y,1,22,2,0.058,0.888,0.054,-11.2980925251
Bal_Pure_1,Y,0,24,1,0.006,0.978,0.016,-4.66906117148
Bal_Pure_0,Y,0,25,0,0.016,0.976,0.008,-0.607317314226
Bal_Pure_3,Y,1,24,0,0.012,0.968,0.02,-5.20340523013
Bal_Pure_2,Y,2,21,2,0.024,0.962,0.014,-16.8103561906
CD_Mixed_9,Y,10,2,13,0.8,0.084,0.116,-35.1894586158
