Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.53,0.15,0.32,-29.7532089056
CW_6_CB_N,Y,12,8,5,0.494,0.156,0.35,-28.5749419379
Weight_2_BB_N,Y,20,4,1,0.516,0.166,0.318,-21.5617441287
CW_4_CC_N,Y,16,6,3,0.478,0.176,0.346,-25.4178899593
CD_3_BB_N,Y,7,3,15,0.606,0.132,0.262,-29.6721487479
CB_7_CB_N,Y,14,2,9,0.418,0.166,0.416,-23.6969990001
CW_1_CB_N,Y,17,4,4,0.522,0.174,0.304,-22.8092009781
CW_5_BB_N,Y,14,4,7,0.494,0.138,0.368,-24.7927894261
Bal_2_BB_N,Y,1,23,1,0.016,0.98,0.004,-10.1212897429
Weight_2_BC_N,Y,11,7,7,0.38,0.368,0.252,-27.2894140149
CW_7_CB_N,Y,18,4,3,0.452,0.178,0.37,-24.1799595195
Bal_3_BB_N,Y,1,22,2,0.004,0.996,7.16486928922e-77,-356.269362073
CW_4_BC_N,Y,17,1,7,0.436,0.172,0.392,-22.4276364823
Dist_4_CC_N,Y,16,8,1,0.544,0.152,0.304,-26.0026221567
Bal_5_CC_N,Y,5,16,4,0.282,0.494,0.224,-23.5971941374
CD_5_CC_N,Y,16,4,5,0.576,0.15,0.274,-22.8879776951
CB_7_BC_N,Y,16,1,8,0.432,0.14,0.428,-22.1844445754
Dist_3_CC_N,Y,11,9,5,0.486,0.196,0.318,-28.3322982647
CB_7_BB_N,Y,19,1,5,0.392,0.162,0.446,-23.6507159232
Bal_1_CC_N,Y,4,20,1,0.178,0.644,0.178,-17.430989701
CW_5_CC_N,Y,16,5,4,0.488,0.146,0.366,-25.1202690388
Weight_5_BC_N,Y,10,10,5,0.408,0.25,0.342,-28.1925473666
CD_3_CB_N,Y,17,0,8,0.604,0.13,0.266,-19.1651501394
CW_2_CC_N,Y,15,3,7,0.49,0.154,0.356,-23.5424281848
CB_1_BC_N,Y,10,4,11,0.394,0.178,0.428,-25.552883529
CD_4_CB_N,Y,10,6,9,0.528,0.164,0.308,-27.8328225238
CD_4_BC_N,Y,14,8,3,0.476,0.182,0.342,-27.2415463075
CD_1_CC_N,Y,8,9,8,0.506,0.158,0.336,-30.7813440433
Weight_4_BC_N,Y,17,6,2,0.392,0.41,0.198,-24.5089536785
Weight_1_BC_N,Y,12,12,1,0.336,0.4,0.264,-25.4150243866
CW_1_BB_N,Y,20,0,5,0.476,0.18,0.344,-20.1823166031
Weight_3_CB_N,Y,12,9,4,0.36,0.382,0.258,-26.34000978
CW_6_BB_N,Y,16,7,2,0.444,0.16,0.396,-27.6716438465
CW_6_CC_N,Y,12,10,3,0.49,0.158,0.352,-30.1441734242
CB_7_CC_N,Y,13,5,7,0.462,0.16,0.378,-26.011409945
Weight_3_CC_N,Y,8,13,4,0.384,0.304,0.312,-27.7953686843
Dist_3_CB_N,Y,13,9,3,0.444,0.248,0.308,-26.6370045985
Bal_2_CB_N,Y,5,10,10,0.298,0.442,0.26,-27.6884994111
CD_4_BB_N,Y,5,8,12,0.472,0.198,0.33,-30.0137389475
CW_7_BC_N,Y,18,1,6,0.466,0.186,0.348,-21.7595790079
Bal_3_BC_N,Y,8,14,3,0.16,0.666,0.174,-25.5972701675
Dist_2_BC_N,Y,21,4,0,0.784,0.106,0.11,-14.0875361707
CW_5_BC_N,Y,17,2,6,0.466,0.156,0.378,-22.5336490062
CB_6_BB_N,Y,17,3,5,0.378,0.2,0.422,-25.6807019792
CD_5_BC_N,Y,14,6,5,0.586,0.18,0.234,-25.0330582383
