Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_2.0,Y,6,16,2,0.443317303689,0.128375578666,0.428307117645,-39.4213682273
Uncentered_CD_2_0_0.5,Y,6,3,15,0.144779364993,0.144777156813,0.710443478193,-22.5209329032
Centered_CW_0_0_2.0,Y,13,7,4,0.36144270208,0.118770234557,0.519787063362,-30.7607681148
Centered_CD_2_0_1.0,Y,8,4,12,0.419987121989,0.144142841636,0.435870036374,-24.6529858432
Uncentered_D_1_0_0.25,Y,14,3,7,0.623291072912,0.277239997201,0.0994689298862,-26.6223680242
Uncentered_W_1_0_0.25,Y,14,8,2,0.68355706065,0.117982121955,0.198460817395,-25.6583365883
Centered_CW_2_0_0.25,Y,19,2,3,0.708783049186,0.144777156813,0.146439794001,-16.1684519298
Centered_CW_4_0_1.0,Y,24,0,0,0.734549663099,0.132725168451,0.132725168451,-7.40394409958
Uncentered_CD_2_0_2.0,Y,6,7,11,0.236658145891,0.138434005043,0.624907849066,-27.6600244605
Centered_D_0_0_0.25,Y,5,18,1,0.515360001173,0.308205255125,0.176434743702,-26.2350596446
Uncentered_D_0_0_0.5,Y,16,3,5,0.632593689306,0.195821421383,0.171584889311,-21.031873322
Uncentered_CD_1_0_0.25,Y,5,3,16,0.140298902484,0.137527840505,0.722173257011,-20.9795305021
Centered_D_4_0_1.0,Y,20,3,1,0.788628949711,0.111902120403,0.0994689298862,-13.6274890494
Uncentered_CW_0_0_0.5,Y,18,1,5,0.710443183769,0.144777156813,0.144779659417,-17.7488644023
Centered_W_2_0_1.0,Y,23,0,1,0.799068578243,0.100465710879,0.100465710879,-7.45703445157
Centered_W_0_0_2.0,Y,6,16,2,0.121834369701,0.757282331,0.120883299299,-21.3047221825
Centered_W_4_0_1.0,Y,22,1,1,0.799249811151,0.100375094425,0.100375094425,-9.52748033315
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.710445635611,0.144777156813,0.144777207576,-32.3163825823
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.70545777481,0.144777156813,0.149765068376,-29.2813224039
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.664700656583,0.136077977243,0.199221366174,-23.9812246772
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.707661587812,0.144505307452,0.147833104736,-30.8274302228
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.700467325109,0.144777156813,0.154755518077,-56.8789996336
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.718963617807,0.140518183482,0.140518198711,-37.0594962763
BalAdjust_Adj_CW_0.25_3,Y,29,8,11,0.708228786027,0.144777156813,0.14699405716,-46.55612558
BalAdjust_Adj_CW_0.25_2,Y,36,5,7,0.708780612573,0.144777156813,0.146442230614,-35.5022000226
Uncentered_CD_1_0_2.0,Y,1,11,12,0.460533492791,0.263036753234,0.276429753975,-30.8950288449
Uncentered_CW_1_0_0.25,Y,16,2,6,0.710443874143,0.144777156813,0.144778969044,-20.9302467135
Uncentered_W_3_0_0.5,Y,12,7,5,0.798887340259,0.100556327332,0.100556332409,-30.2588707268
Centered_CD_4_0_0.5,Y,18,2,4,0.461320222619,0.140065101213,0.398614676169,-21.536267441
Centered_D_1_0_0.5,Y,14,9,1,0.670376209364,0.23015486075,0.0994689298862,-21.1277629946
Centered_D_4_0_0.25,Y,21,1,2,0.693684585768,0.206846484346,0.0994689298862,-13.8720943666
Centered_CD_0_0_0.5,Y,8,11,5,0.451550201498,0.170375610809,0.378074187692,-30.6911218295
Uncentered_W_1_0_1.0,Y,9,14,1,0.166146764326,0.688122931995,0.145730303679,-23.3129803047
Uncentered_CW_1_0_0.5,Y,21,2,1,0.710625533458,0.144686540359,0.144687926183,-12.9733503632
Centered_CW_1_0_0.25,Y,21,1,2,0.698316230626,0.141696197382,0.159987571991,-13.1601360052
Centered_CD_1_0_0.5,Y,7,6,11,0.394084636343,0.144686540359,0.461228823298,-26.6299120198
Centered_D_2_0_2.0,Y,6,14,4,0.575581321812,0.305914476091,0.118504202097,-28.4277718437
Centered_D_3_0_1.0,Y,18,3,3,0.711129757043,0.189401313071,0.0994689298862,-18.051597931
Centered_W_0_0_0.25,Y,15,9,0,0.794272398032,0.100646943786,0.105080658182,-24.1201605191
Centered_CD_3_0_1.0,Y,16,5,3,0.743427350633,0.106355780379,0.150216868988,-21.6356003277
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.600098729142,0.123482290158,0.276418980701,-63.7914946805
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.579535487488,0.125475852142,0.29498866037,-59.2664155634
BalAdjust_Adj_CD_0.5_2,Y,19,13,16,0.610160411035,0.122213659804,0.267625929162,-57.803073255
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.522010072801,0.121579344627,0.356410582572,-54.0311694019
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.424496099144,0.140608799936,0.43489510092,-50.5891686925
Uncentered_D_0_0_2.0,Y,8,14,2,0.787396849123,0.113134220991,0.0994689298862,-37.0365282716
Uncentered_D_3_0_1.0,Y,12,9,3,0.680970365066,0.219560705048,0.0994689298862,-25.179706442
Uncentered_W_3_0_2.0,Y,8,15,1,0.769239197593,0.100646943786,0.130113858621,-38.5802192194
Centered_W_1_0_0.25,Y,18,6,0,0.798141360977,0.100375094425,0.101483544598,-17.8514989525
Centered_CD_2_0_0.5,Y,11,3,10,0.415232841541,0.144777156813,0.439990001645,-23.675785837
Centered_CW_1_0_1.0,Y,18,5,1,0.700170604242,0.14187743029,0.157951965468,-18.0251856729
Centered_CD_3_0_0.25,Y,15,2,7,0.430986122832,0.143689759367,0.425324117801,-22.489714704
Uncentered_CD_4_0_0.5,Y,9,7,8,0.42188588782,0.144777156813,0.433336955367,-27.9850179893
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.691602464913,0.144777156813,0.163620378274,-23.7102660272
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.698577660937,0.144595923906,0.156826415157,-57.0339623268
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.708226384948,0.144777156813,0.146996458238,-26.008935812
