Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CB_N,Y,8,7,10,0.405353457292,0.14762142948,0.447025113228,-28.667101248
CW_6_CB_N,Y,12,8,5,0.64082807863,0.14518348148,0.21398843989,-28.4871507921
Dist_3_BC_N,Y,16,5,4,0.523523893659,0.277511070955,0.198965035386,-23.2227386626
CW_4_CC_N,Y,16,6,3,0.6490692356,0.141008522373,0.209922242027,-23.3521181677
CD_3_BB_N,Y,7,3,15,0.421331655119,0.144777156813,0.433891188068,-24.3724459631
CB_7_CB_N,Y,14,2,9,0.573555224589,0.144777156813,0.281667618598,-23.0509819257
CB_2_BC_N,Y,13,7,5,0.570228650687,0.144777156813,0.2849941925,-27.1066815
CW_5_BB_N,Y,14,4,7,0.695891473132,0.136259210151,0.167849316717,-25.5414672287
Bal_2_BB_N,Y,1,23,1,0.11241734241,0.771633929945,0.115948727644,-10.302779835
Dist_3_BB_N,Y,12,12,1,0.575028808049,0.325502262065,0.0994689298862,-22.4165620221
CW_7_CB_N,Y,18,4,3,0.650577695199,0.138793652869,0.210628651932,-20.310145642
Bal_3_BB_N,Y,1,22,2,0.113594470822,0.764571159478,0.121834369701,-12.2909899304
CW_4_BC_N,Y,17,1,7,0.661665606358,0.136348860354,0.201985533287,-20.2103675479
Dist_4_CC_N,Y,16,8,1,0.612650813181,0.158813799814,0.228535387005,-24.0356091413
Bal_5_CC_N,Y,5,16,4,0.200998358647,0.594652174282,0.204349467071,-22.6904453986
CD_5_CC_N,Y,16,4,5,0.433268204219,0.213329485481,0.3534023103,-24.7627839571
CD_5_CB_N,Y,11,6,8,0.458983872045,0.220881144019,0.320134983936,-26.7390258443
CB_7_BB_N,Y,19,1,5,0.572446799797,0.144777156813,0.28277604339,-18.8469338779
Bal_1_CC_N,Y,4,20,1,0.211410229352,0.549388709255,0.239201061392,-19.6252512236
CW_5_CC_N,Y,16,5,4,0.664444371075,0.138746895266,0.196808733658,-22.9184771001
Weight_5_BC_N,Y,10,10,5,0.481770136042,0.404456196521,0.113773667437,-27.2227210235
CD_3_CB_N,Y,17,0,8,0.529946781292,0.17294127036,0.297111948347,-20.5038079782
CW_2_CC_N,Y,15,3,7,0.597832622852,0.150194819035,0.251972558113,-23.0531786451
CB_1_BC_N,Y,10,4,11,0.589300247289,0.137838798227,0.272860954484,-27.5015986123
CD_4_CB_N,Y,10,6,9,0.345688173823,0.164302324258,0.49000950192,-27.8784385333
CD_4_BC_N,Y,14,8,3,0.334365093835,0.163491688187,0.502143217978,-31.8918597569
CD_1_CC_N,Y,8,9,8,0.3969450866,0.215499529883,0.387555383517,-28.7879997103
Weight_4_BC_N,Y,17,6,2,0.439313020827,0.41305356844,0.147633410734,-23.1143465019
Weight_1_BC_N,Y,12,12,1,0.451397919128,0.428444840978,0.120157239894,-21.8349456555
CW_1_BB_N,Y,20,0,5,0.713232262967,0.135624894974,0.151142842059,-16.2066127191
Weight_3_CB_N,Y,12,9,4,0.497034472511,0.383544808017,0.119420719472,-25.5142504098
CW_6_BB_N,Y,16,7,2,0.661674980306,0.144777156813,0.19354786288,-23.4200708241
CW_6_CC_N,Y,12,10,3,0.623180014254,0.14640245548,0.230417530266,-29.2925841063
CB_7_CC_N,Y,13,5,7,0.575431482932,0.144957423471,0.279611093597,-25.7613216922
Weight_3_CC_N,Y,8,13,4,0.454147020694,0.362904383385,0.182948595921,-26.2858811616
Dist_3_CB_N,Y,13,9,3,0.578745149727,0.272893577572,0.148361272701,-24.5219850185
Bal_2_CB_N,Y,5,10,10,0.291470030688,0.487694298097,0.220835671215,-28.4481197554
CD_4_BB_N,Y,5,8,12,0.351959475951,0.135262429159,0.51277809489,-29.2404490098
Weight_5_CC_N,Y,11,13,1,0.463087034542,0.405542708478,0.13137025698,-22.2308565898
CW_7_BC_N,Y,18,1,6,0.638908546173,0.13765949782,0.223431956007,-19.0387533935
Bal_3_BC_N,Y,8,14,3,0.204484908627,0.566769678776,0.228745412597,-25.0727574618
Dist_2_BC_N,Y,21,4,0,0.667033115208,0.205453041191,0.1275138436,-14.8333784372
CW_5_BC_N,Y,17,2,6,0.602417742482,0.148194977866,0.249387279652,-20.7666129625
CB_6_BB_N,Y,17,3,5,0.602933482512,0.135353045612,0.261713471875,-21.303254034
CD_5_BC_N,Y,14,6,5,0.45327258081,0.205766713618,0.340960705572,-25.9436760182
CB_3_BB_N,Y,15,8,2,0.590989746897,0.13530725426,0.273702998843,-26.4824296026
CW_4_BB_N,Y,20,0,5,0.698812227001,0.135353045612,0.165834727386,-16.1512820984
CD_2_CC_N,Y,12,1,12,0.327067744932,0.177513728366,0.495418526702,-23.5679912141
CB_5_CB_N,Y,14,5,6,0.607892827043,0.137344675096,0.254762497861,-25.099443047
CW_1_CB_N,Y,17,4,4,0.67628126535,0.13553427852,0.18818445613,-21.3249390407
CB_5_CC_N,Y,11,7,7,0.598716875251,0.144126819186,0.257156305563,-28.7085610547
CW_3_CC_N,Y,9,4,12,0.420256370877,0.216943595642,0.362800033481,-26.0813262937
CW_2_BC_N,Y,13,3,9,0.643440041167,0.145499189693,0.21106076914,-25.5152805399
CW_2_CB_N,Y,17,2,6,0.635472703254,0.146944221702,0.217583075044,-20.6940161215
CD_4_CC_N,Y,7,7,11,0.359119548809,0.176879251665,0.464001199526,-27.7412649559
CD_7_BB_N,Y,8,0,17,0.329306458354,0.136440443059,0.534253098588,-19.543186763
Weight_5_BB_N,Y,18,6,1,0.792428533012,0.10073756024,0.106833906747,-20.1956524843
