WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S139,CD_6_CB_N,Y,1,0,0,0.599633300372,0.173872275226,0.226494424402,-0.51143697665
S139,CW_6_CB_N,Y,0,0,1,0.5096972636,0.173872275226,0.316430461174,-1.15065177347
S139,Dist_3_BC_N,Y,1,0,0,0.4742969087,0.249456816769,0.276246274531,-0.745921763725
S139,CW_4_CC_N,Y,1,0,0,0.512567562646,0.18535347141,0.302078965944,-0.668322747106
S139,CD_3_BB_N,Y,0,0,1,0.65034191685,0.173872275226,0.175785807923,-1.73848902553
S139,CB_7_CB_N,Y,0,0,1,0.415934161433,0.173872275226,0.410193563341,-0.891126124981
S139,CB_2_BC_N,Y,1,0,0,0.405409731598,0.173872275226,0.420717993176,-0.902857040324
S139,CW_5_BB_N,Y,0,1,0,0.575714141656,0.173872275226,0.250413583118,-1.74943429974
S139,Bal_2_BB_N,Y,0,1,0,0.195877901245,0.597719767675,0.20640233108,-0.514633250794
S139,Dist_3_BB_N,Y,0,0,1,0.506826964554,0.31930076022,0.173872275226,-1.74943429974
S139,CW_7_CB_N,Y,0,0,1,0.515437861692,0.175785807923,0.308776330385,-1.17513811408
S139,Bal_3_BB_N,Y,0,1,0,0.193007602199,0.611114496556,0.195877901245,-0.492470945294
S139,CW_4_BC_N,Y,0,0,1,0.500129600113,0.174829041575,0.325041358312,-1.1238028484
S139,Dist_4_CC_N,Y,0,1,0,0.569016777216,0.174829041575,0.256154181209,-1.74394668783
S139,Bal_5_CC_N,Y,0,0,1,0.281030106274,0.462815712516,0.256154181209,-1.36197574545
S139,CD_5_CC_N,Y,1,0,0,0.480037506792,0.230321489796,0.289641003412,-0.733891038983
S139,CD_5_CB_N,Y,0,0,1,0.48864840393,0.233191788842,0.278159807228,-1.27955948431
S139,CB_7_BB_N,Y,1,0,0,0.402539432552,0.173872275226,0.423588292222,-0.909962217849
S139,Bal_1_CC_N,Y,1,0,0,0.281986872623,0.437939787452,0.280073339926,-1.26589476011
S139,CW_5_CC_N,Y,1,0,0,0.532659655967,0.179612873318,0.287727470715,-0.629872602924
S139,Weight_5_BC_N,Y,0,1,0,0.441766852846,0.353744348771,0.204488798383,-1.03918080536
S139,CD_3_CB_N,Y,1,0,0,0.579541207051,0.173872275226,0.246586517723,-0.545518510791
S139,CW_2_CC_N,Y,0,1,0,0.487691637581,0.173872275226,0.338436087193,-1.74943429974
